frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,1,-1.620899,-1.542472,-1.559713,4.254148,-9.492075,-4.577438,-5.183767,-7.057320,-3.380534,-8.821461,-4.427746,-5.384057,-2.550877,-0.473354,-1.566582,-1.651919
1,0.042700,1,-1.620899,-1.542472,-1.559713,4.254148,-9.492075,-4.577438,-5.183767,-7.057320,-3.380534,-8.821461,-4.427746,-5.384057,-2.550877,-0.473354,-1.566582,-1.651919
2,0.085300,1,-1.620899,-1.542472,-1.559713,4.254148,-9.492075,-4.577438,-5.183767,-7.057320,-3.380534,-8.821461,-4.427746,-5.384057,-2.550877,-0.473354,-1.566582,-1.651919
3,0.128000,0,-1.192814,-1.092803,-1.118426,-1.655083,-0.105760,-1.518834,-1.286000,2.404045,2.270469,1.802920,-1.257682,-0.162550,-0.885239,-0.473354,-1.209756,-1.021004
4,0.170700,0,-1.189855,-1.111564,-1.118426,-1.333908,0.975531,-1.405268,-1.244030,3.474261,4.501338,1.630185,-1.417379,-0.129343,-0.923975,-0.448689,-1.222289,-1.075827
5,0.213300,0,-1.139809,-1.078291,-1.118426,-1.177150,0.406235,-1.382025,-0.841691,2.576946,2.776228,1.595625,-1.560329,-0.081495,-0.923975,-0.437117,-1.224092,-1.130650
6,0.256000,0,-1.150638,-1.074489,-1.118426,-1.325209,0.412142,-1.505614,-0.822432,2.455473,2.330983,1.782432,-1.485583,-0.325086,-1.350068,-0.443207,-1.181219,-1.130650
7,0.298700,0,-1.124773,-1.036607,-1.118426,-1.354460,-1.100465,-1.199708,-0.847641,2.162496,1.731767,1.332694,-1.448563,-0.212238,-1.233861,-0.442598,-1.172725,-1.185698
8,0.341300,0,-1.082325,-1.020339,-1.118426,-0.984355,-0.289660,-1.093688,-0.093896,2.128056,1.755977,1.186273,-1.610583,-0.892547,-1.040182,-0.431636,-1.157666,-1.185698
9,0.384000,0,-1.087021,-0.987711,-1.118426,-1.138651,-0.185338,-1.348557,-0.046829,2.260931,1.700515,1.546207,-1.416176,0.068664,-1.040182,-0.425546,-1.109402,-1.158062
10,0.426700,0,-1.048916,-0.944820,-1.101451,-0.760007,-2.293442,-0.872229,-0.251678,1.218407,0.670319,0.894280,-1.238598,-0.105698,-0.846503,-0.422196,-1.109235,-0.856535
11,0.469300,0,-1.009915,-0.874778,-0.999620,-1.752821,-2.208143,-0.067586,0.142172,1.116017,0.585595,-0.036810,-0.952892,-2.907933,-1.350068,-0.364338,-1.187535,-0.883946
12,0.512000,0,-1.138180,-1.004310,-1.118426,-1.540956,-1.471707,-1.531248,-1.104178,1.425516,0.937681,1.822163,-0.698191,-0.234798,-1.078918,-0.324752,-1.106803,-1.185698
13,0.554700,0,-1.141654,-1.071855,-1.118426,-1.571423,-0.452770,-1.321540,-1.369344,0.537277,0.543873,1.506738,-0.944401,-0.033468,-1.350068,-0.406057,-1.123952,-1.185698
14,0.597300,0,-1.202123,-1.127682,-1.118426,-1.877210,0.851939,-1.367364,-2.210340,-0.041463,0.384645,1.573894,-0.611815,-3.817899,-1.233861,-0.406666,-1.158448,-0.966181
15,0.640000,0,-1.215042,-1.137623,-1.118426,-2.099658,0.090124,-1.473183,-2.356361,0.150752,0.717436,1.732687,-0.676949,0.271019,-1.040182,-0.395399,-1.139053,-0.883946
16,0.682700,0,-1.174033,-1.098769,-1.118426,-1.821983,-0.802911,-1.570649,-1.649861,1.016884,1.704082,1.883821,-0.799612,-0.098426,-1.195125,-0.377432,-1.123715,-1.130650
17,0.725300,0,-1.133702,-1.090485,-1.118426,-1.407007,-0.537170,-0.803968,-1.762838,0.872839,1.401353,0.807815,-1.111662,-0.552927,-1.195125,-0.407579,-1.151690,-1.185698
18,0.768000,0,-1.134923,-1.065348,-1.118426,-1.512765,-0.816787,-1.361374,-1.262496,1.230043,1.396186,1.565058,-1.017874,-0.302241,-1.040182,-0.426459,-1.076840,-1.130650
19,0.810700,0,-1.164262,-1.096381,-1.118426,-1.548409,-1.034763,-1.384098,-1.581155,0.925430,1.260916,1.598636,-0.943890,-0.045366,-1.272597,-0.434985,-1.129601,-1.130650
20,0.853300,0,-1.160598,-1.119671,-1.118426,-1.658565,-1.884373,-1.001550,-1.681715,-0.124307,0.102148,1.062629,-1.072360,-0.636524,-1.001446,-0.418237,-1.171903,-1.185698
21,0.896000,0,-1.095054,-1.075397,-1.118426,-1.045380,-1.974199,-0.948007,-0.948558,0.568925,0.369236,0.992200,-1.518869,-0.089861,-1.040182,-0.405143,-1.109766,-1.185698
22,0.938700,0,-1.133132,-1.053504,-1.118426,-1.400612,-1.947859,-1.196194,-1.292565,1.843456,2.139726,1.327785,-1.099064,-0.479355,-1.040182,-0.401185,-1.109918,-1.130650
23,0.981300,0,-1.152836,-1.072897,-1.118426,-1.543854,-1.655110,-1.210163,-1.652281,1.611914,2.139063,1.347356,-0.934209,0.003318,-1.156389,-0.419455,-1.112734,-1.130650
24,1.024000,0,-1.144830,-1.062545,-1.118426,-1.288444,-1.936634,-1.219380,-1.339751,0.987563,1.226830,1.360382,-0.948647,-0.682506,-1.117653,-0.430418,-1.135332,-1.158062
25,1.066700,0,-1.099532,-1.071363,-1.118426,-1.303606,-1.072839,-1.030813,-0.889551,1.732223,2.156117,1.101575,-1.464978,-0.189153,-0.691560,-0.392963,-1.104865,-1.185698
26,1.109300,0,-1.065390,-1.051442,-1.118426,-1.097246,-0.151386,-1.095128,-0.451906,1.872312,1.828424,1.188236,-1.625850,-0.205777,-0.962710,-0.433767,-1.087519,-1.185698
27,1.152000,0,-1.107294,-1.083717,-1.118426,-1.840047,-0.792276,-1.184011,-1.136449,1.242144,1.686661,1.310702,-1.329814,-0.669921,-1.040182,-0.415801,-1.078965,-1.185698
28,1.194700,0,-1.125397,-1.070453,-1.118426,-1.737988,-1.351727,-1.181361,-1.102255,0.485849,0.660123,1.307036,-1.050815,-0.380683,-1.078918,-0.406057,-1.122477,-1.185698
29,1.237300,0,-1.143147,-1.095940,-1.118426,-1.872470,-0.651615,-1.019666,-1.587264,0.271526,0.676811,1.086651,-1.055835,-0.500272,-1.195125,-0.433767,-1.142705,-1.185698
30,1.280000,0,-1.082760,-1.039959,-1.118426,-1.424809,-0.499884,-0.921106,-0.702632,1.789934,1.956127,0.957182,-1.404850,-0.491005,-1.001446,-0.411233,-1.063113,-1.185698
31,1.322700,0,-1.075676,-1.081022,-1.118426,-1.178409,-0.791625,-0.747833,-1.056298,0.204042,0.169658,0.737844,-1.490949,-0.132084,-1.040182,-0.432854,-1.048117,-1.185698
