frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,185.89,215.1472,304.69,-7.3213914775,0.604643,0.112782,22.7646,4.3336,28.0589,0.15796,0.215302,17.285495,47,0.0,145.0475,0.002075,0
1,0.0427,182.42,204.2868,304.69,-7.369410221,0.662345,0.115756,21.0933,4.3029,28.4487,0.156076,0.218057,17.108352,38,0.000177,123.5782,0.002075,0
2,0.0853,185.88,195.8304,304.69,-7.3683217167,0.592328,0.128079,19.4456,3.9831,26.651,0.148754,0.216972,12.879671,34,0.000166,114.4249,0.002075,0
3,0.128,181.66,195.0258,304.69,-7.6595086173,0.589405,0.116697,20.4207,3.9126,26.4598,0.15549,0.220744,16.169694,51,0.000188,138.7543,0.002075,0
4,0.1707,193.42,216.3602,304.69,-7.2458344306,0.62448,0.113306,25.2865,3.9987,24.5749,0.157625,0.216037,12.950436,42,0.000109,138.2648,0.002075,0
5,0.2133,201.18,230.6321,304.69,-7.0359231195,0.517499,0.123357,24.4397,4.2025,25.9789,0.151473,0.208958,14.224747,42,0.000159,148.1813,0.002075,0
6,0.256,195.37,219.0707,304.69,-7.1812976947,0.533823,0.116427,24.8749,3.7285,21.1132,0.155657,0.223273,17.286567,35,0.000213,141.2706,0.002075,0
7,0.2987,200.58,206.4569,304.69,-7.4567242325,0.611678,0.118896,23.4194,3.2816,17.0533,0.154139,0.222124,16.557557,28,0.000213,144.517,0.002075,0
8,0.3413,209.43,205.4463,304.69,-6.9928349746,0.579674,0.127223,21.5454,3.314,17.7231,0.149239,0.219436,17.137141,41,0.000223,141.5057,0.002075,0
9,0.384,219.13,207.9594,316.41,-7.1492188614,0.660315,0.120899,22.2227,3.2895,18.3319,0.15293,0.221923,16.828452,28,0.000202,159.8426,0.002075,0
10,0.4267,258.91,309.2697,421.88,-7.6774883674,0.623286,0.150831,32.996,4.0244,22.2384,0.136918,0.238145,14.07382,9,0.000384,199.7758,0.002198,0
11,0.4693,861.25,1659.64,1488.28,-6.548816568,0.370284,0.232465,80.9656,2.9555,8.5669,0.105607,0.340381,-4.992116,2,0.001916,109.6902,0.002198,0
12,0.512,231.83,225.23,398.44,-7.3256203732,0.587418,0.129492,20.9962,2.8001,12.8119,0.14796,0.248677,16.735907,43,0.002173,164.6255,0.002075,0
13,0.5547,239.58,228.1141,480.47,-7.1041740394,0.74716,0.119312,22.2385,3.0116,15.6872,0.153886,0.251519,16.89605,37,0.000244,155.9182,0.002075,0
14,0.5973,250.29,239.8661,492.19,-7.0301612977,0.708533,0.121328,22.0822,2.986,15.233,0.152673,0.252983,16.949224,39,0.000297,175.8139,0.002564,0
15,0.64,249.4,240.7849,492.19,-7.3610003205,0.655362,0.119152,21.0029,2.9357,15.1528,0.153983,0.264237,13.583561,41,0.00028,185.196,0.002564,0
16,0.6827,265.79,225.4061,492.19,-6.7072250792,0.714484,0.122741,19.3179,2.4351,11.1644,0.151835,0.256683,16.593965,34,0.000329,185.1145,0.00232,0
17,0.7253,271.97,251.9971,492.19,-6.7642085751,0.682895,0.12774,20.2046,2.8175,12.7854,0.148946,0.261682,16.843684,49,0.000244,193.3028,0.002808,0
18,0.768,275.61,281.8142,492.19,-7.0531103551,0.597626,0.131937,21.5059,2.9546,12.8706,0.146606,0.270109,16.698327,40,0.000255,196.6271,0.003296,0
19,0.8107,283.06,278.0911,492.19,-6.3639294091,0.626406,0.134433,21.6684,2.8724,11.9132,0.145249,0.265354,15.667402,42,0.000269,203.8719,0.003296,0
20,0.8533,305.32,310.3824,503.91,-6.1855913515,0.504954,0.142298,23.2982,2.9275,11.8302,0.141133,0.265359,16.147034,44,0.000263,222.8614,0.004029,0
21,0.896,301.85,296.5558,503.91,-6.2352870482,0.577934,0.128917,23.69,2.9965,12.8318,0.148282,0.267843,17.272164,43,0.000254,213.6938,0.005005,0
22,0.9387,287.82,271.1071,503.91,-6.3812912247,0.696498,0.130293,21.2543,2.8552,12.8347,0.147513,0.269273,17.467251,50,0.000255,189.2342,0.005005,0
23,0.9813,296.09,293.1491,503.91,-6.1153623528,0.670661,0.129864,23.3047,3.1054,13.8981,0.147752,0.266275,17.352756,39,0.000182,219.9452,0.004273,0
24,1.024,292.71,274.0926,503.91,-6.4378797597,0.68018,0.120541,22.8035,2.9636,13.7716,0.153144,0.268912,17.660235,34,0.00018,198.3242,0.004273,0
25,1.0667,294.96,263.455,503.91,-6.0839515109,0.692646,0.126164,22.1712,2.5519,9.9519,0.149844,0.269113,17.541665,37,0.00019,187.1348,0.004761,0
26,1.1093,303.41,295.1799,503.91,-6.0583572681,0.631181,0.123527,21.7645,3.0548,13.8734,0.151373,0.273727,17.275172,43,0.000314,219.8026,0.00525,0
27,1.152,309.12,306.0592,503.91,-6.2287258229,0.612881,0.131627,21.9494,2.8852,12.0632,0.146776,0.280294,17.312673,42,0.000308,223.0052,0.005738,0
28,1.1947,316.07,306.5697,503.91,-5.9453677549,0.567663,0.134074,20.8791,3.0719,14.4913,0.145442,0.277153,16.671496,53,0.000287,236.5468,0.005982,0
29,1.2373,328.66,325.3204,503.91,-5.5774608239,0.603384,0.136562,22.1406,3.1017,14.0841,0.144112,0.278561,17.065755,45,0.000255,215.6091,0.006226,0
30,1.28,330.77,330.619,503.91,-5.9595003544,0.514717,0.134364,22.3328,3.1338,14.6334,0.145286,0.281773,17.769763,59,0.000256,253.6251,0.006226,0
31,1.3227,334.77,330.478,503.91,-5.8161314879,0.477364,0.130965,22.2532,3.0577,14.0959,0.147141,0.282308,17.826088,50,0.000209,256.4593,0.006226,0
32,1.3653,341.79,330.595,503.91,-5.8700202985,0.470872,0.126644,22.5554,3.0768,14.4204,0.149569,0.281582,17.686952,44,0.000236,256.1463,0.006226,0
33,1.408,334.36,319.9727,503.91,-5.9193328163,0.493288,0.135182,22.2038,2.9517,13.6392,0.144847,0.28287,17.942592,50,0.000187,243.6945,0.006226,0
34,1.4507,344.98,340.5501,515.62,-5.8015680314,0.470215,0.139894,22.3156,2.9948,13.4106,0.142367,0.282043,17.810124,59,0.000238,247.692,0.006226,0
35,1.4933,360.1,357.2439,585.94,-5.2532482513,0.402167,0.139667,22.5387,3.0423,13.8938,0.142484,0.282845,17.828986,56,0.000308,268.9609,0.006226,0
36,1.536,366.55,359.5322,597.66,-5.7067178152,0.400813,0.140558,23.4345,2.9017,12.719,0.142024,0.285786,17.923233,55,0.000271,253.1643,0.006226,0
37,1.5787,367.06,374.61,597.66,-6.1591921316,0.356989,0.135725,23.3198,3.0313,14.3143,0.144557,0.292253,16.601981,52,0.000368,268.4089,0.006226,0
38,1.6213,357.14,356.8541,585.94,-6.0556032628,0.383706,0.137001,22.7141,3.0818,14.4494,0.14388,0.289136,18.476363,50,0.000331,268.038,0.006226,0
39,1.664,367.69,356.9844,597.66,-5.3721847565,0.38928,0.148772,22.4728,2.7192,10.9757,0.137913,0.287066,18.049004,62,0.000335,243.4983,0.006226,0
40,1.7067,364.64,364.7485,597.66,-5.9955651184,0.400586,0.142167,22.0573,2.8714,12.7327,0.1412,0.29404,16.77259,56,0.000386,282.9535,0.006226,0
41,1.7493,371.46,360.868,609.38,-5.916200666,0.372013,0.144054,23.3218,2.7152,11.3237,0.140246,0.291001,17.815378,51,0.000403,259.0741,0.006226,0
42,1.792,397.03,397.415,691.41,-5.5467219842,0.397881,0.140958,23.1768,2.8361,12.1985,0.141818,0.297737,17.508709,46,0.000579,285.2299,0.006104,0
43,1.8347,405.8,415.0352,691.41,-5.7404120902,0.438331,0.137014,22.8879,3.1354,16.3004,0.143873,0.306205,18.323087,60,0.000646,303.5672,0.006226,0
44,1.8773,429.93,454.337,703.12,-5.6054951109,0.43137,0.145741,23.442,3.2149,16.5374,0.139403,0.31254,18.105589,71,0.000555,320.3196,0.006715,0
45,1.92,443.14,465.6158,703.12,-5.2820147488,0.438357,0.149517,23.7158,3.2971,17.5315,0.137552,0.308626,17.667213,64,0.000637,328.431,0.006715,0
46,1.9627,443.76,462.4849,703.12,-5.5013181541,0.455306,0.151111,25.6081,3.2628,16.9133,0.136784,0.306726,18.249335,66,0.000416,335.5085,0.006226,0
47,2.0053,483.27,526.3202,796.88,-4.937036436,0.412746,0.152277,25.5137,3.3053,16.5751,0.136227,0.312684,18.331894,78,0.000654,377.1795,0.00586,0
48,2.048,490.53,544.8138,808.59,-5.0376954095,0.432232,0.152548,25.3954,3.1229,13.9819,0.136099,0.314886,18.67331,78,0.000445,389.2723,0.005616,0
