id,centroid_mean,centroid_std,spread_mean,spread_std,rolloff_mean,rolloff_std,flux_mean,flux_std,loudness_lufs,loudness_range_lu,f_beat_hz,rms_mean,rms_std,zcr_mean,zcr_std,flatness_mean,flatness_std,slope_mean,slope_std,crest_factor,attack_time_ms,t60_s,temporal_centroid_s,pitch_hz
001,112.834732,32.463108,162.802292,166.740417,147.413788,57.312141,0.000019,0.000031,-59.731102,1.360348,0.000000,0.001071,0.000433,0.002522,0.002037,0.000053,0.000216,-0.000000,0.000000,2.657267,5482.666504,4.864000,3.338135,99.984016
002,142.017258,57.562420,191.792191,177.883377,251.625946,103.628700,0.000051,0.000117,-57.765415,3.923294,0.000000,0.001259,0.000597,0.003345,0.003156,0.000056,0.000306,-0.000000,0.000000,3.562982,4448.000000,8.384000,3.634955,99.813438
003,168.151886,131.658615,285.602875,262.405823,305.198761,244.524231,0.000145,0.000379,-49.571270,9.362682,0.000000,0.002248,0.001775,0.006852,0.006467,0.000124,0.000720,-0.000001,0.000001,4.659910,6410.666504,3.040000,4.986454,99.686432
004,347.070801,235.073059,614.942932,589.457153,527.670105,389.510315,0.000178,0.000219,-41.410194,5.665100,0.000000,0.005723,0.004578,0.011754,0.009067,0.000644,0.003298,-0.000003,0.000003,4.833486,4629.333496,3.264000,3.478005,98.765526
005,226.031754,168.075043,312.272522,261.376068,371.857544,283.492645,0.000190,0.000536,-44.505024,12.899750,0.000000,0.003394,0.003332,0.006608,0.005475,0.000102,0.000768,-0.000002,0.000002,7.314606,6410.666504,1.312000,5.346558,99.368683
006,235.392242,157.846130,374.527496,374.148865,405.280396,292.367493,0.000106,0.000429,-45.641930,14.296925,0.000000,0.003073,0.002965,0.007695,0.006528,0.000249,0.001043,-0.000001,0.000002,8.792743,7424.000000,1.376000,6.217804,99.274986
007,254.181870,126.489105,279.087799,184.708603,421.583862,220.327744,0.000069,0.000134,-46.164730,11.016594,0.000000,0.003756,0.002692,0.007574,0.004846,0.000058,0.000461,-0.000002,0.000001,5.361783,714.666687,18.944000,2.352664,99.692116
008,244.032928,102.833061,202.193756,89.184334,422.604584,202.620316,0.000067,0.000137,-49.114796,7.467445,0.000000,0.003056,0.001836,0.006164,0.003601,0.000009,0.000087,-0.000001,0.000001,5.579175,3488.000000,12.256001,3.665638,99.326363
009,38.833473,26.990644,148.809952,74.732956,73.735954,34.701328,0.000302,0.000642,-69.970772,0.000000,0.732422,0.000645,0.000343,0.002157,0.002352,0.000031,0.000038,-0.000000,0.000000,3.568419,458.666656,0.000000,0.739085,103.439804
010,171.151505,135.202591,206.722290,130.115479,296.276398,243.608673,0.000242,0.000897,-48.361713,18.715431,0.000000,0.002396,0.002108,0.004495,0.003680,0.000028,0.000130,-0.000001,0.000001,7.000903,7989.333008,10.559999,7.648728,99.601585
011,238.717896,200.482285,576.345459,488.311371,371.352661,340.938354,0.000044,0.000066,-46.856228,0.000000,0.549316,0.001903,0.002534,0.011087,0.008295,0.000568,0.001623,-0.000001,0.000001,6.086606,1344.000000,0.896000,1.042872,99.932518
012,263.999298,127.189774,293.977264,212.492065,450.511566,233.702972,0.000055,0.000066,-47.332657,12.525795,0.000000,0.003605,0.002227,0.008324,0.005821,0.000061,0.000536,-0.000002,0.000001,5.043049,1280.000000,20.032000,2.762806,99.614029
013,247.925552,168.973038,339.279510,323.346649,404.893066,293.849792,0.000033,0.000095,-46.895847,20.814857,0.000000,0.002674,0.002623,0.007136,0.005748,0.000188,0.001019,-0.000001,0.000001,7.576402,13514.666992,1.024000,5.431724,99.726837
