,001,002,003,004,005,006,007,008,009,010,011,012,013
001,0.000000,1.262072,3.628414,7.211703,5.212474,4.984683,4.222302,3.613924,5.448993,5.713340,5.618986,4.425570,5.151450
002,1.262072,0.000000,2.541968,6.152753,4.091684,3.839640,3.091709,2.466813,5.475989,4.775996,4.900655,3.308985,4.132475
003,3.628414,2.541968,0.000000,4.426546,1.642779,1.779284,2.050747,2.082579,5.867005,2.774552,4.172215,2.443281,2.911009
004,7.211703,6.152753,4.426546,0.000000,3.619316,3.358465,3.767886,4.380023,9.170691,5.720170,3.707226,3.784876,4.110884
005,5.212474,4.091684,1.642779,3.619316,0.000000,1.230397,2.328596,2.752870,6.819098,2.274091,4.431323,2.668314,2.837467
006,4.984683,3.839640,1.779284,3.358465,1.230397,0.000000,1.607121,2.282291,7.275053,3.080985,3.940123,1.829704,1.886812
007,4.222302,3.091709,2.050747,3.767886,2.328596,1.607121,0.000000,0.965325,7.365981,4.107011,3.847340,0.508871,1.784253
008,3.613924,2.466813,2.082579,4.380023,2.752870,2.282291,0.965325,0.000000,6.913064,4.256102,4.135091,1.215161,2.585278
009,5.448993,5.475989,5.867005,9.170691,6.819098,7.275053,7.365981,6.913064,0.000000,6.152653,7.434284,7.652411,8.166287
010,5.713340,4.775996,2.774552,5.720170,2.274091,3.080985,4.107011,4.256102,6.152653,0.000000,6.232757,4.425238,4.334641
011,5.618986,4.900655,4.172215,3.707226,4.431323,3.940123,3.847340,4.135091,7.434284,6.232757,0.000000,3.918146,4.354331
012,4.425570,3.308985,2.443281,3.784876,2.668314,1.829704,0.508871,1.215161,7.652411,4.425238,3.918146,0.000000,1.576004
013,5.151450,4.132475,2.911009,4.110884,2.837467,1.886812,1.784253,2.585278,8.166287,4.334641,4.354331,1.576004,0.000000
