file,duration_s,n_frames_valid,n_frames_total,temporal_centroid_s,symmetry,attack_ms,decay_ms,onset_count,rms_mean,rms_peak,dynamic_range_db
001.wav,7.75,161,181,3.316,0.432,682.7,1408.0,17,0.00118,0.001502,14.5
002.wav,8.419,168,197,3.614,0.432,3157.3,3157.3,15,0.001443,0.00207,16.8
003.wav,9.303,169,218,4.973,0.537,2944.0,725.3,15,0.002843,0.004941,25.0
004.wav,8.446,127,197,3.467,0.415,3840.0,256.0,5,0.008826,0.011952,29.2
005.wav,9.559,163,224,5.334,0.561,5162.7,256.0,4,0.004549,0.01096,25.4
006.wav,10.505,183,246,6.207,0.594,6272.0,341.3,5,0.004069,0.010358,26.7
007.wav,8.608,183,201,2.341,0.274,256.0,5290.7,3,0.004105,0.008271,26.7
008.wav,8.243,193,193,3.655,0.446,3200.0,3669.3,9,0.003054,0.006677,23.7
009.wav,1.912,42,44,0.723,0.394,128.0,1365.3,10,0.000671,0.001749,14.4
010.wav,13.664,286,320,7.636,0.561,5930.7,3285.3,17,0.002653,0.007501,27.8
011.wav,3.721,50,87,1.031,0.281,512.0,170.7,4,0.003217,0.00658,29.1
012.wav,9.013,202,211,2.752,0.307,554.7,5760.0,17,0.003756,0.007086,25.2
013.wav,16.478,293,386,5.416,0.33,2858.7,170.7,8,0.003457,0.009333,29.6
