frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
1,0.0427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
2,0.0853,2274.51,3752.1965,4652.34,-6.612167448,0.413535,0.285612,68.8686,2.7196,8.0134,0.090704,0.373957,-13.3203,129,0.0,1124.4106,0.014406,0
3,0.128,2175.38,3665.6615,3878.91,-7.1763779882,0.401558,0.248252,55.9468,3.1555,11.5169,0.100851,0.412461,-13.030767,152,0.005974,1390.7879,0.013796,0
4,0.1707,1307.46,2776.2454,2062.5,-5.7435050948,0.51922,0.289176,62.8708,5.0026,27.7871,0.089806,0.230822,6.919655,144,0.016035,1111.63,0.009645,0
5,0.2133,1398.03,2122.9806,2250.0,-7.1643984535,0.50587,0.244521,49.2293,4.0352,22.6324,0.101947,0.382745,6.308759,132,0.060935,1300.8283,0.010621,0
6,0.256,1625.86,2579.3857,2378.91,-7.1552325452,0.593208,0.221242,50.1181,3.901,18.4398,0.109189,0.422212,3.812571,154,0.078302,2079.6277,0.013796,0
7,0.2987,1572.24,2257.6027,2519.53,-7.4256508816,0.63078,0.223747,46.7811,3.8833,19.1274,0.108374,0.414243,3.308073,147,0.071844,2078.1361,0.014284,0
8,0.3413,1480.19,2050.6354,2484.38,-7.4445301266,0.681617,0.228353,45.4594,3.9426,20.8551,0.106899,0.396002,3.862994,152,0.057984,2019.8546,0.013429,0
9,0.384,1459.16,2003.7027,2578.12,-7.3012563031,0.694885,0.241082,49.6842,3.8578,20.4947,0.102973,0.362067,4.776327,144,0.050395,1912.1759,0.012331,0
10,0.4267,1345.99,1865.4425,2214.84,-7.0911834303,0.71397,0.250513,48.7543,4.1515,24.6487,0.100195,0.339622,4.794649,161,0.053682,1756.6837,0.011354,0
11,0.4693,1285.94,1680.9241,2156.25,-7.0715322703,0.72546,0.258966,47.311,3.9184,23.6921,0.097793,0.325979,5.205022,162,0.040527,1575.6633,0.009889,0
12,0.512,1218.24,1534.391,2144.53,-7.0973281691,0.7352,0.269176,48.1758,3.7571,24.3907,0.094994,0.304984,5.863006,143,0.040873,1524.8235,0.009767,0
13,0.5547,1167.75,1531.2469,1945.31,-6.9305428156,0.70606,0.26579,51.0228,3.8936,24.607,0.09591,0.285286,5.248579,141,0.046832,1418.191,0.009034,0
14,0.5973,1116.11,1427.0435,1851.56,-6.7695910902,0.736497,0.272042,48.3301,3.7749,23.9538,0.094227,0.282497,6.294818,167,0.035847,1409.0194,0.007936,0
15,0.64,1111.93,1374.9471,1910.16,-6.9494688936,0.72105,0.27977,48.6194,3.4614,21.0204,0.0922,0.27659,6.784922,161,0.042387,1368.1728,0.007813,0
16,0.6827,1111.34,1382.6864,1898.44,-6.7267351967,0.707309,0.283189,50.5137,3.036,13.9248,0.091321,0.268716,7.169871,161,0.035022,1222.2784,0.00818,0
17,0.7253,1087.66,1344.4779,1851.56,-6.6515880809,0.723944,0.285856,50.0528,2.9921,13.3939,0.090642,0.262953,7.411242,135,0.035828,1196.4492,0.007936,0
18,0.768,1082.16,1317.0672,1851.56,-6.5520792576,0.746155,0.293027,49.5208,2.9531,13.659,0.088849,0.260939,7.216668,155,0.034149,1075.0341,0.007203,0
19,0.8107,1033.72,1251.2441,1792.97,-6.7232954853,0.729322,0.287165,49.0819,2.9024,14.0116,0.090311,0.254344,7.573266,160,0.03015,1200.5966,0.006715,0
20,0.8533,1027.11,1232.6282,1816.41,-6.4345999522,0.746355,0.295503,50.2173,2.6268,10.3726,0.08824,0.245973,7.251318,162,0.027829,982.9627,0.006471,0
21,0.896,1013.36,1221.66,1746.09,-6.5230791162,0.758392,0.293266,50.0309,2.5573,9.2344,0.08879,0.247093,7.968843,151,0.025769,1041.4415,0.006715,0
