frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
1,0.0427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
2,0.0853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
3,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
4,0.1707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
5,0.2133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
6,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
7,0.2987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
8,0.3413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
9,0.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
10,0.4267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
11,0.4693,783.82,1487.5163,2203.12,-3.85496401,0.814628,0.335407,80.3251,6.878,96.0359,0.079071,0.129084,14.84904,148,0.0,420.622,0.004029,0
12,0.512,670.75,949.679,1593.75,-5.6652342042,0.727908,0.340866,58.3063,1.8146,2.8262,0.077903,0.152911,12.180036,145,0.012666,346.7769,0.002075,0
13,0.5547,872.15,1051.0517,1839.84,-6.198442411,0.626411,0.331887,52.0496,1.8499,4.22,0.079835,0.193145,12.902934,136,0.033949,681.1284,0.003052,0
14,0.5973,1364.57,1655.1382,2472.66,-6.2600584455,0.63156,0.318152,61.5614,2.3024,6.3761,0.082894,0.239195,10.184439,147,0.063683,1212.0681,0.007691,0
15,0.64,1145.33,1330.6281,2250.0,-6.3182414041,0.720373,0.319257,53.241,2.3374,7.8881,0.082643,0.228819,11.571597,157,0.053685,1107.8211,0.007447,0
16,0.6827,985.44,1163.8451,1992.19,-6.0737727717,0.728196,0.333375,55.1546,2.4002,9.1792,0.079511,0.184903,12.171838,140,0.048953,967.054,0.005005,0
17,0.7253,862.85,1036.5701,1851.56,-5.5148519375,0.706968,0.345277,54.6327,2.031,6.4755,0.076972,0.167266,11.876647,148,0.045063,746.2666,0.004761,0
18,0.768,768.07,923.9104,1687.5,-5.2517154122,0.71788,0.356284,54.0728,1.8139,5.2938,0.074701,0.150486,13.611056,149,0.034098,617.1632,0.004029,0
19,0.8107,656.73,794.0964,1406.25,-4.9381739038,0.772154,0.33236,52.0788,1.4857,1.9442,0.079732,0.147076,13.00823,140,0.038088,449.333,0.00354,0
20,0.8533,627.01,730.4682,1207.03,-4.5300694918,0.94306,0.317518,49.1003,1.4842,2.3941,0.083039,0.151212,14.18021,172,0.033742,465.3041,0.003785,0
21,0.896,632.64,707.2516,1183.59,-4.2672545048,1.097337,0.298357,47.1924,1.3556,1.7643,0.087544,0.162664,12.937451,162,0.035484,364.0146,0.004029,0
22,0.9387,694.47,720.5781,1371.09,-4.1915574891,1.207591,0.301909,43.8354,1.3097,1.8886,0.086687,0.178783,11.176277,180,0.042151,444.7198,0.003785,0
23,0.9813,871.85,899.2685,1640.62,-4.2926297376,1.263218,0.28712,44.2168,1.9899,7.6931,0.090323,0.224232,7.110942,157,0.077729,543.3012,0.005005,0
