frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,1924.16,3491.4653,3082.03,-6.8944427583,0.377262,0.243999,61.2883,3.6632,17.841,0.102102,0.442183,-1.26044,133,0.0,1244.5344,0.012575,0
1,0.0427,2146.22,3368.912,3761.72,-6.7374066658,0.427874,0.285934,66.1141,3.1153,13.9014,0.090622,0.374077,3.654926,156,0.008211,1317.0399,0.013551,0
2,0.0853,918.49,1058.3682,1828.12,-7.7482610496,0.639615,0.304989,36.7386,2.3341,9.7602,0.085953,0.309358,4.421911,144,0.024459,626.1298,0.008058,0
3,0.128,1277.1,1594.4625,2132.81,-7.6528735903,0.742168,0.250482,37.3389,2.7621,8.9155,0.100204,0.415391,4.3573,127,0.066481,747.4069,0.009156,0
4,0.1707,1456.34,1827.8826,2542.97,-7.303306198,0.77222,0.262256,41.2148,2.6578,7.9891,0.096879,0.417452,3.337502,132,0.095718,942.5225,0.011354,0
5,0.2133,1483.89,1923.0924,2613.28,-7.2305361619,0.779376,0.250593,40.196,2.8161,9.3936,0.100172,0.415168,7.313035,158,0.061802,1319.4792,0.010499,0
6,0.256,1442.27,1854.6061,2589.84,-7.048852726,0.748355,0.269448,44.4566,2.6351,7.7415,0.094921,0.37973,4.954567,156,0.059052,1346.0604,0.009645,0
7,0.2987,1381.71,1795.8095,2496.09,-6.9327054586,0.789938,0.267374,47.2605,2.7162,8.4366,0.09548,0.35783,4.766523,134,0.054564,1369.8811,0.009767,0
8,0.3413,1350.3,1728.242,2390.62,-6.7816204852,0.794958,0.271725,48.7602,2.6651,8.0673,0.094312,0.34122,7.374237,154,0.051235,1238.7699,0.010133,0
9,0.384,1324.14,1697.351,2296.88,-6.7196489324,0.800848,0.276544,49.4908,2.7647,9.6585,0.093039,0.32983,7.879331,145,0.053936,1248.5882,0.010621,0
10,0.4267,1280.35,1678.0248,2156.25,-6.670463722,0.795028,0.273956,52.5033,2.7159,8.5316,0.09372,0.306838,8.933497,164,0.039011,1419.2036,0.010621,0
11,0.4693,1254.5,1645.8693,1992.19,-6.6961687314,0.802851,0.27158,53.3573,2.7267,8.5076,0.09435,0.298385,8.744951,156,0.03817,1355.1426,0.010011,0
12,0.512,1245.12,1634.3497,1945.31,-6.4430590007,0.80318,0.269929,54.3548,2.7481,8.6458,0.094792,0.290229,8.408738,160,0.033537,1383.8288,0.009156,0
13,0.5547,1216.95,1601.4443,1933.59,-6.3866689767,0.794141,0.276615,54.9486,2.7619,9.0127,0.093021,0.27664,8.963269,152,0.031296,1393.5554,0.009278,0
14,0.5973,1190.58,1550.7994,1898.44,-6.482535867,0.805257,0.276878,54.2889,2.7079,8.6461,0.092952,0.276756,9.962185,158,0.027526,1452.6103,0.008912,0
15,0.64,1181.72,1534.3152,1863.28,-6.5787529429,0.801956,0.274317,55.6763,2.6881,8.5218,0.093625,0.267539,9.574188,156,0.035941,1294.0671,0.008912,0
16,0.6827,1159.44,1480.6132,1839.84,-6.6134883768,0.803733,0.282011,53.4769,2.7256,9.028,0.091622,0.263207,9.683539,163,0.043723,1243.7918,0.009401,0
17,0.7253,1132.7,1453.2783,1781.25,-6.5873200583,0.794245,0.280343,54.9456,2.7242,9.0313,0.092052,0.257531,8.967199,158,0.034221,1208.6186,0.009156,0
18,0.768,1112.07,1426.1542,1769.53,-6.7299116416,0.768618,0.287205,54.5303,2.7266,9.1413,0.090301,0.249393,9.301332,153,0.044222,1358.9961,0.00879,0
19,0.8107,1108.62,1404.1219,1828.12,-6.6695414305,0.76643,0.292013,54.8292,2.7185,9.4513,0.0891,0.245206,9.049893,152,0.047073,1294.7997,0.008912,0
20,0.8533,1084.16,1380.9388,1828.12,-6.5139827961,0.751916,0.290718,54.7417,2.708,9.3215,0.089421,0.241026,8.922502,147,0.035026,1310.1666,0.008546,0
21,0.896,1065.25,1368.5818,1816.41,-6.6521913426,0.730507,0.289934,55.3656,2.7319,9.5766,0.089617,0.234307,8.906524,155,0.033332,1331.2263,0.008668,0
