frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
1,0.0427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
2,0.0853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
3,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
4,0.1707,2626.07,3784.246,5578.12,-6.7376537063,0.308729,0.328414,67.2729,2.3514,6.0342,0.080596,0.384402,-9.705449,143,0.0,1157.384,0.013796,0
5,0.2133,1100.76,1564.4724,2179.69,-6.8579958366,0.469223,0.312057,54.8262,2.9965,16.0332,0.084294,0.263616,6.890115,139,0.012368,866.7389,0.010133,0
6,0.256,1502.08,1852.9634,2671.88,-7.456813013,0.601853,0.281406,47.1508,2.6392,9.334,0.091778,0.358081,5.247677,171,0.053123,1228.4782,0.013185,0
7,0.2987,1705.58,2132.871,2988.28,-7.2416827345,0.488439,0.281402,45.4778,2.9303,12.5245,0.091779,0.398662,4.577262,152,0.068357,1513.3708,0.017214,0
8,0.3413,1747.33,2557.8663,2941.41,-6.9783129956,0.488156,0.261146,55.0234,3.6345,17.2228,0.097186,0.373267,6.181525,148,0.065391,2116.2969,0.015993,0
9,0.384,1719.45,2156.757,3117.19,-7.3575585855,0.600858,0.256843,47.1239,3.3997,16.8467,0.098389,0.398208,5.010505,124,0.077025,1891.4372,0.014528,0
10,0.4267,1638.27,1861.0936,3128.91,-7.2869578884,0.690595,0.268953,44.016,2.9154,13.4075,0.095054,0.376923,7.399735,164,0.055781,1599.4696,0.014284,0
11,0.4693,1613.62,1757.7265,3128.91,-7.3049254173,0.726406,0.284219,43.9167,2.6069,10.7391,0.091058,0.36222,7.660129,175,0.048101,1575.2628,0.012331,0
12,0.512,1530.08,1662.0657,2976.56,-7.0193706974,0.724917,0.288601,44.998,2.4707,9.4694,0.08995,0.336411,8.618169,148,0.042559,1501.1285,0.012086,0
13,0.5547,1497.65,1620.7156,2953.12,-7.0326614381,0.74354,0.290656,44.5305,2.4931,9.9462,0.089437,0.331716,8.199929,154,0.039618,1500.9538,0.012209,0
14,0.5973,1389.31,1531.4616,2800.78,-6.8767860116,0.690157,0.308289,47.1888,2.2577,7.3601,0.085174,0.29357,9.876979,175,0.041552,1388.8561,0.010377,0
15,0.64,1334.82,1510.7425,2718.75,-6.5286010925,0.648041,0.313926,49.5255,2.2982,7.7519,0.083862,0.278861,10.73063,147,0.036239,1407.1075,0.009156,0
16,0.6827,1371.45,1561.6429,2812.5,-6.5289597789,0.64687,0.311408,51.8323,2.2851,7.5022,0.084445,0.270381,10.795979,165,0.02918,1280.2515,0.008424,0
17,0.7253,1368.93,1579.8845,2824.22,-6.4738493706,0.648391,0.313321,52.7079,2.2628,7.1194,0.084002,0.266048,10.256697,138,0.022966,1320.985,0.008668,0
18,0.768,1369.66,1535.8377,2824.22,-6.5490596362,0.669431,0.320241,51.5141,2.2187,7.1131,0.082421,0.265501,10.610639,171,0.026087,1409.7631,0.007936,0
19,0.8107,1351.86,1556.7227,2800.78,-6.4473943029,0.649864,0.310377,53.0721,2.28,7.356,0.084685,0.261715,10.642368,159,0.024605,1384.1806,0.007936,0
20,0.8533,1347.27,1547.6551,2800.78,-6.4610853129,0.64352,0.311938,53.9284,2.2286,6.9608,0.084322,0.257439,10.634816,161,0.021007,1364.6345,0.007447,0
21,0.896,1332.15,1511.8514,2777.34,-6.4343935982,0.656439,0.315947,53.1155,2.2275,7.2052,0.083398,0.258559,10.340575,174,0.022312,1227.5555,0.007447,0
