frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
1,0.0427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
2,0.0853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
3,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
4,0.1707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
5,0.2133,786.86,1228.971,2156.25,-4.4396320421,0.751757,0.350042,74.2773,1.7417,2.1455,0.07598,0.14509,14.977438,163,0.0,447.9024,0.001709,0
6,0.256,1102.98,1118.4211,2390.62,-5.3318390419,0.932557,0.440773,38.1084,1.063,0.4616,0.059297,0.246284,8.513399,131,0.021021,341.8151,0.004639,0
7,0.2987,1187.62,1127.8278,2238.28,-7.1173097491,0.745215,0.313297,29.3209,1.9772,8.0793,0.084007,0.359454,7.002384,123,0.042172,632.3696,0.010377,0
8,0.3413,1242.16,1272.9478,2250.0,-7.4456159544,0.728472,0.278034,33.3373,2.5019,10.9066,0.09265,0.365077,6.586552,133,0.040237,811.4607,0.012697,0
9,0.384,1087.28,1088.7518,2132.81,-7.207582673,0.763874,0.302497,31.2877,2.3566,11.0098,0.086546,0.337292,7.217255,139,0.035215,769.3866,0.012453,0
10,0.4267,1020.68,1014.3536,2039.06,-6.906008779,0.784882,0.306211,30.8873,2.2556,10.552,0.085663,0.328818,6.956121,145,0.031216,808.3924,0.011598,0
11,0.4693,955.37,910.8911,1792.97,-6.7655614498,0.863322,0.287681,28.8917,2.182,9.5685,0.090181,0.338552,5.604513,128,0.040514,698.2786,0.010621,0
12,0.512,952.58,836.0178,1652.34,-6.6521097094,1.043475,0.290904,25.5333,1.9034,7.0495,0.089375,0.360457,3.634494,143,0.042949,442.6227,0.010988,0
13,0.5547,935.52,814.171,1593.75,-6.3506806244,1.141737,0.30301,27.122,1.6735,4.4298,0.086424,0.335051,6.115021,148,0.040461,444.2126,0.010377,0
14,0.5973,1011.32,918.8085,1910.16,-5.6515487765,1.2163,0.330537,30.2784,1.5754,3.3173,0.08013,0.317257,6.037736,151,0.052917,517.2727,0.010133,0
15,0.64,1105.47,924.7618,1968.75,-5.7751935332,1.346826,0.283311,26.9259,2.0947,10.001,0.091289,0.360451,3.735593,148,0.066922,685.8372,0.012453,0
16,0.6827,1109.09,929.8418,2027.34,-5.1468203021,1.517247,0.308931,27.7792,1.5563,4.0074,0.085023,0.341562,6.717191,156,0.055139,497.7258,0.013185,0
17,0.7253,1016.51,867.8335,1757.81,-4.9453904859,1.60732,0.297625,30.1382,1.5044,2.9942,0.087722,0.315729,9.061148,154,0.046768,452.2071,0.012209,0
18,0.768,1116.54,957.5052,2074.22,-4.6236524345,1.611373,0.313171,28.3395,1.5913,3.7604,0.084036,0.341898,6.39755,144,0.050971,491.6922,0.012941,0
19,0.8107,1198.87,1032.1236,2214.84,-4.850409055,1.613171,0.304106,27.8344,1.8132,5.8772,0.086162,0.352995,5.797557,132,0.047501,538.5317,0.014528,0
20,0.8533,1174.78,1044.3726,2167.97,-5.1119686303,1.496916,0.295561,30.8173,2.03,8.0194,0.088226,0.3342,8.135926,156,0.060536,714.9348,0.013918,0
21,0.896,1089.5,956.5121,2015.62,-4.6000083804,1.455084,0.333033,35.1962,1.3102,2.8271,0.079585,0.281296,10.56629,146,0.065786,528.9608,0.011354,0
22,0.9387,997.37,933.6463,1910.16,-4.6044871966,1.353277,0.353795,40.8536,1.1956,1.4524,0.075208,0.227115,6.780527,161,0.070008,510.7671,0.008912,0
