frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
1,0.0427,2122.53,3254.425,4675.78,-6.8100031271,0.389516,0.303465,63.8157,2.6923,8.7417,0.086315,0.378568,-22.950319,111,0.0,914.2041,0.013796,0
2,0.0853,1592.44,2474.0304,3234.38,-6.8931180006,0.335408,0.280692,55.2902,2.8306,10.9155,0.091962,0.327818,-9.470768,163,0.00794,1102.9192,0.015505,0
3,0.128,1065.6,1187.2726,2144.53,-7.171681749,0.668574,0.324255,39.3005,1.8797,5.6973,0.081519,0.288269,7.565133,147,0.021816,675.7107,0.00879,0
4,0.1707,1507.22,1740.0674,2589.84,-7.3040910776,0.545248,0.290179,37.7651,2.3058,6.2942,0.089556,0.403472,6.195308,128,0.061389,760.2936,0.012819,0
5,0.2133,1760.66,2035.1605,3128.91,-6.7516251751,0.468917,0.312965,41.1564,2.1775,5.1524,0.084084,0.41397,7.805171,131,0.062707,1010.429,0.015139,0
6,0.256,1724.56,2068.6112,3152.34,-6.7308935247,0.414976,0.315445,47.4346,2.1671,5.1028,0.083513,0.368704,7.765283,139,0.052192,1119.12,0.014772,0
7,0.2987,1677.3,2042.5671,3093.75,-6.6970239325,0.43592,0.311407,49.4226,2.1967,5.1799,0.084445,0.36243,8.037284,139,0.039254,1283.0891,0.011232,0
8,0.3413,1607.95,1984.7632,3035.16,-6.6882166188,0.464452,0.305616,51.7043,2.2685,5.6672,0.085804,0.336186,8.032434,171,0.039543,1339.541,0.010377,0
9,0.384,1576.61,1951.2683,3035.16,-6.6552629235,0.486626,0.30412,53.462,2.3003,5.8407,0.086159,0.325932,7.702041,144,0.038479,1176.1389,0.011842,0
10,0.4267,1517.73,1875.5909,2964.84,-6.6840173372,0.501815,0.29875,52.7371,2.4022,6.6555,0.087449,0.320542,7.88732,170,0.034278,1387.1757,0.009889,0
11,0.4693,1481.05,1818.0519,2941.41,-6.6089058195,0.501274,0.305181,53.4179,2.3338,6.2348,0.085907,0.305535,8.141349,171,0.029807,1366.6954,0.008912,0
12,0.512,1465.22,1805.6275,2953.12,-6.5110770365,0.48781,0.306138,55.7981,2.3145,6.1516,0.08568,0.288544,8.862667,161,0.032556,1441.6158,0.008912,0
13,0.5547,1447.53,1764.0534,2941.41,-6.5351412525,0.514162,0.304959,55.3427,2.2897,6.1335,0.08596,0.286543,8.72216,143,0.022679,1306.1396,0.008546,0
14,0.5973,1440.22,1731.5074,2906.25,-6.5274841571,0.525255,0.306578,55.5374,2.2817,6.183,0.085576,0.282306,8.477571,157,0.022186,1265.9578,0.007691,0
15,0.64,1418.57,1698.7923,2882.81,-6.4796774014,0.528679,0.308659,55.5433,2.2602,6.1371,0.085087,0.276699,8.556894,151,0.022895,1397.0449,0.00818,0
16,0.6827,1390.72,1657.4913,2812.5,-6.433370093,0.533213,0.317798,54.9369,2.2689,6.2905,0.082975,0.268689,9.309075,146,0.023993,1410.0293,0.007691,0
17,0.7253,1384.63,1644.4579,2824.22,-6.516449836,0.54182,0.313102,56.4153,2.2101,5.9025,0.084052,0.26683,8.945394,137,0.022705,1242.5532,0.007447,0
18,0.768,1411.67,1666.944,2835.94,-6.5088800226,0.55536,0.315595,55.8431,2.2379,6.1768,0.083478,0.267671,8.683907,143,0.025171,1343.7743,0.007691,0
19,0.8107,1423.45,1672.6578,2871.09,-6.4434045841,0.549962,0.315407,56.4283,2.245,6.245,0.083521,0.270992,8.867384,147,0.025211,1402.0622,0.007691,0
20,0.8533,1414.07,1686.8318,2882.81,-6.4399434243,0.544464,0.312262,57.694,2.237,6.1567,0.084247,0.261975,9.25618,153,0.025203,1392.8041,0.007691,0
21,0.896,1431.57,1693.4137,2917.97,-6.5107347246,0.550055,0.314278,57.7875,2.2084,5.9375,0.083781,0.265905,8.884188,138,0.021942,1189.8627,0.006959,0
22,0.9387,1404.91,1663.9351,2882.81,-6.4605126774,0.546647,0.319028,57.2238,2.1995,5.9563,0.082695,0.262879,9.015212,161,0.019914,1340.6001,0.007569,0
23,0.9813,1413.07,1644.9375,2859.38,-6.3518037822,0.574166,0.314809,54.6272,2.2359,6.3705,0.083659,0.267232,8.67958,147,0.033767,1435.6562,0.00818,0
24,1.024,1416.81,1635.3373,2824.22,-6.47996993,0.592349,0.314122,52.7218,2.3126,7.0184,0.083817,0.276415,8.111198,161,0.027615,1338.2865,0.009278,0
25,1.0667,1407.75,1591.4374,2789.06,-6.5227411429,0.601632,0.313913,51.9467,2.2733,6.82,0.083865,0.279448,8.144719,156,0.023591,1339.9398,0.009889,0
26,1.1093,1404.65,1582.8378,2742.19,-6.5055516426,0.601605,0.312806,51.8847,2.2354,6.5361,0.084121,0.281571,8.287372,151,0.02006,1288.4917,0.009645,0
27,1.152,1395.35,1587.155,2742.19,-6.3879916699,0.607089,0.309617,51.9274,2.2672,6.7795,0.084863,0.275024,8.241522,152,0.022674,1425.0343,0.009401,0
28,1.1947,1397.81,1598.6112,2824.22,-6.4669851462,0.598961,0.310585,52.8909,2.2609,6.688,0.084637,0.277243,8.619217,148,0.02222,1326.0013,0.009278,0
29,1.2373,1415.52,1641.7656,2835.94,-6.5617876384,0.594382,0.304727,55.4016,2.3009,6.8035,0.086015,0.274742,8.755552,150,0.025821,1375.8458,0.008424,0
30,1.28,1392.33,1616.2406,2730.47,-6.5764301178,0.606543,0.3019,53.2084,2.3849,7.4876,0.086689,0.277234,8.41844,142,0.031179,1491.0817,0.009645,0
31,1.3227,1425.52,1634.9922,2847.66,-6.4762517551,0.591252,0.309237,54.1317,2.2453,6.3883,0.084951,0.275748,8.575343,126,0.033256,1191.3972,0.008668,0
32,1.3653,1419.87,1656.6247,2824.22,-6.6441478964,0.592689,0.297589,56.2286,2.3666,7.2585,0.087731,0.275994,8.757091,152,0.028806,1324.9636,0.007936,0
33,1.408,1400.15,1635.396,2765.62,-6.6512451206,0.597302,0.301027,54.808,2.382,7.4127,0.086899,0.27487,8.431517,151,0.022358,1466.4366,0.00818,0
34,1.4507,1392.64,1618.0915,2742.19,-6.484045728,0.602428,0.305599,53.476,2.3967,7.6241,0.085808,0.274608,8.78015,137,0.021614,1580.0474,0.009156,0
35,1.4933,1417.45,1643.4041,2777.34,-6.6745665553,0.613385,0.298853,54.0964,2.409,7.6809,0.087424,0.280337,8.445254,156,0.02095,1522.276,0.009645,0
36,1.536,1421.25,1624.144,2789.06,-6.5887391371,0.619149,0.302506,52.9371,2.367,7.3748,0.086544,0.282441,8.515509,126,0.02289,1428.1565,0.007936,0
37,1.5787,1416.59,1631.2896,2812.5,-6.5585421703,0.628427,0.306971,52.5244,2.3791,7.5268,0.085484,0.281517,8.315563,135,0.02082,1575.1649,0.00818,0
38,1.6213,1432.33,1626.08,2847.66,-6.4968146407,0.633403,0.307705,52.8971,2.3057,7.0603,0.085311,0.280871,8.867067,138,0.023126,1582.078,0.009156,0
39,1.664,1414.64,1626.4466,2824.22,-6.5528601539,0.632281,0.30175,52.6378,2.3331,7.1784,0.086725,0.280457,8.073911,153,0.022277,1438.2983,0.009645,0
40,1.7067,1405.0,1620.5621,2812.5,-6.5810357978,0.624558,0.300951,54.1361,2.358,7.3987,0.086917,0.274554,8.589935,146,0.023987,1425.115,0.007936,0
41,1.7493,1380.76,1592.9096,2777.34,-6.5828186561,0.613566,0.3056,53.3448,2.3478,7.4624,0.085808,0.275107,8.864949,167,0.023742,1563.1371,0.007813,0
42,1.792,1375.29,1607.5717,2753.91,-6.492228005,0.585771,0.303713,55.1726,2.3045,6.9508,0.086256,0.263765,8.833447,149,0.030127,1431.6966,0.009401,0
43,1.8347,1361.73,1621.8992,2730.47,-6.6341281525,0.574019,0.300382,55.8821,2.4248,7.7221,0.087054,0.265869,8.813432,132,0.020999,1443.4577,0.009645,0
44,1.8773,1348.52,1571.7555,2718.75,-6.5836115312,0.58034,0.305476,53.8002,2.3185,7.0108,0.085837,0.266463,9.270974,148,0.023976,1402.66,0.007936,0
45,1.92,1368.37,1615.0366,2753.91,-6.3802089405,0.583156,0.306918,54.487,2.3461,7.1147,0.085496,0.269057,9.34496,161,0.024387,1531.4716,0.008668,0
46,1.9627,1383.94,1597.3361,2824.22,-6.300303751,0.591326,0.313959,53.411,2.1861,6.1034,0.083855,0.267728,9.359496,152,0.027818,1329.4355,0.009401,0
47,2.0053,1386.07,1609.1031,2824.22,-6.2764834781,0.582863,0.316189,53.8061,2.221,6.2998,0.083342,0.270475,9.284457,145,0.024258,1378.6387,0.008912,0
48,2.048,1364.16,1585.7355,2812.5,-6.3769761864,0.578409,0.317015,53.839,2.179,6.0028,0.083153,0.263205,9.194427,152,0.022197,1283.7268,0.007936,0
49,2.0907,1340.49,1570.6101,2753.91,-6.3058064538,0.573158,0.314304,54.3022,2.2375,6.5367,0.083775,0.259516,9.416718,165,0.019527,1491.229,0.007936,0
50,2.1333,1357.11,1570.9504,2789.06,-6.4027139408,0.577362,0.315812,54.5618,2.1724,6.0841,0.083429,0.261918,9.424732,152,0.023564,1336.7505,0.008424,0
51,2.176,1373.92,1613.9542,2812.5,-6.4555406154,0.570832,0.311714,55.7882,2.2439,6.4044,0.084374,0.260004,9.342347,148,0.021891,1250.722,0.007691,0
52,2.2187,1334.61,1569.0299,2730.47,-6.4261394507,0.563548,0.313428,55.1041,2.2246,6.2946,0.083977,0.257177,9.311975,154,0.024218,1271.9829,0.007569,0
53,2.2613,1336.66,1562.6207,2753.91,-6.289055277,0.571733,0.321464,53.7116,2.2291,6.4675,0.082145,0.258384,9.765126,144,0.022687,1389.2066,0.00818,0
54,2.304,1333.28,1590.7728,2718.75,-6.4973138717,0.557688,0.303641,57.6581,2.2949,6.7653,0.086273,0.256519,9.418985,149,0.029263,1387.7562,0.007325,0
55,2.3467,1307.48,1570.5393,2695.31,-6.5263877505,0.544367,0.309276,56.1367,2.3119,6.9089,0.084942,0.246957,9.403893,145,0.027387,1401.2997,0.005738,0
56,2.3893,1291.93,1555.541,2660.16,-6.3631913533,0.530688,0.314975,56.9655,2.2579,6.4612,0.083621,0.246459,9.627067,169,0.026344,1382.1907,0.006471,0
57,2.432,1313.67,1615.2047,2707.03,-6.2391637712,0.506361,0.318559,59.4472,2.2933,6.6369,0.082802,0.237852,9.984249,153,0.028191,1464.2569,0.007447,0
58,2.4747,1261.71,1568.2623,2636.72,-6.358303562,0.495412,0.307953,59.1391,2.3513,6.9459,0.085253,0.237081,9.356064,154,0.025798,1284.0616,0.007569,0
59,2.5173,1297.11,1558.1085,2683.59,-6.4890642098,0.511023,0.318274,58.0445,2.2066,6.0015,0.082866,0.240738,9.609792,152,0.027397,1151.3076,0.006226,0
60,2.56,1327.52,1577.5134,2742.19,-6.3953553807,0.524922,0.322037,58.0791,2.0842,5.1629,0.082016,0.243639,9.975056,144,0.033751,1301.9034,0.007936,0
61,2.6027,1333.99,1582.0884,2753.91,-6.4011321162,0.575192,0.317582,58.1284,2.1272,5.4967,0.083024,0.246489,9.875494,176,0.047856,1304.6101,0.008668,0
62,2.6453,1373.86,1596.1432,2871.09,-6.215033993,0.656799,0.321519,56.7529,2.0587,5.1019,0.082132,0.257913,8.066712,141,0.054457,1137.0727,0.006715,0
63,2.688,1445.22,1645.5954,2941.41,-6.2973681884,0.669742,0.325079,59.6314,2.0041,4.8471,0.081335,0.256132,8.674756,157,0.046362,1102.4602,0.005982,0
64,2.7307,1385.25,1567.8588,2730.47,-6.1416643623,0.572626,0.340758,56.3251,1.9704,4.9034,0.077926,0.237166,10.104832,164,0.058058,1231.1209,0.005738,0
65,2.7733,1176.75,1358.1381,2390.62,-6.3325733642,0.516277,0.346247,56.2952,2.0359,5.8039,0.076769,0.206561,11.24728,168,0.067822,1125.5337,0.004761,0
66,2.816,986.52,1108.5828,2191.41,-5.6939027838,0.598555,0.371372,53.5547,1.4646,2.6217,0.071699,0.176055,13.294876,171,0.050385,710.0592,0.00354,0
67,2.8587,905.26,1063.3407,2226.56,-4.6585636086,0.640667,0.415823,56.0233,1.1672,0.5862,0.063515,0.15143,13.966508,134,0.042865,443.1287,0.00232,0
68,2.9013,683.33,924.081,1710.94,-4.7839043024,0.614494,0.35894,61.1204,1.5117,1.577,0.074163,0.133895,14.975666,194,0.030808,430.5615,0.001099,0
69,2.944,538.56,830.9722,1500.0,-4.4492096024,0.644124,0.322569,65.4833,1.7874,2.4619,0.081896,0.118947,16.87215,166,0.025578,469.5746,0.000855,0
70,2.9867,403.52,721.7001,1054.69,-4.3445530117,0.642528,0.271589,69.1027,2.1139,3.7535,0.094348,0.110315,17.179303,164,0.016811,394.8836,0.00061,0
71,3.0293,274.49,590.3157,539.06,-4.3291077212,0.642344,0.205048,67.0303,2.7579,7.2239,0.114691,0.108201,15.984428,148,0.011685,442.4849,0.00061,0
72,3.072,159.16,427.2284,70.31,-4.924324539,0.591644,0.138444,52.4465,3.823,14.7081,0.143121,0.114227,14.590761,150,0.009328,469.0166,0.00061,0
73,3.1147,141.06,389.3871,105.47,-6.8963429495,0.597461,0.115929,34.1544,4.6031,21.8026,0.155968,0.22354,-77.726059,6,0.021159,136.0251,0.000366,0
74,3.1573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
75,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
76,3.2427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
77,3.2853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
78,3.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
79,3.3707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
80,3.4133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
81,3.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
82,3.4987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
