frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
1,0.0427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
2,0.0853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
3,0.128,798.89,1415.0266,1628.91,-4.170205177,1.439692,0.253374,51.7598,7.4298,106.7202,0.099373,0.260328,14.345183,169,0.0,459.168,0.006471,0
4,0.1707,630.55,854.3679,1042.97,-4.8584111224,1.644638,0.162264,40.0329,5.3497,85.7888,0.13163,0.281528,20.495135,160,0.013027,659.4248,0.008424,0
5,0.2133,642.54,716.6316,1042.97,-4.3582317374,1.631956,0.156442,37.8274,2.8472,10.4512,0.134274,0.271089,21.825753,174,0.010629,630.2379,0.009278,0
6,0.256,689.62,691.136,1136.72,-4.1666948446,1.703303,0.158248,39.8623,2.7154,10.1551,0.133444,0.255867,23.378012,165,0.009223,677.4019,0.009278,0
7,0.2987,752.73,745.0095,1230.47,-3.9734928179,1.792063,0.166062,37.0751,2.5157,8.0901,0.129955,0.254047,24.338461,182,0.007159,646.5201,0.010255,0
8,0.3413,789.11,769.5163,1335.94,-3.8132132337,1.883089,0.173064,34.8572,2.3677,6.9967,0.126965,0.260603,24.115161,184,0.006298,668.7018,0.010743,0
9,0.384,850.93,808.2571,1347.66,-3.7655777534,1.928808,0.178658,36.5654,2.2646,6.0929,0.124663,0.268363,23.689105,182,0.00749,557.2227,0.012697,0
10,0.4267,887.7,824.6901,1617.19,-3.4250659585,1.977563,0.17645,35.8895,2.1185,4.9941,0.125563,0.272288,23.539058,187,0.008386,669.6962,0.012819,0
11,0.4693,870.97,804.473,1382.81,-3.5991907271,1.924118,0.174286,32.9328,2.0904,5.1457,0.126456,0.28846,22.497142,162,0.008893,675.6359,0.01172,0
12,0.512,894.52,845.2341,1628.91,-4.0257941322,1.899375,0.170703,33.2237,2.0818,5.2899,0.12796,0.298623,22.996936,189,0.009925,664.8334,0.013307,0
13,0.5547,931.81,889.3118,1628.91,-3.7864774324,1.896451,0.175325,31.6947,2.0926,5.2728,0.126026,0.308504,21.996157,163,0.009819,614.4896,0.014284,0
14,0.5973,951.55,877.4643,1640.62,-4.1504453604,1.968864,0.178064,29.4557,2.0983,5.485,0.124904,0.310414,19.74074,178,0.010487,680.2466,0.013674,0
15,0.64,1117.28,859.0862,1769.53,-4.6370047386,1.963632,0.213849,21.9931,1.7926,3.8824,0.111649,0.398126,1.972854,169,0.056673,500.6842,0.014894,0
16,0.6827,1364.26,954.0025,2296.88,-2.8792505496,2.291045,0.259684,27.5429,1.5441,2.0984,0.097593,0.33747,7.072627,168,0.136921,584.1157,0.018435,0
17,0.7253,1486.71,981.0506,2460.94,-2.238963263,2.364933,0.264327,27.7768,1.4291,1.7691,0.09631,0.328373,11.051135,157,0.127364,562.4737,0.022464,0
18,0.768,1504.89,1034.9645,2707.03,-2.1270387672,2.303376,0.244545,32.5588,1.383,1.3617,0.10194,0.300644,11.963995,178,0.154348,647.9411,0.02222,0
19,0.8107,1547.13,1042.6345,2707.03,-2.3877660817,2.305115,0.270782,29.1803,1.5919,4.9404,0.094563,0.330874,9.833212,161,0.114717,607.2111,0.02283,0
20,0.8533,1495.75,966.5105,2542.97,-2.9190964548,1.996028,0.275365,23.9194,1.302,3.0329,0.093348,0.38894,5.2818,166,0.128393,556.4037,0.024173,0
21,0.896,1383.62,952.2823,2378.91,-2.7704136621,2.206207,0.251832,30.1282,1.4427,1.7826,0.099815,0.311909,11.623124,150,0.133931,589.2061,0.020022,0
22,0.9387,1448.57,969.7012,2472.66,-2.6199585813,2.360634,0.263667,29.015,1.3433,1.5404,0.096491,0.340663,10.910615,156,0.128987,520.5261,0.019289,0
