frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,8163.11,7393.9462,17542.97,-5.7818513022,0.300033,0.47649,24.9023,0.8469,-0.1521,0.053658,0.682015,-6.351015,161,0.0,2453.4842,0.114638,0
1,0.0427,8370.48,7478.5488,17554.69,-6.0998466651,0.218794,0.453283,22.1999,0.7946,-0.2146,0.057272,0.70441,-4.112847,165,0.622965,2739.3154,0.118301,0
2,0.0853,8178.55,7503.9816,17613.28,-6.5298827025,0.255951,0.416118,19.5844,0.8925,0.0047,0.063464,0.707796,-2.005135,176,0.650153,2659.8779,0.119033,0
3,0.128,8093.74,7414.7488,17554.69,-5.7054757686,0.23563,0.479703,25.1931,0.8423,-0.2167,0.053171,0.68547,-1.306896,174,0.647235,2465.7769,0.116591,0
4,0.1707,8043.54,7487.3924,17542.97,-6.1225386057,0.359333,0.447472,22.205,0.8616,-0.1432,0.058206,0.688363,-5.963092,156,0.629166,2479.1719,0.113417,0
5,0.2133,7996.99,7437.0982,17578.12,-5.6284416471,0.337201,0.477962,26.7785,0.8522,-0.2283,0.053434,0.676928,-2.840289,151,0.645529,2390.3334,0.112929,0
6,0.256,7822.53,7338.9199,17144.53,-5.9028842781,0.346423,0.461668,23.7644,0.8828,-0.1697,0.055945,0.689432,-3.107254,148,0.655519,2534.6919,0.11415,0
7,0.2987,7858.33,7292.6972,17132.81,-5.431375963,0.179432,0.497093,28.5548,0.8584,-0.2275,0.050594,0.657357,-5.063477,168,0.681361,2254.5577,0.108778,0
8,0.3413,8044.31,7325.0252,17179.69,-6.0268370153,0.187751,0.457984,23.2378,0.9062,0.0111,0.056525,0.704863,-1.689153,188,0.653688,2648.7585,0.115126,0
9,0.384,8116.47,7441.7764,17437.5,-6.7382516968,0.290309,0.404956,17.6676,0.9234,0.1404,0.065432,0.716072,-4.374759,170,0.649472,2728.5503,0.125992,0
