frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,5012.51,4982.8356,9972.66,-6.8743341437,0.35629,0.379297,24.6415,1.3963,1.6857,0.07017,0.637346,-2.945855,184,0.0,1865.8794,0.065438,0
1,0.0427,4929.63,4922.5207,9972.66,-6.1013983735,0.421009,0.432538,39.3216,1.345,1.4261,0.060663,0.566932,-0.778736,188,0.172503,1928.1793,0.055793,0
2,0.0853,5213.22,5039.9191,10546.88,-6.6525347924,0.334503,0.396511,27.073,1.3499,1.5212,0.066958,0.624569,-5.215638,191,0.165381,1929.8883,0.062508,0
3,0.128,4939.44,4907.5326,10125.0,-5.8105011737,0.347781,0.446327,45.0015,1.298,1.3014,0.058391,0.496223,-8.958773,180,0.164011,1966.372,0.06324,0
4,0.1707,5156.32,5009.2184,10511.72,-6.0776959284,0.31821,0.438894,36.3881,1.2727,1.1976,0.059607,0.574759,1.442114,169,0.16566,1940.8573,0.066048,0
5,0.2133,5061.99,4990.5298,10289.06,-6.3541242538,0.31053,0.415158,33.1196,1.3217,1.3699,0.063631,0.606418,-2.404028,180,0.165339,1911.7639,0.070077,0
6,0.256,4987.26,4987.5724,10113.28,-6.3845697305,0.408876,0.413088,31.6609,1.3579,1.4489,0.063993,0.621702,-3.803836,167,0.160285,1898.015,0.072641,0
7,0.2987,5090.74,4958.3475,10066.41,-6.5237745024,0.399918,0.403338,29.8127,1.3716,1.5789,0.065722,0.61825,-0.620553,178,0.155726,1892.2257,0.071664,0
8,0.3413,4905.45,4952.0656,10207.03,-6.2758518988,0.424819,0.415646,34.1119,1.3612,1.4126,0.063546,0.604472,-0.249507,180,0.170894,1889.3478,0.063973,0
9,0.384,4922.88,4913.5922,9949.22,-6.3557630122,0.426759,0.411419,32.8076,1.3651,1.5602,0.064286,0.573665,-5.43164,176,0.164545,1911.4755,0.05738,0
10,0.4267,4922.03,4892.5228,9890.62,-6.1549310921,0.375114,0.427807,40.4052,1.3492,1.4853,0.061459,0.572476,0.360044,189,0.167234,1927.7893,0.056648,0
11,0.4693,4873.22,4925.1472,10101.56,-6.0349056314,0.291037,0.428479,38.8837,1.3308,1.3225,0.061345,0.565233,-1.764473,192,0.164515,1967.8641,0.063484,0
12,0.512,5095.7,4950.2109,10160.16,-6.7441126925,0.357219,0.380118,25.0171,1.3603,1.5864,0.070014,0.638018,-6.611126,182,0.174423,1821.1805,0.0691,0
13,0.5547,5078.48,4974.5055,10218.75,-6.6275293239,0.322595,0.400277,29.1875,1.3471,1.4964,0.066273,0.625893,-1.1403,181,0.170752,1837.0955,0.068734,0
14,0.5973,4857.98,4917.8686,10101.56,-6.0431299438,0.240178,0.438534,38.8653,1.3332,1.3492,0.059666,0.540412,-4.302786,169,0.167603,1779.4906,0.055793,0
15,0.64,5036.39,4927.3718,10160.16,-6.4211690437,0.443487,0.396016,30.4004,1.3564,1.5433,0.067048,0.587216,-6.956407,199,0.17558,2008.3061,0.059822,0
16,0.6827,5099.8,4888.3816,10019.53,-6.6329624089,0.330506,0.395452,28.3959,1.3599,1.5844,0.067151,0.64075,-3.989392,184,0.169615,1896.575,0.065071,0
17,0.7253,4690.38,4782.1991,9691.41,-5.9662471646,0.331484,0.441823,48.9233,1.3853,1.5708,0.059125,0.496111,1.67996,167,0.168201,1864.3535,0.059455,0
18,0.768,5240.11,5086.9287,10628.91,-6.6668468214,0.379227,0.402307,25.3022,1.3147,1.3474,0.065907,0.655652,-1.453527,190,0.167175,1802.3721,0.067025,0
19,0.8107,5003.11,4940.1527,10171.88,-6.0288941543,0.32862,0.436535,41.3914,1.326,1.37,0.059997,0.562923,0.44374,185,0.161265,1852.4443,0.063728,0
20,0.8533,4824.78,4928.8599,9937.5,-6.3676173362,0.314762,0.418783,35.991,1.3723,1.5275,0.063002,0.56472,-11.363904,172,0.156392,1748.6435,0.059944,0
21,0.896,4954.62,4952.953,10007.81,-6.7365047906,0.415882,0.391732,27.7547,1.4131,1.6975,0.067835,0.603747,-2.07738,197,0.168119,1846.1809,0.062019,0
22,0.9387,4956.78,4936.0895,9925.78,-6.4411917016,0.2655,0.414346,32.1501,1.3459,1.4959,0.063773,0.602962,-4.294445,187,0.162243,1768.5282,0.061043,0
23,0.9813,5188.97,5000.8701,10394.53,-7.0445387324,0.271666,0.377816,22.1409,1.3659,1.5731,0.070453,0.679014,-1.888894,167,0.172222,1742.3738,0.069466,0
24,1.024,5154.24,4963.1817,10382.81,-6.3408984208,0.329281,0.423446,32.3956,1.3045,1.3563,0.0622,0.614768,-0.124303,187,0.166031,1830.0359,0.070321,0
25,1.0667,5011.46,4842.8913,10078.12,-6.2199559863,0.403139,0.43222,39.4152,1.3366,1.4849,0.060716,0.588582,-0.254246,181,0.154788,1889.1598,0.066659,0
26,1.1093,5111.88,4858.8916,10089.84,-6.740909183,0.405201,0.384579,24.4363,1.3575,1.6309,0.069169,0.652352,-4.687502,203,0.171992,1877.5147,0.069466,0
27,1.152,5077.37,4929.4342,10113.28,-6.3448082122,0.396654,0.411831,31.3815,1.3211,1.3953,0.064214,0.606886,-1.353568,181,0.171559,1793.0631,0.067391,0
28,1.1947,4957.36,4933.2485,10101.56,-6.2397272859,0.296069,0.430215,36.4502,1.3329,1.4027,0.061052,0.591128,-1.495501,187,0.166738,1820.8515,0.059944,0
29,1.2373,4965.85,4960.9831,10136.72,-6.1693257097,0.277565,0.433074,36.9952,1.3202,1.3305,0.060573,0.559251,-7.42308,191,0.162578,1817.1159,0.059822,0
30,1.28,4880.33,4905.9263,9996.09,-6.108295509,0.263475,0.429121,37.2314,1.3489,1.4141,0.061237,0.573151,-1.123979,188,0.154089,1788.3978,0.054328,0
31,1.3227,4705.59,4701.5076,9714.84,-5.6130945838,0.322836,0.462237,57.1811,1.3514,1.4343,0.055856,0.468194,2.66318,163,0.169011,1920.9004,0.046392,0
32,1.3653,4986.02,4889.989,9937.5,-6.1735788033,0.366205,0.429175,38.7142,1.3746,1.5649,0.061228,0.58179,0.619522,193,0.174843,1982.2446,0.058601,0
33,1.408,4841.65,5040.2018,10089.84,-6.5300632643,0.310394,0.398981,31.7347,1.3798,1.4783,0.066508,0.583097,-6.720141,190,0.171769,1841.0899,0.064095,0
34,1.4507,5188.86,4948.7095,10207.03,-6.4592976391,0.361276,0.412447,28.8801,1.3296,1.4857,0.064105,0.644434,-2.284164,175,0.167983,1896.1213,0.067269,0
35,1.4933,5032.12,4908.2597,10183.59,-6.1049754146,0.446466,0.430926,36.6665,1.294,1.2928,0.060933,0.552681,-1.292616,194,0.165984,1819.3384,0.061897,0
36,1.536,4880.92,4904.4485,10078.12,-5.6932994611,0.347468,0.452073,53.1081,1.3198,1.3164,0.057465,0.495631,0.942784,181,0.169104,1897.685,0.054206,0
37,1.5787,4940.46,4919.3262,10113.28,-6.3592257693,0.326467,0.415972,35.1943,1.3262,1.3513,0.063489,0.5917,-1.520241,170,0.167947,1881.4891,0.062752,0
38,1.6213,4883.21,4907.2526,9878.91,-6.6376101439,0.363642,0.391318,29.2864,1.4443,1.8496,0.067912,0.601795,-3.470227,189,0.160434,1917.0732,0.064095,0
39,1.664,5092.93,4984.7397,10277.34,-5.9384158759,0.300747,0.447259,43.6304,1.28,1.2375,0.05824,0.553104,0.536324,211,0.169791,1841.9004,0.06031,0
40,1.7067,5029.09,4936.658,10183.59,-6.0457150198,0.414315,0.436648,39.337,1.3127,1.3374,0.059978,0.573644,-0.552842,173,0.162505,1898.6554,0.063606,0
41,1.7493,4799.5,4829.712,9984.38,-5.9706901202,0.378826,0.442186,43.5126,1.3418,1.4296,0.059066,0.538653,0.193398,177,0.160262,1895.2095,0.059578,0
