file,canale,media_centro2s,std_centro2s,n_centro2s,media_intero,std_intero,n_intero,centro_s
CCB_petalonio_oriz_CLUSTER1,1,1313.73,105.16,47,1251.29,260.66,147,3.24
CCB_petalonio_oriz_CLUSTER1,2,1556.22,171.67,47,1476.38,329.03,147,3.24
CCB_petalonio_oriz_CLUSTER1,3,1604.45,188.18,47,1550.92,260.89,144,3.24
CCB_petalonio_oriz_CLUSTER1,4,1429.93,125.14,47,1358.65,291.06,149,3.24
CCB_petalonio_oriz_CLUSTER1,5,1290.03,144.37,47,1216.03,392.16,153,3.24
CCB_petalonio_oriz_CLUSTER1,6,1236.15,139.73,47,1158.22,392.46,153,3.24
CCB_petalonio_oriz_CLUSTER1,7,1242.16,125.8,47,1180.64,350.16,151,3.24
CCB_petalonio_oriz_CLUSTER1,8,1398.12,111.25,47,1301.19,289.84,150,3.24
CCB_petalonio_oriz_CLUSTER2,1,1206.3,185.32,46,1160.06,310.83,156,3.35
CCB_petalonio_oriz_CLUSTER2,2,1388.05,249.65,46,1346.8,316.61,153,3.35
CCB_petalonio_oriz_CLUSTER2,3,1381.99,166.09,46,1395.98,157.23,147,3.35
CCB_petalonio_oriz_CLUSTER2,4,1315.15,215.37,46,1282.25,332.44,155,3.35
CCB_petalonio_oriz_CLUSTER2,5,1182.72,232.65,46,1160.64,352.88,155,3.35
CCB_petalonio_oriz_CLUSTER2,6,1128.0,237.32,46,1102.05,347.25,155,3.35
CCB_petalonio_oriz_CLUSTER2,7,1133.46,216.26,46,1105.9,328.43,155,3.35
CCB_petalonio_oriz_CLUSTER2,8,1290.61,184.08,46,1254.24,313.91,155,3.35
CCB_petalonio_oriz_CLUSTER3,1,1318.76,310.72,47,1229.37,320.39,165,3.71
CCB_petalonio_oriz_CLUSTER3,2,1451.66,285.85,47,1409.88,347.55,165,3.71
CCB_petalonio_oriz_CLUSTER3,3,1483.68,271.52,47,1442.7,216.09,161,3.71
CCB_petalonio_oriz_CLUSTER3,4,1443.58,312.93,47,1388.6,340.84,165,3.71
CCB_petalonio_oriz_CLUSTER3,5,1325.2,329.39,47,1251.28,353.15,165,3.71
CCB_petalonio_oriz_CLUSTER3,6,1262.99,330.87,47,1185.03,343.77,165,3.71
CCB_petalonio_oriz_CLUSTER3,7,1286.94,333.07,47,1205.45,341.57,165,3.71
CCB_petalonio_oriz_CLUSTER3,8,1325.77,209.22,47,1261.68,265.5,165,3.71
CCB_petalonio_oriz_DO,1,934.17,753.72,83,934.17,753.72,83,1.79
CCB_petalonio_oriz_DO,2,1016.87,670.55,83,1016.87,670.55,83,1.79
CCB_petalonio_oriz_DO,3,1505.69,391.72,74,1505.69,391.72,74,1.79
CCB_petalonio_oriz_DO,4,965.92,507.91,83,965.92,507.91,83,1.79
CCB_petalonio_oriz_DO,5,723.13,360.67,81,723.13,360.67,81,1.79
CCB_petalonio_oriz_DO,6,632.69,323.59,81,632.69,323.59,81,1.79
CCB_petalonio_oriz_DO,7,673.86,349.03,81,673.86,349.03,81,1.79
CCB_petalonio_oriz_DO,8,858.39,437.56,82,858.39,437.56,82,1.79
CCB_petalonio_vert_CLUSTER1,1,1179.32,110.5,46,1121.46,285.63,168,4.03
CCB_petalonio_vert_CLUSTER1,2,1442.17,131.34,46,1348.02,335.79,168,4.03
CCB_petalonio_vert_CLUSTER1,3,1331.88,149.09,46,1378.43,139.63,159,4.03
CCB_petalonio_vert_CLUSTER1,4,1313.64,109.26,46,1241.5,298.68,168,4.03
CCB_petalonio_vert_CLUSTER1,5,1100.88,90.55,46,1039.14,257.05,168,4.03
CCB_petalonio_vert_CLUSTER1,6,1054.08,77.19,46,992.74,247.37,168,4.03
CCB_petalonio_vert_CLUSTER1,7,1112.25,79.07,46,1047.18,255.87,168,4.03
CCB_petalonio_vert_CLUSTER1,8,1223.39,87.2,46,1178.09,261.47,168,4.03
CCB_petalonio_vert_CLUSTER2,1,1299.92,180.25,47,1372.83,248.54,176,4.22
CCB_petalonio_vert_CLUSTER2,2,1406.21,168.51,47,1445.41,209.1,176,4.22
CCB_petalonio_vert_CLUSTER2,3,1396.24,149.51,47,1524.12,228.4,173,4.22
CCB_petalonio_vert_CLUSTER2,4,1371.67,154.38,47,1423.66,203.11,175,4.22
CCB_petalonio_vert_CLUSTER2,5,1207.48,158.34,47,1238.82,219.66,177,4.22
CCB_petalonio_vert_CLUSTER2,6,1223.46,180.62,47,1248.66,266.8,180,4.22
CCB_petalonio_vert_CLUSTER2,7,1229.04,180.5,47,1245.53,292.93,183,4.22
