file,canale,media_centro2s,std_centro2s,n_centro2s,media_intero,std_intero,n_intero,centro_s
CCB_petalonio_oriz_CLUSTER1,1,1276.8,78.79,47,1212.12,229.9,147,3.24
CCB_petalonio_oriz_CLUSTER1,2,1440.93,99.88,47,1371.17,250.31,147,3.24
CCB_petalonio_oriz_CLUSTER1,3,1509.91,123.1,47,1473.63,198.33,144,3.24
CCB_petalonio_oriz_CLUSTER1,4,1395.49,101.36,47,1326.11,267.39,149,3.24
CCB_petalonio_oriz_CLUSTER1,5,1261.38,120.99,47,1180.35,357.78,153,3.24
CCB_petalonio_oriz_CLUSTER1,6,1225.6,129.11,47,1135.96,367.43,153,3.24
CCB_petalonio_oriz_CLUSTER1,7,1225.38,112.1,47,1153.28,321.99,151,3.24
CCB_petalonio_oriz_CLUSTER1,8,1370.42,94.52,47,1277.66,274.0,150,3.24
CCB_petalonio_oriz_CLUSTER2,1,1189.17,159.98,46,1144.61,296.27,156,3.35
CCB_petalonio_oriz_CLUSTER2,2,1322.64,173.4,46,1295.71,279.6,153,3.35
CCB_petalonio_oriz_CLUSTER2,3,1346.15,128.8,46,1362.59,133.9,147,3.35
CCB_petalonio_oriz_CLUSTER2,4,1281.34,165.37,46,1253.94,304.08,155,3.35
CCB_petalonio_oriz_CLUSTER2,5,1164.95,201.22,46,1141.19,327.22,155,3.35
CCB_petalonio_oriz_CLUSTER2,6,1115.48,211.76,46,1089.3,326.66,155,3.35
CCB_petalonio_oriz_CLUSTER2,7,1118.27,191.77,46,1092.48,311.35,155,3.35
CCB_petalonio_oriz_CLUSTER2,8,1271.18,161.06,46,1235.06,297.3,155,3.35
CCB_petalonio_oriz_CLUSTER3,1,1276.82,255.58,47,1204.88,295.01,165,3.71
CCB_petalonio_oriz_CLUSTER3,2,1390.41,226.7,47,1342.95,296.33,165,3.71
CCB_petalonio_oriz_CLUSTER3,3,1427.79,212.63,47,1401.78,178.74,161,3.71
CCB_petalonio_oriz_CLUSTER3,4,1394.77,257.22,47,1344.6,302.26,165,3.71
