frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-0.307878,-0.111216,-0.169742,-1.891915,-3.089035,1.432043,0.066489,3.427716,5.565969,-1.695747,1.202142,0.566034,1.132598,-2.159077,-0.086814,-4.808426
1,0.042700,0,-0.114359,-0.186787,-0.169742,-0.799121,-1.335905,0.752695,0.205844,3.141488,4.961832,-1.012474,-0.641783,0.704835,-0.334180,3.464074,-0.081836,-0.217975
2,0.085300,0,-0.244962,-0.275940,-0.169742,-1.597330,-1.123015,0.369135,-0.015379,-0.304356,-0.292737,-0.579180,-0.091755,0.667558,-1.172338,0.814564,-0.141849,-0.217975
3,0.128000,0,-0.399203,-0.030456,-0.169742,-0.970452,-0.957507,0.022794,-0.115015,3.644724,4.291557,-0.151559,1.469696,0.555915,-1.172338,1.467008,-0.065022,-0.217975
4,0.170700,0,4.125318,4.416821,1.254490,2.061805,-2.031759,3.166041,3.540268,0.571091,-0.291534,-3.097462,0.730764,0.431235,-1.172338,2.190552,3.696361,4.391289
5,0.213300,0,4.213924,4.333907,1.396928,1.814840,-4.417193,3.706865,3.797306,0.587928,-0.286490,-3.462756,-0.278269,0.521412,0.923058,3.175492,3.935183,4.391289
6,0.256000,0,5.812072,5.015520,8.838544,2.273683,-2.807290,5.002294,4.405080,0.390670,-0.337325,-4.239588,-0.328328,0.433787,0.294439,2.696615,4.366441,-0.217975
7,0.298700,0,4.576965,4.290414,5.242339,1.778292,-3.669818,4.477524,4.398317,0.512306,-0.304050,-3.939759,-0.053288,0.482771,0.503979,3.386700,4.786536,-0.217975
8,0.341300,0,3.347191,3.496348,1.931011,1.529430,-2.706998,3.844439,4.090950,0.727876,-0.232440,-3.551443,-0.471748,0.272419,-0.753259,2.857635,3.899110,-0.217975
9,0.384000,0,1.928923,2.741398,-0.134132,1.331582,-1.859786,1.872709,2.619327,1.144229,-0.065540,-2.092338,-0.378127,0.360511,2.180296,1.655213,3.076166,2.077250
10,0.426700,0,1.250324,2.311310,-0.134132,1.521861,-0.719681,0.515817,1.682889,1.483054,0.109153,-0.749548,-0.132926,0.328601,-0.753259,0.795743,1.933468,-0.217975
11,0.469300,0,-0.122718,0.296184,-0.169742,0.210769,0.387619,-0.781447,0.021063,4.049637,3.413465,1.017661,0.111236,0.531842,-0.124640,-0.113915,0.310041,-0.217975
12,0.512000,0,-0.083645,-0.126200,-0.169742,-0.771915,-0.756016,-0.154783,0.208341,3.121629,3.809831,0.083340,-0.723603,0.460965,1.132598,-0.155738,0.264584,-0.217975
13,0.554700,0,-0.139280,-0.174489,-0.169742,-0.991995,-1.048285,0.000417,0.148885,1.250791,0.703051,-0.122530,-0.645733,-1.043958,-0.124640,0.019920,0.078804,-0.217975
14,0.597300,0,-0.040264,-0.316927,-0.169742,-0.595192,0.001239,-0.252483,-0.034546,0.413335,0.092910,0.217605,-1.279660,-0.093213,0.503979,-0.425499,-0.048497,-0.217975
15,0.640000,0,-0.390691,-0.235477,-0.169742,-1.245639,0.406634,-0.635028,-0.356593,-0.124439,-0.248004,0.782629,0.793819,0.095792,-2.010496,1.075960,-0.106410,-0.217975
16,0.682700,0,-0.354489,-0.263960,-0.169742,-0.846465,0.603395,-0.941660,-0.364610,-0.361882,-0.289351,1.288661,0.693493,0.624853,-2.010496,-0.532148,-0.213706,-0.217975
17,0.725300,0,-0.423303,-0.264438,-0.169742,-0.068343,0.187876,-0.335899,-0.503081,-0.432719,-0.334705,0.335321,1.082166,0.728020,-1.381878,-0.711989,-0.351629,-0.217975
18,0.768000,0,-0.259422,-0.312273,-0.169742,-1.056883,0.453297,-0.032183,-0.388887,-0.565903,-0.330973,-0.080021,-0.274058,0.491223,0.084900,0.300137,-0.287255,-0.217975
19,0.810700,0,-0.341824,-0.292090,-0.169742,0.006297,0.343437,-0.356277,-0.477116,-0.594289,-0.364460,0.364550,0.451410,0.491002,-0.543719,-0.471504,-0.428848,-0.217975
20,0.853300,0,-0.432430,-0.248039,-0.169742,0.051762,0.205116,-0.751993,-0.431058,-0.356414,-0.328579,0.969413,1.178230,0.614789,2.180296,0.015738,-0.227551,2.077250
21,0.896000,0,-0.129640,-0.345651,-0.169742,0.007007,0.633191,-0.514033,-0.304392,-0.522732,-0.250084,0.596646,-0.972444,0.506650,-0.543719,0.781105,-0.299560,-0.217975
22,0.938700,0,-0.111693,-0.379029,-0.169742,0.018416,0.773999,-0.036507,-0.369134,-0.768954,-0.283745,-0.074349,-1.220348,0.425255,-0.124640,-1.094672,-0.474949,-0.217975
23,0.981300,0,-0.318544,-0.300912,-0.169742,1.016332,0.945152,0.193753,-0.568482,-0.664371,-0.361677,-0.367371,0.150899,-2.353374,-1.381878,0.423516,-0.550046,-0.217975
24,1.024000,0,-0.378128,-0.286031,-0.169742,-0.337725,1.021455,0.024596,-0.568211,-0.565796,-0.356994,-0.153894,0.340012,0.168621,-0.753259,-0.174558,-0.446188,-0.217975
25,1.066700,0,-0.142869,-0.359869,-0.169742,1.675132,0.844196,0.003333,-0.499104,-0.773954,-0.298756,-0.126334,-0.991833,0.592263,-0.334180,-0.011447,-0.519802,-0.217975
26,1.109300,0,-0.115744,-0.359708,-0.169742,-0.126715,0.629322,-0.121725,-0.327084,-0.595764,-0.260147,0.038762,-1.152355,0.343642,-0.543719,-1.113493,-0.356117,-0.217975
27,1.152000,0,-0.073953,-0.378056,-0.169742,0.043863,0.543159,0.166789,-0.218655,-0.562917,-0.213275,-0.333938,-1.337933,0.089705,0.503979,-1.027755,-0.400350,-0.217975
28,1.194700,0,-0.049545,-0.344946,-0.169742,-0.256137,-0.233504,0.041404,-0.035377,0.007415,-0.010838,-0.175516,-1.298738,-0.007136,0.503979,-1.251510,-0.210100,-0.217975
29,1.237300,0,0.106952,-0.216702,-0.169742,-0.364170,-2.240995,0.940560,0.587970,0.480359,-0.161845,-1.211270,-1.333047,0.492829,0.294439,-0.548877,-0.030920,-0.217975
30,1.280000,0,-0.112770,-0.220066,-0.169742,-0.754154,-0.846902,-0.010461,0.196857,0.108436,-0.235050,-0.108383,-0.646825,-1.064049,1.342137,0.017829,0.088310,-0.217975
31,1.322700,0,-0.096105,-0.209114,-0.169742,-0.204278,-0.936378,-0.153079,0.305169,0.152363,-0.217792,0.081071,-0.548370,-1.324221,-1.591417,-0.875100,-0.037981,2.077250
32,1.365300,0,-0.059442,-0.178184,-0.169742,-0.538741,-0.975797,0.101885,0.363852,0.411932,-0.133778,-0.252592,-0.586369,0.598903,-0.753259,-0.178741,0.155512,-0.217975
33,1.408000,0,0.297035,0.362887,-0.169742,0.596113,-0.419355,0.307868,0.961098,2.025540,0.598925,-0.506308,-1.202570,0.570057,-1.172338,-0.310484,0.794983,-0.217975
34,1.450700,0,0.006859,-0.036095,-0.169742,0.317797,0.495839,-0.442052,0.269846,2.267444,1.148839,0.489407,-0.958720,-0.660108,0.084900,-0.573971,0.315267,-0.217975
35,1.493300,0,-0.283214,-0.274067,-0.169742,-1.156873,0.178870,-0.331082,-0.324146,-0.221934,-0.235185,0.328448,-0.062489,0.229169,0.503979,0.145390,-0.261402,-0.217975
36,1.536000,0,-0.206914,-0.319908,-0.169742,-0.814480,0.220993,-0.251959,-0.333630,-0.418077,-0.201234,0.216938,-0.517181,0.393019,-0.753259,-0.341852,-0.384420,-0.217975
37,1.578700,0,-0.343208,-0.283660,-0.169742,-0.896254,0.600630,-0.690824,-0.304794,-0.571048,-0.365956,0.870849,0.401143,0.422556,-0.334180,-0.226838,-0.367686,-0.217975
38,1.621300,0,-0.295162,-0.261180,-0.169742,-0.791718,0.017543,-0.488346,-0.201348,-0.137066,-0.188825,0.558141,0.207820,0.524600,0.503979,-0.904376,-0.035829,-0.217975
39,1.664000,0,-0.210247,-0.218179,-0.169742,-0.643488,-0.418461,-0.409092,0.091077,0.132612,-0.176357,0.441026,-0.059266,0.527899,0.294439,-0.877191,0.035792,-0.217975
40,1.706700,0,0.052906,-0.093327,-0.169742,0.562405,0.229077,-0.502697,0.189476,2.640950,1.969048,0.579629,-1.227470,-0.213123,1.761217,0.172575,0.283183,-0.217975
41,1.749300,0,-0.117795,-0.205655,-0.169742,-0.144694,0.402229,-0.671100,-0.093000,1.439414,1.014263,0.839485,-0.641627,0.489976,-2.010496,-0.134826,0.039708,-0.217975
42,1.792000,0,-0.443301,-0.254683,-0.169742,-1.273212,0.098190,-0.507382,-0.474010,-0.432539,-0.358257,0.586636,1.196632,0.643458,1.342137,0.712097,-0.284443,2.077250
43,1.834700,0,-0.413919,-0.275122,-0.169742,-0.740189,0.702345,-0.734202,-0.466092,-0.583460,-0.383267,0.940585,1.060438,0.756692,-0.124640,-0.555151,-0.400326,-0.217975
44,1.877300,0,-0.436225,-0.265650,-0.169742,-0.204888,0.798754,-0.564619,-0.552032,-0.523559,-0.375363,0.673521,1.163311,0.800238,-1.172338,-1.029846,-0.433813,-0.217975
45,1.920000,0,-0.248500,-0.312774,-0.169742,-0.499005,0.325357,-0.031396,-0.462639,-0.585654,-0.335007,-0.081089,-0.384989,0.153891,0.084900,0.676547,-0.338117,-0.217975
46,1.962700,0,-0.384999,-0.264843,-0.169742,0.031941,0.156312,-0.549909,-0.453904,-0.360767,-0.264288,0.651099,0.630802,-2.682269,-2.010496,-0.358581,-0.403256,-0.217975
47,2.005300,0,-0.003499,-0.339459,-0.169742,0.237399,0.276506,-0.077724,-0.059212,0.233489,-0.002396,-0.019962,-1.384041,0.684473,-0.124640,1.040410,-0.134636,-0.217975
48,2.048000,0,-0.094720,-0.306706,-0.169742,0.430947,0.233360,-0.491885,-0.059501,-0.133684,-0.188080,0.563413,-0.922436,0.716337,1.761217,-0.757994,-0.196374,-0.217975
49,2.090700,0,-0.177533,-0.242595,-0.169742,-0.649101,-0.815927,0.204139,0.246399,-0.078137,-0.255705,-0.380184,-0.207729,-1.781415,1.551677,-0.241476,-0.131860,-0.217975
50,2.133300,0,-0.301366,-0.216078,-0.169742,-0.796981,-0.395881,-0.406143,0.082780,-0.004458,-0.208681,0.436688,0.603303,0.714643,0.923058,-0.095094,-0.022306,-0.217975
51,2.176000,0,-0.098617,-0.277534,-0.169742,-0.249997,-0.734813,-0.045616,0.095813,0.154090,-0.106868,-0.062404,-0.796639,0.625103,-0.334180,0.450701,-0.223796,-0.217975
52,2.218700,0,-0.150253,-0.229193,-0.169742,-1.149197,-1.554520,0.197783,0.270947,0.153982,-0.169768,-0.372376,-0.511566,-1.300980,-2.010496,0.241584,-0.036393,-0.217975
53,2.261300,0,-0.299315,-0.229388,-0.169742,-1.093922,-0.377815,-0.429962,0.049746,-0.093283,-0.240471,0.471589,0.349888,-2.313656,-0.962798,-0.314667,-0.032261,-0.217975
54,2.304000,0,-0.045187,-0.301175,-0.169742,-0.817886,-0.125284,-0.454862,0.205876,0.078000,-0.152207,0.508292,-1.093095,0.579047,-0.124640,0.440245,-0.018494,-0.217975
