frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,9667.99,8053.6869,19019.53,-4.6587485538,0.538706,0.539562,47.3485,0.5779,-0.5271,0.04466,0.602593,0.112175,166,0.0,1910.43,0.127823,0
1,0.0427,9676.49,8032.0375,18949.22,-4.8659754115,0.491611,0.510467,44.4828,0.5876,-0.4283,0.048672,0.586671,0.834782,159,0.015747,2059.3519,0.132218,0
2,0.0853,9748.35,8023.0065,18984.38,-5.2503221136,0.455762,0.508812,40.7935,0.6301,-0.347,0.048907,0.643926,-0.72813,135,0.014602,1958.1392,0.139543,0
3,0.128,9238.8,8020.9143,18667.97,-4.7641233065,0.474159,0.53401,47.9973,0.6533,-0.4564,0.045408,0.550441,0.223929,156,0.015457,1829.529,0.131608,0
4,0.1707,9739.07,8262.7397,19054.69,-6.4269462682,0.404473,0.411709,27.2888,0.7084,-0.0355,0.064235,0.702771,-3.692203,146,0.016377,2060.7216,0.135393,0
5,0.2133,9367.04,8038.436,18738.28,-4.9405891869,0.437052,0.516229,43.1888,0.605,-0.5089,0.04786,0.584084,0.549803,147,0.015686,1879.6563,0.136369,0
6,0.256,9624.99,8044.0331,18808.59,-5.0952325934,0.457969,0.499581,38.6769,0.5886,-0.4541,0.050232,0.643822,-0.858649,151,0.015753,1939.6344,0.151264,0
7,0.2987,9670.19,8153.4049,18972.66,-6.0096932051,0.482609,0.442921,32.043,0.7067,-0.047,0.058946,0.693053,-1.081278,152,0.015567,2087.9508,0.14931,0
8,0.3413,9604.51,8095.4676,18890.62,-5.5366552444,0.313484,0.471673,36.365,0.6628,-0.2018,0.054393,0.634129,-7.640141,152,0.015263,2086.5941,0.146624,0
9,0.384,9423.09,8035.3806,18761.72,-5.0796491541,0.456815,0.499323,41.3733,0.6584,-0.3142,0.05027,0.5971,1.734837,173,0.015514,1978.1695,0.143328,0
10,0.4267,9382.6,8014.7453,18750.0,-5.1691079782,0.467388,0.497457,40.5508,0.661,-0.3381,0.050541,0.62123,-4.362531,169,0.015439,1990.7071,0.134782,0
11,0.4693,9379.49,7961.3269,18679.69,-4.6982148024,0.410427,0.531683,47.733,0.6118,-0.4871,0.045725,0.552053,1.244022,153,0.015799,1944.8464,0.131974,0
12,0.512,9699.14,8013.2685,18843.75,-5.1398072285,0.498791,0.496865,39.7883,0.6042,-0.3575,0.050627,0.6462,-8.109209,142,0.015643,1946.1958,0.136858,0
13,0.5547,9823.4,8054.1878,18984.38,-5.4867334979,0.339654,0.485344,36.5186,0.627,-0.2772,0.052325,0.686634,-2.70075,136,0.015412,1986.568,0.147235,0
14,0.5973,9630.4,7892.0649,18773.44,-4.5636491568,0.365038,0.546366,49.0502,0.5504,-0.585,0.043753,0.582993,0.321069,152,0.01495,1929.3961,0.136125,0
15,0.64,9543.17,7881.8433,18785.16,-4.2070443132,0.394258,0.570707,56.7248,0.5607,-0.5966,0.040598,0.48797,3.051857,142,0.015309,1922.1829,0.115248,0
16,0.6827,9548.05,7905.7505,18820.31,-4.3453387262,0.385196,0.567613,53.5518,0.5568,-0.6217,0.040991,0.525455,1.701116,172,0.015124,1875.0209,0.10365,0
17,0.7253,9420.69,7888.6909,18738.28,-4.4656220446,0.49612,0.556558,51.0928,0.5966,-0.5258,0.042415,0.540137,1.388577,159,0.014718,1906.9429,0.125382,0
18,0.768,9838.42,8032.5547,18960.94,-5.3698959824,0.424929,0.493621,37.6163,0.6254,-0.2641,0.051101,0.67808,0.217488,155,0.015581,1993.8508,0.138811,0
19,0.8107,9602.45,8025.5838,18820.31,-4.9760568035,0.399203,0.508037,41.5631,0.589,-0.4326,0.049017,0.61482,0.679779,174,0.015315,2030.0902,0.138323,0
20,0.8533,9726.86,8245.1061,19101.56,-5.9010183422,0.512134,0.439696,30.8969,0.6823,-0.1221,0.059475,0.650277,-4.801058,162,0.015172,2078.1609,0.125626,0
21,0.896,9436.24,8109.1992,18925.78,-4.8290087516,0.545394,0.518906,43.7972,0.6098,-0.5105,0.047485,0.574176,-9.479596,150,0.015276,2021.6653,0.128922,0
22,0.9387,9295.75,7832.6176,18691.41,-4.0894166336,0.397804,0.574202,59.2177,0.5487,-0.6868,0.040156,0.494295,2.670691,151,0.015982,1947.2655,0.118911,0
23,0.9813,9353.94,7842.5272,18773.44,-3.9043820212,0.402126,0.605328,70.0894,0.5242,-0.7754,0.036335,0.463404,2.487645,149,0.015284,1825.9305,0.096814,0
24,1.024,9124.41,7856.6442,18527.34,-4.1013070494,0.394232,0.574918,63.6758,0.5868,-0.6376,0.040066,0.448066,3.320626,151,0.01511,1859.9403,0.106214,0
25,1.0667,9557.71,8021.0145,18785.16,-4.8339314554,0.362919,0.519537,44.6979,0.5919,-0.443,0.047397,0.539766,-7.853273,166,0.015711,1946.5031,0.104627,0
26,1.1093,9095.17,7951.3432,18621.09,-4.3127910613,0.386803,0.554772,53.7844,0.5865,-0.6965,0.042648,0.51529,-10.073843,165,0.014663,1837.8902,0.121841,0
27,1.152,9427.73,8011.1432,18808.59,-4.9246326668,0.432996,0.523701,42.2547,0.6268,-0.4561,0.046819,0.601512,-9.777146,139,0.015781,1895.5453,0.135026,0
28,1.1947,9653.73,7986.0359,18761.72,-5.1020086865,0.309383,0.510769,41.0125,0.5882,-0.4458,0.048629,0.621963,-9.182387,139,0.014947,1910.0289,0.127701,0
29,1.2373,9091.0,7842.243,18410.16,-4.5448983432,0.368624,0.550464,54.6073,0.6294,-0.528,0.043212,0.489985,-10.022736,152,0.01536,1902.8488,0.130265,0
30,1.28,9504.93,8061.4975,18714.84,-5.5144888383,0.416614,0.480661,36.5842,0.6551,-0.2845,0.053027,0.622354,-5.976448,155,0.015277,1963.8004,0.128556,0
31,1.3227,9734.05,8088.3273,18960.94,-5.4286552962,0.363986,0.479323,35.8368,0.6284,-0.3066,0.053229,0.630599,-7.537003,138,0.014835,2026.39,0.13527,0
32,1.3653,9793.48,8051.9402,18867.19,-5.6066510931,0.355524,0.468701,34.0606,0.6146,-0.2505,0.054851,0.671704,-8.924686,161,0.015188,2076.8022,0.150165,0
33,1.408,9790.17,8152.748,18960.94,-5.5248031927,0.505208,0.468007,33.9344,0.6415,-0.2602,0.054958,0.662213,-6.512937,160,0.015404,2055.0017,0.1382,0
34,1.4507,8929.6,7895.2365,18503.91,-4.2586365498,0.509684,0.562829,60.4842,0.6453,-0.587,0.041604,0.458544,2.193846,144,0.015988,1899.3543,0.085826,0
35,1.4933,8728.42,7691.8499,18328.12,-2.8755881697,0.468022,0.651313,110.6117,0.5122,-0.9641,0.031035,0.229763,9.460638,155,0.0161,1880.8948,0.045538,0
36,1.536,7925.3,7584.0586,17648.44,-2.5238306688,0.43926,0.630168,148.3206,0.5831,-0.9749,0.033424,0.180668,12.187018,156,0.016439,1984.6465,0.029423,0
37,1.5787,8331.2,7658.0153,18046.88,-2.8475287172,0.382073,0.632582,121.7466,0.5491,-0.966,0.033147,0.222976,10.059378,138,0.016154,2012.2627,0.02869,0
38,1.6213,8777.46,7872.9297,18433.59,-3.7723987132,0.345605,0.581687,74.2583,0.5946,-0.7281,0.039218,0.361976,-11.579571,181,0.017504,1934.8296,0.061897,0
39,1.664,9405.88,7900.0183,18808.59,-4.2206584819,0.421147,0.57105,57.4583,0.5485,-0.6609,0.040554,0.469197,3.015168,167,0.015608,1885.2442,0.104139,0
40,1.7067,8961.53,7780.524,18410.16,-3.496634498,0.331494,0.61611,83.7621,0.5322,-0.8554,0.035057,0.345816,6.133604,160,0.015244,1733.4451,0.097546,0
41,1.7493,9069.22,7805.1757,18621.09,-3.8044234895,0.40484,0.599866,71.6413,0.5502,-0.788,0.036991,0.439178,2.772855,144,0.015706,1828.5546,0.084727,0
42,1.792,8574.6,7863.0917,18234.38,-3.8405453983,0.460667,0.583049,78.1775,0.6494,-0.6735,0.039049,0.398193,3.737391,143,0.015761,1840.4172,0.07789,0
43,1.8347,8488.1,7659.7627,18175.78,-3.178450426,0.435537,0.620898,97.2685,0.558,-0.917,0.034497,0.275639,6.790457,136,0.016255,1840.3685,0.054694,0
44,1.8773,8947.8,7782.7107,18468.75,-3.3598918898,0.496358,0.610127,80.2351,0.521,-0.901,0.035763,0.372446,5.285257,147,0.01637,1894.1069,0.087291,0
45,1.92,8904.57,7834.0631,18480.47,-3.6005717007,0.455576,0.614416,81.4681,0.5594,-0.8264,0.035256,0.368877,5.968874,149,0.016058,1763.8064,0.081309,0
46,1.9627,8391.57,7826.5725,18199.22,-3.1857231877,0.387721,0.604435,95.8447,0.6022,-0.8518,0.036442,0.272288,-16.749531,149,0.01663,1787.2174,0.051032,0
47,2.0053,7767.69,7701.2519,17613.28,-2.7370849996,0.419223,0.614371,136.0039,0.633,-0.943,0.035262,0.221001,7.818926,163,0.015983,1926.166,0.049322,0
48,2.048,8586.88,7725.8374,18128.91,-3.1251936517,0.467183,0.618546,96.552,0.5533,-0.9159,0.034771,0.322476,-12.645339,158,0.017313,1791.707,0.055793,0
49,2.0907,8128.7,7589.4299,17730.47,-2.884806382,0.4347,0.624624,123.8138,0.6022,-0.8706,0.034064,0.224713,10.4502,145,0.017005,1946.0881,0.066903,0
50,2.1333,8812.49,7686.5001,18175.78,-3.1443819041,0.469208,0.619765,92.6137,0.498,-0.9385,0.034629,0.30207,7.023492,147,0.015467,1704.5964,0.062141,0
51,2.176,9013.96,7754.3449,18492.19,-3.5383307191,0.304188,0.608135,80.6277,0.531,-0.823,0.036,0.362767,3.665938,145,0.015824,1938.9985,0.061165,0
52,2.2187,8710.16,7722.4527,18234.38,-3.3230417748,0.273237,0.623385,93.1818,0.5691,-0.8374,0.034207,0.285018,7.292712,158,0.015589,1826.3373,0.064949,0
53,2.2613,8906.41,7669.5649,18257.81,-3.4646787887,0.339822,0.624094,82.0738,0.5233,-0.8674,0.034125,0.345714,6.137444,147,0.015457,1835.0325,0.078989,0
54,2.304,9641.7,7859.615,18832.03,-4.0457906788,0.41721,0.578684,57.1069,0.4972,-0.7211,0.039593,0.507812,-8.220384,142,0.01565,1829.1286,0.091564,0
55,2.3467,8936.3,7860.1992,18375.0,-3.4398543286,0.426899,0.608633,82.244,0.5279,-0.8863,0.035941,0.350559,5.691894,155,0.015979,1780.158,0.101087,0
56,2.3893,9519.78,7961.9459,18808.59,-4.6374218111,0.42366,0.533029,47.6981,0.5811,-0.5098,0.045542,0.523422,-8.793875,147,0.015834,1945.5886,0.095959,0
57,2.432,8883.58,7767.3263,18480.47,-3.8228668071,0.504673,0.591784,70.642,0.5797,-0.7392,0.037973,0.386607,4.441179,154,0.015387,1799.2676,0.094128,0
58,2.4747,9578.29,7902.0793,18703.12,-4.2171188768,0.466519,0.568593,53.9933,0.5414,-0.6231,0.040866,0.499602,1.876588,153,0.015737,1919.553,0.095593,0
59,2.5173,9354.84,7870.0533,18855.47,-3.8333028014,0.375102,0.602495,65.4229,0.5218,-0.8073,0.036674,0.455958,2.95319,154,0.014927,1822.1267,0.114028,0
60,2.56,9459.06,8013.9425,18738.28,-5.186717868,0.436126,0.491419,38.6014,0.6459,-0.3536,0.051425,0.603155,-7.964234,165,0.015189,2017.5348,0.117324,0
61,2.6027,9223.06,7984.3003,18691.41,-4.7113729692,0.436098,0.526876,47.4004,0.6174,-0.5163,0.046382,0.53363,-8.468901,143,0.015558,1934.1034,0.10658,0
62,2.6453,8880.03,7867.131,18515.62,-3.695944919,0.322217,0.592303,74.326,0.5669,-0.777,0.037909,0.370554,-11.153705,167,0.015872,1893.9724,0.106214,0
63,2.688,9505.92,8049.9426,18855.47,-4.9694236844,0.36017,0.521635,43.5596,0.6214,-0.3954,0.047105,0.543152,-8.601372,149,0.015476,1908.0679,0.123062,0
64,2.7307,9442.38,7992.4444,18773.44,-4.3827695624,0.340398,0.555617,52.009,0.5338,-0.6963,0.042537,0.503869,-9.929714,147,0.014905,1876.3023,0.105604,0
65,2.7733,8753.56,7809.1583,18257.81,-3.4936044911,0.369863,0.605854,90.1205,0.5608,-0.8391,0.036272,0.323057,6.020839,172,0.016402,1901.9352,0.042974,0
66,2.816,8174.88,7621.3889,17976.56,-2.7041687893,0.423374,0.627443,125.2178,0.5522,-1.005,0.033738,0.207523,7.651685,173,0.017582,2040.8427,0.034672,0
67,2.8587,8484.15,7687.3744,18152.34,-2.8875027484,0.367333,0.640825,122.8499,0.5302,-0.9898,0.03221,0.234358,9.691944,159,0.016749,1976.8554,0.03687,0
68,2.9013,8760.95,7776.8075,18339.84,-3.5609050156,0.449191,0.598351,77.7492,0.5575,-0.8351,0.037174,0.36228,5.228359,142,0.015977,1822.932,0.066292,0
69,2.944,9317.3,7919.4328,18738.28,-4.5259680347,0.400919,0.555613,53.5854,0.6056,-0.5435,0.042538,0.527087,2.016524,156,0.016374,1948.8192,0.107801,0
70,2.9867,9335.71,7888.2816,18750.0,-3.6496759437,0.420701,0.606938,73.7319,0.4946,-0.8511,0.036143,0.39524,4.095064,159,0.015539,1878.7115,0.095349,0
71,3.0293,8810.48,7704.2852,18328.12,-3.2312430076,0.464905,0.627373,89.2616,0.5186,-0.9244,0.033746,0.316721,6.414558,142,0.016259,1805.3702,0.06556,0
72,3.072,7960.83,7524.0962,17519.53,-2.704084524,0.326426,0.633314,138.4651,0.5867,-0.9463,0.033063,0.185724,11.851689,130,0.017877,1928.7725,0.045294,0
73,3.1147,8294.09,7674.1304,18023.44,-3.0721984327,0.407668,0.635066,110.0952,0.592,-0.9059,0.032863,0.258306,8.282571,167,0.017081,1735.7763,0.035771,0
74,3.1573,9065.68,7760.9946,18445.31,-3.0861490198,0.467058,0.633948,94.3293,0.4745,-0.953,0.032991,0.30553,7.076239,161,0.016523,1811.7214,0.068978,0
75,3.2,9117.95,7901.3263,18539.06,-4.6607936491,0.486081,0.531612,50.2096,0.6121,-0.5424,0.045734,0.505947,-9.063505,161,0.01592,1980.5909,0.08314,0
76,3.2427,9225.07,7816.6833,18679.69,-3.3557572369,0.409611,0.624469,82.5306,0.4675,-0.9581,0.034081,0.330785,5.605386,139,0.015642,1737.3491,0.06263,0
77,3.2853,8943.08,7735.1138,18433.59,-3.2120732677,0.320722,0.628288,91.7386,0.487,-0.9471,0.03364,0.299239,7.088511,150,0.015724,1889.4804,0.05677,0
78,3.328,9161.07,7831.9698,18574.22,-3.8766083836,0.462161,0.581126,67.2231,0.5644,-0.7003,0.039288,0.42666,3.810254,176,0.015261,1901.6704,0.096081,0
79,3.3707,9723.84,8122.0119,19054.69,-5.3213693458,0.473637,0.48807,37.3968,0.6165,-0.3647,0.05192,0.637784,-6.977877,157,0.01624,1928.7572,0.138567,0
80,3.4133,9072.02,7875.8402,18375.0,-4.2446381031,0.379288,0.565728,59.2359,0.6045,-0.5986,0.041232,0.4935,2.713307,155,0.016251,1938.6242,0.114028,0
81,3.456,9153.25,7823.7332,18597.66,-3.9341596243,0.37295,0.600536,68.352,0.5572,-0.7355,0.03691,0.43429,3.837016,156,0.01552,1829.8443,0.099255,0
82,3.4987,9448.34,7926.6531,18832.03,-4.0534397279,0.425418,0.57447,61.2027,0.535,-0.6994,0.040122,0.484643,2.647433,132,0.015274,1901.9383,0.101087,0
83,3.5413,9421.79,7958.8717,18785.16,-4.6929996734,0.319092,0.545485,48.9057,0.5778,-0.5738,0.04387,0.556644,1.693344,145,0.014922,1895.3845,0.116836,0
84,3.584,9678.76,8131.2868,18878.91,-5.7399538575,0.361523,0.456614,33.4695,0.6528,-0.1959,0.056742,0.644843,-9.016272,160,0.015641,2035.3224,0.154438,0
85,3.6267,9471.82,8033.7894,18890.62,-5.075693227,0.483802,0.508633,39.7851,0.627,-0.4423,0.048933,0.622171,0.149004,170,0.015355,1922.1366,0.144671,0
86,3.6693,9539.42,7899.1615,18773.44,-4.4880430513,0.372402,0.555322,51.8871,0.5838,-0.5155,0.042576,0.570874,-0.173385,133,0.015308,1952.9619,0.125137,0
87,3.712,9314.74,7822.2639,18632.81,-3.8483843416,0.39014,0.599479,65.3163,0.5702,-0.684,0.037038,0.465236,3.1822,138,0.015352,1782.8046,0.114394,0
88,3.7547,9296.72,7866.986,18433.59,-4.5957852567,0.461682,0.53791,48.8639,0.5863,-0.5669,0.044882,0.551884,1.100505,151,0.015485,1911.307,0.106702,0
89,3.7973,9725.72,8085.0053,18984.38,-4.8756123492,0.324812,0.523378,41.6434,0.5804,-0.4818,0.046864,0.612009,-0.506047,164,0.015563,1935.0258,0.140032,0
90,3.84,10078.7,8257.7562,19300.78,-6.5004979148,0.477868,0.400791,25.6318,0.704,0.0713,0.06618,0.71415,-2.239247,157,0.015366,2138.6078,0.163716,0
91,3.8827,9740.47,8179.9922,18902.34,-6.2930361515,0.451422,0.419189,28.3763,0.7124,0.0158,0.062932,0.698614,-5.444133,132,0.015816,2118.0637,0.150653,0
92,3.9253,9370.97,8120.1834,18878.91,-5.4528466639,0.405343,0.481098,36.8358,0.6704,-0.3535,0.052961,0.652096,-1.834615,153,0.015842,2018.1476,0.135637,0
93,3.968,9600.24,8052.7625,19007.81,-4.6980508401,0.406897,0.540497,44.3216,0.5907,-0.5081,0.044535,0.583368,-0.327829,153,0.015709,1880.6521,0.137956,0
94,4.0107,9507.38,7961.449,18820.31,-4.8930187835,0.362031,0.530086,46.6247,0.5984,-0.462,0.045942,0.608245,0.606163,155,0.015103,1909.5266,0.125748,0
95,4.0533,9161.53,7904.8418,18550.78,-4.1842405639,0.39362,0.57092,60.7227,0.6073,-0.5924,0.040571,0.487654,2.833243,162,0.015506,1946.1209,0.106702,0
96,4.096,9124.14,7904.4845,18644.53,-4.0546403627,0.457603,0.583468,65.4512,0.5915,-0.6721,0.038997,0.441613,3.266632,160,0.015161,1862.5439,0.094128,0
97,4.1387,9179.59,7774.3781,18492.19,-3.8386303767,0.462182,0.590121,67.1025,0.5376,-0.7349,0.038177,0.413287,3.783416,147,0.01516,1815.0666,0.086436,0
98,4.1813,9525.7,7899.5089,18878.91,-3.7038143954,0.349081,0.60534,70.3814,0.4833,-0.8243,0.036333,0.398846,4.750073,154,0.015049,1853.9153,0.096569,0
99,4.224,9729.13,7946.4861,18890.62,-4.8231206329,0.358786,0.538119,46.2133,0.5975,-0.4215,0.044854,0.600763,-0.367408,161,0.015282,2073.2768,0.134904,0
100,4.2667,9817.31,8139.1088,18949.22,-5.7692841116,0.498661,0.459463,32.6815,0.6824,-0.1107,0.056292,0.696072,-1.721391,138,0.015071,2017.8901,0.15456,0
101,4.3093,9747.09,8267.5825,19113.28,-5.9617784976,0.472825,0.444632,31.3438,0.6663,-0.1866,0.058667,0.679835,-2.456995,158,0.014967,2114.1706,0.148578,0
102,4.352,9785.21,7989.7816,18937.5,-4.9624659875,0.347284,0.52347,44.0314,0.5857,-0.4338,0.046851,0.614536,0.033697,174,0.015174,1938.843,0.143938,0
103,4.3947,9683.43,8155.3855,18914.06,-5.882967282,0.276802,0.452962,32.9666,0.6833,-0.132,0.057323,0.663125,-0.375152,146,0.015234,2093.8121,0.142718,0
104,4.4373,9415.34,8109.7351,18878.91,-5.3498882826,0.502974,0.484727,38.2167,0.6724,-0.2912,0.052417,0.61595,-7.540973,151,0.014687,2039.9236,0.157734,0
105,4.48,9776.44,8031.601,18937.5,-5.2781392669,0.479352,0.484732,37.6629,0.626,-0.2612,0.052416,0.665717,-0.524739,179,0.015963,2099.2964,0.148334,0
106,4.5227,9523.58,7993.037,18773.44,-4.7026890091,0.51818,0.531212,47.2666,0.5651,-0.5634,0.045789,0.579213,0.36386,133,0.015279,1997.9456,0.127701,0
107,4.5653,9287.99,7909.1716,18656.25,-4.0463347019,0.472932,0.574439,62.6972,0.5511,-0.7279,0.040126,0.445696,3.340093,160,0.015081,1933.7245,0.109633,0
108,4.608,9541.66,8076.4241,18843.75,-5.467954501,0.431099,0.474477,37.2079,0.6544,-0.2502,0.053964,0.621162,0.508809,140,0.01566,2046.1958,0.127701,0
109,4.6507,10059.55,8120.2236,19125.0,-5.9522528378,0.330684,0.449708,31.1101,0.6705,-0.0034,0.057845,0.705973,-1.65785,161,0.015306,2030.8655,0.150897,0
110,4.6933,9485.04,7952.9424,18820.31,-4.6309731857,0.334038,0.553583,52.5395,0.5895,-0.5224,0.042803,0.567582,0.640947,146,0.015083,1905.1165,0.120132,0
111,4.736,9265.38,7835.5702,18503.91,-4.1648040956,0.448138,0.580297,60.0628,0.5779,-0.6427,0.039392,0.459709,2.643588,154,0.015562,1870.079,0.122085,0
112,4.7787,10227.44,8252.741,19160.16,-6.8230650274,0.318561,0.382075,23.3206,0.723,0.2517,0.069642,0.758985,-4.202175,155,0.016372,2120.5166,0.146991,0
113,4.8213,9608.29,8016.5526,18890.62,-4.8619054724,0.495908,0.5231,42.3198,0.5906,-0.4634,0.046903,0.597838,0.909918,136,0.015712,1932.0047,0.147723,0
114,4.864,9720.66,8050.4911,18843.75,-4.812816915,0.351875,0.522472,44.6155,0.5686,-0.4781,0.046989,0.616308,0.337325,170,0.015196,1978.1626,0.142107,0
115,4.9067,9790.61,8154.6047,18914.06,-5.4758844703,0.560163,0.469071,36.1644,0.6347,-0.2869,0.054794,0.673739,-2.248203,139,0.015474,1970.8602,0.140032,0
