frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,1797.83,1774.1646,2882.81,-6.0009068436,1.131342,0.30532,16.6311,2.4842,6.4701,0.085874,0.631962,1.877222,41,0.0,489.8302,0.02808,0
1,0.0427,1874.24,1842.4695,2988.28,-5.6550892672,1.024748,0.323365,21.8353,2.3544,5.4753,0.081718,0.620167,-4.113432,46,0.019147,540.2,0.028568,0
2,0.0853,1803.06,1794.0774,2789.06,-6.092497581,1.04713,0.306159,22.2158,2.5097,6.4166,0.085676,0.59151,-1.344879,39,0.020183,569.3234,0.026492,0
3,0.128,1804.12,1732.3193,2824.22,-5.8495773204,1.111639,0.290551,18.1972,2.6111,6.9934,0.089463,0.612073,-6.882508,39,0.019141,515.2599,0.026981,0
4,0.1707,1875.01,1809.2111,3000.0,-5.707889105,1.051959,0.325059,28.0577,2.3994,5.7463,0.08134,0.600495,-0.582225,31,0.016727,546.7392,0.027347,0
5,0.2133,1796.37,1781.7759,2835.94,-5.7552783675,1.069652,0.311266,28.3039,2.5234,6.4185,0.084478,0.595844,-2.49926,33,0.018556,576.4567,0.026615,0
6,0.256,1826.13,1793.0506,2917.97,-5.953817529,1.085714,0.313608,21.295,2.4661,6.1065,0.083936,0.608793,-8.984944,36,0.017814,527.9954,0.026492,0
7,0.2987,1825.72,1790.8758,2871.09,-5.8071571182,1.162462,0.310305,25.6212,2.455,6.085,0.084702,0.584654,-3.166953,39,0.020138,534.9222,0.026248,0
8,0.3413,1875.91,1817.4419,3035.16,-5.5788084375,1.088031,0.316904,20.8839,2.4518,5.9341,0.083179,0.60298,-10.499104,36,0.018129,488.8394,0.027958,0
9,0.384,1805.87,1791.2796,2765.62,-5.9510018355,1.122651,0.308595,23.1854,2.5166,6.4042,0.085102,0.595907,-2.017997,46,0.018067,535.5233,0.027103,0
10,0.4267,1847.66,1729.4842,2753.91,-5.7243882829,1.1525,0.29797,25.2032,2.5455,6.5776,0.087638,0.58332,-0.950342,50,0.020671,565.3989,0.028324,0
11,0.4693,1916.26,1844.6338,3105.47,-5.694272624,1.015143,0.330849,19.7842,2.3552,5.4652,0.080062,0.618956,-8.602446,42,0.017635,533.074,0.029789,0
12,0.512,1887.86,1828.7531,3058.59,-5.8362570353,1.059551,0.315946,19.6801,2.3948,5.6041,0.083398,0.60782,-6.432627,38,0.018177,515.078,0.027225,0
13,0.5547,1814.47,1799.0005,2847.66,-5.7363082992,1.139353,0.306719,19.268,2.557,6.5258,0.085543,0.629747,-1.601541,39,0.017326,530.6436,0.026737,0
14,0.5973,1761.66,1761.9968,2753.91,-5.9943784717,1.12598,0.294994,19.2379,2.5516,6.6578,0.088364,0.617636,-6.172384,27,0.017816,527.9491,0.025272,0
15,0.64,1851.69,1808.0429,2941.41,-5.8174268866,1.027653,0.320746,24.8296,2.4092,5.8821,0.082306,0.603304,-7.833257,39,0.019543,530.4308,0.025882,0
16,0.6827,1887.05,1817.0977,3023.44,-5.7683428672,1.07285,0.319009,17.2828,2.4421,6.001,0.082699,0.626767,-2.898795,50,0.019414,541.6613,0.026126,0
17,0.7253,1837.85,1754.1898,2847.66,-6.0889445256,1.04672,0.30889,21.708,2.518,6.5068,0.085033,0.614124,-1.352297,46,0.017771,528.6166,0.027225,0
18,0.768,1904.84,1793.0385,2988.28,-5.8700053913,1.002911,0.327741,19.4863,2.4391,6.0068,0.080745,0.627615,-5.113444,38,0.018429,509.2723,0.028934,0
19,0.8107,1917.04,1851.7662,2976.56,-5.7620713516,0.942387,0.328242,20.3134,2.4484,5.9099,0.080634,0.63738,-5.981819,38,0.01924,541.3634,0.028324,0
20,0.8533,1884.53,1807.1243,3011.72,-5.6972743966,0.99163,0.327614,23.0672,2.3774,5.6036,0.080773,0.602339,-8.065656,36,0.017749,550.8924,0.029911,0
21,0.896,1848.23,1783.4599,2894.53,-5.9003178591,1.084745,0.322512,26.8332,2.4348,5.9751,0.081909,0.609381,-3.478913,39,0.018522,569.2091,0.029423,0
22,0.9387,1823.58,1763.4545,2894.53,-5.703440632,1.050069,0.314643,30.4866,2.4857,6.3532,0.083697,0.581153,-0.793899,45,0.017179,592.2752,0.02808,0
23,0.9813,1846.14,1792.5437,2917.97,-5.8658645317,1.017044,0.310263,15.0094,2.4497,6.0514,0.084712,0.647087,-7.84302,40,0.019156,515.8359,0.02576,0
24,1.024,1824.58,1790.348,2894.53,-5.6143464559,1.146784,0.316486,29.1017,2.5141,6.3902,0.083274,0.588892,-1.752298,31,0.018815,584.376,0.024295,0
25,1.0667,1879.2,1844.657,3046.88,-5.681486302,1.059831,0.31999,21.5844,2.4328,5.8329,0.082477,0.599202,-8.039038,34,0.019375,517.4259,0.02515,0
26,1.1093,1746.11,1729.3596,2671.88,-6.0665935275,1.111169,0.288744,21.1435,2.6058,7.0469,0.089915,0.609028,-4.617797,44,0.016394,534.5689,0.024783,0
