frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,0.882899,-2.118337,0.579042,-1.707345,1.598117,0.076974,3.140684,-0.647858,-0.609059,-0.140797,0.236021,0.648750,1.970351,-3.008618,4.813220,-0.699645
1,0.042700,0,1.189330,-1.959394,0.579042,-1.416392,0.913566,-1.408975,2.033365,-1.203931,-0.832054,1.541422,0.653418,-0.959195,0.976609,3.061241,5.523494,0.350114
2,0.085300,0,1.185299,-1.485708,0.579042,-0.811109,-0.258705,-1.565797,0.908822,-1.160155,-0.924868,1.740523,0.536333,0.978688,-0.514005,0.334463,4.239727,0.215117
3,0.128000,0,1.072878,-1.129778,0.579042,-0.081275,-0.082153,-1.696441,-0.055920,-1.104548,-0.840492,1.910167,0.622305,-1.045043,-0.514005,-0.777173,2.831355,0.290047
4,0.170700,0,0.963921,-0.613053,0.579042,0.037206,0.579455,-1.404402,-0.318948,-1.076153,-0.910403,1.535576,0.584182,0.793931,0.479738,-1.364051,0.465627,0.335128
5,0.213300,0,0.633019,0.428074,0.579042,1.208394,1.497632,-1.025730,-0.581382,-0.903415,-0.962235,1.073757,0.222957,0.501298,-0.017133,-0.388100,-0.349233,-0.024782
6,0.256000,0,0.147169,0.745356,0.579042,0.716907,-0.260301,-0.721484,-0.329520,-0.418330,-0.578924,0.720601,0.035346,0.545706,-0.514005,-1.221827,-0.373944,0.095106
7,0.298700,0,0.654310,-0.300966,0.579042,-0.143012,0.293191,-0.643450,-0.715761,-0.734227,-0.671739,0.632341,0.679479,0.513027,1.225044,-0.556480,0.055271,0.605000
8,0.341300,0,0.898513,-0.401756,0.579042,0.123024,0.432298,-0.824522,-0.530808,-0.943642,-0.786249,0.838549,0.673136,-1.178925,-1.756183,-0.986422,0.240941,0.725011
9,0.384000,0,1.154468,-0.963992,0.579042,0.304044,0.749649,-1.184524,-0.266651,-1.131760,-0.869421,1.264376,0.566734,1.034958,-0.265569,-1.187497,0.876477,0.530070
10,0.426700,0,0.368603,0.228334,0.579042,-0.016798,0.109496,-1.374070,-0.559406,-0.504699,-0.576514,1.497636,0.319122,0.647113,-0.017133,-0.339057,1.488498,0.545056
11,0.469300,0,0.417489,0.131466,0.579042,0.145776,-0.030246,-1.163338,-0.559168,-0.546108,-0.629550,1.238701,0.246859,0.478852,-0.514005,-1.511179,0.950061,0.050148
12,0.512000,0,-0.460300,1.234235,0.441389,0.484193,0.766261,-0.541965,-0.082707,0.190984,-0.113648,0.518978,-0.245849,0.023626,0.728173,-0.556480,0.617198,-0.264805
13,0.554700,0,-0.690819,1.381224,0.441389,1.483636,1.982917,0.183494,0.740231,0.396850,0.068364,-0.249231,-0.789055,0.488469,0.231302,-0.809868,-0.265634,-0.879601
14,0.597300,0,-0.089482,1.075359,0.579042,1.483422,0.765125,-0.126584,0.675046,-0.192351,-0.458387,0.070455,-0.620138,1.088344,-0.265569,-0.491090,-0.388937,-1.179567
15,0.640000,0,-0.220412,1.175440,0.441389,1.066533,0.295302,0.510312,0.692894,-0.030262,-0.337849,-0.573387,-0.547452,0.947637,0.976609,-0.383196,-0.772824,-0.309763
16,0.682700,0,0.719889,-0.175146,0.579042,0.624674,0.255043,-0.537770,-0.749676,-0.757890,-0.757320,0.514278,0.640243,-1.236498,-0.265569,0.051650,0.242965,0.260075
17,0.725300,0,0.311428,0.154106,0.579042,0.210920,0.153273,-0.669629,-0.685173,-0.369821,-0.447538,0.661799,0.227386,0.632440,1.721916,-0.646392,0.571006,0.185145
18,0.768000,0,-0.234891,0.723534,0.441389,0.296973,-0.998017,-0.428061,-0.330084,0.098700,-0.105211,0.393579,-0.004914,0.159166,-0.265569,-0.971709,-0.946508,-0.279791
19,0.810700,0,-0.038268,0.706688,0.441389,0.951595,-0.801254,0.113432,0.233924,-0.149758,-0.365572,-0.178049,-0.399432,0.784680,0.231302,-1.081238,-0.768313,-0.519690
20,0.853300,0,0.449569,0.397088,0.579042,0.201589,-0.114227,-0.852169,-0.979948,-0.623012,-0.732007,0.870414,0.596890,-1.457024,-1.507747,-0.151060,-0.119407,-0.429774
21,0.896000,0,-0.075969,1.092351,0.441389,0.620861,0.873266,-0.891563,-0.374986,-0.204183,-0.431868,0.916149,0.099574,0.439294,-1.259311,-0.664374,0.507946,0.500098
22,0.938700,0,1.486677,-1.230245,0.579042,1.215215,0.773485,-1.281731,-0.444834,-1.453573,-1.083978,1.383241,0.552513,0.949549,-1.507747,0.007511,0.020701,1.114894
23,0.981300,0,0.911515,-0.077276,0.579042,0.707492,0.705521,-1.304931,-0.699487,-1.079702,-0.982726,1.411782,0.644271,-1.174779,-0.514005,-1.555318,-0.163619,0.605000
24,1.024000,0,1.412979,-1.048389,0.579042,1.422698,0.450372,-1.359596,-0.536866,-1.401515,-1.061076,1.479640,0.419426,0.980910,1.225044,-1.288852,0.065967,0.874994
25,1.066700,0,1.410197,-1.200308,0.579042,1.027788,1.388854,-1.164974,-0.574759,-1.354190,-1.017682,1.240649,0.501481,0.878627,-0.017133,-1.762932,-0.075556,0.904966
26,1.109300,0,0.219277,1.058721,0.579042,0.322406,0.227311,-1.233694,-0.655506,-0.503516,-0.699462,1.324325,0.124611,-1.841982,0.976609,-0.384831,0.206849,0.560042
27,1.152000,0,0.620300,0.247824,0.579042,0.648946,0.588356,-1.163002,-0.755051,-0.782735,-0.851340,1.238242,0.679434,-1.324119,-1.010876,-0.209911,0.287084,0.350114
28,1.194700,0,-0.223819,1.602118,0.441389,1.460274,1.967143,-0.848729,0.000683,-0.147392,-0.507807,0.866517,-0.503921,0.836349,-0.017133,0.156274,0.196750,0.065134
29,1.237300,0,1.787033,-1.989200,0.579042,0.339812,1.342481,-0.343441,-0.494458,-1.569520,-1.208132,0.301537,0.492735,1.146651,1.721916,1.151842,0.220041,0.650081
30,1.280000,0,1.425640,-1.279735,0.579042,0.079085,1.912234,-0.739482,-0.423482,-1.293850,-1.069513,0.741119,0.608529,-0.576379,0.231302,-1.368955,0.466019,0.455017
31,1.322700,0,0.118325,0.951735,0.579042,0.241859,-0.107369,-0.811726,-0.721612,-0.326045,-0.545174,0.823763,0.161711,0.897720,-0.265569,0.058189,-0.205543,0.680053
32,1.365300,0,1.138003,-0.657730,0.579042,0.356764,-0.366211,-0.884515,-0.396962,-1.104548,-0.914020,0.908011,0.649367,0.675982,-0.265569,-0.353770,-0.979235,1.204933
33,1.408000,0,0.645453,0.055428,0.579042,0.212522,0.940689,-1.085682,-0.594003,-0.721212,-0.684998,1.145282,0.547683,-1.307380,0.976609,-0.907953,-0.231132,0.545056
34,1.450700,0,0.239717,0.563088,0.579042,0.254815,0.428754,-0.425796,-0.405396,-0.365089,-0.445127,0.391058,0.066414,-1.818149,-1.010876,-0.729765,0.188626,-0.084849
35,1.493300,0,0.339249,0.430217,0.579042,0.333020,-0.258462,-0.344490,-0.560623,-0.438443,-0.509013,0.302683,0.267646,0.913220,-1.507747,-0.216450,0.286390,0.230103
36,1.536000,0,0.883523,-0.530517,0.579042,-0.333774,-0.547255,-0.783953,-0.442993,-0.818229,-0.716338,0.791897,0.697684,-0.958644,0.728173,-0.616966,1.161518,0.575028
37,1.578700,0,-1.446421,2.058030,-1.898490,1.278352,0.462411,0.735896,1.317812,1.176536,0.867529,-0.789911,-1.789806,-2.813115,-0.514005,2.279826,-0.299707,-0.189752
38,1.621300,0,1.163326,-0.705608,0.579042,0.041056,0.896697,-0.679656,-0.528669,-1.091534,-0.950181,0.673147,0.531571,0.776772,-2.253054,2.163758,-1.095893,0.185145
39,1.664000,0,0.513387,0.463179,0.579042,-0.019571,-0.286830,-0.697906,-0.878175,-0.669155,-0.799509,0.693779,0.559456,-1.473393,-0.265569,-0.873623,0.163271,0.845022
