frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,391.96,281.5774,457.03,-6.697930452,1.776779,0.216852,36.0914,1.8565,7.0281,0.110639,0.148445,15.380546,142,0.0,177.0953,0.009156,0
1,0.0427,401.74,297.973,457.03,-6.6472972327,1.808809,0.229022,36.6818,1.7994,6.5059,0.106687,0.142889,14.388419,139,0.00345,181.5137,0.009156,0
2,0.0853,366.55,320.695,457.03,-6.8171266562,1.66813,0.206188,33.6777,1.8136,6.2658,0.11429,0.175287,6.705722,146,0.002699,186.9287,0.009278,0
3,0.128,386.74,295.7169,457.03,-6.2772683784,1.796775,0.19574,37.2646,1.9824,8.2172,0.118053,0.147635,9.921895,147,0.002803,195.1434,0.009278,0
4,0.1707,365.54,309.656,457.03,-6.7923032569,1.897959,0.191288,35.7919,2.0412,8.0224,0.119719,0.164456,13.752876,161,0.002642,194.1204,0.009156,0
5,0.2133,353.49,289.679,445.31,-6.7253387665,1.793005,0.175347,33.9424,2.023,8.5686,0.126017,0.169774,7.430555,153,0.00231,196.0835,0.009156,0
6,0.256,370.11,278.7736,457.03,-6.3220504025,1.871998,0.20337,33.0916,1.6839,6.6587,0.115285,0.155118,9.052282,143,0.002414,193.8227,0.009156,0
7,0.2987,354.48,289.9493,457.03,-6.904406052,1.786742,0.191593,32.8782,1.6903,5.845,0.119603,0.174432,6.456303,141,0.002352,149.534,0.009156,0
8,0.3413,360.51,279.0506,457.03,-6.7359754216,1.54179,0.200192,31.2774,1.6316,5.7988,0.116426,0.169739,13.676439,147,0.002724,161.0317,0.009156,0
9,0.384,359.0,274.7885,445.31,-6.4786839001,1.778876,0.188662,32.242,1.4563,5.4481,0.120719,0.160939,13.162955,144,0.002803,171.4565,0.009156,0
10,0.4267,355.81,272.773,457.03,-6.8169407296,1.727077,0.200646,31.1203,1.4895,5.1165,0.116261,0.16079,8.49065,140,0.002319,158.9042,0.009156,0
