frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,2343.06,2836.1343,6000.0,-3.3639970948,1.44503,0.48615,87.3315,1.2842,0.3738,0.052205,0.248044,12.576632,32,0.0,614.5254,0.023074,0
1,0.0427,2517.34,2914.139,6468.75,-3.2404047579,1.41242,0.517782,83.7572,1.1948,0.1105,0.047642,0.246872,11.651835,36,0.004935,555.7485,0.027225,0
2,0.0853,2555.15,2909.2416,6398.44,-3.395048124,1.260749,0.522159,76.4003,1.1662,0.0402,0.047033,0.249454,8.096046,38,0.005,623.2385,0.02637,0
3,0.128,2478.74,2824.598,6140.62,-3.4290672738,1.302176,0.515582,78.812,1.237,0.2594,0.04795,0.245331,11.181575,38,0.004924,572.8349,0.026737,0
4,0.1707,2566.51,2870.798,6421.88,-3.2886576108,1.441374,0.532555,79.7898,1.1457,0.0162,0.045606,0.242328,8.026251,37,0.004958,517.7949,0.027713,0
5,0.2133,2558.96,2967.7978,6585.94,-3.2401067155,1.372771,0.51774,76.1478,1.1586,-0.0115,0.047648,0.263957,6.565601,31,0.004871,584.957,0.027591,0
6,0.256,2496.15,2926.1991,6433.59,-3.4481651305,1.302824,0.513525,78.2774,1.2005,0.1216,0.04824,0.25192,7.490457,34,0.004499,587.1755,0.02869,0
7,0.2987,2577.76,2926.6723,6597.66,-3.2650826678,1.280225,0.526769,79.7539,1.1556,0.0079,0.046397,0.240783,8.462903,36,0.00448,622.5886,0.027347,0
8,0.3413,2585.57,2894.8773,6339.84,-3.1436050882,1.371989,0.539803,80.1312,1.1402,0.0208,0.044627,0.241082,8.197822,38,0.00437,556.7449,0.026492,0
9,0.384,2538.06,2826.0296,6199.22,-3.3256618339,1.408962,0.526941,82.0254,1.1667,0.1091,0.046373,0.232012,11.784045,38,0.004334,613.6851,0.030155,0
10,0.4267,2420.06,2848.0515,6105.47,-3.3963013366,1.376649,0.50479,77.595,1.2318,0.231,0.049481,0.266741,12.944098,37,0.004509,573.4291,0.034062,0
11,0.4693,2561.16,2943.9108,6433.59,-3.1596749934,1.468844,0.518195,79.445,1.1565,0.0151,0.047584,0.255001,12.569209,33,0.004163,536.1114,0.032475,0
12,0.512,2627.41,2918.4048,6480.47,-3.1711503975,1.394036,0.531603,79.578,1.1375,-0.0025,0.045735,0.239525,8.31053,34,0.004526,550.966,0.028934,0
13,0.5547,2683.0,2930.1171,6656.25,-2.9452061029,1.501397,0.543129,81.8317,1.1001,-0.1351,0.044183,0.226116,11.9268,45,0.0045,609.6609,0.028812,0
14,0.5973,2676.8,2904.3685,6574.22,-3.1960126422,1.283199,0.54035,80.7359,1.141,-0.0328,0.044554,0.223453,11.323365,42,0.004471,541.3203,0.029056,0
15,0.64,2690.75,2892.1308,6562.5,-3.1736146427,1.333838,0.550811,83.211,1.1212,-0.0465,0.043166,0.21683,11.670947,42,0.004536,571.0881,0.029667,0
16,0.6827,2698.82,2920.4824,6632.81,-3.2298915384,1.393573,0.545625,80.6702,1.1377,-0.0392,0.043851,0.219571,11.350721,47,0.00437,602.731,0.027469,0
17,0.7253,2774.68,2972.3007,6796.88,-2.8293608375,1.460123,0.55654,83.8314,1.0365,-0.2694,0.042417,0.219185,9.977043,45,0.004785,594.9041,0.026004,0
18,0.768,2571.93,2909.7506,6644.53,-3.20570795,1.418239,0.523198,80.106,1.1439,-0.0246,0.046889,0.245447,7.818125,45,0.00456,561.1555,0.030033,0
19,0.8107,2558.86,2923.8465,6515.62,-3.1908372134,1.482202,0.515038,81.0542,1.1497,-0.0042,0.048027,0.247402,7.253985,37,0.004116,554.3062,0.029911,0
20,0.8533,2483.55,2893.4127,6339.84,-3.2674154927,1.379828,0.505598,77.8151,1.2046,0.1368,0.049366,0.255939,10.894606,49,0.004313,601.8735,0.027958,0
21,0.896,2635.14,2865.1143,6410.16,-3.1679742274,1.363523,0.536062,82.0925,1.1541,0.0467,0.045131,0.223192,10.523951,43,0.005033,577.5257,0.02576,0
22,0.9387,2519.33,2869.8023,6234.38,-3.2074702461,1.380247,0.516962,79.4567,1.1978,0.1541,0.047757,0.245302,11.201082,49,0.005051,581.2575,0.02576,0
23,0.9813,2672.01,2952.1418,6656.25,-3.164414848,1.464259,0.540349,83.3613,1.1096,-0.1102,0.044554,0.222592,9.789087,41,0.004758,573.4361,0.026737,0
24,1.024,2553.6,2864.0183,6386.72,-3.1731705264,1.410038,0.53019,81.3236,1.1732,0.0836,0.045928,0.235771,12.310395,37,0.004862,614.5813,0.030399,0
25,1.0667,2433.91,2811.4369,6164.06,-3.463073327,1.382272,0.511923,84.772,1.2338,0.24,0.048466,0.235005,12.738954,37,0.004248,559.8345,0.032108,0
26,1.1093,2407.39,2840.5498,6187.5,-3.3643807363,1.401112,0.497073,78.7843,1.2142,0.203,0.050597,0.265074,11.811685,39,0.004427,537.3955,0.033329,0
27,1.152,2404.07,2845.7865,6117.19,-3.2412828169,1.413367,0.500691,78.0688,1.2251,0.2376,0.050072,0.265736,12.778728,45,0.004722,591.2941,0.031986,0
28,1.1947,2420.49,2853.6669,6187.5,-3.2299748195,1.464012,0.496392,79.7591,1.2147,0.1866,0.050696,0.260804,11.706766,32,0.004276,577.8138,0.027958,0
29,1.2373,2513.94,2891.2321,6328.12,-3.2184935037,1.531167,0.521071,87.4129,1.1825,0.0912,0.047184,0.224043,11.218523,43,0.004826,568.4795,0.026126,0
30,1.28,2479.44,2843.385,6246.09,-3.2398578687,1.518821,0.512411,83.174,1.2042,0.1657,0.048397,0.237541,8.314245,34,0.004176,585.965,0.024051,0
31,1.3227,2547.22,2859.319,6386.72,-3.35163637,1.471366,0.522304,87.3548,1.208,0.14,0.047013,0.215435,12.504751,39,0.004658,561.1708,0.02637,0
32,1.3653,2410.57,2835.5679,6035.16,-3.3006921199,1.448149,0.492011,83.0615,1.2705,0.3555,0.051338,0.250996,13.515721,41,0.00509,575.7244,0.029178,0
33,1.408,2344.48,2838.2868,6117.19,-3.2672111098,1.543943,0.474009,83.9067,1.3022,0.3983,0.054036,0.254057,12.847471,34,0.004788,543.0629,0.029667,0
34,1.4507,2435.63,2825.2785,6023.44,-3.3533899182,1.463769,0.507012,82.5352,1.2393,0.2759,0.049164,0.241675,12.051971,39,0.004604,601.3153,0.029667,0
