frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-1.981723,-0.276195,-2.975385,-1.487043,-3.638773,-0.026726,0.520805,1.592170,1.166987,-0.065825,-0.668072,0.554905,-0.412656,-3.391808,0.092021,-2.476876
1,0.042700,0,-1.383920,0.150698,-0.313543,-0.220923,-2.960281,0.923016,1.059409,1.350779,0.870246,-1.069514,-0.401572,-0.140487,0.307165,0.437370,0.495799,-0.081268
2,0.085300,0,-1.130400,0.467155,-0.215031,-0.322394,-2.205239,0.122882,0.968966,1.603401,1.289921,-0.236292,0.820414,-0.261306,-1.132476,0.101246,0.857889,-1.441095
3,0.128000,0,-1.710316,-0.223070,-0.313543,-1.002109,-1.833541,-0.380804,0.340942,1.260427,0.948092,0.359565,-0.587910,0.993458,-0.232701,0.855878,0.184115,-4.095515
4,0.170700,0,-1.406057,0.007956,-0.215031,-1.079307,-1.743675,-0.137474,0.392024,1.831824,2.397636,0.063851,0.456464,0.236022,0.127210,-0.699520,0.462907,-2.865625
5,0.213300,0,-0.653291,0.521936,-0.116435,0.277143,-1.386560,0.570045,1.184760,1.844241,2.267653,-0.717003,0.681827,-2.330853,0.667075,0.223174,0.877507,-0.987642
6,0.256000,0,-0.790721,0.480841,-0.116435,-0.287729,-1.096598,-0.207829,0.626994,1.996594,2.385245,0.147686,1.848488,-0.310752,0.487120,-0.327147,0.872597,-1.182282
7,0.298700,0,-0.853415,0.177851,-0.116435,-0.695278,-0.999527,0.041545,0.447184,1.467237,1.389536,-0.144222,1.031726,0.145659,0.487120,-0.841219,0.579107,-2.218063
8,0.341300,0,-1.282175,-0.213639,-0.116435,-1.866748,-0.715211,-0.564249,-0.243981,0.963010,0.936373,0.593200,1.080246,0.188762,0.667075,-0.435893,-0.025672,-2.865625
9,0.384000,0,-1.108528,-0.023971,-0.116435,-1.062111,-0.680543,-0.943779,-0.034552,1.314036,1.361546,1.109962,1.461512,-2.270217,-0.412656,-0.518276,0.330069,-0.987642
10,0.426700,0,0.795393,0.963776,-0.116435,0.243936,-0.818527,1.385927,1.523890,1.805210,1.746947,-1.500576,0.332943,-0.713720,0.307165,2.262985,0.882412,1.019217
11,0.469300,0,-0.909821,-0.088841,-0.116435,-0.907444,-0.517902,-0.517089,0.147293,0.666018,0.223216,0.532208,1.341751,0.040197,2.106716,2.035607,0.013279,-0.987642
12,0.512000,0,-0.766104,-0.209861,-0.116435,-1.219762,-0.376790,-0.448351,0.069962,0.123523,-0.341947,0.444488,0.370540,0.704845,0.127210,-0.686339,0.161912,-1.829844
13,0.554700,0,0.201131,0.266818,-0.116435,-0.361285,-0.558767,0.566171,0.757850,1.335184,1.252559,-0.713041,0.581165,0.358285,1.206940,0.869059,0.735077,-0.275377
14,0.597300,0,-0.431561,-0.013408,-0.116435,-0.791359,-0.379826,-0.676997,0.077355,1.045565,1.210970,0.741834,1.698703,-1.329121,-0.952521,-0.567706,0.539688,0.112842
15,0.640000,0,-0.453964,0.049542,-0.116435,-0.479975,-0.318053,-0.801322,0.112024,1.278438,1.471386,0.910358,1.621012,-1.440456,0.667075,-1.473923,0.589865,0.112842
16,0.682700,0,-0.052742,0.035415,-0.116435,-0.284826,-0.215886,-0.115086,0.377459,0.889186,0.650248,0.037356,0.490192,0.730837,-1.312431,0.348396,0.512774,-0.145971
