frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,87.97,241.3612,105.47,-7.1565613129,0.818213,0.114207,34.5013,5.4561,37.4232,0.157051,0.146353,15.637845,150,0.0,166.8265,0.003785,0
1,0.0427,155.48,373.3261,421.88,-6.0265887381,1.107146,0.136521,42.5736,4.8865,31.7237,0.144133,0.154233,10.353072,164,0.001162,203.9419,0.008302,0
2,0.0853,188.43,563.6366,433.59,-5.9676139877,1.428677,0.117686,41.4008,15.0134,482.0535,0.154879,0.190367,9.434678,142,0.001061,240.0941,0.005738,0
3,0.128,118.62,257.7836,421.88,-6.7237723521,1.586963,0.105888,31.8056,4.6733,33.2189,0.162526,0.148723,18.964654,125,0.00129,175.2918,0.000733,0
4,0.1707,152.98,329.2002,433.59,-6.792669716,1.625232,0.111605,32.5712,6.0216,61.0603,0.15872,0.179605,13.214732,154,0.000817,200.9185,0.003052,0
5,0.2133,237.99,488.0862,445.31,-5.5820803492,1.777308,0.128228,44.4523,6.0509,58.5637,0.14867,0.186269,-6.29712,146,0.001097,239.0287,0.006593,0
6,0.256,227.53,604.5302,445.31,-5.9133616168,1.900787,0.109883,36.2658,20.5144,815.7596,0.159845,0.220767,9.059464,149,0.00093,241.6063,0.006226,0
7,0.2987,215.39,381.7196,445.31,-6.4499355949,1.942124,0.115811,33.3979,5.1613,41.6977,0.156042,0.196615,12.526349,146,0.000774,211.5996,0.004273,0
8,0.3413,166.97,260.699,445.31,-7.4954357677,2.063199,0.101578,23.0391,3.9715,32.9938,0.165533,0.19805,12.856561,142,0.000897,156.0081,0.003052,0
9,0.384,186.58,319.3307,445.31,-6.777322411,2.077962,0.092661,26.1779,4.7998,41.1601,0.172184,0.209324,-5.835998,146,0.000872,188.708,0.006593,0
10,0.4267,408.0,761.1561,445.31,-5.4902383188,2.019202,0.147331,49.7341,15.9412,511.4993,0.138618,0.175953,5.995891,166,0.001716,242.2272,0.010377,0
11,0.4693,209.02,299.2776,445.31,-6.6392869505,2.147222,0.102686,28.9033,3.2707,19.2962,0.164748,0.205782,11.727966,160,0.001647,159.5885,0.006593,0
12,0.512,225.25,261.8668,445.31,-6.9180209916,2.207314,0.104301,27.7443,1.9906,8.4411,0.163619,0.177064,16.774434,134,0.000821,173.2509,0.005005,0
13,0.5547,334.48,409.2219,445.31,-6.1518574784,2.12982,0.128137,38.054,4.8497,39.0668,0.148721,0.183292,14.139768,147,0.001293,225.9365,0.007936,0
14,0.5973,263.03,322.5962,445.31,-6.5356849555,2.206021,0.098929,27.8551,4.1663,38.268,0.167446,0.216338,1.319065,155,0.000857,207.9762,0.008668,0
15,0.64,260.5,342.0557,445.31,-6.2577844639,2.232327,0.096008,28.3747,4.7158,43.2698,0.169615,0.21404,0.472661,145,0.000582,212.5885,0.008668,0
16,0.6827,305.81,337.6886,445.31,-6.0836199655,2.275834,0.112131,32.3529,3.7973,27.4982,0.158379,0.180603,16.970926,144,0.001135,205.5023,0.00818,0
17,0.7253,255.59,319.161,445.31,-6.2982992327,2.22931,0.102152,29.4493,3.6286,26.0322,0.165125,0.194896,19.613035,155,0.001197,235.4621,0.007447,0
18,0.768,331.44,546.3501,445.31,-5.2278044928,2.140655,0.115265,40.9548,5.0209,35.4779,0.156384,0.206483,1.032334,145,0.001207,334.6813,0.008546,0
19,0.8107,228.3,278.009,445.31,-6.4589943671,2.338217,0.081893,22.0887,2.8196,19.8622,0.181126,0.203907,16.08249,156,0.000935,170.672,0.008912,0
20,0.8533,214.7,258.4281,445.31,-6.5921109531,2.296517,0.086834,22.2858,2.8229,23.2643,0.176885,0.198511,12.168503,179,0.000751,128.1095,0.005982,0
21,0.896,187.43,228.353,445.31,-6.4565628306,2.433419,0.088614,17.655,2.1262,18.0399,0.175416,0.185784,17.724887,156,0.001118,111.068,0.004273,0
22,0.9387,177.38,204.1467,445.31,-7.2618079063,2.491234,0.100498,15.2762,0.7134,-0.6276,0.166307,0.165238,15.644129,157,0.001595,80.6702,0.005005,0
23,0.9813,149.16,197.0273,445.31,-6.4073577725,2.467731,0.097601,11.2792,0.9172,-0.4977,0.168424,0.184502,17.333264,144,0.001514,76.5164,0.003785,0
24,1.024,155.82,199.5603,445.31,-6.3248111514,2.475579,0.092444,14.1637,0.8127,-0.9352,0.172354,0.175454,19.692149,151,0.000717,75.2888,0.00354,0
25,1.0667,201.47,213.4005,445.31,-5.8333578155,2.575001,0.096406,15.1036,0.5639,-0.1887,0.169316,0.172624,20.403026,147,0.001668,81.5914,0.005738,0
26,1.1093,246.73,228.3706,445.31,-6.9796485832,2.454762,0.094748,17.6735,0.7521,3.071,0.170572,0.193945,16.971654,150,0.00159,115.5083,0.008058,0
27,1.152,227.57,224.5052,445.31,-6.0847622387,2.509374,0.087199,14.5635,0.5106,0.3847,0.176582,0.199199,19.926082,145,0.000975,105.7465,0.008546,0
28,1.1947,208.94,218.6272,445.31,-6.4667201823,2.574057,0.082964,13.9808,0.4685,-0.5915,0.180185,0.200481,19.842966,163,0.000809,87.7336,0.007936,0
29,1.2373,203.91,217.2113,445.31,-6.1492693315,2.594513,0.088453,15.3603,0.3968,-1.0927,0.175548,0.182677,-2.298388,136,0.001104,98.2318,0.008424,0
30,1.28,231.68,225.5434,445.31,-6.5641469375,2.666905,0.081598,14.8288,0.5598,1.4777,0.181387,0.191688,0.132064,145,0.000888,119.3113,0.009156,0
31,1.3227,247.21,219.2814,445.31,-6.6056062303,2.569334,0.101549,14.0629,0.2055,-0.3646,0.165554,0.188927,17.585016,160,0.000684,78.2403,0.009278,0
32,1.3653,280.94,215.2553,445.31,-6.7880293728,2.64643,0.103977,16.5991,0.257,1.6073,0.163844,0.171237,15.618731,146,0.001284,105.8552,0.009156,0
33,1.408,270.75,212.3792,445.31,-6.2229667583,2.629124,0.11837,14.276,0.0052,0.1015,0.15446,0.178998,15.858833,157,0.001166,87.5127,0.009156,0
34,1.4507,260.94,217.8866,445.31,-6.4405410054,2.701974,0.094712,15.5183,0.1376,-0.0963,0.170599,0.187152,3.559162,144,0.000692,100.9503,0.009156,0
