frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-2.767911,-5.197245,-2.903922,-7.295591,-1.421454,-2.981096,-0.846325,6.840347,9.893367,4.395024,-1.094934,0.799393,-1.913284,-2.315971,-2.944709,-1.380883
1,0.042700,0,-2.669377,-4.607752,-2.853577,-4.078717,-2.612933,-2.618241,-0.103315,4.248932,3.230383,3.213124,-1.277199,0.854384,-1.431850,-1.649442,-2.458952,-1.342808
2,0.085300,0,-2.365617,-2.903432,-2.713719,-2.759334,-2.624180,-2.389030,0.373280,2.584880,1.126447,2.672589,-0.993727,0.604429,-0.468983,-1.837011,-1.031354,-1.347285
3,0.128000,0,-2.220462,-2.373501,-2.506727,-1.586693,-1.356863,-2.248861,0.639940,1.969511,0.669648,2.389872,-0.990464,-3.181807,-0.468983,-1.991767,-0.397822,-1.347285
4,0.170700,0,-1.679699,-1.092739,-1.785062,-2.205083,-1.577429,-1.734705,1.090105,0.890697,0.115561,1.555576,-0.748139,0.261448,-1.913284,-1.698906,0.266633,-1.338331
5,0.213300,0,-2.054515,-1.908106,-2.282955,-1.324850,-1.496937,-2.030325,1.138324,1.551699,0.423129,2.002317,-1.102366,1.132680,0.012451,-1.465792,0.772274,-1.340569
6,0.256000,0,-2.146553,-2.225123,-2.389249,-1.335675,-1.524108,-1.987601,1.314899,1.815372,0.583506,1.932846,-1.330404,0.912829,-0.950417,-1.596061,0.227512,-1.302476
7,0.298700,0,-2.165949,-2.183236,-2.450783,-1.138554,-1.949879,-2.142065,1.021969,1.857288,0.602069,2.193297,-1.064768,0.839256,1.777708,-1.631322,1.218432,-1.306953
8,0.341300,0,-2.306984,-2.550630,-2.696934,-0.524467,-2.305946,-2.378653,0.619497,2.244810,0.832875,2.650575,-1.077530,1.329097,0.493885,-1.413390,0.528660,-1.327119
9,0.384000,0,-2.016409,-1.849697,-2.215826,-0.296066,-1.608185,-1.975610,1.291514,1.423184,0.370212,1.913647,-1.106360,1.623221,0.654363,-1.611243,1.565810,-1.336074
10,0.426700,0,-1.662617,-1.058346,-1.857791,-0.830948,-1.482931,-1.641558,1.555497,0.855820,0.101369,1.429302,-1.051702,1.180516,-2.073762,-1.545619,1.667653,-1.318165
11,0.469300,0,-0.920876,-0.087450,-0.481590,-0.864177,-2.816012,-0.920462,1.204266,0.179633,-0.106598,0.615830,-0.953119,0.815311,-0.629461,-1.228271,0.244331,-1.246474
12,0.512000,0,-0.632214,0.125891,-0.224253,-1.042610,-2.064723,-0.645049,1.078959,0.039493,-0.137749,0.361622,-0.913808,-2.091323,-0.468983,-1.598020,-0.173523,-0.973177
13,0.554700,0,-0.662935,0.178692,-0.179499,-0.611760,-1.674476,-0.656317,1.139036,0.051514,-0.135827,0.371583,-0.903631,0.611356,0.012451,-1.471179,0.178153,-0.993325
14,0.597300,0,-1.451285,-0.668541,-1.376678,-0.492637,-0.680769,-1.512696,1.543113,0.624176,0.018050,1.264089,-0.975732,0.446648,0.333407,-0.965283,1.607387,-1.262162
15,0.640000,0,-1.892763,-1.430578,-2.143097,0.138138,-1.457093,-1.974177,1.386691,1.160460,0.227191,1.911373,-1.028483,1.018691,0.172929,-0.827178,2.492718,-1.309192
