frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-4.263594,-6.992045,-4.870961,-7.951158,-2.841709,-4.711281,-0.467767,6.355237,6.956608,6.697340,-1.722186,-3.702516,-1.768031,-2.091997,-6.259411,-2.240841
1,0.042700,0,-3.944142,-5.029643,-4.696271,-2.370700,-3.732794,-3.750652,1.152891,4.961988,4.408132,3.886995,-2.079376,-2.711953,-0.292552,-0.881498,-2.666598,-2.260631
2,0.085300,0,-4.031477,-5.310811,-4.812731,-1.328913,-2.859635,-4.027221,0.914886,6.151040,6.658596,4.490456,-2.023695,-3.033362,0.445188,-1.369854,-3.046369,-2.112257
3,0.128000,0,-2.895794,-1.858406,-3.498377,-1.049543,-2.473847,-2.813848,2.626331,1.584989,0.510483,2.388867,-1.795880,-1.667747,0.076318,-1.191326,3.563678,-2.045494
4,0.170700,0,-2.016532,-0.677217,-1.693216,-1.664051,-0.277204,-1.982972,2.309450,0.744936,0.087960,1.450479,-1.666411,1.997294,-1.399161,-1.445422,1.136905,-1.983653
5,0.213300,0,-1.382455,-0.114459,-0.869661,-1.023199,-1.054474,-1.373445,1.956792,0.345476,-0.051792,0.894844,-1.556304,1.829271,0.445188,-1.559718,0.529086,-1.664643
6,0.256000,0,-1.841415,-0.513262,-1.343828,-1.108966,0.565911,-1.856204,2.389386,0.578535,0.026471,1.327333,-1.649414,-1.621786,-0.661422,-1.378828,2.098350,-1.770986
7,0.298700,0,-1.943874,-0.583672,-1.476927,-0.043257,-2.783460,-1.834603,3.418298,0.622320,0.041147,1.306761,-1.883327,-2.083769,0.260753,-1.250363,4.504821,-1.817980
8,0.341300,0,-1.288741,-0.092273,-0.786479,-0.585166,-1.258447,-1.257691,2.526841,0.281076,-0.071098,0.798714,-1.710318,-1.788766,-2.321335,-1.044441,1.764043,-1.815509
9,0.384000,0,-1.331708,-0.016731,-0.578510,0.095614,-0.034898,-1.439024,2.232146,0.283628,-0.074134,0.950498,-1.582675,-1.973636,-1.214726,-1.126149,2.095100,-1.625083
10,0.426700,0,-0.316506,0.398890,0.078667,-0.030252,-0.850614,-0.333246,0.850142,-0.094037,-0.160890,0.114158,-1.211585,1.351424,-1.030291,-0.915504,-0.339106,-1.024152
11,0.469300,0,-0.238210,0.252552,-0.054432,-0.538107,-0.674896,-0.248379,0.365448,-0.128692,-0.164945,0.057645,-0.741723,0.926787,-1.399161,-1.146930,-0.251924,-1.197259
12,0.512000,0,-0.364692,0.185974,-0.071064,-0.857466,-0.405922,-0.254864,0.478742,-0.060855,-0.153345,0.061941,-0.952644,1.226507,-1.214726,-1.145513,0.209562,-1.620141
13,0.554700,0,-1.038001,0.150612,-0.428772,0.514319,-0.327845,-1.011555,2.840452,0.171615,-0.103063,0.602827,-1.855758,-1.929669,-1.399161,-0.524914,2.517409,-1.664643
14,0.597300,0,-0.269355,0.066521,-0.096023,-0.720903,0.702024,-0.210877,0.124699,-0.056536,-0.148615,0.032920,-0.705019,-0.843654,-0.476987,-0.549473,-0.155241,-1.123082
15,0.640000,0,-0.158752,0.441297,0.195134,0.036856,0.658992,-0.194416,0.617637,-0.129870,-0.168919,0.022133,-0.958293,-0.833641,-0.476987,-0.908892,0.174547,-0.920300
16,0.682700,0,-0.256482,0.272934,-0.012834,-0.282471,0.276013,-0.259629,0.453046,-0.096197,-0.158258,0.065091,-1.025846,1.275492,1.182927,-0.868746,0.411052,-0.702671
17,0.725300,0,0.035238,0.401169,0.253365,-0.315221,-0.223162,-0.023416,-0.122402,-0.192798,-0.178845,-0.087934,-0.277083,-0.533517,0.445188,-0.729891,-0.217823,0.118340
18,0.768000,0,0.184163,0.335368,0.236725,-0.019029,0.048143,0.194468,-0.268046,-0.220678,-0.180963,-0.223299,-0.214275,-0.554532,-1.030291,-0.720445,-0.325179,-0.163582
19,0.810700,0,-0.255531,0.359913,0.128578,-0.269561,-0.774112,-0.344505,0.790524,-0.080391,-0.158923,0.121747,-1.158619,-0.715896,1.920667,-0.445568,0.091744,-0.922772
20,0.853300,0,-0.143250,0.268567,0.045396,-0.670665,-1.265363,-0.129640,0.486971,-0.112493,-0.158883,-0.019965,-0.915486,-0.811216,-0.845856,-0.653851,-0.016994,-0.485062
21,0.896000,0,0.609628,0.236623,0.411416,0.604715,0.328770,0.599944,-0.497835,-0.360082,-0.202125,-0.461858,0.445192,0.617394,-0.476987,-0.365750,0.095935,0.214778
22,0.938700,0,0.295045,0.336730,0.378144,-0.110519,-0.467673,0.233262,-0.396678,-0.252780,-0.187600,-0.246830,0.256117,-0.369822,0.814057,-0.370473,0.326593,0.390356
23,0.981300,0,0.543490,0.264459,0.461333,0.458662,0.896159,0.470478,-0.510751,-0.304615,-0.195538,-0.387493,0.491733,-0.414782,-0.476987,-0.387475,0.164069,0.076309
24,1.024000,0,0.160979,0.233555,0.153536,0.085187,0.638799,0.121130,-0.052805,-0.206149,-0.176343,-0.178289,-0.464511,1.051257,-0.108117,-0.236812,0.033000,-0.012736
25,1.066700,0,0.110134,0.183050,0.111946,-0.152166,1.297088,0.100978,-0.059340,-0.183570,-0.176172,-0.165831,-0.378028,0.864262,-1.030291,-0.257593,-0.300643,-0.356458
26,1.109300,0,-0.133624,0.339743,0.086987,0.155615,0.074017,-0.163250,0.602830,-0.155787,-0.169323,0.001848,-1.131260,-1.078785,0.998492,0.040899,-0.406126,-0.880720
27,1.152000,0,0.151143,0.318519,0.286636,0.209900,-0.869535,0.201677,-0.026101,-0.184551,-0.177332,-0.227690,-0.491238,1.003671,-0.845856,-0.080010,-0.335547,-0.536999
28,1.194700,0,0.393740,0.416458,0.519563,0.441456,0.036566,0.312902,-0.345307,-0.274673,-0.193339,-0.294704,-0.012306,-0.435612,0.076318,0.004059,0.564897,0.143072
29,1.237300,0,0.333339,0.253433,0.353186,0.159032,0.465411,0.403206,-0.360625,-0.254449,-0.187771,-0.348163,0.292133,-0.678991,-1.030291,-0.032308,-0.345452,0.612927
30,1.280000,0,0.285755,0.230367,0.353186,-0.246573,0.080833,0.243447,-0.486730,-0.199964,-0.178280,-0.252987,0.380741,-0.581312,1.182927,-0.047421,0.036239,0.637660
31,1.322700,0,0.221142,0.352443,0.303275,0.071091,-1.258082,0.217954,-0.132527,-0.270157,-0.190454,-0.237570,-0.461048,-0.723677,-0.108117,0.162279,0.016028,0.152957
32,1.365300,0,0.229425,0.119706,0.186815,-0.270747,0.562825,0.180006,-0.360899,-0.168844,-0.170543,-0.214469,0.411956,0.603639,-1.030291,0.242570,-0.053397,0.135658
33,1.408000,0,0.399967,0.204521,0.303275,0.193672,0.354115,0.384913,-0.542793,-0.260340,-0.187196,-0.337423,0.607059,-0.166539,0.260753,0.231707,-0.088071,0.261772
34,1.450700,0,0.287615,0.272369,0.311595,0.292112,0.787029,0.228078,-0.306153,-0.234815,-0.187287,-0.243680,0.115215,0.861805,-1.768031,0.238319,-0.161046,0.187574
35,1.493300,0,0.669553,0.145738,0.386464,0.469341,0.795608,0.709589,-0.914843,-0.329943,-0.198917,-0.523669,1.279101,-0.184611,-0.108117,0.494304,-0.120576,0.852797
36,1.536000,0,0.636785,0.376966,0.502924,0.602798,-0.412863,0.678239,-0.518327,-0.351148,-0.200662,-0.506104,0.671183,-0.069138,-1.214726,0.503750,-0.421878,0.593137
37,1.578700,0,0.322916,0.235487,0.220086,0.083764,-0.612213,0.372546,-0.370248,-0.230005,-0.179863,-0.330121,0.229381,0.779964,-0.476987,0.319082,-0.485432,0.180161
38,1.621300,0,0.279319,0.181218,0.269997,0.220672,1.209085,0.268365,-0.249024,-0.245908,-0.183636,-0.268023,-0.142111,0.933443,0.629622,0.558537,-0.214968,0.187574
39,1.664000,0,0.749752,0.197835,0.527876,0.660344,-0.230406,0.761788,-0.633825,-0.365776,-0.203265,-0.552689,0.959691,0.401901,0.814057,0.730453,-0.169388,0.358210
40,1.706700,0,0.208172,0.143857,0.103626,0.059636,-0.258711,0.241807,-0.363229,-0.224802,-0.179813,-0.251985,0.013896,0.802563,0.076318,0.815939,-0.277615,0.343382
41,1.749300,0,0.456436,0.133277,0.319914,0.289837,0.756204,0.509290,-0.577317,-0.250522,-0.186238,-0.409927,0.652987,0.394290,-0.845856,0.703060,-0.238356,0.234568
42,1.792000,0,0.551382,0.187703,0.411416,0.848336,1.336530,0.454716,-0.625992,-0.302062,-0.195377,-0.378281,0.761878,0.088694,1.551797,0.825385,0.619599,0.588195
43,1.834700,0,0.332920,0.050304,0.178495,0.165943,1.374800,0.370687,-0.460416,-0.215966,-0.178562,-0.329023,0.607017,0.140569,0.076318,1.099789,-0.183253,0.907205
44,1.877300,0,0.836694,0.274702,0.644343,0.934245,0.636644,0.702458,-0.873022,-0.348596,-0.204122,-0.519660,1.314144,-0.345865,-0.292552,0.983604,0.068378,1.223743
45,1.920000,0,0.598686,0.220001,0.552835,0.486415,1.951738,0.484966,-0.905886,-0.260536,-0.194086,-0.395894,1.213396,-0.118532,1.182927,0.708255,-0.157554,1.189126
46,1.962700,0,0.422842,0.186501,0.369825,0.010823,0.687827,0.442376,-0.826020,-0.214984,-0.182738,-0.371121,1.067482,0.337740,2.473971,1.016665,0.071853,0.978931
47,2.005300,0,0.774223,0.218440,0.527876,0.791440,-0.162885,0.794150,-0.695848,-0.364107,-0.201973,-0.570589,1.080904,0.328238,-1.214726,1.329798,-0.233803,0.600571
48,2.048000,0,0.544778,0.280585,0.477965,0.411302,0.492432,0.533448,-0.520926,-0.264561,-0.189849,-0.423864,0.663110,0.500414,-0.845856,0.974158,-0.214042,0.711837
49,2.090700,0,0.730751,0.250897,0.494604,0.858264,-0.080071,0.701131,-0.737401,-0.368034,-0.207239,-0.518944,1.088401,0.506249,0.260753,1.062478,-0.253287,1.112457
50,2.133300,0,0.741819,0.429471,0.644343,0.614763,0.364054,0.657694,-0.833620,-0.345651,-0.209589,-0.494553,1.236706,-0.110161,-0.108117,1.095066,-0.007368,1.112457
51,2.176000,0,0.407802,0.105486,0.278316,0.586902,0.824191,0.488728,-0.424236,-0.286551,-0.186874,-0.398042,0.249214,0.845282,-0.108117,1.296265,0.057799,0.800861
52,2.218700,0,0.499236,0.273053,0.477965,0.801121,0.282992,0.519885,-0.565493,-0.280661,-0.192331,-0.416036,0.634829,0.596383,0.445188,1.477155,-0.283026,0.697009
53,2.261300,0,0.613475,0.390412,0.544515,0.492518,0.277197,0.563951,-0.632011,-0.346927,-0.207935,-0.441333,0.840701,0.536840,1.736232,1.380334,0.107597,0.929466
