frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,0.750731,2.038561,-1.000000,-1.773934,-7.442225,7.583176,5.739847,5.274923,-0.142816,-6.405421,0.956636,-0.484849,-0.165421,-2.681615,2.734948,-8.990189
1,0.042700,0,-0.211044,1.052607,-1.000000,-1.593363,-1.913714,2.884084,3.652610,0.808937,-0.836351,-2.955747,0.885010,0.104448,1.046506,4.500214,3.370729,-0.025760
2,0.085300,0,-0.738564,1.205571,-1.000000,-1.306560,-2.163325,2.121227,2.420988,0.997033,-0.770121,-2.265449,0.927943,-1.669366,0.440543,2.103180,2.458916,-0.025760
3,0.128000,0,0.987597,-0.780092,-1.000000,0.682983,-0.928335,1.775730,2.426202,-0.798707,0.401282,-1.936662,-0.799846,-0.574561,-0.569397,1.435534,0.977679,-0.025760
4,0.170700,0,1.463303,-1.458171,-1.000000,0.898571,0.094773,-0.534283,1.995347,0.157869,1.438041,0.588325,-1.233930,0.131019,0.238555,0.206881,0.624359,-0.025760
5,0.213300,0,1.824030,-2.074469,-1.000000,1.858107,-0.287616,0.403793,1.079918,0.724118,2.676412,-0.513971,-1.381507,0.572444,2.460422,-0.942954,-0.086405,-0.025760
6,0.256000,0,-0.035862,0.281477,-1.000000,0.775396,-0.516935,-0.337790,-0.276511,-0.134680,-0.285373,0.347224,0.064207,-1.253509,-2.387288,0.600977,0.334861,-0.025760
7,0.298700,0,0.946145,-0.918332,-1.000000,1.352653,0.013272,-0.073872,-0.798285,-0.365185,0.767773,0.032282,-0.950378,0.560422,-0.165421,0.285700,-0.348119,2.962383
8,0.341300,0,0.087013,-0.122446,-1.000000,0.452750,0.939631,0.167180,-0.225116,-0.735485,-0.265885,-0.247137,-0.383168,-0.862075,0.642531,-0.460765,-1.083104,2.962383
9,0.384000,0,-0.685763,0.634658,-1.000000,0.122104,0.048449,0.220701,-0.490195,-0.079312,-0.685703,-0.308112,0.460420,0.721390,-0.367409,-0.794588,-1.001931,-0.025760
10,0.426700,0,-1.376129,1.173946,-1.000000,0.320168,-0.505268,1.186500,-1.262077,0.242296,-0.992373,-1.349993,1.330591,-1.796756,1.248494,-0.989318,-0.511313,-0.025760
11,0.469300,0,0.622428,-0.568238,-1.000000,0.657551,-1.013138,-0.083420,-0.042185,-0.508514,0.309039,0.043470,-0.781702,-0.512585,0.036567,0.577795,0.162011,-0.025760
12,0.512000,0,1.363622,-1.518583,-1.000000,1.735851,-0.336037,-0.496090,0.080790,-1.334720,1.295129,0.540916,-1.132239,1.464539,1.046506,-1.123775,-0.307917,-0.025760
13,0.554700,0,0.884461,-0.857049,-1.000000,0.783135,-0.594617,-0.215589,0.342100,-0.470424,0.632657,0.200242,-0.919259,0.853435,1.046506,-1.193321,0.139155,-0.025760
14,0.597300,0,0.671776,-0.568333,-1.000000,2.783740,-0.209508,-0.120525,-0.733222,-0.644776,0.398565,0.087243,-0.573047,-0.822394,1.046506,-0.808497,-0.128509,-0.025760
