frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,0.443094,-0.126061,1.000000,-1.899756,-4.872077,6.068601,7.533637,1.052457,-0.139125,-5.098738,-0.214545,-0.917300,0.363369,-1.843838,3.876227,-10.177847
1,0.042700,0,0.437164,-0.288473,1.000000,-2.231946,-2.866233,1.553679,3.578671,0.593763,0.119495,-1.605625,-0.471306,0.494432,-0.858393,3.286978,3.597012,0.058872
2,0.085300,0,0.199622,-0.048063,1.000000,-2.360070,-1.417472,-0.421271,2.291256,-0.867138,-0.299272,0.413968,-0.270502,0.420143,1.177877,2.264587,2.459027,0.058872
3,0.128000,0,0.167599,-0.022413,1.000000,-0.790373,-0.664868,-0.363058,0.423251,-0.828755,-0.294612,0.348196,-0.286050,0.677434,0.770623,0.255646,1.402685,0.058872
4,0.170700,0,0.187931,-0.072455,1.000000,-1.240618,0.004631,-0.136322,0.756925,-0.545863,-0.264584,0.096162,-0.433717,-0.547641,0.770623,0.693275,0.518038,0.058872
5,0.213300,0,-0.342218,0.555032,1.000000,-1.315642,0.159175,1.427407,-0.258796,-0.316990,-0.758260,-1.488037,-0.107091,0.079740,0.159742,0.282055,-0.050791,0.058872
6,0.256000,0,0.585247,-0.577567,1.000000,-0.215341,0.251161,2.333106,-0.789460,-0.462938,0.385710,-2.302590,-0.603294,-0.181569,-1.265647,0.429189,-0.848987,0.058872
7,0.298700,0,0.894458,-1.098006,1.000000,1.414218,0.949198,0.539009,-0.076473,0.469139,1.288206,-0.618904,-0.671585,0.346769,-1.265647,-0.464931,-1.105309,0.058872
8,0.341300,0,1.067447,-1.383952,1.000000,1.556526,-0.075716,-0.927124,-0.022529,1.587441,2.089050,1.004260,-0.693233,0.342470,-0.654766,-0.698836,-0.388019,0.058872
9,0.384000,0,0.367867,-0.245191,1.000000,-0.007970,1.172175,0.222421,-0.370534,-0.581402,-0.007339,-0.290043,-0.397177,0.200952,-0.043885,-0.304593,0.126739,0.058872
10,0.426700,0,-0.346115,0.573842,1.000000,-1.271801,0.138958,0.629436,-0.492820,-0.168199,-0.751842,-0.710930,0.081838,0.327495,1.992384,-0.123506,0.540491,0.058872
11,0.469300,0,0.416324,-0.316494,1.000000,1.171367,0.671938,-0.605756,0.128319,-0.730667,0.067646,0.625241,-0.431158,0.357990,-0.043885,0.757410,-0.662690,0.058872
