frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,216.41,141.626,234.38,-7.9165642429,1.253634,0.147486,24.7907,4.3007,27.6561,0.138541,0.201884,11.404131,26,0.0,120.5104,0.004395,0
1,0.0427,224.8,159.7603,269.53,-8.4832990947,1.31493,0.106175,18.5081,5.6376,58.4401,0.162329,0.286376,-12.704861,36,0.004418,145.8807,0.005128,0
2,0.0853,255.23,78.5271,281.25,-5.6936246258,1.802189,0.126588,14.4755,2.2837,38.0863,0.149602,0.199094,9.965524,36,0.006356,101.5746,0.005738,0
3,0.128,263.17,88.7894,304.69,-5.7236930997,1.715603,0.13871,13.628,-0.4163,10.3571,0.142982,0.209399,10.270893,36,0.006609,56.2152,0.006471,0
4,0.1707,281.02,122.4101,339.84,-5.828761684,1.687949,0.135632,16.2321,0.247,8.3398,0.144606,0.230661,8.769655,31,0.008368,82.098,0.007081,0
5,0.2133,304.95,115.3399,363.28,-6.6236798126,1.558296,0.106443,12.1469,0.5585,13.1846,0.162147,0.299532,-17.293717,22,0.004782,90.9851,0.007325,0
6,0.256,340.16,99.8514,386.72,-3.9945816246,0.998033,0.143818,10.1679,-0.29,16.1112,0.140364,0.256045,-31.559158,27,0.007033,58.5545,0.007813,0
7,0.2987,373.88,105.2122,410.16,-2.4992681183,1.621015,0.146713,14.2674,-0.129,19.0176,0.138922,0.206331,9.287476,42,0.009718,50.9104,0.008424,0
8,0.3413,400.94,98.006,433.59,-0.8355691971,2.326127,0.125831,14.4961,-1.636,18.999,0.150036,0.187417,11.09629,29,0.010211,64.5723,0.008912,0
9,0.384,416.06,125.1272,468.75,-1.3236300152,2.19988,0.173627,14.9615,-0.4921,15.2167,0.12673,0.190721,11.405642,26,0.010653,45.8479,0.009401,0
10,0.4267,420.57,155.6701,492.19,-3.5782975601,2.243778,0.152637,14.1482,-0.4816,9.314,0.136057,0.232219,8.540403,29,0.007439,92.242,0.010011,0
11,0.4693,457.88,148.2955,515.62,-3.0829934449,2.161051,0.164179,14.651,0.3727,15.9346,0.13078,0.237932,7.321579,18,0.006807,75.7139,0.010499,0
12,0.512,498.98,124.8408,539.06,-0.1651911598,2.480302,0.151756,16.5314,0.4265,27.1048,0.136476,0.203095,9.196344,34,0.008251,65.7735,0.01111,0
13,0.5547,523.85,124.3005,562.5,0.1254507743,3.113937,0.142943,17.4672,-1.4294,21.7931,0.140806,0.179679,11.376978,33,0.010696,70.4847,0.011598,0
14,0.5973,526.1,163.108,597.66,-1.9221957075,2.957068,0.149967,14.7098,-0.9518,12.434,0.137334,0.227292,-22.099183,24,0.01142,55.3983,0.012086,0
15,0.64,540.31,172.8716,621.09,0.4663435498,3.086508,0.15527,13.7279,-1.6135,9.0154,0.134819,0.23704,7.919615,42,0.009616,51.2679,0.012575,0
16,0.6827,590.54,146.8582,644.53,-0.193503052,3.049438,0.149173,17.5897,-1.3632,19.3679,0.137718,0.19039,12.654977,29,0.011836,78.3572,0.013063,0
17,0.7253,611.16,154.5354,667.97,0.0376258649,3.093987,0.131968,15.7572,-1.3164,19.4163,0.146588,0.23277,-59.036019,30,0.009993,58.9692,0.013796,0
18,0.768,642.92,139.8298,691.41,0.7930077675,3.208516,0.138588,17.3214,-1.6305,24.5297,0.143046,0.199031,10.569795,23,0.010372,85.152,0.014284,0
19,0.8107,614.52,236.9566,714.84,-1.489493792,2.991919,0.147627,14.6471,-0.5927,8.441,0.138472,0.278952,2.716138,34,0.009323,75.4762,0.014772,0
20,0.8533,668.2,206.0485,750.0,-1.0925549555,2.966046,0.147151,19.162,-0.9228,13.1588,0.138706,0.215726,8.514061,27,0.008726,85.0571,0.015383,0
21,0.896,696.4,203.1413,773.44,-0.3478547482,2.616637,0.13316,15.6549,-0.7271,16.7018,0.145938,0.253683,5.793708,26,0.008164,82.8199,0.015871,0
22,0.9387,695.28,257.3381,796.88,-0.9283114329,2.359519,0.147524,15.6454,-0.5253,9.7475,0.138523,0.261397,-16.543315,29,0.008448,67.1833,0.016359,0
23,0.9813,730.11,242.1705,820.31,-0.4308841772,2.732526,0.134891,16.6673,-0.8622,11.5746,0.145003,0.233265,7.742437,38,0.00856,87.3614,0.016848,0
24,1.024,757.56,248.5961,843.75,-0.5777922516,2.478335,0.139577,15.2441,-0.5713,13.2561,0.142531,0.247558,-13.143797,30,0.00911,101.2801,0.017458,0
25,1.0667,795.69,225.4635,867.19,0.1767658295,2.766683,0.113889,16.7369,-1.5603,14.5098,0.157253,0.213412,8.862954,32,0.012686,100.1476,0.018069,0
26,1.1093,822.31,239.4412,902.34,-0.0826911736,2.545462,0.134658,18.9992,-0.2655,18.7573,0.145128,0.23343,6.79725,39,0.013262,105.541,0.018557,0
27,1.152,846.56,266.5984,925.78,-0.2098057346,2.438476,0.153703,20.7957,0.2942,17.9147,0.135553,0.215245,8.976045,30,0.010037,89.7259,0.019045,0
28,1.1947,897.88,220.2894,949.22,0.312669109,2.654003,0.14056,18.7355,1.0052,33.5203,0.142023,0.199743,10.557799,41,0.011515,82.5742,0.019534,0
29,1.2373,915.72,252.9516,972.66,0.4689009419,2.759791,0.113305,19.3729,0.8616,26.4724,0.157625,0.225763,7.967345,29,0.01219,90.9437,0.020144,0
30,1.28,947.63,259.7336,1007.81,0.5592698902,2.669026,0.148089,19.1571,2.1687,31.8882,0.138246,0.218013,8.794461,34,0.013742,97.0037,0.020632,0
31,1.3227,936.09,323.9406,1031.25,0.2970474561,2.917916,0.118362,17.8651,0.1495,14.8493,0.154464,0.214931,10.092453,31,0.014589,117.9274,0.021121,0
32,1.3653,976.0,286.0108,1054.69,0.5236751153,3.13471,0.128432,16.3214,-0.2001,19.6332,0.148554,0.218594,8.674886,27,0.015075,89.3142,0.021731,0
33,1.408,1013.49,267.065,1078.12,0.5583737067,3.321583,0.123953,18.6874,-0.1295,24.7618,0.151124,0.191601,11.205814,24,0.018736,78.3234,0.02222,0
34,1.4507,1064.25,188.9405,1101.56,2.2518289019,3.738068,0.107399,16.0164,2.4957,71.9806,0.1615,0.207353,9.817939,36,0.018319,88.8219,0.022708,0
35,1.4933,1068.35,268.3002,1125.0,0.5213176497,3.581909,0.126924,18.3707,0.8806,31.4814,0.149409,0.212657,7.825765,27,0.019216,100.6908,0.023318,0
36,1.536,1092.95,264.5949,1160.16,0.9115753503,3.553496,0.122367,17.8719,0.9922,34.9129,0.152056,0.245523,-11.770536,31,0.01129,114.7781,0.023929,0
37,1.5787,1081.27,336.415,1171.88,0.0406496572,3.546991,0.135525,20.9235,-0.1877,17.1531,0.144663,0.199919,10.691295,32,0.01046,102.6451,0.024173,0
38,1.6213,1143.23,268.9982,1207.03,0.1620964205,3.733141,0.124766,15.7212,0.0249,32.3431,0.150651,0.225696,7.704998,36,0.014564,66.3118,0.024661,0
39,1.664,1159.29,275.7751,1230.47,1.2536446351,3.714364,0.136864,16.7182,-0.7833,27.8569,0.143952,0.198966,10.667976,27,0.014939,87.6159,0.025394,0
40,1.7067,1158.73,335.8101,1253.91,0.4630423607,3.491746,0.122389,15.9678,-0.4061,19.1717,0.152043,0.247653,-39.605131,25,0.012451,112.4803,0.026004,0
41,1.7493,1166.9,362.8224,1289.06,-0.0329664395,3.118073,0.133164,20.4502,-0.3492,15.8517,0.145935,0.278301,-21.682328,37,0.009783,120.9143,0.026492,0
