frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,0.775935,0.849922,0.093250,-1.936694,-4.587590,3.263963,3.743118,-0.775309,-0.685621,-2.802280,1.820075,0.325054,-0.745332,-1.788650,5.664787,2.008629
1,0.042700,0,0.922109,0.847449,0.093250,-2.006988,-3.190089,1.031272,1.980932,-0.892289,-0.800971,-1.006230,0.099247,0.969113,-2.580971,1.822588,3.306827,2.921232
2,0.085300,0,0.685840,0.637874,0.093250,-0.316540,-1.904230,-0.067054,1.612420,-0.664920,-0.639480,0.015283,-0.745173,-0.955439,-0.194641,0.921190,1.781299,0.274984
3,0.128000,0,1.061526,0.891077,0.093250,0.833630,-1.188604,0.981859,0.518478,-0.974258,-0.869467,-0.962503,-1.647350,1.289494,-1.846715,-0.416794,1.093881,-0.592026
4,0.170700,0,0.475617,0.617733,0.093250,1.013538,0.207666,-0.852462,-0.127193,-0.529404,-0.548630,0.817486,-0.221030,1.465708,-0.561769,-0.303884,0.398526,-0.318096
5,0.213300,0,1.030282,0.852137,0.093250,0.577790,-1.000109,0.788901,1.317742,-0.945013,-0.845681,-0.789754,-1.533030,-0.250275,1.273870,-0.207910,-0.181208,-0.318096
6,0.256000,0,0.540185,0.467677,0.093250,-0.458056,-1.028983,0.065260,1.406590,-0.524873,-0.532356,-0.113469,-0.788653,0.913436,-0.745332,-0.699068,0.409839,-0.318096
7,0.298700,0,0.452631,0.374052,0.093250,-0.357684,-2.190464,-0.050004,1.705408,-0.456909,-0.467080,-0.001452,-0.350275,0.887027,-1.296024,-0.670841,1.098333,0.183798
8,0.341300,0,-0.687539,-0.653885,0.093250,-1.525306,-1.788294,-1.001213,0.778501,0.613624,0.501688,0.977009,1.287823,0.217059,-0.928896,0.125174,1.563609,0.548540
9,0.384000,0,-0.618928,-0.609452,0.093250,-0.651347,-2.518812,-0.771399,1.197234,0.548131,0.441598,0.731517,1.171064,0.725399,0.172487,-0.546640,2.171140,0.411762
10,0.426700,0,0.453208,0.388126,0.093250,-0.672932,-1.507375,0.571237,1.317360,-0.456085,-0.471909,-0.591228,-0.412758,-1.055786,-1.296024,0.296421,1.056473,0.138205
11,0.469300,0,0.895600,0.723776,0.093250,0.017124,-0.726983,0.271183,2.084007,-0.837506,-0.755725,-0.310781,-1.021174,-0.633032,-0.011077,-0.390448,0.705260,-0.226910
12,0.512000,0,1.346771,1.033028,0.093250,0.372497,-0.925897,0.817079,1.624248,-1.199980,-1.010570,-0.815127,-1.668294,-0.036066,-0.745332,-0.520294,1.216323,-0.546433
13,0.554700,0,1.273482,1.019144,0.093250,-0.061240,-1.151158,1.928882,1.136990,-1.145609,-0.979452,-1.768350,-1.638396,1.079222,0.539614,-0.778105,0.444553,-0.637619
14,0.597300,0,0.447549,0.460930,0.093250,-0.622021,-0.802572,0.009006,0.910922,-0.475857,-0.490508,-0.058945,-0.189191,0.497295,-1.846715,-0.288829,0.036385,0.183798
15,0.640000,0,0.823813,0.637921,0.093250,-1.037837,-1.577406,0.968280,1.902044,-0.775721,-0.705472,-0.950492,-0.742835,0.895337,-0.928896,-0.571104,0.975932,0.959249
16,0.682700,0,0.937876,0.880693,0.093250,0.597739,0.000083,0.017684,0.607708,-0.899704,-0.815100,-0.067448,-0.932076,1.251406,-0.194641,-0.465721,0.856863,0.913656
17,0.725300,0,1.099644,0.974546,0.093250,0.641038,-0.077645,-0.340869,1.383974,-1.033160,-0.902194,0.287498,-1.090423,-0.543845,2.925944,-0.926770,0.392569,0.274984
18,0.768000,0,1.041659,0.990421,0.093250,1.227456,0.657409,0.048312,0.105755,-0.995265,-0.885562,-0.097139,-1.112213,-0.447837,0.539614,-0.838324,0.464911,-0.318096
19,0.810700,0,1.183386,1.076166,0.093250,0.822668,0.517395,0.104975,0.131704,-1.111833,-0.962284,-0.151933,-1.206783,1.015976,-1.296024,-0.891015,0.537392,0.320576
20,0.853300,0,1.221850,1.099140,0.093250,1.620889,0.387524,-0.237346,0.926785,-1.145197,-0.979810,0.183713,-1.035054,1.595744,-0.194641,-0.747996,-0.020858,1.050434
21,0.896000,0,0.774491,0.784401,0.093250,-0.528841,0.583035,-0.351079,0.527886,-0.767895,-0.722282,0.297755,-0.468973,0.847946,-0.378205,-0.140164,0.582328,1.187586
22,0.938700,0,0.677985,0.732635,0.093250,0.060386,0.856031,0.064341,0.175533,-0.685927,-0.665948,-0.112659,-0.371318,-0.994647,0.172487,-0.851497,-0.490229,1.141620
23,0.981300,0,0.360860,0.481525,0.093250,-0.214247,0.854687,-0.577727,0.105203,-0.414483,-0.455634,0.529346,0.115714,-1.251922,-0.745332,-0.988871,-0.278224,0.457355
24,1.024000,0,0.979285,0.974870,0.093250,1.737630,0.666823,0.467306,-0.254029,-0.946660,-0.856232,-0.495001,-0.909291,-0.595927,-1.112460,-0.539113,-0.517432,0.868063
25,1.066700,0,0.306283,0.426902,0.093250,-1.178123,0.154340,1.064759,-0.322661,-0.357229,-0.410030,-1.035652,0.061240,0.230098,0.172487,-0.458194,0.088607,1.597921
26,1.109300,0,0.707844,0.730229,0.093250,0.687545,0.164953,0.405437,0.430332,-0.708581,-0.679361,-0.437238,-0.516532,-0.938787,-0.378205,-0.691541,0.042880,0.776878
27,1.152000,0,1.207643,1.011954,0.093250,1.082567,-0.053307,1.324996,0.625354,-1.106066,-0.955130,-1.262115,-1.277475,1.147667,1.457434,-0.712241,-0.167254,0.001053
28,1.194700,0,0.793608,0.760397,0.093250,-0.534980,-0.008035,0.638721,0.120365,-0.768307,-0.725502,-0.653175,-0.848499,-0.620594,0.906742,-0.892897,0.612446,0.046646
29,1.237300,0,0.024388,0.199924,0.093250,-1.038208,0.212219,-0.743732,-0.016813,-0.113795,-0.203293,0.702365,0.596129,0.293330,-0.011077,-0.031018,0.497019,0.959249
30,1.280000,0,0.885898,0.820714,0.093250,0.628133,-0.984910,0.079962,1.197000,-0.858925,-0.779332,-0.127775,-0.612048,1.459597,-0.194641,-0.414912,1.079746,1.415550
31,1.322700,0,0.749484,0.713657,0.093250,-0.910740,-1.291512,0.017174,1.020856,-0.736179,-0.692774,-0.066908,-0.625330,-0.837924,-1.112460,-0.962525,1.654102,0.138205
32,1.365300,0,0.913446,0.786765,0.093250,0.132841,-1.083119,0.529072,1.442179,-0.869635,-0.783803,-0.552359,-0.870985,-0.812930,-0.011077,-0.766814,0.426395,0.183798
33,1.408000,0,0.797766,0.739584,0.093250,-0.289591,-0.162940,1.085586,0.653788,-0.769131,-0.720494,-1.054006,-0.902028,-0.734258,-1.112460,-1.067908,1.018280,0.457355
34,1.450700,0,1.348966,0.976056,0.093250,0.211697,-0.297899,1.077010,2.082329,-1.198332,-0.998588,-1.046448,-1.693218,1.045714,1.457434,-0.740469,1.132146,-0.272503
35,1.493300,0,1.164328,0.897628,0.093250,-0.063957,-0.868520,1.161136,1.599722,-1.052519,-0.910778,-1.120137,-1.517459,0.993732,0.356051,-1.133772,1.070705,-0.272503
36,1.536000,0,1.417057,1.082090,0.093250,0.934673,-0.540627,1.006770,1.172134,-1.257646,-1.048842,-0.984502,-1.850471,0.227274,-0.745332,-0.900425,1.346939,-0.774397
37,1.578700,0,0.932967,0.789328,0.093250,-0.863938,-1.008275,0.860265,0.983079,-0.872106,-0.789347,-0.853995,-1.262650,-0.364490,-0.011077,-0.855261,1.047541,-0.774397
38,1.621300,0,1.151506,0.919119,0.093250,0.665520,-0.398150,1.395135,0.791773,-1.042634,-0.910242,-1.322442,-1.642923,0.992649,0.539614,-1.035917,0.713836,0.229391
39,1.664000,0,0.142841,0.241936,0.093250,-0.729625,0.160659,-0.930359,0.736965,-0.208532,-0.276259,0.900757,0.223766,-1.345323,0.172487,0.000973,1.213210,0.229391
40,1.706700,0,0.830454,0.713519,0.093250,-0.944990,-0.310959,1.072110,1.181308,-0.788902,-0.729078,-1.042265,-1.038636,0.764117,-1.112460,-0.488303,1.039041,-0.226910
41,1.749300,0,0.926383,0.808687,0.093250,0.790088,-0.394585,0.875885,0.429568,-0.867575,-0.794176,-0.868031,-1.223349,-0.414671,-0.378205,-0.522176,0.724032,0.274984
42,1.792000,0,0.996496,0.922936,0.093250,1.217210,0.583295,0.043718,0.425257,-0.947072,-0.852835,-0.092685,-1.154399,1.279557,0.172487,-0.834560,0.169836,0.229391
43,1.834700,0,0.948041,0.857989,0.093250,-0.149095,0.973863,0.185322,0.682901,-0.894349,-0.814205,-0.228995,-1.220464,0.802965,0.906742,-1.133772,0.473745,-0.272503
44,1.877300,0,1.121186,1.011101,0.093250,1.273674,1.336950,0.105383,0.236563,-1.050048,-0.922939,-0.152337,-1.282052,0.944478,1.457434,-1.141299,-0.487079,-0.090132
45,1.920000,0,0.773221,0.806279,0.093250,1.446713,0.047073,0.156226,0.089171,-0.769955,-0.727290,-0.201058,-0.728358,1.092051,1.090306,-0.838324,0.392472,0.502947
46,1.962700,0,0.793146,0.814975,0.093250,0.273874,1.516339,0.481190,-0.090286,-0.782312,-0.738199,-0.507957,-0.920882,-0.701811,-0.561769,-0.751760,0.312576,0.457355
47,2.005300,0,0.495253,0.572541,0.093250,0.475799,0.293965,0.535811,-0.128382,-0.519518,-0.542371,-0.558568,-0.579761,-0.866937,-0.561769,-1.049089,-0.382695,0.457355
48,2.048000,0,0.903108,0.885466,0.093250,2.018028,-0.176778,0.834537,0.003381,-0.869223,-0.802223,-0.830917,-1.031770,-0.369834,-1.112460,-0.796924,-0.959363,0.046646
49,2.090700,0,1.180961,1.072636,0.093250,2.200859,1.010839,1.873649,-0.340626,-1.099064,-0.959422,-1.723139,-1.492784,0.931583,-0.561769,-0.746114,-0.984234,-0.409281
50,2.133300,0,0.065971,0.228103,0.093250,0.614482,0.028407,0.916417,-0.373434,-0.143040,-0.232801,-0.904335,0.332664,0.771022,-1.479588,-0.110055,-0.952990,0.502947
51,2.176000,0,0.821791,0.723637,0.093250,-0.426570,-0.279751,0.222382,1.170648,-0.779840,-0.727111,-0.264354,-0.982570,1.049771,0.539614,-0.426203,0.840085,0.959249
52,2.218700,0,0.449916,0.548339,0.093250,0.359063,0.324136,0.554290,-0.010464,-0.484507,-0.513041,-0.575572,-0.458078,-1.069286,-0.011077,-0.349048,-0.441868,0.046646
53,2.261300,0,1.175243,1.023753,0.093250,1.413857,-0.129691,1.272520,0.106222,-1.080940,-0.944579,-1.217038,-1.660335,-0.027069,0.172487,-0.524058,0.232260,-0.683211
54,2.304000,0,0.993608,0.896707,0.093250,1.498727,0.341377,0.724378,0.388860,-0.930596,-0.841925,-0.731317,-1.350555,-0.323386,1.090306,-0.924888,-0.784662,-0.774397
55,2.346700,0,1.040331,0.956686,0.093250,2.091794,0.027418,1.594218,0.069401,-0.977965,-0.876262,-1.491142,-1.308766,-0.446408,-0.378205,-1.069790,-1.059251,-0.865582
56,2.389300,0,-2.602242,-3.111225,-10.723805,-0.119896,0.077147,-2.620626,-1.745341,2.941693,3.404774,2.908019,1.648992,-3.450251,-1.663152,5.140259,-0.640724,-2.873158
57,2.432000,0,-2.323408,-2.746094,0.093250,-0.925254,-0.858053,-1.426944,-0.429791,2.565626,2.870583,1.448830,0.762784,0.273585,1.640997,0.441322,-0.281981,-2.918751
58,2.474700,0,-1.370359,-1.426854,0.093250,-2.853324,-1.491949,-1.311986,-0.267662,1.363697,1.308071,1.319268,0.626574,-0.109592,-0.378205,1.171473,0.890939,-0.956768
59,2.517300,0,-0.094353,-0.004648,0.093250,0.154782,-1.239969,0.303241,0.464287,0.026252,-0.073278,-0.341147,0.048106,-1.843487,0.723178,3.043897,0.438659,-0.090132
60,2.560000,0,-0.948239,-0.891122,0.093250,-1.853723,-1.377358,-0.635308,-0.065420,0.888774,0.773880,0.588999,1.618696,-0.100799,0.906742,0.710424,0.301832,1.963036
61,2.602700,0,-0.238390,-0.153409,0.093250,-1.424585,-0.511299,0.523151,0.374463,0.174536,0.058526,-0.546826,0.485887,0.628648,-0.561769,-0.209792,-0.552330,2.464930
62,2.645300,0,-0.254965,-0.099454,0.093250,-0.047366,-0.376129,-0.867878,0.099236,0.167946,0.046723,0.833951,0.118450,1.153031,-0.928896,-0.333993,0.281419,-0.454874
