frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-1.524814,-3.072015,-1.702634,-5.935448,-4.870249,3.509928,0.395756,4.757198,7.928046,-3.052181,-1.011496,-0.483611,-1.668933,-2.689830,-0.302052,-1.254435
1,0.042700,0,-1.557616,-2.972820,-1.702634,-5.139435,-4.051811,1.461387,-0.872033,4.784579,6.978588,-1.426508,-0.806323,-1.351184,-1.481932,5.380277,-1.268905,-1.243169
2,0.085300,0,-1.521600,-2.827064,-1.702634,-2.377939,-3.416574,1.589697,-1.140676,4.136786,4.839331,-1.537493,-1.657543,0.068829,0.201076,3.988088,-1.146561,-1.243169
3,0.128000,0,-1.515402,-2.695692,-1.702634,-2.009776,-3.324654,1.117092,-0.959023,3.443285,3.422149,-1.121981,-1.630272,-0.255321,-0.359926,0.029528,-1.540862,-1.246924
4,0.170700,0,-1.504054,-2.594675,-1.702634,-2.543738,-2.999427,0.585302,-0.639267,3.022988,2.676798,-0.630245,-1.563841,0.926883,1.884084,-0.020193,-1.243854,-1.246924
5,0.213300,0,-1.506901,-2.518700,-1.702634,-2.132207,-2.686596,1.473828,-1.269271,2.761407,2.260226,-1.437308,-1.304913,-0.840764,0.014075,-0.406487,-1.697422,-1.246924
6,0.256000,0,-1.469747,-2.375973,-1.702634,-0.810987,-2.422778,-1.172389,-0.907823,2.371625,1.667649,1.217895,-1.642083,1.263852,-0.546927,0.270484,-1.165635,-1.246924
7,0.298700,0,-1.485876,-2.356108,-1.702634,-2.075577,-2.303950,0.086344,-1.143724,2.307503,1.599295,-0.143101,-1.170738,0.641331,0.201076,0.098373,-1.031528,-1.246924
8,0.341300,0,-1.534921,-2.390303,-1.702634,-0.960389,-1.711319,0.950945,-2.941451,2.406842,1.746467,-0.971270,0.320518,0.677475,-0.733928,3.957491,-1.652685,-1.239414
9,0.384000,0,-1.498703,-2.265905,-1.702634,-0.767507,-1.733535,-0.575376,-2.306001,2.108564,1.346691,0.546646,-0.239438,0.907152,-0.733928,0.840364,-1.330244,-1.231903
10,0.426700,0,-1.499399,-2.230266,-1.702634,-1.895587,-1.820658,-0.118893,-2.299193,2.035518,1.257134,0.065337,0.017653,0.339349,-0.733928,0.239887,-1.307335,-1.231903
11,0.469300,0,-1.446205,-2.091674,-1.702634,-1.522945,-1.813121,0.051303,-1.238473,1.759746,0.939599,-0.107844,-0.806349,1.577703,-1.481932,1.230483,-1.390194,-1.239414
12,0.512000,0,-1.435540,-2.013536,-1.702634,-1.018631,-1.573807,0.031869,-1.607269,1.632982,0.806534,-0.088229,-0.784301,1.140716,0.388077,-0.995490,-1.648258,-1.246924
13,0.554700,0,-1.408848,-1.934893,-1.702634,-1.020673,-1.502978,0.332510,-1.296675,1.508569,0.683425,-0.386673,-1.078190,1.054664,-0.546927,-0.609196,-1.491424,-1.243169
14,0.597300,0,-1.355249,-1.812596,-1.702634,-0.202566,-1.644823,1.776604,-0.858504,1.332484,0.520388,-1.696646,-1.616177,1.362374,-0.359926,0.220763,-1.225382,-1.190565
