frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,862.32,374.4469,1019.53,-2.3536764918,2.44412,0.233387,35.2178,-0.6152,4.3185,0.105321,0.182693,12.383933,32,0.0,156.1009,0.02051,0
1,0.0427,870.48,370.1469,1019.53,-2.6636618223,2.494049,0.183111,29.5733,-0.4175,5.9089,0.122881,0.213068,-36.16897,25,0.005199,134.9005,0.021121,0
2,0.0853,876.6,372.832,1031.25,-2.5807151521,2.579443,0.15598,27.1984,-0.4111,6.2299,0.134488,0.229316,-17.122685,42,0.003996,119.9987,0.021365,0
3,0.128,887.12,367.93,1042.97,-2.4477886603,2.537018,0.146989,24.8585,-0.2839,7.2921,0.138786,0.237716,20.508791,32,0.005126,138.67,0.021365,0
4,0.1707,897.1,351.3495,1042.97,-2.4156837794,2.597993,0.133424,19.4556,-0.5767,7.5535,0.145794,0.258707,12.85389,40,0.005493,165.9911,0.021243,0
5,0.2133,891.97,359.4753,1054.69,-2.5225550091,2.598002,0.128223,19.9152,-0.7074,6.321,0.148672,0.254647,16.593684,35,0.00492,129.4082,0.021609,0
6,0.256,904.52,353.4049,1066.41,-1.9982509964,2.733452,0.128682,22.371,-0.8656,6.3235,0.148414,0.238151,19.537166,33,0.005228,114.3763,0.022097,0
7,0.2987,941.31,330.7571,1078.12,-1.2728696496,2.709378,0.153955,25.015,-0.5698,9.7427,0.135435,0.211258,19.376638,34,0.007062,139.7788,0.02222,0
8,0.3413,961.04,327.075,1078.12,-1.111126911,2.655487,0.155204,27.9579,-0.6974,9.7614,0.13485,0.169664,16.957213,34,0.006572,161.4485,0.022342,0
9,0.384,933.22,357.3535,1089.84,-1.2294252081,2.854915,0.12329,26.5308,-1.0622,6.0643,0.151512,0.195886,16.292748,31,0.007043,139.4774,0.022586,0
10,0.4267,922.22,369.4831,1101.56,-1.5983988375,2.800631,0.127683,21.5702,-0.7509,6.3091,0.148978,0.250699,14.228104,40,0.005433,160.3667,0.022342,0
11,0.4693,920.26,363.8141,1101.56,-2.3739759638,2.496239,0.153193,21.2085,-0.4479,7.1313,0.135794,0.25967,13.826818,24,0.006519,147.8403,0.022464,0
12,0.512,941.22,337.2816,1113.28,-1.7031229863,2.590468,0.155029,19.6313,-0.3488,9.646,0.134931,0.249047,15.374341,38,0.00481,137.5736,0.022097,0
13,0.5547,939.24,367.7286,1125.0,-1.9243331144,2.53647,0.148314,20.6881,-0.1713,8.4266,0.138136,0.24612,15.334581,34,0.004272,146.23,0.022342,0
14,0.5973,943.87,363.0498,1125.0,-2.2217726235,2.673055,0.144384,22.0641,-0.3129,8.1091,0.14008,0.247661,18.541251,27,0.004312,155.9011,0.022097,0
15,0.64,921.68,364.6137,1136.72,-2.031924682,2.692824,0.14285,24.5323,-0.3324,7.7538,0.140853,0.247083,16.659531,42,0.00484,120.83,0.020266,0
16,0.6827,852.28,420.8703,1148.44,-2.2093027175,2.619846,0.156126,22.6594,-0.4186,3.5304,0.134421,0.25238,11.62931,36,0.005408,138.292,0.020144,0
17,0.7253,921.26,381.8703,1160.16,-2.2573660088,2.741562,0.139876,19.9905,-0.5962,5.5137,0.142376,0.254363,13.927582,28,0.004355,156.9123,0.02222,0
18,0.768,986.26,317.2028,1160.16,-1.4876412882,2.767514,0.13931,23.3528,-0.6635,9.5435,0.14267,0.238394,19.501087,33,0.005558,156.761,0.023807,0
19,0.8107,993.81,295.2892,1171.88,-1.3751869488,2.702289,0.133421,24.6905,0.2889,15.6053,0.145796,0.252025,1.69602,31,0.003892,147.2845,0.021609,0
20,0.8533,846.83,423.9237,1160.16,-2.5080270958,2.635446,0.17563,26.9422,-0.0521,4.762,0.1259,0.218872,12.057369,36,0.005722,126.6212,0.019656,0
21,0.896,910.77,381.0417,1183.59,-2.4421331979,2.897543,0.138083,22.5514,-0.648,4.8767,0.14331,0.241763,14.098677,33,0.005585,154.0977,0.02051,0
22,0.9387,981.34,327.0983,1195.31,-1.6884261438,2.89516,0.128297,20.7675,-0.5824,9.2776,0.14863,0.245783,15.559725,37,0.004987,184.262,0.020632,0
23,0.9813,949.52,380.0409,1207.03,-1.5967557317,2.768313,0.14066,22.9212,-0.4925,5.9581,0.141971,0.242519,23.426332,41,0.006588,135.6521,0.022097,0
24,1.024,946.62,401.1063,1218.75,-2.3018399855,2.825536,0.122689,18.9044,-0.7702,4.0114,0.151866,0.261243,13.588278,37,0.004982,163.8711,0.024783,0
25,1.0667,973.56,389.8995,1230.47,-1.840135756,2.954265,0.13777,21.7186,-0.9597,3.9424,0.143474,0.245573,15.62205,36,0.005891,166.7094,0.025272,0
26,1.1093,1018.4,333.7989,1230.47,-1.2930391363,2.811581,0.131375,21.7296,-0.7796,7.6955,0.146914,0.242747,16.527705,43,0.005397,199.3747,0.025638,0
27,1.152,987.3,366.077,1242.19,-2.4111829766,2.62968,0.147938,22.0438,-0.5498,5.7547,0.13832,0.261745,15.350286,36,0.004762,132.3949,0.022708,0
28,1.1947,939.13,405.7587,1253.91,-2.8503962329,2.52766,0.159025,25.5587,-0.2714,4.6887,0.133089,0.250726,15.991392,37,0.005082,152.9604,0.02051,0
29,1.2373,913.51,417.4207,1253.91,-3.4022029361,2.409917,0.18791,26.3852,-0.1421,4.1201,0.121008,0.244546,14.792638,38,0.003689,193.3917,0.020266,0
30,1.28,933.87,410.405,1265.62,-2.7580560641,2.284659,0.171019,24.9399,-0.2367,4.3625,0.127826,0.246838,13.890525,32,0.003025,166.0204,0.019167,0
31,1.3227,882.86,408.7487,1265.62,-3.4629119261,2.439337,0.188379,28.0247,0.2519,5.8266,0.120828,0.20724,14.011492,32,0.004422,178.8704,0.020144,0
32,1.3653,986.0,422.7075,1289.06,-3.8366614242,2.328334,0.168299,24.2404,-0.0628,5.7775,0.128987,0.265436,13.48623,37,0.005391,193.7627,0.023929,0
33,1.408,989.79,459.8707,1289.06,-2.866444129,2.377819,0.18716,28.6451,-0.5715,2.1627,0.121298,0.236457,11.808068,33,0.004808,174.5275,0.026859,0
34,1.4507,979.82,439.7779,1300.78,-2.7629632661,2.444459,0.166255,25.0424,-0.5738,2.5172,0.129871,0.24741,17.612671,28,0.005313,149.4732,0.026981,0
35,1.4933,936.53,460.5562,1312.5,-3.8064301172,2.561408,0.147581,21.9324,-0.4151,2.0294,0.138495,0.265545,16.127958,33,0.004601,168.9125,0.024539,0
36,1.536,910.58,465.1711,1324.22,-3.4672432659,2.497306,0.160855,23.4258,-0.227,2.304,0.132261,0.27009,12.802939,30,0.005095,161.1414,0.023074,0
37,1.5787,971.2,475.1009,1324.22,-3.4233175252,2.500846,0.156876,25.0965,-0.3837,2.1401,0.134074,0.258269,13.392157,29,0.003842,165.9346,0.024417,0
38,1.6213,906.68,490.8586,1335.94,-3.8144067617,2.612215,0.143052,20.815,-0.4362,0.7481,0.140751,0.269643,12.354896,34,0.00562,171.1971,0.026248,0
39,1.664,1045.67,431.6369,1347.66,-2.3852192698,2.702147,0.151165,24.8616,-0.9558,1.9388,0.136758,0.235004,15.388211,38,0.005223,163.0876,0.027958,0
40,1.7067,1099.48,422.4035,1347.66,-1.5922330277,2.794812,0.157677,26.8693,-0.9996,2.9019,0.133705,0.19713,18.219174,34,0.00644,153.8434,0.02808,0
41,1.7493,1008.44,470.8651,1359.38,-4.6932880321,2.506083,0.142984,24.5614,-0.332,2.1586,0.140786,0.279223,-2.920391,40,0.005334,191.9108,0.023807,0
42,1.792,871.54,532.1831,1371.09,-3.9784259825,2.542058,0.139665,22.7238,-0.1588,0.7986,0.142486,0.290589,8.283794,37,0.005548,180.9226,0.022586,0
43,1.8347,984.75,487.1057,1382.81,-3.5087484055,2.549454,0.156902,24.2505,-0.36,1.6201,0.134062,0.253853,15.237089,34,0.005103,186.2841,0.027225,0
44,1.8773,961.96,518.5288,1382.81,-3.5985346251,2.575781,0.144133,23.8115,-0.3787,0.9244,0.140206,0.265675,10.740895,35,0.004643,199.5112,0.026248,0
45,1.92,879.62,534.7801,1394.53,-4.4111279042,2.393797,0.165829,22.4095,-0.0034,0.9526,0.130057,0.27937,10.608657,36,0.00569,176.8161,0.023929,0
46,1.9627,884.76,548.9108,1406.25,-4.7647692336,2.266377,0.176372,23.873,0.1199,1.1405,0.125595,0.282653,9.604654,32,0.004147,208.2229,0.02515,0
47,2.0053,938.52,520.5422,1406.25,-4.9029243637,2.438373,0.159068,22.9267,-0.0944,1.1944,0.133069,0.285765,14.36498,31,0.003863,200.1756,0.024661,0
48,2.048,849.94,555.0824,1417.97,-4.5951751221,2.265817,0.192281,20.9062,0.1075,0.7218,0.119344,0.28924,7.958723,30,0.005396,160.2224,0.021975,0
49,2.0907,850.27,534.6405,1429.69,-4.1541547569,2.372083,0.160304,22.8456,0.0745,0.913,0.132509,0.284039,7.283046,41,0.003852,190.7135,0.0199,0
50,2.1333,925.76,496.0964,1441.41,-3.9184793349,2.427957,0.19173,29.4418,0.1296,1.9981,0.119552,0.243294,15.05012,31,0.005279,174.1655,0.019534,0
51,2.176,958.59,482.618,1441.41,-2.7917464984,2.541437,0.159813,24.4308,-0.2587,0.9925,0.132731,0.258615,14.321815,33,0.004768,171.3707,0.019534,0
52,2.2187,931.1,521.2048,1453.12,-3.012963677,2.644217,0.134569,24.3095,-0.1913,0.7697,0.145176,0.264502,11.602821,36,0.006013,173.5513,0.022342,0
53,2.2613,1033.4,486.8727,1464.84,-3.3019831929,2.816154,0.130558,21.8584,-0.248,1.7389,0.147366,0.245292,17.465213,34,0.005978,186.9672,0.02808,0
54,2.304,1068.14,475.7506,1476.56,-2.4131937195,2.777246,0.135986,22.4344,-0.5057,1.1229,0.144417,0.245971,16.799164,35,0.005204,166.7671,0.030277,0
55,2.3467,1031.24,500.7759,1476.56,-2.6469330207,2.722069,0.135709,22.8393,-0.4134,0.648,0.144565,0.252346,20.127056,25,0.005391,180.073,0.030521,0
56,2.3893,1063.92,476.4677,1488.28,-2.8712580023,2.593111,0.140289,22.8979,-0.3894,0.7798,0.142163,0.25597,14.016341,38,0.005247,162.0876,0.02637,0
57,2.432,940.77,498.4945,1500.0,-3.1561662348,2.710417,0.154926,25.1681,-0.1205,0.5554,0.134979,0.242512,12.869725,28,0.006058,142.9372,0.020632,0
58,2.4747,1017.16,498.4052,1500.0,-2.8717390625,2.865009,0.121486,21.0763,-0.2787,0.7036,0.152579,0.252467,15.54142,28,0.005325,167.6351,0.024051,0
59,2.5173,1079.98,487.0435,1511.72,-2.4736907455,2.745346,0.149371,23.7874,-0.3166,0.9211,0.137622,0.24059,17.621552,36,0.006917,176.0207,0.029911,0
60,2.56,1097.28,537.8303,1523.44,-3.0204970749,2.720275,0.144612,24.4141,-0.5587,0.2612,0.139966,0.241786,12.362698,34,0.005451,188.0734,0.03162,0
61,2.6027,992.01,654.3091,1535.16,-4.8321639037,2.259883,0.191602,28.0953,0.0252,0.3139,0.1196,0.262815,9.882947,33,0.006879,178.0532,0.031864,0
