frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-0.440552,-1.599357,-1.344656,1.676180,-1.211888,4.103245,2.269834,-1.850768,1.165688,-3.309713,-2.226167,0.007380,-0.570447,-3.366732,-0.782605,-0.581340
1,0.042700,0,-0.396015,-1.611051,-1.344656,1.371822,-1.039664,1.762850,0.963768,-1.597806,1.749432,-1.654347,-1.379612,-8.065369,-1.943330,1.323260,-1.214952,-0.523429
2,0.085300,0,-0.362612,-1.603749,-1.332301,1.453263,-0.745107,0.499876,0.414246,-1.589617,1.867253,-0.560166,-0.926778,-4.898599,1.390814,0.238040,-1.518849,-0.500303
3,0.128000,0,-0.305195,-1.617081,-1.319946,1.583776,-0.891447,0.081337,-0.127177,-1.426861,2.257125,-0.154997,-0.692669,1.358276,-0.570447,1.257407,-1.138079,-0.500303
4,0.170700,0,-0.250725,-1.662174,-1.319946,1.615298,-0.681121,-0.550127,-1.377339,-1.801506,2.353070,0.505641,-0.107647,0.085518,0.998562,1.588476,-0.580911,-0.511866
5,0.213300,0,-0.278724,-1.640075,-1.307592,1.510367,-0.681090,-0.792238,-1.270994,-1.968740,1.900690,0.776948,-0.220799,0.707323,0.017932,1.071576,-1.326958,-0.477176
6,0.256000,0,-0.210227,-1.656584,-1.295237,2.025152,-0.213871,-0.770872,-0.702753,-2.171161,1.901608,0.752626,-0.680545,1.196727,-0.374321,1.349421,-1.633508,-0.430923
7,0.298700,0,-0.009430,-1.718179,-1.282893,2.737364,-0.296911,0.405610,-0.090965,-1.792677,3.156598,-0.470893,-1.430057,1.170037,-0.178195,3.003863,-1.115467,-0.419265
8,0.341300,0,0.098255,-1.728193,-1.282893,2.896170,-0.482802,0.463753,0.589985,-1.955945,3.163462,-0.526040,-2.589287,0.767766,-0.178195,2.561837,-0.673550,-0.407702
9,0.384000,0,-0.053585,-1.645846,-1.270538,2.780019,0.205102,-1.021874,0.259772,-2.422715,1.806471,1.044672,-1.858476,0.657287,-0.766573,2.986723,-1.121613,-0.384576
