frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,321.38,251.0205,503.91,-9.1348163994,1.163878,0.134453,18.2567,1.817,8.9152,0.145239,0.261515,10.129584,153,0.0,167.8186,0.00879,0
1,0.0427,302.34,238.2591,503.91,-8.3749993896,1.331801,0.123656,17.0879,1.3824,6.4204,0.151298,0.250931,11.563177,149,0.001581,151.457,0.00818,0
2,0.0853,317.97,242.7173,503.91,-8.3607348632,1.415136,0.1228,19.2824,2.0261,13.8977,0.1518,0.238996,7.100589,139,0.001463,189.1778,0.008424,0
3,0.128,340.68,224.21,503.91,-7.7301741434,1.415137,0.125295,19.8163,1.4163,8.915,0.150345,0.219718,15.307152,139,0.001168,181.8566,0.009523,0
4,0.1707,319.37,225.9837,503.91,-7.7625218731,1.426981,0.12115,18.7498,1.0351,5.5856,0.15278,0.232296,6.922346,145,0.001703,146.0244,0.009889,0
5,0.2133,340.84,219.7076,503.91,-7.3450236042,1.434994,0.132461,19.1932,1.4519,11.373,0.146319,0.21793,10.314997,154,0.001482,125.9895,0.009523,0
6,0.256,304.12,216.0345,503.91,-8.2344151981,1.47704,0.117384,16.3598,0.6326,3.1237,0.155065,0.237076,7.437567,163,0.001669,116.8474,0.009523,0
7,0.2987,348.92,196.983,503.91,-7.7666409354,1.497454,0.141174,18.4786,0.4813,2.8401,0.141708,0.209489,16.942365,148,0.001771,121.9298,0.009645,0
8,0.3413,319.77,223.5914,503.91,-7.9405116988,1.490804,0.123503,18.2947,0.8785,4.6913,0.151387,0.230051,15.631742,127,0.001486,138.5465,0.009278,0
9,0.384,289.43,223.8061,503.91,-7.9590891151,1.564573,0.112821,16.4768,0.4696,1.134,0.157935,0.247322,4.789902,135,0.001588,141.8792,0.009401,0
10,0.4267,280.91,230.7059,503.91,-7.7379613055,1.578098,0.111155,16.5868,0.609,1.7384,0.159012,0.235555,2.417802,141,0.001704,130.3238,0.009401,0
11,0.4693,339.6,211.0163,503.91,-7.0312599047,1.575714,0.12633,19.6881,0.3992,2.432,0.149749,0.211438,9.836837,149,0.002182,133.4262,0.009401,0
12,0.512,299.11,226.3288,503.91,-7.1395215913,1.593595,0.122771,17.746,0.2977,0.7064,0.151817,0.22853,3.950435,158,0.001763,127.7606,0.010133,0
13,0.5547,340.85,199.2115,503.91,-7.9861754259,1.623363,0.133555,19.2513,0.2927,2.1528,0.145723,0.205245,18.176917,148,0.002302,132.0773,0.010255,0
14,0.5973,363.97,189.7112,503.91,-6.6184573419,1.560247,0.153116,20.4314,0.2414,2.9178,0.13583,0.192925,13.857874,135,0.001408,147.4594,0.010377,0
15,0.64,319.95,221.655,503.91,-7.0169636793,1.575336,0.13455,19.0972,0.4661,2.4163,0.145186,0.220673,6.384921,145,0.001511,157.3148,0.010377,0
16,0.6827,310.1,228.1648,503.91,-6.9985396916,1.529883,0.135002,20.0643,0.3931,1.1794,0.144943,0.225564,5.295237,156,0.000931,121.3562,0.010011,0
17,0.7253,333.25,225.2727,503.91,-7.4134921558,1.534737,0.132564,22.9986,0.6508,2.9748,0.146262,0.214375,8.989139,133,0.001489,135.7561,0.010011,0
18,0.768,359.53,204.1584,503.91,-6.890332703,1.537417,0.147747,24.0664,0.2345,2.0128,0.138413,0.194343,12.132582,151,0.000967,116.6812,0.010255,0
19,0.8107,347.92,232.1398,503.91,-7.0789722237,1.58951,0.146302,23.9327,2.4274,39.201,0.139125,0.19957,10.241345,151,0.000947,138.6997,0.010377,0
20,0.8533,342.08,233.1327,503.91,-7.20193302,1.593981,0.139936,24.2471,1.1747,8.3545,0.142345,0.198831,18.13471,156,0.001052,162.8689,0.010377,0
21,0.896,313.29,224.8419,503.91,-7.3215224154,1.655762,0.136268,20.394,0.4447,1.9746,0.144268,0.215925,22.563608,151,0.001156,151.952,0.010255,0
22,0.9387,288.62,242.7148,492.19,-7.8047102043,1.700796,0.122905,20.2161,1.1319,6.4367,0.151738,0.226386,4.285908,134,0.001618,175.8498,0.010255,0
23,0.9813,352.29,214.3174,503.91,-6.8462936478,1.692653,0.14966,22.724,0.864,8.3501,0.137482,0.181085,11.70591,144,0.001631,141.6801,0.010255,0
24,1.024,344.8,210.4243,503.91,-7.316386027,1.706674,0.133566,24.0088,0.3075,2.1653,0.145717,0.18927,10.425134,132,0.00087,151.5582,0.010255,0
25,1.0667,333.45,223.4642,503.91,-7.2092744508,1.688126,0.121356,24.3909,0.5509,4.0165,0.152657,0.197266,10.491846,152,0.001239,126.9742,0.010255,0
26,1.1093,307.58,231.6466,492.19,-7.3963173574,1.585047,0.117509,21.7234,0.5394,1.7117,0.154988,0.216888,6.313422,144,0.001064,128.6961,0.010255,0
27,1.152,321.19,227.5136,492.19,-7.1611693364,1.57911,0.123645,21.3599,0.6496,2.7352,0.151304,0.213301,7.449604,148,0.001562,166.4591,0.010255,0
28,1.1947,330.38,229.9754,492.19,-7.4880105601,1.600037,0.120306,25.0839,0.8295,3.7898,0.153285,0.209166,24.107788,139,0.001033,161.3945,0.010011,0
29,1.2373,310.76,240.6534,492.19,-7.6351214001,1.505855,0.122148,23.6747,1.0065,3.7767,0.152186,0.229542,5.845867,157,0.001296,141.715,0.010011,0
30,1.28,285.07,244.1553,492.19,-7.7554456386,1.506836,0.110273,22.2417,0.9173,2.88,0.159588,0.242126,3.732034,142,0.001498,132.2266,0.009767,0
31,1.3227,322.22,239.8389,492.19,-7.5659611198,1.447937,0.140956,23.5126,0.9833,3.8762,0.141819,0.220244,14.689215,149,0.001722,142.1601,0.009767,0
32,1.3653,323.3,243.7216,492.19,-7.2057474615,1.40936,0.138744,23.8054,0.9891,3.8301,0.142964,0.223864,7.149985,141,0.001275,148.7577,0.010011,0
33,1.408,355.98,248.1825,492.19,-6.7686396067,1.408498,0.142962,28.1597,1.4841,7.3789,0.140797,0.205143,10.248611,151,0.001483,168.6681,0.009889,0
34,1.4507,298.95,260.0181,492.19,-7.6577310628,1.400279,0.121357,23.4542,1.3884,5.0113,0.152656,0.245035,4.5302,163,0.001759,176.0587,0.010011,0
35,1.4933,367.31,256.243,492.19,-6.718342463,1.333634,0.154795,28.9624,1.6368,6.9997,0.13504,0.203974,18.257964,153,0.001795,163.26,0.010011,0
36,1.536,289.1,281.6658,492.19,-7.6180044617,1.316065,0.112576,23.7345,1.9884,8.1397,0.158092,0.263517,3.348347,124,0.002357,181.4734,0.010133,0
37,1.5787,344.44,292.0629,492.19,-7.0987575012,1.272647,0.143065,27.7679,2.2398,9.8854,0.140745,0.234121,7.370472,152,0.001797,181.9655,0.009767,0
38,1.6213,300.35,280.0578,492.19,-7.5998587649,1.366051,0.118357,23.9032,2.0887,9.4315,0.154467,0.249265,13.051201,147,0.001849,213.136,0.009156,0
39,1.664,337.16,277.4379,492.19,-7.7080062733,1.369388,0.141575,26.9918,2.1711,10.1157,0.141502,0.228514,16.361758,153,0.001761,160.2463,0.009645,0
40,1.7067,310.12,271.7367,492.19,-7.9246914712,1.362055,0.131742,24.1001,1.8485,8.1229,0.146713,0.246995,5.018833,156,0.001262,146.9801,0.009767,0
41,1.7493,338.64,243.4363,492.19,-7.9240572844,1.433847,0.140451,23.9839,1.6557,9.1329,0.142079,0.217037,8.769241,139,0.001451,189.8963,0.009889,0
42,1.792,359.78,320.7364,492.19,-6.7124875571,1.262836,0.1611,29.2712,2.2195,8.8684,0.132151,0.225933,7.164662,154,0.000879,136.8649,0.010011,0
43,1.8347,309.22,304.4922,492.19,-7.5567394011,1.358655,0.130221,25.3236,2.3802,11.809,0.147553,0.245752,3.675801,163,0.001315,187.0091,0.009523,0
44,1.8773,280.65,276.7759,492.19,-7.4680891114,1.419947,0.127556,20.9465,1.7171,7.0871,0.14905,0.248332,1.388231,128,0.001354,191.4074,0.009523,0
45,1.92,298.49,306.9537,492.19,-7.9533226146,1.357271,0.144473,23.2566,2.105,7.5724,0.140035,0.254354,1.895323,145,0.001983,139.3016,0.009645,0
46,1.9627,347.3,309.3965,492.19,-7.1920056366,1.428358,0.160261,28.8363,2.023,8.4047,0.132529,0.209139,5.723865,160,0.002055,187.723,0.009645,0
47,2.0053,307.88,317.5312,492.19,-7.4212557135,1.424244,0.135691,26.1997,2.1469,8.7112,0.144575,0.239484,5.364649,140,0.001766,170.9725,0.009889,0
48,2.048,370.0,311.2632,492.19,-6.8961420813,1.436387,0.172387,30.9045,1.8877,6.3855,0.127249,0.194835,6.969401,153,0.001849,145.8294,0.010133,0
49,2.0907,309.43,312.1781,492.19,-7.6067105581,1.481573,0.141112,26.6869,1.9773,7.1442,0.141739,0.231913,3.424157,141,0.00151,186.958,0.010011,0
50,2.1333,354.89,294.5766,492.19,-7.1447552298,1.493244,0.171944,30.3283,1.6358,5.9505,0.127436,0.192927,7.145105,139,0.001395,128.6908,0.009889,0
51,2.176,294.88,272.6745,492.19,-7.9516897341,1.59753,0.130251,24.2964,1.5739,6.3833,0.147536,0.22633,3.332636,136,0.001409,181.0429,0.009889,0
52,2.2187,314.11,261.3715,492.19,-7.5723375337,1.579314,0.14676,25.5701,1.1004,3.8788,0.138899,0.211415,5.091542,138,0.001564,120.0532,0.010133,0
53,2.2613,279.68,238.848,492.19,-8.370502092,1.67639,0.130556,19.3677,0.7256,1.8102,0.147367,0.22859,3.797301,146,0.001034,151.6537,0.010133,0
54,2.304,309.04,275.5778,492.19,-7.6808466806,1.523508,0.143816,26.0772,1.5395,6.2561,0.140366,0.222845,4.043584,156,0.001007,163.1935,0.010255,0
55,2.3467,367.12,259.47,492.19,-6.9837835179,1.484925,0.149097,30.8396,1.7556,8.0044,0.137755,0.186522,9.204671,133,0.002211,165.0661,0.010255,0
56,2.3893,325.85,257.7405,492.19,-7.2807930217,1.476242,0.135379,25.8218,1.3938,5.8251,0.144741,0.213546,6.560832,139,0.001549,164.6664,0.010133,0
57,2.432,360.95,236.4324,492.19,-6.857633106,1.512312,0.147521,28.5013,1.2635,7.5164,0.138524,0.187909,10.899329,142,0.001415,159.284,0.010133,0
