frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,436.29,262.103,457.03,-4.1238558203,2.046028,0.175876,29.6998,1.7718,5.8077,0.125799,0.121593,18.726626,141,0.0,125.2369,0.008912,0
1,0.0427,471.67,291.8817,457.03,-2.2299792349,2.331518,0.131811,24.6844,1.948,5.3898,0.146675,0.117782,16.037654,128,0.001697,130.1289,0.009156,0
2,0.0853,467.28,344.7025,457.03,-2.2268536587,2.26197,0.127272,20.4532,1.8996,5.7941,0.149211,0.130715,17.643275,139,0.001352,110.6892,0.009156,0
3,0.128,496.67,365.8741,457.03,-1.7275156623,2.327804,0.129654,19.3666,1.9081,5.4527,0.147869,0.132079,18.124111,147,0.001459,96.858,0.009156,0
4,0.1707,551.07,386.5185,1300.78,-0.5511342076,2.364004,0.129089,17.5515,2.0991,6.1169,0.148185,0.126197,17.098704,149,0.001406,96.1742,0.009156,0
5,0.2133,574.14,418.9933,1312.5,-0.7692558584,2.367861,0.142354,15.9728,2.2084,7.3819,0.141105,0.130106,18.136781,131,0.00091,96.0159,0.009156,0
6,0.256,610.44,442.3141,1312.5,0.140977796,2.336269,0.126908,17.9458,2.3784,8.4084,0.149418,0.13125,17.799467,142,0.000861,93.2701,0.009156,0
7,0.2987,626.6,475.4366,1312.5,-0.3514813556,2.304273,0.130257,17.7365,2.4251,8.7778,0.147533,0.135071,17.63532,135,0.000671,102.9728,0.009156,0
8,0.3413,595.61,516.2923,1312.5,-0.6515989924,2.286075,0.134318,16.8,2.3658,9.0115,0.145311,0.149424,13.929317,165,0.001459,140.2337,0.009156,0
9,0.384,658.03,535.9134,1312.5,-0.165670587,2.287732,0.142207,18.0362,2.5216,9.4453,0.14118,0.141205,17.442998,144,0.001325,121.8447,0.009156,0
10,0.4267,679.9,572.9818,1324.22,-0.3207026895,2.318365,0.135081,17.8468,2.6645,10.4855,0.144901,0.143708,18.133846,154,0.000754,131.4716,0.009156,0
11,0.4693,652.43,610.3669,1324.22,-1.184533281,2.213581,0.14383,17.3966,2.6555,10.7126,0.140359,0.155354,18.177447,167,0.00118,142.5972,0.009523,0
12,0.512,607.86,636.3778,1312.5,-0.741824218,2.291529,0.13079,15.6249,2.6055,10.3101,0.147238,0.17955,9.151074,158,0.00181,142.719,0.009401,0
13,0.5547,625.66,665.9413,1324.22,-0.4296453496,2.32936,0.124545,15.7785,2.6783,10.6933,0.150779,0.180924,18.678881,149,0.00071,129.5801,0.009645,0
14,0.5973,679.7,698.914,1324.22,-0.1687678077,2.310067,0.129403,17.286,2.7442,10.836,0.148009,0.169519,11.482062,151,0.001337,139.2345,0.010133,0
15,0.64,726.91,723.0597,1324.22,-0.3270652687,2.332577,0.134792,17.2051,2.77,10.5931,0.145056,0.161925,18.299859,153,0.001597,144.5025,0.010621,0
16,0.6827,719.27,746.9311,1324.22,-0.3270303108,2.325361,0.148941,15.8147,2.7417,10.2541,0.137831,0.167051,18.363345,159,0.000699,140.3692,0.010988,0
17,0.7253,725.43,767.8328,1324.22,-0.0992305262,2.328262,0.13582,17.2035,2.7211,9.9549,0.144506,0.170972,12.107478,148,0.001022,135.6742,0.012331,0
18,0.768,716.36,788.2255,1324.22,-0.0643652938,2.301035,0.138939,16.1167,2.6987,9.6695,0.142862,0.179104,10.425613,151,0.000762,136.1056,0.012453,0
19,0.8107,781.25,817.0639,1324.22,0.0273187566,2.277559,0.142344,16.8954,2.7346,9.6534,0.14111,0.165994,18.470754,172,0.001396,161.2823,0.011354,0
20,0.8533,810.33,840.1999,1324.22,-0.3499990106,2.261162,0.15683,16.3923,2.7259,9.3622,0.134095,0.162583,18.37128,151,0.000647,174.7082,0.011598,0
21,0.896,777.07,865.7036,1324.22,-0.3530304677,2.204498,0.143832,16.4787,2.767,9.9078,0.140358,0.175777,11.650247,162,0.001235,174.8939,0.012086,0
22,0.9387,774.25,890.773,1324.22,-0.1225211898,2.221394,0.13277,16.731,2.8218,10.5057,0.14615,0.181302,10.594603,172,0.000642,167.9299,0.013185,0
23,0.9813,843.6,924.3869,1324.22,-0.3323234774,2.23157,0.141271,17.8641,2.8679,10.7819,0.141658,0.166296,18.416074,153,0.001339,191.2368,0.014284,0
24,1.024,884.62,963.1896,1324.22,-0.3611314987,2.175393,0.141657,19.2732,3.0225,12.4053,0.14146,0.162668,18.455217,161,0.000686,163.9873,0.014284,0
25,1.0667,823.02,988.7147,1324.22,-0.914519786,2.215196,0.137013,17.3028,3.1261,13.7596,0.143873,0.178979,11.746958,159,0.001466,189.8531,0.014772,0
26,1.1093,879.15,1026.1959,1324.22,-0.7870764627,2.192279,0.142907,18.3597,3.1918,14.3492,0.140824,0.169136,14.39698,167,0.000963,186.068,0.017214,0
27,1.152,874.96,1045.2233,1324.22,-0.995917239,2.152909,0.152151,18.6035,3.2189,14.5416,0.136288,0.172022,18.212718,160,0.001251,181.8917,0.015261,0
28,1.1947,906.01,1074.7366,1324.22,-0.5072758818,2.166179,0.136141,19.4021,3.2101,14.2617,0.144335,0.172069,18.501955,183,0.000763,187.8503,0.012819,0
29,1.2373,908.0,1104.7461,1324.22,-0.631681111,2.179084,0.143135,18.8527,3.2829,15.0915,0.140709,0.172658,13.681476,155,0.001465,191.4097,0.016359,0
30,1.28,931.66,1127.0462,1324.22,-0.9002733677,2.143382,0.155803,18.5948,3.2838,14.9641,0.134571,0.169229,15.042254,147,0.000725,209.0127,0.018923,0
31,1.3227,948.87,1160.7556,1324.22,-0.4758590079,2.145851,0.145599,19.3172,3.3405,15.4774,0.139473,0.16962,18.403708,172,0.000463,195.8719,0.017336,0
32,1.3653,951.16,1180.4375,1324.22,-0.6955869296,2.128523,0.151003,19.0625,3.3518,15.5018,0.136836,0.171533,18.452181,165,0.000596,197.468,0.015261,0
33,1.408,965.08,1199.8218,1324.22,-0.3506159084,2.119872,0.151414,19.7858,3.3421,15.2951,0.136639,0.171325,14.409243,161,0.001049,197.7124,0.017336,0
34,1.4507,987.49,1221.9922,1324.22,-0.5337312136,2.15079,0.161094,19.4999,3.3296,15.0376,0.132153,0.167794,15.972945,161,0.000702,212.453,0.020388,0
35,1.4933,1024.99,1269.4696,1335.94,-0.9352838377,2.133668,0.156867,18.9402,3.382,15.3794,0.134078,0.165613,18.212512,175,0.00055,219.9315,0.020144,0
36,1.536,999.7,1277.3217,1324.22,-0.6739896533,2.120242,0.156257,19.5918,3.3986,15.557,0.13436,0.171079,18.201705,160,0.000947,221.9507,0.018679,0
37,1.5787,1010.4,1298.6126,1324.22,-0.7781416617,2.107509,0.163426,18.8629,3.3969,15.4234,0.131113,0.170503,15.431019,141,0.000505,208.8678,0.018679,0
38,1.6213,1049.41,1330.7938,1335.94,-0.3437123277,2.129272,0.154954,20.0502,3.3679,14.9453,0.134966,0.167854,18.421989,166,0.000563,221.6277,0.019534,0
39,1.664,1034.27,1353.1489,1335.94,-0.400545043,2.078571,0.151064,20.3687,3.4399,15.7271,0.136806,0.172649,18.384367,166,0.000525,218.7265,0.018923,0
40,1.7067,1024.54,1383.4948,1335.94,-1.2184266996,2.097803,0.166794,18.9367,3.4962,16.1684,0.129637,0.17723,18.492943,169,0.000648,242.0832,0.017702,0
41,1.7493,1073.24,1420.4332,1335.94,-0.8998708608,2.102913,0.157288,19.8224,3.4632,15.6172,0.133884,0.171104,18.447518,147,0.000937,235.9905,0.018435,0
42,1.792,1093.13,1443.9011,1335.94,-0.7294819949,2.091468,0.16037,19.955,3.4444,15.341,0.132479,0.168882,16.279163,166,0.000524,233.2147,0.020266,0
43,1.8347,1131.56,1510.0148,1335.94,-0.778020486,2.022521,0.155999,22.2695,3.5564,16.4388,0.13448,0.1665,17.240721,145,0.000659,229.547,0.020632,0
44,1.8773,1155.26,1543.041,1335.94,-1.1302742967,2.100025,0.158146,21.3079,3.5614,16.3791,0.13349,0.165447,17.728921,173,0.000534,248.0424,0.021975,0
45,1.92,1167.06,1565.5674,1335.94,-0.8829284646,2.07854,0.155561,21.5162,3.5471,16.1321,0.134683,0.165872,18.412559,189,0.000382,260.0687,0.022586,0
46,1.9627,1184.43,1601.5655,1335.94,-0.5783243082,2.08494,0.150641,22.0457,3.5964,16.6735,0.137009,0.166009,18.37985,173,0.000346,237.8119,0.021121,0
47,2.0053,1137.88,1606.8024,1335.94,-0.7366323739,2.071932,0.150312,20.6679,3.6239,16.9521,0.137167,0.174317,18.54226,154,0.000907,262.6109,0.0199,0
48,2.048,1197.41,1644.6908,1335.94,-0.9016913665,2.091034,0.161136,21.3032,3.5802,16.3497,0.132135,0.166654,18.277727,160,0.001133,261.4032,0.022342,0
49,2.0907,1233.64,1680.9314,1371.09,-0.6051756406,2.075436,0.156548,21.9069,3.5455,15.8459,0.134226,0.165476,18.391677,167,0.000554,277.7451,0.023196,0
50,2.1333,1219.0,1688.559,1347.66,-0.6445348518,2.051284,0.162437,22.3492,3.55,15.8634,0.131552,0.167123,17.459263,169,0.000501,260.7612,0.021365,0
51,2.176,1225.75,1737.2495,1359.38,-0.7182898632,2.094104,0.152877,23.4289,3.582,16.0136,0.135943,0.168346,17.051722,182,0.000729,247.9617,0.023196,0
52,2.2187,1257.07,1788.3931,2191.41,-0.7790720731,2.050852,0.149317,23.9088,3.6211,16.3707,0.137648,0.167062,17.571966,144,0.000397,281.1785,0.02283,0
53,2.2613,1269.93,1821.628,2191.41,-0.8027139101,2.026966,0.150248,24.2939,3.6355,16.4472,0.137199,0.167508,18.294959,180,0.000501,280.0313,0.020388,0
54,2.304,1237.05,1835.9357,2179.69,-1.0049049224,2.071982,0.152317,23.335,3.6714,16.7689,0.136208,0.173383,18.419237,163,0.00081,268.4606,0.0199,0
55,2.3467,1257.85,1884.4697,2191.41,-1.2185471629,2.018272,0.157239,23.6112,3.7152,17.1505,0.133907,0.172274,18.279638,166,0.000472,295.1239,0.021243,0
56,2.3893,1289.55,1912.3577,2191.41,-1.1384539007,2.029312,0.158348,24.1981,3.6737,16.6501,0.133398,0.169718,16.811318,158,0.000957,283.5977,0.022586,0
57,2.432,1336.7,1959.4605,2203.12,-0.9863764541,2.08262,0.15413,24.6132,3.6593,16.4343,0.135352,0.166839,17.876316,165,0.000833,287.3229,0.023318,0
58,2.4747,1352.53,1999.9968,2203.12,-0.8788947957,2.044415,0.155268,24.7982,3.6722,16.5116,0.13482,0.166809,17.968042,176,0.000543,283.1671,0.024539,0
59,2.5173,1342.3,2026.1268,2203.12,-1.0632921778,2.021379,0.163374,24.9638,3.7133,16.9391,0.131136,0.168755,17.255433,174,0.000514,287.8768,0.023318,0
60,2.56,1313.25,2041.3259,2191.41,-1.2689345687,2.026259,0.159494,23.2853,3.7454,17.1942,0.132876,0.174836,15.119102,162,0.000761,293.8839,0.022464,0
61,2.6027,1384.02,2089.071,2203.12,-0.8514967989,2.051495,0.161369,25.9328,3.6779,16.4007,0.13203,0.167124,17.912444,162,0.00097,266.4166,0.023807,0
62,2.6453,1409.85,2131.6917,2203.12,-0.8957775298,2.044061,0.156193,25.867,3.6843,16.4254,0.13439,0.166915,18.036834,162,0.000581,298.3472,0.025638,0
63,2.688,1421.83,2168.9384,2203.12,-0.9118345639,2.015047,0.164281,25.8071,3.7061,16.6361,0.130736,0.166838,18.125824,180,0.000555,299.3757,0.025272,0
64,2.7307,1392.44,2185.6134,2203.12,-1.0644732745,2.065985,0.158396,25.8358,3.7627,17.2091,0.133376,0.170304,18.296151,148,0.000675,295.6283,0.02222,0
65,2.7733,1424.53,2218.6864,2203.12,-0.724404891,2.014018,0.157384,26.4089,3.7261,16.7875,0.13384,0.169117,18.471689,155,0.000404,300.092,0.023074,0
66,2.816,1475.72,2260.2727,2214.84,-0.6866158582,2.022635,0.159575,26.639,3.6731,16.1743,0.132839,0.166624,18.475273,172,0.000606,321.908,0.024905,0
67,2.8587,1461.86,2270.3161,2214.84,-0.8959671605,2.062825,0.164236,25.7308,3.6711,16.1348,0.130755,0.168085,18.463929,156,0.000486,307.132,0.02515,0
68,2.9013,1467.43,2289.2594,2214.84,-0.7797111691,1.999652,0.167218,26.0977,3.668,16.0403,0.129453,0.167987,18.426085,166,0.000288,315.6578,0.024539,0
