frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,550.27,887.1584,632.81,-7.3736172095,1.150501,0.155274,39.1694,5.4266,34.9528,0.134817,0.377846,-9.040611,33,0.0,400.5961,0.012453,0
1,0.0427,415.73,840.9289,550.78,-6.7786732886,1.014807,0.168831,44.2565,5.7926,41.7,0.128758,0.29231,-7.546787,34,0.001832,323.8044,0.012453,0
2,0.0853,449.69,1003.4425,539.06,-5.8970580899,1.261247,0.172978,57.3961,5.1288,31.1447,0.127001,0.241459,-5.88909,30,0.000882,351.9158,0.009767,0
3,0.128,501.91,1001.8912,457.03,-5.6498302066,1.57994,0.155047,55.0435,5.1476,31.073,0.134923,0.245768,14.816205,38,0.001122,364.5268,0.009278,0
4,0.1707,406.11,858.7623,445.31,-5.3071081145,1.839007,0.131155,47.2113,5.8933,42.4688,0.147036,0.255159,14.331833,34,0.000716,316.5363,0.011354,0
5,0.2133,479.77,1046.4472,445.31,-4.6171997353,1.870493,0.13837,57.2423,4.6962,24.0941,0.14316,0.237702,0.353432,31,0.000661,408.1743,0.01172,0
6,0.256,1035.01,1815.6307,1933.59,-3.8261289146,1.810695,0.248301,100.4402,2.46,5.2499,0.100837,0.214588,8.310521,35,0.000941,513.5729,0.009889,0
7,0.2987,856.8,1662.3574,1183.59,-3.7073995931,1.868399,0.210416,87.3246,2.8328,7.4676,0.11282,0.245758,15.935431,40,0.000784,510.2377,0.009401,0
8,0.3413,673.94,1361.4547,468.75,-4.4831435899,1.793963,0.179136,75.5549,3.6232,13.5946,0.124469,0.242768,16.137425,44,0.000596,460.8091,0.009523,0
9,0.384,431.14,885.7988,445.31,-4.7121001584,1.811992,0.134784,55.3109,5.1139,29.9238,0.14506,0.229132,0.552411,39,0.000679,350.4016,0.009523,0
10,0.4267,446.14,890.1079,445.31,-4.9213760506,1.887862,0.134152,54.1922,5.4167,35.7401,0.145401,0.241256,15.047115,36,0.000511,340.1958,0.009645,0
11,0.4693,451.91,825.7704,457.03,-4.9447656633,2.017846,0.142665,53.5303,6.1182,46.638,0.140947,0.220738,15.180375,41,0.000446,289.4178,0.009645,0
12,0.512,459.61,877.8797,457.03,-5.1093482977,1.932186,0.141864,54.4072,5.6895,39.6491,0.141355,0.230301,4.986827,33,0.000437,314.8752,0.009889,0
13,0.5547,459.85,901.5941,609.38,-5.677977646,1.540165,0.176666,55.9182,4.6269,27.309,0.125474,0.256934,18.405721,20,0.001208,319.0722,0.009401,0
14,0.5973,580.21,1147.1123,796.88,-6.1025505319,1.462388,0.181993,57.4736,4.446,23.1507,0.123324,0.274776,11.993988,37,0.001019,443.3334,0.010621,0
15,0.64,656.6,1254.359,843.75,-5.1320615056,1.655561,0.204938,71.3084,3.9971,17.7459,0.11473,0.244372,13.027751,40,0.000839,439.2999,0.012086,0
16,0.6827,742.96,1508.8547,738.28,-4.2266978185,1.806942,0.194639,82.5043,3.3278,11.3604,0.118462,0.257221,15.368412,28,0.00065,507.3472,0.010743,0
17,0.7253,1299.95,2159.9163,3281.25,-3.5819229027,1.777282,0.293029,112.1445,2.1549,3.6662,0.088848,0.221379,5.778432,30,0.000808,570.1435,0.010988,0
18,0.768,1169.0,2023.5119,2765.62,-3.7534871064,1.662659,0.26972,104.6134,2.3113,4.4953,0.094848,0.235687,5.249219,33,0.000737,577.6697,0.011476,0
19,0.8107,880.09,1649.2777,1324.22,-4.1983647871,1.763596,0.226439,91.3282,2.9235,8.2982,0.107508,0.230102,13.395972,41,0.000667,537.9577,0.010621,0
20,0.8533,688.86,1328.5326,738.28,-4.6496439251,1.779785,0.194732,79.0017,3.4461,12.5881,0.118427,0.249686,3.21087,27,0.000762,469.4017,0.010377,0
21,0.896,620.27,1119.255,527.34,-4.9073486309,1.775141,0.190517,74.8398,3.9697,18.0151,0.120011,0.220233,6.514445,31,0.000576,403.7543,0.010866,0
22,0.9387,508.62,1068.4386,457.03,-4.9148945917,1.804083,0.156214,60.5827,4.311,21.3466,0.13438,0.257312,17.31016,34,0.000908,378.5588,0.011354,0
23,0.9813,583.11,1122.6846,457.03,-4.9488400637,1.776286,0.177095,68.5759,4.1606,19.9241,0.125299,0.238474,12.538118,36,0.000779,397.2566,0.01111,0
24,1.024,668.45,1132.73,574.22,-4.7687853788,1.800878,0.205217,82.5141,3.9695,17.8177,0.114631,0.176189,11.252071,51,0.000652,407.6887,0.010133,0
25,1.0667,579.77,1004.9887,480.47,-5.1850746323,1.818237,0.187843,71.8748,4.645,25.946,0.121034,0.201357,14.080589,24,0.00042,355.6186,0.009889,0
26,1.1093,460.65,917.8361,457.03,-5.1564223424,1.679929,0.147848,54.4562,5.0744,31.4615,0.138364,0.244698,1.59747,38,0.000812,373.0331,0.009889,0
27,1.152,579.34,970.9562,468.75,-4.8664459325,1.781959,0.185865,69.0404,4.8635,28.4871,0.1218,0.179138,15.647931,38,0.000757,368.1363,0.009767,0
28,1.1947,479.31,911.6236,457.03,-5.3457463155,1.718176,0.150946,58.0686,5.152,31.9312,0.136863,0.237813,12.986874,39,0.000559,357.7123,0.009156,0
29,1.2373,421.71,789.8366,457.03,-5.4991932047,1.832017,0.137746,50.5918,5.0954,31.8836,0.143487,0.244057,17.761479,29,0.000539,328.3949,0.009645,0
30,1.28,491.0,829.8498,457.03,-5.0948998116,1.941422,0.161459,60.7295,5.0881,32.2369,0.13199,0.205179,7.17463,27,0.000648,326.8199,0.009889,0
31,1.3227,571.54,959.2234,457.03,-4.769787348,1.89124,0.173301,68.3232,5.4866,36.695,0.126866,0.165589,12.33538,31,0.00043,365.0473,0.009401,0
32,1.3653,436.48,799.0051,445.31,-5.1348306753,1.857279,0.139772,53.2494,5.344,36.5269,0.14243,0.238689,15.430436,29,0.000691,333.0863,0.009401,0
33,1.408,465.23,865.0235,457.03,-5.2297049978,1.911175,0.150794,56.4346,5.2747,34.6139,0.136936,0.236451,5.008008,36,0.000448,350.6109,0.009401,0
34,1.4507,655.15,1106.284,738.28,-4.7938424786,1.877251,0.20426,79.4262,3.9378,17.651,0.11497,0.195434,16.411253,28,0.000644,376.3307,0.009767,0
35,1.4933,591.68,1136.0264,468.75,-4.9775287474,1.774537,0.180891,70.1709,4.0351,18.5112,0.123764,0.247819,11.314716,36,0.000613,429.436,0.009645,0
36,1.536,749.08,1306.9866,925.78,-4.5275336541,1.854745,0.216042,86.1553,3.2439,11.1618,0.11091,0.204269,8.572394,33,0.00069,452.475,0.009401,0
37,1.5787,725.31,1316.2273,691.41,-4.2777188163,1.929347,0.202796,83.406,3.1612,10.1901,0.11549,0.226746,6.462325,22,0.000616,436.2239,0.009889,0
38,1.6213,583.17,1094.0457,457.03,-4.4888745342,1.947809,0.168567,70.7681,3.9655,16.865,0.128871,0.228031,16.288192,37,0.00065,399.8234,0.009889,0
39,1.664,511.16,857.0926,457.03,-5.0143683551,1.835278,0.167358,61.754,4.7656,27.258,0.129392,0.20614,16.237944,28,0.000717,336.7012,0.009401,0
40,1.7067,471.4,863.4618,457.03,-5.2079169253,1.814003,0.155168,56.4006,5.3503,36.0248,0.134866,0.232183,13.285335,33,0.000638,332.2634,0.009889,0
41,1.7493,537.72,1117.1434,457.03,-4.8961387612,1.784543,0.161125,63.5807,4.8003,26.7284,0.13214,0.244631,16.347828,27,0.00068,425.1873,0.009767,0
42,1.792,661.35,1131.194,562.5,-4.3529851538,1.943802,0.195492,82.1531,4.0775,18.4241,0.118145,0.175368,10.307625,30,0.000923,438.027,0.009523,0
43,1.8347,765.04,1310.2463,937.5,-3.9637756755,2.003457,0.215115,92.9634,3.5254,13.6444,0.111221,0.18211,9.590747,38,0.000496,498.1585,0.009401,0
44,1.8773,762.53,1290.0644,960.94,-4.0984493333,1.925018,0.217202,94.6159,3.4327,12.3765,0.110523,0.173522,11.168901,25,0.000589,467.4292,0.009156,0
45,1.92,721.69,1313.9841,714.84,-5.6112536821,1.510948,0.214645,74.9259,3.6424,14.3258,0.11138,0.237076,6.584329,27,0.001095,504.0814,0.009645,0
46,1.9627,690.17,1312.3458,644.53,-5.178877138,1.539376,0.202136,74.3201,3.6928,15.0608,0.115726,0.250877,4.700326,35,0.000918,491.9285,0.009645,0
47,2.0053,834.39,1376.0748,1265.62,-4.5607582086,1.71291,0.246687,96.2591,3.2354,10.7852,0.101309,0.167255,14.922777,40,0.001042,480.1986,0.009767,0
48,2.048,810.65,1332.2908,1300.78,-4.5700070065,1.727706,0.244297,92.8547,3.5378,13.9595,0.102014,0.167144,12.033092,41,0.000516,509.107,0.009889,0
49,2.0907,705.74,1200.3568,949.22,-4.5653967106,1.850174,0.210348,84.5949,3.8041,16.1355,0.112844,0.182302,10.121776,23,0.000573,424.5221,0.009401,0
50,2.1333,521.35,792.4212,457.03,-5.0560583285,1.950377,0.177718,64.8476,5.193,35.6674,0.125045,0.177332,10.451233,37,0.000487,342.5633,0.009156,0
51,2.176,622.43,999.3675,468.75,-4.5113427766,1.905019,0.193689,76.6983,4.0921,19.472,0.118816,0.174357,11.170804,32,0.000584,406.848,0.009401,0
52,2.2187,971.33,1555.9722,1652.34,-4.0000169477,1.908647,0.264122,104.3809,2.6548,6.7954,0.096366,0.176168,12.955768,32,0.000592,476.7316,0.009889,0
53,2.2613,809.34,1366.3022,1171.88,-3.969161321,1.995942,0.221215,93.43,3.066,9.5265,0.109197,0.180563,10.125527,26,0.000632,481.3588,0.009889,0
54,2.304,747.56,1185.9067,832.03,-4.2703563289,1.912816,0.21796,93.2107,3.5332,13.5342,0.110271,0.158544,14.926481,25,0.000564,420.374,0.010133,0
55,2.3467,564.3,929.4179,457.03,-4.5155299208,1.882184,0.181476,71.5105,4.1969,20.8386,0.12353,0.19824,15.662034,33,0.000613,369.5759,0.009889,0
56,2.3893,535.52,974.1788,457.03,-4.9861407632,1.773661,0.164388,65.8532,4.7191,25.8256,0.130688,0.218728,13.067494,35,0.000696,421.0013,0.009645,0
57,2.432,732.41,1318.6532,820.31,-4.5897235417,1.816043,0.217502,86.9787,3.6402,14.2219,0.110423,0.200702,8.035444,28,0.000764,434.4537,0.009889,0
58,2.4747,616.64,1157.6512,480.47,-4.4540522421,1.780193,0.188123,73.6955,4.283,21.3447,0.120926,0.223534,6.121806,41,0.000663,441.1065,0.009401,0
59,2.5173,518.51,936.0092,457.03,-5.0733595546,1.779134,0.170991,64.0952,4.6782,26.2496,0.127838,0.225477,5.124332,32,0.000575,373.3676,0.009401,0
60,2.56,444.58,837.6665,457.03,-5.1829570543,1.806985,0.145965,54.022,5.3419,36.5559,0.139292,0.247268,17.851627,32,0.000604,342.457,0.009767,0
61,2.6027,456.83,921.3941,445.31,-5.114031753,1.790868,0.139342,57.3061,5.4927,37.1659,0.142653,0.239899,14.439955,30,0.000562,349.9052,0.009645,0
62,2.6453,471.27,875.0422,457.03,-4.7799332564,1.904528,0.149489,56.073,5.3918,34.4986,0.137565,0.223825,17.160073,28,0.000545,334.8956,0.009401,0
63,2.688,551.92,944.1341,457.03,-4.6654926419,1.898849,0.167679,66.827,5.2195,32.4706,0.129253,0.177747,10.150614,30,0.000612,347.207,0.009156,0
64,2.7307,412.6,808.4955,445.31,-4.7288130594,1.977126,0.134543,50.7772,5.9464,44.9713,0.14519,0.231514,1.146145,36,0.000788,313.7126,0.009523,0
65,2.7733,436.4,752.8314,445.31,-4.9270624011,1.934137,0.140865,48.8676,6.7072,54.7634,0.141866,0.203091,7.602603,42,0.000641,276.8207,0.010499,0
66,2.816,432.61,632.834,445.31,-5.5424409533,1.839637,0.148995,49.979,6.1668,53.3427,0.137804,0.192878,14.553866,31,0.000396,268.1476,0.010133,0
67,2.8587,409.95,498.045,445.31,-5.749849009,1.770356,0.152053,45.1898,6.166,61.7752,0.136334,0.187743,10.012974,29,0.000447,223.7039,0.009645,0
68,2.9013,413.19,716.1133,445.31,-5.1324249381,1.694882,0.13202,45.9837,6.4467,53.1196,0.14656,0.221616,15.066046,33,0.000573,278.185,0.010011,0
69,2.944,503.08,873.3474,457.03,-4.7198469295,1.895348,0.147771,59.6684,5.1883,30.6816,0.138402,0.190299,15.722766,28,0.00051,327.197,0.009645,0
70,2.9867,438.2,756.9667,445.31,-5.2146521427,1.903418,0.139292,53.1656,5.6036,39.4483,0.142679,0.222048,14.366603,30,0.000453,325.2694,0.009156,0
71,3.0293,487.0,918.4501,457.03,-4.6740055995,1.934652,0.146671,58.8741,5.5027,36.0668,0.138943,0.210864,4.825827,33,0.000661,371.8878,0.009156,0
72,3.072,536.26,894.8516,457.03,-4.4761718243,1.980371,0.165655,64.2313,5.7155,38.8164,0.130133,0.169514,10.985619,32,0.00052,319.5077,0.009401,0
73,3.1147,369.55,665.9106,445.31,-5.0174271705,2.030093,0.119935,44.4136,5.7139,41.8756,0.153509,0.240805,1.666829,31,0.000796,295.8657,0.008912,0
74,3.1573,290.7,387.9785,445.31,-6.0053871636,1.973179,0.110561,33.1476,5.171,46.4645,0.1594,0.223686,17.900586,35,0.000991,197.97,0.009401,0
75,3.2,426.3,714.4641,445.31,-5.093165803,1.781612,0.129946,50.4757,5.6417,39.177,0.147706,0.216315,15.477908,33,0.000764,286.241,0.010011,0
76,3.2427,448.82,762.2013,457.03,-4.9961445259,1.839098,0.149255,50.8347,6.2668,48.4377,0.137679,0.204712,7.383502,39,0.000433,289.6247,0.009523,0
77,3.2853,351.14,677.0035,445.31,-5.1131816672,1.923917,0.115731,43.0413,6.2159,50.1909,0.156092,0.241283,-0.212221,23,0.000842,277.8518,0.009889,0
78,3.328,373.39,594.3178,445.31,-5.7399109881,1.840102,0.129502,42.4746,6.3003,54.9044,0.147954,0.234596,15.523232,29,0.001034,256.8311,0.009645,0
79,3.3707,514.81,871.9159,457.03,-4.8741897666,1.955968,0.162422,61.9623,5.8085,40.8032,0.131559,0.18329,14.561308,32,0.000628,326.2017,0.009156,0
80,3.4133,454.65,713.2513,457.03,-5.2690104989,1.898863,0.157298,52.9375,6.3121,54.5156,0.133879,0.19553,14.550495,33,0.000466,302.5508,0.009523,0
81,3.456,480.51,848.3797,457.03,-5.1818439529,1.793794,0.159817,56.3467,5.9715,44.3297,0.13273,0.203292,8.554348,31,0.00059,322.8922,0.010133,0
82,3.4987,421.98,800.0435,457.03,-5.7757685623,1.673657,0.153929,48.3083,5.0852,33.9965,0.135447,0.270298,0.520376,31,0.001037,345.3445,0.009889,0
83,3.5413,569.03,896.4933,714.84,-5.8018668606,1.621964,0.211091,64.1492,4.0314,19.606,0.112589,0.220557,14.615241,27,0.00107,358.9959,0.009401,0
84,3.584,615.99,891.7831,855.47,-5.6788443451,1.652183,0.237273,68.036,4.1663,22.9227,0.104125,0.192879,9.204098,29,0.000738,341.3693,0.009401,0
85,3.6267,551.1,883.3599,632.81,-5.6387765436,1.747288,0.203947,62.3682,4.5013,27.0846,0.11508,0.222274,6.639797,34,0.000652,366.3636,0.009156,0
86,3.6693,607.87,873.1985,750.0,-5.6427372381,1.705663,0.222792,71.1295,4.2694,23.5379,0.108683,0.176716,14.349355,40,0.000793,355.0544,0.009156,0
87,3.712,595.71,892.1618,609.38,-5.2700904811,1.766626,0.215263,70.0479,4.4718,25.6381,0.111172,0.179836,10.329659,28,0.000658,335.3907,0.009156,0
88,3.7547,498.62,882.8132,457.03,-5.2598402241,1.826536,0.174056,59.7631,4.8569,29.2606,0.126552,0.233775,14.301588,31,0.000871,352.2959,0.009401,0
89,3.7973,665.41,1211.2166,609.38,-4.6303877783,1.928952,0.202223,79.1996,4.1686,19.3368,0.115695,0.195942,14.828833,37,0.000683,446.5078,0.009889,0
90,3.84,950.41,1800.02,1324.22,-4.1233945718,1.760447,0.23528,97.5292,2.9195,7.969,0.104736,0.224372,13.118598,30,0.00063,572.8297,0.009645,0
91,3.8827,852.94,1639.4337,1148.44,-4.3325170333,1.77279,0.220039,91.5573,3.1619,9.8505,0.109583,0.231534,14.243163,34,0.000774,573.7377,0.009278,0
92,3.9253,723.47,1307.7295,949.22,-4.7172115419,1.632699,0.2107,80.2926,3.5633,13.9412,0.112723,0.22598,6.837024,26,0.000921,525.6426,0.009401,0
93,3.968,677.41,1186.9331,574.22,-5.0076846726,1.533404,0.197018,74.1518,3.8146,16.9559,0.117582,0.2245,13.551726,36,0.000752,471.7372,0.009645,0
94,4.0107,719.68,1297.6888,796.88,-4.9542943159,1.531707,0.205307,74.2356,3.4415,12.9609,0.114599,0.245708,15.140911,38,0.000783,495.9367,0.009523,0
95,4.0533,592.76,1015.7854,457.03,-5.0253428372,1.552121,0.182068,69.9988,4.0827,19.3168,0.123294,0.21123,7.738678,32,0.000821,386.4902,0.009767,0
96,4.096,395.47,591.793,445.31,-6.0721548416,1.716918,0.141039,44.913,4.9981,34.2879,0.141777,0.229627,13.267727,26,0.000683,289.207,0.009645,0
97,4.1387,407.65,643.6218,445.31,-5.3428198627,1.805647,0.14158,48.5169,5.5914,43.1819,0.1415,0.225912,16.107724,29,0.000612,330.6145,0.009401,0
98,4.1813,612.17,889.5141,761.72,-5.7357278837,1.431763,0.22634,60.339,3.925,19.3476,0.10754,0.206038,10.081399,27,0.001046,347.5266,0.009401,0
99,4.224,706.92,936.2844,1511.72,-5.7548363547,1.256699,0.259387,55.3695,2.7891,10.1515,0.097675,0.240056,5.804951,43,0.001081,353.1257,0.009401,0
100,4.2667,640.11,908.2642,1394.53,-5.8107560511,1.107306,0.228402,45.2029,2.5898,8.4457,0.106883,0.293112,14.515844,53,0.001512,305.6741,0.009523,0
101,4.3093,730.87,933.2867,1488.28,-5.8657590527,1.212354,0.251035,46.6826,2.6222,10.356,0.100044,0.279283,12.192219,44,0.001235,364.6791,0.008912,0
102,4.352,799.92,948.2476,1582.03,-5.6078438131,1.26159,0.273345,46.4116,2.0817,5.9213,0.093882,0.282885,14.989825,43,0.00118,338.2495,0.009401,0
103,4.3947,775.24,894.6818,1476.56,-5.713109254,1.188427,0.299231,45.8953,2.0906,5.4659,0.087332,0.273011,10.357851,39,0.001284,322.7446,0.010377,0
104,4.4373,860.74,941.0838,1593.75,-5.1109808433,1.162206,0.326096,54.7363,2.123,6.1626,0.081109,0.216056,10.747456,35,0.001234,313.8098,0.010133,0
105,4.48,652.79,922.9237,1417.97,-5.7626203957,1.172137,0.244192,43.4003,2.4207,7.1886,0.102045,0.294184,0.434286,42,0.00178,323.1723,0.009767,0
106,4.5227,650.18,981.781,1406.25,-5.4991220744,1.286473,0.235631,46.6411,2.9284,12.2308,0.104628,0.281569,13.956091,46,0.001166,377.0648,0.009767,0
107,4.5653,524.59,855.4333,632.81,-5.4066055999,1.285645,0.194806,43.6893,3.0032,10.8929,0.1184,0.292878,16.486974,32,0.001079,335.3553,0.009523,0
108,4.608,617.52,868.0995,796.88,-5.3626550815,1.449107,0.2285,63.0611,2.9064,9.0454,0.106852,0.215929,10.443516,41,0.001497,323.842,0.009401,0
109,4.6507,606.27,906.8261,468.75,-5.0972677465,1.334762,0.196269,54.8536,2.9473,9.1873,0.117858,0.263685,10.464434,40,0.000849,326.2068,0.010255,0
