frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-0.421035,0.600596,-0.164919,-0.994132,-1.161459,-1.008948,-0.802879,0.599004,0.171494,0.996310,0.674322,-0.119569,-1.975238,-8.497500,0.569546,0.143974
1,0.042700,0,-1.168017,-0.240785,-0.689028,-1.967269,-0.724253,-1.288168,-0.135459,1.287100,1.211266,1.284504,0.239336,0.247256,-0.985486,-0.133772,-0.509224,-0.553248
2,0.085300,0,-1.248536,1.758206,0.097163,-1.123209,-0.629891,-1.416970,0.316413,0.918844,0.311121,1.418165,-0.792989,-1.426990,-1.150445,0.233306,-0.115187,-2.162337
3,0.128000,0,-3.016573,0.041320,-2.785462,-1.653020,-1.978452,-2.695917,2.653323,2.974328,3.068002,2.785900,-2.743118,-2.634340,-1.810280,2.400478,0.627093,-2.867278
4,0.170700,0,-2.236523,0.585777,-1.278657,-2.174521,-1.705286,-1.810891,1.086024,2.028013,1.728181,1.831965,-1.408902,1.481198,-0.655569,1.969867,1.027900,-1.986101
5,0.213300,0,-1.637056,-1.448745,-1.802765,-2.179626,-1.635733,-1.737370,-0.031367,1.788866,1.877711,1.754331,0.089502,0.359560,-0.325651,1.035230,1.074219,-0.951723
6,0.256000,0,-1.610073,-1.414636,-1.999271,-2.023012,-1.168506,-1.667907,-0.194162,2.054421,2.203506,1.681093,0.010956,0.979035,-0.160693,0.529792,0.080473,-0.836806
7,0.298700,0,-2.587180,-1.325067,-3.178529,-2.902438,-2.626849,-2.336588,0.234863,2.944984,3.234366,2.394439,-0.505965,1.342850,1.323936,0.908165,0.959755,-1.687292
8,0.341300,0,-1.814320,-0.402741,-1.737245,-1.747110,-2.415988,-1.684780,2.211107,1.608406,1.698474,1.698670,-1.860002,-1.545843,-0.325651,1.326069,1.324337,-1.825243
9,0.384000,0,-1.819545,-0.490091,-1.475162,-1.761119,-0.385607,-1.726041,2.241281,1.416209,1.391493,1.742247,-2.088495,1.680563,0.994018,1.636673,-0.526345,-2.836650
10,0.426700,0,-2.867214,-0.066170,-2.130312,-1.701289,-0.924626,-3.203455,4.580544,2.080830,2.153993,3.348740,-3.641253,2.688663,-0.160693,1.218769,1.242368,-3.503244
11,0.469300,0,-0.544948,0.972106,-0.295960,-0.946603,-1.068667,-1.033495,0.782159,0.123646,-0.073100,1.021577,-0.842849,-1.326408,0.334184,1.204651,-0.258672,-1.373106
12,0.512000,0,-1.108827,-0.314243,-0.951054,-0.378962,1.637107,-1.214245,1.664067,0.996603,1.195422,1.207970,-1.974043,1.709689,-1.975238,0.145772,-1.806919,-1.495743
13,0.554700,0,-0.722889,1.620336,0.686736,-0.964766,-1.098307,-0.796299,0.463298,0.422945,0.108118,0.779157,-0.756183,1.291371,0.169225,0.384373,1.019903,-1.442082
14,0.597300,0,-0.849076,-1.042357,-1.278657,-1.207868,0.349029,-0.935949,-0.098189,0.590201,0.562646,0.921606,-0.097158,-0.278464,0.334184,-0.234012,0.195538,-0.982351
15,0.640000,0,-1.468273,-0.383642,-1.147616,-0.306253,0.558246,-1.254862,0.961754,1.310574,1.394464,1.249716,-1.167846,1.432937,0.664101,1.114293,0.471627,-1.488086
16,0.682700,0,-1.419839,2.377963,-0.099398,-0.403328,-1.292963,-1.355743,2.370476,0.800004,0.258637,1.354448,-2.083980,-0.807012,0.169225,0.916636,0.486420,-1.258189
17,0.725300,0,-0.962540,0.830627,-0.492466,-1.344161,1.122212,-0.568584,0.268658,1.228413,1.032029,0.548454,-0.271011,0.479466,-0.325651,1.160884,0.290280,-0.606909
18,0.768000,0,-1.128803,-0.952508,-1.475162,-1.512345,-0.501525,-0.869177,-0.218326,1.232815,1.254838,0.853494,0.103446,0.436909,-0.490610,1.016876,-0.222739,-0.055233
19,0.810700,0,-1.111408,1.979875,0.293669,-1.271904,-0.361470,-1.101633,0.019960,0.832282,0.242793,1.091520,-0.669160,1.624715,0.334184,0.127418,-0.550185,-0.124208
20,0.853300,0,-1.403489,0.550092,-0.885533,-2.086740,-0.264439,-1.296765,0.398816,1.394202,0.965682,1.293293,-0.297610,-0.144743,0.829060,0.229071,-0.416571,-0.246782
21,0.896000,0,-0.210026,-1.042972,-0.361481,-0.279377,-0.735309,-0.101664,-0.461659,0.130982,0.199221,0.081923,0.472601,0.438598,0.994018,0.415433,0.114033,-0.001571
22,0.938700,0,0.843605,1.287521,1.145380,-0.064181,-1.021075,0.777898,-1.125020,-0.527771,-0.697953,-0.775703,1.131974,-0.276026,-0.985486,-0.140831,-0.110956,0.887262
23,0.981300,0,0.420235,-0.509662,0.555751,0.112431,-0.543449,0.355573,-1.282219,0.440551,0.412127,-0.367397,1.051318,0.381108,0.994018,0.062474,-0.256566,0.327866
24,1.024000,0,-1.841734,-0.114480,-1.802765,-1.588224,-1.743605,-2.046802,1.723001,1.385399,1.247906,2.082807,-1.826728,-1.035457,0.499142,1.187709,0.779585,-1.357792
25,1.066700,0,-0.512740,1.372642,0.228148,-0.617875,0.105808,-0.912848,-0.567605,0.245420,-0.326606,0.898170,0.164015,-0.003771,0.499142,0.964638,1.562150,-0.783145
26,1.109300,0,-1.427522,0.388767,-0.951054,-1.727791,-0.465496,-1.468676,0.034993,1.460224,1.190471,1.472362,-0.022615,-0.468158,-0.655569,0.481790,0.410576,0.052027
27,1.152000,0,-0.814840,0.330107,-0.492466,-1.512630,-2.121860,-0.800357,0.193533,1.099304,0.895374,0.783185,0.271709,-1.695509,-0.655569,0.994287,-0.411315,0.075061
28,1.194700,0,0.232951,0.298713,0.228148,-0.262084,-2.335340,0.981347,0.106558,-0.557114,-0.390973,-0.970152,0.299772,0.430559,-1.480362,-0.250954,-0.372277,0.167007
29,1.237300,0,0.308184,0.403986,0.686736,-0.381154,-0.550964,0.807949,0.221440,-0.279822,-0.283035,-0.804632,-0.069147,0.565780,-1.810280,-0.111182,-1.780422,-0.185463
