frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,1006.87,797.4239,1734.38,-3.8547348599,1.777416,0.225984,30.8024,0.8451,1.2154,0.107654,0.275655,3.814735,145,0.0,348.8989,0.018557,0
1,0.0427,853.12,801.6293,1546.88,-2.496470728,2.032888,0.153996,23.7049,0.9402,1.225,0.135415,0.273138,15.236496,184,0.005432,334.5914,0.018069,0
2,0.0853,930.76,800.861,1558.59,-2.3831449034,2.024292,0.141739,25.6922,0.8619,1.0674,0.141419,0.266481,18.316232,158,0.003452,355.7105,0.019167,0
3,0.128,1019.45,770.7616,1558.59,-2.0400786521,1.800413,0.149389,27.7628,0.919,1.5861,0.137614,0.242935,22.085819,170,0.002941,308.5667,0.020632,0
4,0.1707,983.66,776.9483,1546.88,-1.7993579129,1.811378,0.151106,21.6635,0.9031,1.3948,0.136786,0.248247,22.782514,170,0.001647,300.739,0.020266,0
5,0.2133,1026.13,769.8162,1546.88,-1.8914942772,1.775114,0.170733,20.1207,0.9228,1.5835,0.127947,0.243031,22.457866,145,0.001334,275.0877,0.020999,0
6,0.256,1050.13,766.2383,1558.59,-1.4968055968,1.796124,0.165954,19.6083,0.923,1.6428,0.130002,0.238234,10.816776,175,0.001567,271.2879,0.021609,0
7,0.2987,945.5,787.4334,1546.88,-1.4724195358,1.775359,0.149358,17.9327,0.8903,1.1673,0.137629,0.254907,5.150101,176,0.001774,267.3904,0.020999,0
8,0.3413,881.64,797.275,1546.88,-1.5744043117,1.773186,0.145782,15.9632,0.9387,1.1085,0.139383,0.262157,21.001171,159,0.001477,248.2472,0.021121,0
9,0.384,911.63,794.519,1546.88,-1.5947405914,1.783843,0.15185,16.3293,0.9111,1.1089,0.136431,0.259831,18.634904,159,0.001136,249.4612,0.020754,0
10,0.4267,979.33,788.2454,1546.88,-2.0446740462,1.790237,0.161012,17.5014,0.9145,1.3769,0.13219,0.253971,20.935501,171,0.001635,252.1643,0.020144,0
11,0.4693,1059.1,766.7212,1558.59,-1.684190315,1.78702,0.165412,19.2795,0.9289,1.633,0.130239,0.236155,11.750868,153,0.001475,246.9122,0.020022,0
12,0.512,971.94,785.9475,1546.88,-2.080227243,1.783256,0.165581,17.1877,0.9081,1.2969,0.130165,0.252655,21.301826,158,0.001659,243.9545,0.019778,0
13,0.5547,986.9,784.9994,1546.88,-1.777919319,1.788865,0.162664,17.9282,0.9032,1.331,0.131451,0.250034,21.965021,159,0.000879,268.2252,0.019778,0
14,0.5973,873.27,802.0409,1546.88,-2.7171251558,1.794285,0.156439,14.8063,0.9848,1.2927,0.134276,0.264417,15.274937,154,0.002133,262.2876,0.019778,0
15,0.64,984.72,786.6798,1546.88,-1.7918434068,1.799324,0.157983,17.0697,0.8929,1.2815,0.133565,0.247794,23.193548,150,0.001842,245.6573,0.019534,0
16,0.6827,898.77,799.7238,1546.88,-1.934798497,1.786634,0.147248,16.1407,0.9375,1.1686,0.138658,0.259465,21.639462,166,0.001409,244.9917,0.017336,0
17,0.7253,796.13,803.5585,1546.88,-2.1245620887,1.790429,0.136194,14.7137,1.0459,1.2152,0.144307,0.25361,20.446435,173,0.001964,256.9163,0.015505,0
18,0.768,722.33,792.8718,1535.16,-2.0698236607,1.800402,0.150542,14.7353,1.0949,0.9868,0.137057,0.232242,-2.460629,148,0.002379,233.1349,0.014528,0
19,0.8107,567.14,755.6592,1535.16,-2.235545857,1.790538,0.169555,14.2337,1.3803,1.5765,0.128448,0.198159,21.353955,150,0.005288,217.8243,0.010011,0
20,0.8533,520.31,739.7104,1511.72,-1.1652819214,1.752138,0.134936,18.5213,1.5,1.9515,0.144979,0.174884,28.223358,150,0.003037,231.341,0.005616,0
21,0.896,565.8,755.9845,1535.16,-1.9242905388,1.775107,0.158741,16.8048,1.381,1.5806,0.133218,0.18755,28.376414,179,0.002448,237.3161,0.006593,0
22,0.9387,669.44,781.305,1535.16,-1.7840249846,1.787797,0.154818,15.324,1.1737,1.1108,0.13503,0.225964,19.784679,146,0.004502,212.1431,0.012697,0
23,0.9813,915.16,795.4485,1546.88,-2.1024866503,1.793144,0.146635,16.8482,0.9345,1.2181,0.13896,0.246075,19.084197,169,0.00553,263.3919,0.018069,0
24,1.024,834.72,800.4584,1546.88,-1.9743730256,1.789791,0.133535,15.5466,0.9953,1.1857,0.145734,0.263196,16.144144,160,0.001676,252.2907,0.018801,0
25,1.0667,879.57,801.078,1546.88,-1.9656824468,1.783581,0.140674,15.5186,0.9518,1.1768,0.141964,0.250444,24.5285,182,0.001238,279.6686,0.017824,0
26,1.1093,837.66,800.407,1546.88,-2.0151618734,1.790496,0.146775,15.8846,0.9769,1.0922,0.138891,0.240529,21.400629,178,0.001061,254.434,0.015139,0
27,1.152,945.01,789.7534,1546.88,-2.0265814173,1.794316,0.155956,17.01,0.909,1.2445,0.1345,0.244836,21.114897,158,0.001996,255.3327,0.016848,0
28,1.1947,982.68,780.5711,1546.88,-1.365308849,1.790958,0.160539,17.4332,0.8663,1.1842,0.132403,0.250577,6.353474,148,0.00291,263.6733,0.021243,0
29,1.2373,781.95,800.1456,1546.88,-1.6133138863,1.787205,0.131553,16.0538,1.0398,1.1593,0.146816,0.239091,27.65092,147,0.004174,270.0326,0.016604,0
30,1.28,689.02,784.4027,1535.16,-0.8798707043,1.788159,0.151454,16.0471,1.1357,1.0741,0.13662,0.216641,27.904196,165,0.002516,250.2231,0.011232,0
31,1.3227,761.02,789.6701,1546.88,-1.2976207775,1.782137,0.155015,16.4973,1.0138,0.859,0.134938,0.225441,27.811928,180,0.002176,260.0574,0.010988,0
32,1.3653,800.77,796.7659,1546.88,-1.5344830607,1.794575,0.145059,16.5108,1.0124,1.126,0.139742,0.237966,23.67502,179,0.001333,241.5416,0.013429,0
33,1.408,880.86,794.2562,1546.88,-1.3634708721,1.782546,0.142176,15.3801,0.9328,1.1139,0.141195,0.250865,23.7338,136,0.001713,249.5782,0.017092,0
34,1.4507,883.67,797.3385,1546.88,-1.3008185093,1.803186,0.135932,15.7041,0.9429,1.1985,0.144447,0.258176,25.396587,170,0.001046,248.1281,0.017214,0
35,1.4933,822.19,799.4888,1546.88,-1.6112329874,1.783189,0.13116,15.1381,1.0086,1.2353,0.147033,0.251743,22.811271,166,0.001343,251.8768,0.015261,0
36,1.536,784.64,797.7725,1546.88,-1.5726589687,1.786725,0.13797,15.5702,1.0386,1.1823,0.143369,0.241063,26.288504,154,0.001284,265.0464,0.013551,0
37,1.5787,753.46,796.1189,1546.88,-1.3280043086,1.784372,0.133944,16.0586,1.0781,1.218,0.145513,0.235637,26.988939,168,0.000886,250.144,0.014772,0
38,1.6213,898.9,796.3421,1546.88,-1.6868901072,1.783384,0.14201,15.7015,0.9328,1.2139,0.14128,0.25472,24.90714,158,0.002883,279.461,0.018191,0
39,1.664,1003.4,777.33,1546.88,-1.2296932902,1.799262,0.156023,18.0694,0.8912,1.3946,0.134469,0.249307,20.624023,152,0.001886,252.2678,0.019656,0
40,1.7067,1047.1,766.5124,1558.59,-0.9764290099,1.796059,0.156829,19.5237,0.9062,1.557,0.134095,0.240265,21.806165,154,0.000796,259.5944,0.019778,0
41,1.7493,986.3,781.8276,1546.88,-1.1756119517,1.803067,0.162478,17.2617,0.8771,1.265,0.131534,0.252011,25.470517,141,0.001251,246.3449,0.020754,0
