frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,3282.27,2976.6964,7253.91,-2.8066079836,0.503458,0.619149,34.8037,0.7756,-0.7174,0.034701,0.514073,2.955152,44,0.0,541.5423,0.086558,0
1,0.0427,3443.71,3058.3657,7628.91,-2.5863077191,0.350073,0.644624,30.143,0.6535,-0.9422,0.031782,0.561931,2.670722,50,0.005893,517.9693,0.092785,0
2,0.0853,3542.06,2983.591,7511.72,-2.5661436051,0.404421,0.676381,21.4085,0.64,-0.9111,0.028301,0.676901,0.352133,46,0.006214,543.7679,0.106458,0
3,0.128,3531.71,3048.4289,7582.03,-2.5879275998,0.306132,0.678716,26.488,0.6169,-0.9439,0.028052,0.598541,1.778199,43,0.005806,532.649,0.10951,0
4,0.1707,3334.7,3082.5077,7359.38,-2.6941558965,0.332821,0.635861,39.5924,0.6815,-0.8599,0.032773,0.433818,4.9562,41,0.006031,520.7082,0.075327,0
5,0.2133,3279.54,3011.6432,7335.94,-2.8595519522,0.48309,0.638877,32.4375,0.7373,-0.79,0.03243,0.491493,3.342064,32,0.006126,498.5247,0.075693,0
6,0.256,3289.55,2964.3966,7347.66,-2.8199944816,0.553286,0.627788,21.2549,0.7666,-0.7344,0.033698,0.626619,-7.608914,29,0.006012,531.3713,0.114394,0
7,0.2987,3508.07,2909.4646,7382.81,-2.7979099077,0.50838,0.687952,9.7772,0.6843,-0.8231,0.027074,0.803613,-4.110678,41,0.006319,506.4158,0.132585,0
8,0.3413,3712.35,3021.0426,7851.56,-2.3484417105,0.343545,0.678465,9.0346,0.5777,-1.0407,0.028079,0.788286,-5.36816,47,0.005919,521.674,0.139788,0
9,0.384,3690.59,2956.6274,7722.66,-2.1298302124,0.479902,0.698262,8.9301,0.6106,-0.9686,0.025997,0.777059,-1.895204,46,0.006202,492.5638,0.133317,0
10,0.4267,3524.89,2982.5901,7605.47,-2.763733368,0.323914,0.682789,13.5422,0.6619,-0.9014,0.027619,0.750652,-5.124953,34,0.006108,511.4929,0.121963,0
11,0.4693,3517.45,2975.6344,7593.75,-2.7688377736,0.426624,0.674026,18.242,0.6567,-0.9116,0.028554,0.708254,-1.052142,43,0.006028,512.2173,0.125504,0
12,0.512,3610.66,2982.0312,7710.94,-2.4372684641,0.563805,0.670995,9.4113,0.6676,-0.8898,0.02888,0.763862,-3.821283,44,0.00562,524.2244,0.128434,0
13,0.5547,3683.02,2948.2416,7664.06,-2.3663088234,0.402645,0.702354,10.4554,0.6215,-0.9407,0.025574,0.784732,-3.351456,42,0.005943,529.2144,0.132829,0
