frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,1580.33,2500.5016,4324.22,-3.9478027649,0.364227,0.386993,113.2586,1.6806,1.8038,0.068716,0.210914,7.265674,29,0.0,443.223,0.019289,0
1,0.0427,1074.62,2155.637,2812.5,-3.8616195548,0.233597,0.290293,112.8764,2.2722,4.3301,0.089527,0.224812,9.285983,33,0.000722,494.4915,0.011476,0
2,0.0853,1191.98,2262.812,3433.59,-3.6185174518,0.232831,0.322148,127.9305,2.0842,3.3831,0.081991,0.19025,10.586459,37,0.000504,510.8398,0.002564,0
3,0.128,843.28,1967.0052,1664.06,-3.7100677132,0.222516,0.25324,119.5077,2.7736,7.1199,0.099411,0.177293,12.765172,35,0.000681,541.1002,0.000733,0
4,0.1707,984.2,2102.9681,2390.62,-3.393893576,0.357383,0.270749,125.8341,2.3667,4.655,0.094572,0.186002,14.071881,27,0.000612,538.0468,0.003785,0
5,0.2133,1292.6,2370.4625,3726.56,-4.0050454997,0.326344,0.313879,99.9057,2.01,2.9735,0.083873,0.261547,-9.334491,33,0.000775,433.555,0.026859,0
6,0.256,1116.2,2211.3658,2753.91,-4.2953060501,0.506091,0.28351,92.7682,2.2891,4.3125,0.091239,0.28076,-8.798686,33,0.000351,412.0611,0.031376,0
7,0.2987,634.01,1613.8946,855.47,-4.2160335167,0.421294,0.22118,99.8943,3.4162,11.7643,0.109209,0.203754,13.768365,36,0.000555,409.3835,0.008546,0
8,0.3413,376.55,1132.6179,433.59,-4.5572426029,0.462447,0.174161,78.3371,4.5438,23.1864,0.126508,0.188705,13.019379,39,0.000604,367.2299,0.005738,0
9,0.384,1056.76,2126.2869,2496.09,-4.3306874217,0.622744,0.286832,110.825,2.427,5.1328,0.090395,0.225292,-17.733273,34,0.00081,404.8439,0.020022,0
10,0.4267,1067.06,2108.2607,2519.53,-4.4019347069,0.596464,0.290045,107.9276,2.3879,4.8947,0.089589,0.227648,8.082753,28,0.000442,461.5246,0.015993,0
11,0.4693,904.18,1917.3383,2039.06,-3.9574413171,0.651052,0.277042,120.6426,2.6328,6.5392,0.092909,0.182645,11.118531,33,0.0007,497.7581,0.00354,0
12,0.512,1260.81,2219.6565,3539.06,-3.9499443874,0.839603,0.337161,128.1379,2.0159,3.2194,0.078694,0.173517,14.944651,30,0.000683,480.7805,0.016482,0
13,0.5547,1809.85,2783.9762,5261.72,-3.2294187565,0.945324,0.381008,72.3782,1.4728,0.8342,0.069844,0.335016,-12.60954,29,0.000825,432.7544,0.023196,0
14,0.5973,2012.89,2848.1034,5859.38,-2.8211432954,0.939247,0.411203,91.589,1.2426,0.1571,0.064324,0.277828,-10.059734,32,0.000583,476.9157,0.014772,0
15,0.64,1669.75,2610.6583,4957.03,-3.4983098666,0.983568,0.368396,96.2147,1.5267,1.0694,0.072281,0.278325,-11.806524,33,0.000574,482.0386,0.013063,0
16,0.6827,1438.75,2353.4995,4359.38,-3.8412695704,0.96095,0.360441,120.7465,1.724,1.8294,0.073861,0.205999,11.016322,38,0.00064,473.9886,0.011598,0
17,0.7253,431.01,1207.399,445.31,-4.111759582,1.068668,0.17584,80.7068,3.7162,13.9262,0.125814,0.194201,13.66147,31,0.001246,441.1329,0.004761,0
18,0.768,441.98,1246.2032,445.31,-4.0567547913,1.016779,0.177364,85.5593,3.8609,15.7398,0.125189,0.186899,14.751484,23,0.000514,479.8321,0.006226,0
19,0.8107,1177.7,2249.6065,3152.34,-3.9533110285,0.924392,0.301562,109.7638,2.2165,3.9987,0.086771,0.244677,-13.210918,26,0.00111,514.111,0.016726,0
20,0.8533,1411.99,2430.2924,4042.97,-3.5562952248,1.10782,0.352536,125.2834,1.8878,2.4836,0.075466,0.2157,-11.023948,37,0.000794,501.8623,0.01697,0
21,0.896,1403.81,2455.2891,3972.66,-3.9869642564,1.130975,0.32262,94.0446,1.9187,2.5431,0.081885,0.286647,-9.812177,38,0.000743,471.1756,0.015505,0
22,0.9387,953.66,2011.3626,1980.47,-4.3908088682,1.042384,0.246955,85.8851,2.5652,5.8077,0.10123,0.278977,-11.996556,30,0.000671,443.4404,0.014772,0
23,0.9813,1059.83,2016.7517,2484.38,-4.107891637,1.161807,0.301811,122.1739,2.3948,5.0122,0.086711,0.18814,11.610324,34,0.000752,485.6479,0.010621,0
24,1.024,281.95,837.3631,433.59,-4.8480977248,1.284633,0.149928,62.2407,5.2559,32.4626,0.137353,0.186577,16.038059,32,0.001141,320.1692,0.011354,0
25,1.0667,648.61,1543.4019,843.75,-4.0600389906,1.183287,0.225126,102.7309,3.4155,11.9368,0.107929,0.167138,15.403919,47,0.000869,467.7499,0.010866,0
26,1.1093,570.35,1388.9052,644.53,-4.1010976826,1.195799,0.224934,101.3475,3.7272,15.062,0.107991,0.167326,-12.27227,27,0.000929,417.124,0.009401,0
27,1.152,538.69,1336.3108,550.78,-4.0466126254,1.205325,0.217951,97.884,3.9578,17.0065,0.110273,0.143016,19.282599,27,0.00087,393.9001,0.007936,0
28,1.1947,680.74,1631.3666,820.31,-4.1792095602,1.242373,0.224647,103.6424,3.4023,11.5505,0.108083,0.175978,16.376259,38,0.000592,483.5797,0.006593,0
29,1.2373,749.73,1769.2118,1113.28,-3.9623224947,1.220462,0.221675,102.6977,3.1198,9.4953,0.109047,0.215286,14.95536,31,0.00062,539.9045,0.005738,0
30,1.28,782.54,1831.9636,1265.62,-4.0088887734,1.32198,0.222045,98.4242,3.0611,8.9249,0.108926,0.224406,-11.378321,32,0.000599,522.3718,0.005494,0
31,1.3227,1028.08,2008.9922,2062.5,-3.8961087434,1.267264,0.291365,124.2498,2.5336,5.7019,0.08926,0.183776,16.029021,35,0.000772,514.8939,0.009645,0
32,1.3653,1338.15,2307.1267,3433.59,-4.1817557885,1.294183,0.325626,115.4292,2.1147,3.447,0.081214,0.235866,14.832113,23,0.000614,463.1086,0.016115,0
33,1.408,821.32,1764.0666,1347.66,-4.1607008202,1.363275,0.252705,109.1801,2.9598,8.5243,0.099564,0.198996,-7.954582,32,0.000624,457.1402,0.011842,0
34,1.4507,479.24,1270.8266,445.31,-4.0903502863,1.392,0.169817,77.8798,4.2338,19.5099,0.128336,0.215825,-10.063886,36,0.000657,407.9186,0.004395,0
35,1.4933,212.59,613.8582,433.59,-5.0207313556,1.488205,0.124625,47.3176,6.3955,50.5167,0.150733,0.191565,19.820765,43,0.00074,247.3879,0.00586,0
36,1.536,336.52,921.9702,445.31,-4.9495109196,1.553814,0.141785,59.5008,5.3288,32.9203,0.141395,0.231774,13.727857,32,0.000658,342.6351,0.007081,0
37,1.5787,447.5,1092.3587,445.31,-4.8844587939,1.566414,0.169824,71.3632,4.4987,22.9232,0.128334,0.225139,15.270914,31,0.0006,339.3098,0.004761,0
38,1.6213,236.95,595.7094,445.31,-5.4026798513,1.514907,0.138001,48.5479,6.0851,49.6341,0.143353,0.208012,18.06908,41,0.000811,264.2525,0.003785,0
39,1.664,366.58,956.136,445.31,-4.8218936583,1.600728,0.151467,63.095,4.8396,26.8993,0.136614,0.249869,-8.234525,31,0.000685,351.7491,0.009034,0
40,1.7067,534.55,1308.7,457.03,-4.5454622052,1.512429,0.179922,76.1835,4.1028,18.7946,0.124153,0.26178,9.405513,38,0.000645,400.7488,0.010988,0
41,1.7493,674.71,1482.6853,937.5,-4.8671046115,1.428925,0.212199,83.636,3.5336,13.3909,0.11221,0.249738,9.73656,31,0.000594,446.2174,0.010133,0
42,1.792,451.49,1093.2801,445.31,-4.4983315285,1.53832,0.181371,78.7354,4.1864,20.2928,0.123572,0.204653,-8.415899,30,0.000922,379.3369,0.006959,0
43,1.8347,287.56,814.4316,445.31,-4.831857939,1.524128,0.13713,55.4893,5.5292,37.0952,0.143811,0.221759,13.133245,42,0.000996,339.3946,0.006959,0
44,1.8773,917.91,1883.6061,1710.94,-4.5827523782,1.616251,0.221064,72.1858,2.841,7.6621,0.109247,0.312105,-1.905623,31,0.001349,430.1622,0.011842,0
45,1.92,492.86,1239.5545,445.31,-4.6294078341,1.655798,0.168453,72.3768,4.2925,20.5427,0.12892,0.255481,10.839179,23,0.000821,417.5877,0.007325,0
46,1.9627,597.15,1384.2783,457.03,-4.5436476054,1.68947,0.188153,81.8384,3.8742,16.0938,0.120915,0.248662,12.786902,46,0.000584,441.6364,0.009034,0
47,2.0053,747.37,1624.937,808.59,-4.9110867406,1.671985,0.198966,73.9047,3.3392,11.2054,0.11687,0.285647,-1.626105,34,0.00062,400.2079,0.015871,0
48,2.048,687.52,1563.3855,550.78,-4.8519734166,1.692812,0.176448,70.8699,3.6045,13.3111,0.125564,0.287352,13.812307,40,0.000445,406.7672,0.015627,0
49,2.0907,800.26,1671.2868,843.75,-4.4183765389,1.801936,0.199794,83.255,3.3777,11.4299,0.116569,0.266151,14.311427,35,0.000471,383.7657,0.016237,0
50,2.1333,438.64,1112.8012,445.31,-5.0567826817,1.730414,0.138546,58.4833,5.0009,28.0029,0.143067,0.278442,10.335674,35,0.000714,351.6784,0.016115,0
51,2.176,425.63,1052.6027,445.31,-4.969992575,1.734109,0.150843,61.6324,5.2513,31.868,0.136913,0.255049,-3.594675,21,0.000686,332.4644,0.011842,0
52,2.2187,723.98,1538.7634,621.09,-4.9013350292,1.712092,0.192109,74.4463,3.5425,12.7438,0.119409,0.284172,2.212252,35,0.000677,383.556,0.009156,0
53,2.2613,456.28,1111.573,445.31,-5.1633131076,1.72484,0.148381,60.1284,5.1159,29.4679,0.138104,0.246708,14.740209,38,0.000723,352.5801,0.008424,0
54,2.304,213.03,456.2419,445.31,-5.9097175412,1.641351,0.12413,38.3473,6.7634,66.6696,0.15102,0.226048,14.47131,35,0.00086,197.6019,0.005005,0
55,2.3467,185.41,356.4291,445.31,-6.4255327521,1.660922,0.126393,32.5268,6.318,79.6628,0.149713,0.222363,17.708091,41,0.000445,160.0477,0.00525,0
56,2.3893,624.27,1387.0187,457.03,-5.1364398821,1.62859,0.174489,68.0888,4.0566,17.4428,0.126372,0.263463,11.052018,31,0.00108,349.1783,0.01111,0
57,2.432,474.33,1083.7546,457.03,-4.7903550218,1.64195,0.157693,62.5746,4.9366,27.7238,0.133698,0.225485,17.333162,47,0.000558,359.2638,0.010133,0
58,2.4747,493.31,1138.8889,457.03,-5.1845306538,1.728373,0.156508,60.4201,4.6246,24.0428,0.134244,0.28083,10.377934,28,0.000647,343.9832,0.008546,0
59,2.5173,264.96,585.6546,445.31,-5.721834447,1.737207,0.128628,42.6749,6.387,54.3019,0.148444,0.247914,-5.217637,30,0.000605,244.1096,0.00818,0
60,2.56,195.63,404.3767,445.31,-5.8127005404,1.809733,0.110524,33.0568,7.4614,93.1853,0.159424,0.229501,17.904657,34,0.0006,200.0161,0.005128,0
61,2.6027,172.68,344.0484,445.31,-6.1861047228,1.752699,0.1109,27.9767,8.3429,129.5188,0.159178,0.225421,17.708146,34,0.000423,162.5782,0.005372,0
62,2.6453,385.32,925.8099,445.31,-4.6587713876,1.805456,0.140991,58.2362,5.1818,31.3922,0.141801,0.236366,18.987261,39,0.000767,350.5078,0.006593,0
63,2.688,1042.07,1874.5479,2003.91,-4.1329270558,1.803555,0.260425,97.4308,2.6125,6.3214,0.097386,0.241441,13.90612,35,0.000917,465.5855,0.010011,0
64,2.7307,959.32,1860.9931,1722.66,-4.1409866398,1.753619,0.227293,85.9333,2.7263,6.9337,0.107236,0.265111,13.540814,35,0.000551,488.5998,0.012331,0
65,2.7733,737.92,1595.5115,761.72,-4.4211611291,1.77487,0.189386,73.7541,3.2538,10.6812,0.120442,0.28363,10.426522,28,0.000755,461.1434,0.012209,0
66,2.816,564.46,1254.1667,457.03,-4.4182837145,1.828427,0.167665,70.2811,3.9422,16.8529,0.12926,0.256902,-1.448227,32,0.00057,396.1733,0.012453,0
67,2.8587,534.01,1193.7806,457.03,-5.030191905,1.903397,0.158873,62.2414,4.6368,24.1572,0.133158,0.258237,12.653513,27,0.000849,380.4639,0.012331,0
68,2.9013,604.68,1255.239,457.03,-4.954029731,1.82275,0.173837,71.0351,4.1898,19.1479,0.126643,0.252109,3.329197,36,0.000406,369.3346,0.013551,0
69,2.944,475.26,1115.8686,445.31,-4.8616999567,1.823673,0.142475,55.8148,4.8038,25.831,0.141043,0.273714,-1.156348,35,0.000558,372.4965,0.012941,0
70,2.9867,566.21,1208.5707,457.03,-5.085093014,1.83712,0.164155,65.593,4.3934,21.5091,0.130791,0.248015,12.854085,27,0.000594,376.0589,0.011842,0
71,3.0293,695.56,1386.2333,585.94,-4.6840640075,1.816887,0.195591,82.0805,3.8781,16.0666,0.118109,0.221807,13.005051,35,0.000456,372.1115,0.011598,0
72,3.072,621.04,1302.3577,457.03,-4.8199932525,1.805237,0.173975,71.3922,4.3836,20.798,0.126586,0.234631,13.227599,34,0.000378,375.2943,0.011964,0
73,3.1147,390.11,877.4816,445.31,-5.1223499622,1.921041,0.131926,51.5413,5.7948,41.1685,0.146612,0.252437,-1.343497,28,0.000711,335.5239,0.011964,0
74,3.1573,703.23,1302.5586,550.78,-4.7551649182,1.864577,0.199471,85.505,4.0822,18.0661,0.116687,0.181207,10.670348,28,0.000796,378.2235,0.01111,0
75,3.2,590.84,1245.7069,457.03,-4.7411814407,1.820081,0.166625,71.3201,4.3599,20.7363,0.12971,0.248532,3.883519,35,0.000542,367.7024,0.01111,0
76,3.2427,338.93,807.1903,445.31,-5.186820345,1.933577,0.115605,45.8542,6.1403,46.7021,0.156171,0.271726,10.647754,39,0.000831,306.3415,0.009645,0
77,3.2853,319.81,666.6302,445.31,-5.5802150036,1.867237,0.119694,41.5271,6.677,58.6267,0.153655,0.258156,13.40139,32,0.000573,269.0011,0.010011,0
78,3.328,389.94,917.2946,445.31,-5.32094315,1.879982,0.120424,46.9033,5.8297,40.6272,0.153214,0.282893,12.539818,38,0.000525,327.7267,0.011232,0
79,3.3707,499.92,1069.7137,457.03,-4.9922770816,1.845633,0.148023,58.794,5.1918,30.1092,0.138279,0.239812,15.8943,38,0.00064,329.7671,0.00879,0
80,3.4133,321.7,678.9459,445.31,-5.3119230742,1.812314,0.121827,43.951,7.0811,66.2271,0.152376,0.235221,16.210213,38,0.000576,278.4961,0.010133,0
81,3.456,214.94,380.0682,445.31,-6.2394042767,1.84411,0.108372,28.7381,7.5797,108.145,0.160847,0.245708,17.098751,32,0.000632,176.69,0.010621,0
82,3.4987,395.87,886.9359,445.31,-4.9282554315,1.87287,0.126866,47.447,6.2967,46.3535,0.149443,0.233989,16.120417,38,0.000883,305.6905,0.008912,0
83,3.5413,389.72,950.6004,445.31,-4.9964504433,1.853728,0.117605,46.9492,6.0711,42.4166,0.154929,0.268881,-0.908529,31,0.000591,324.4493,0.010133,0
84,3.584,390.34,884.4129,445.31,-5.1727774696,1.800249,0.119919,45.9802,5.9725,43.3253,0.153519,0.263874,14.605793,38,0.000597,310.9479,0.01111,0
85,3.6267,531.85,1156.2995,457.03,-4.7481645371,1.931203,0.145722,62.865,5.0612,28.2054,0.139412,0.238579,5.403296,33,0.000802,379.3926,0.010866,0
86,3.6693,588.19,1088.0679,457.03,-4.7294642474,1.90616,0.17422,73.1536,5.0061,27.9692,0.126484,0.183148,10.296132,32,0.000482,328.0964,0.010621,0
87,3.712,203.9,320.1653,445.31,-6.4342819355,1.84732,0.108937,28.1127,4.0412,32.4909,0.160471,0.240635,-5.04984,33,0.001336,151.2634,0.009889,0
88,3.7547,396.82,865.9866,445.31,-5.1142561923,1.852876,0.122575,47.0892,6.4605,50.801,0.151933,0.252784,14.870814,32,0.000856,310.1672,0.009034,0
89,3.7973,396.5,799.7187,445.31,-5.4866556991,1.800886,0.131926,46.2776,5.9108,43.0169,0.146612,0.265214,1.780838,25,0.00059,287.1842,0.010011,0
90,3.84,371.95,755.0225,445.31,-5.2003062283,1.796073,0.121706,44.1557,6.1706,48.5931,0.152448,0.260355,0.838179,33,0.000668,304.2591,0.010621,0
91,3.8827,346.79,667.0924,445.31,-5.635517364,1.833415,0.126754,44.7077,5.7745,43.9625,0.149506,0.247015,-0.63812,30,0.000504,292.9366,0.010743,0
92,3.9253,484.64,955.6658,457.03,-4.9168513921,1.849246,0.150193,59.969,4.9283,29.0574,0.137225,0.252296,12.499332,26,0.000967,342.0469,0.010133,0
93,3.968,445.82,811.2126,457.03,-5.1275249783,1.829409,0.152751,53.9952,5.2214,34.5725,0.136002,0.241634,16.124646,42,0.000636,305.3343,0.011354,0
94,4.0107,390.16,762.2652,445.31,-5.1228283447,1.879097,0.127702,47.7053,6.061,47.5405,0.148967,0.245456,17.185547,22,0.00042,296.7486,0.011354,0
95,4.0533,495.73,909.3163,457.03,-4.7912699611,1.974524,0.157184,60.6509,5.2108,32.1462,0.133932,0.207403,5.920099,26,0.00061,318.0964,0.010133,0
96,4.096,352.5,756.2614,445.31,-5.2008215673,1.95149,0.116,44.8409,6.2854,50.0526,0.155923,0.254591,-0.996807,31,0.000832,308.2648,0.009401,0
97,4.1387,408.04,798.781,445.31,-5.0529656294,1.947533,0.131612,50.475,5.8462,42.8965,0.146784,0.239511,17.084371,40,0.000564,312.0135,0.008424,0
98,4.1813,302.21,479.304,445.31,-5.8929852656,1.892487,0.124428,34.0542,6.3326,62.824,0.150847,0.231878,19.868404,33,0.000748,230.9325,0.010255,0
99,4.224,379.73,710.2242,445.31,-5.1673397011,1.903846,0.129884,43.2937,6.9315,63.4466,0.147741,0.237459,17.851201,41,0.00068,274.7512,0.009645,0
100,4.2667,175.04,252.5531,445.31,-6.139115422,1.973119,0.094426,23.0335,2.2622,9.5854,0.170818,0.222781,-5.944563,32,0.001243,127.9386,0.007813,0
101,4.3093,175.94,272.6008,445.31,-6.628528866,1.883995,0.100216,24.0965,3.9102,40.819,0.166511,0.225701,17.743061,28,0.000408,146.7165,0.007203,0
102,4.352,273.22,522.2056,445.31,-5.7370814477,1.943098,0.098619,32.2678,7.4646,80.7052,0.167673,0.25621,-1.618164,28,0.000958,252.376,0.007936,0
103,4.3947,249.94,422.9084,445.31,-5.7300355919,1.857265,0.096514,30.6795,6.6048,75.2394,0.169235,0.259777,13.413999,42,0.000688,219.6272,0.008546,0
104,4.4373,176.92,250.6267,445.31,-6.2537079184,1.845982,0.109996,21.2147,2.3379,10.9674,0.159771,0.222242,21.760548,32,0.000915,137.3529,0.007325,0
105,4.48,236.05,381.1126,445.31,-6.1022650308,1.975531,0.098973,25.8115,7.2398,99.5685,0.167414,0.258875,-2.03942,30,0.000925,177.8625,0.008302,0
