frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,49.33,127.9715,46.88,-7.7414028204,0.297766,0.130851,32.0697,6.1456,49.9866,0.147204,0.072616,17.987399,137,0.0,96.2165,0.001099,0
1,0.0427,38.75,122.1861,35.16,-7.3573502446,0.170157,0.098814,25.9505,11.534,228.0171,0.16753,0.100378,18.900829,143,0.000777,98.3841,0.001465,0
2,0.0853,62.63,223.5275,35.16,-6.1384145534,0.207911,0.103923,35.6155,6.3332,47.9294,0.163881,0.117448,22.678053,156,0.000926,148.8912,0.002198,0
3,0.128,137.99,589.0907,46.88,-4.4609223088,0.160744,0.123141,50.0919,8.7844,100.9635,0.1516,0.131373,-29.995498,151,0.000646,233.4705,0.004151,0
4,0.1707,906.21,2765.4495,949.22,-3.0695554433,0.176008,0.226634,112.6619,4.1463,18.343,0.107446,0.128557,-21.130492,151,0.001252,628.6772,0.004639,0
5,0.2133,2019.84,4364.9743,4628.91,-2.5464523134,0.250626,0.327938,177.8503,2.6311,6.9439,0.080701,0.125362,15.404399,153,0.001062,976.372,0.005128,0
6,0.256,4402.25,6795.4685,12433.59,-2.6979867002,0.264456,0.458004,210.8266,1.865,3.866,0.056522,0.156423,-16.517046,153,0.001205,1338.6713,0.038457,0
7,0.2987,3646.35,5821.9536,10628.91,-2.7541071955,0.236572,0.425923,198.2365,1.6638,1.9119,0.061778,0.151297,-15.858601,151,0.001103,1319.379,0.041021,0
8,0.3413,2180.61,4444.8909,5390.62,-2.7245799012,0.202253,0.33742,178.5674,2.371,4.8463,0.078638,0.144246,11.49113,143,0.001624,1276.4204,0.005738,0
9,0.384,5124.17,6637.2907,13570.31,-2.9721296538,0.254636,0.530741,212.9787,1.2999,1.0195,0.045853,0.139831,9.568991,155,0.001987,1358.3855,0.003052,0
10,0.4267,2946.2,5200.2206,8589.84,-2.4203401257,0.267678,0.389873,204.3491,1.867,2.3446,0.068179,0.137461,15.296386,163,0.002078,1441.4655,0.00586,0
11,0.4693,2543.67,4852.9705,6832.03,-2.4703716691,0.256048,0.361481,192.3278,2.0889,3.292,0.073653,0.129774,17.780571,156,0.001663,1448.1817,0.006348,0
12,0.512,2307.43,4557.5643,5988.28,-2.3831863702,0.227288,0.358803,189.0406,2.2547,4.2157,0.074191,0.108165,-32.320675,138,0.001781,1346.0757,0.004151,0
13,0.5547,5027.81,6467.3569,13617.19,-2.6457651505,0.196122,0.517803,192.6136,1.1511,0.0951,0.047639,0.157283,15.152294,167,0.002489,1442.6962,0.009156,0
14,0.5973,4832.4,6244.1939,12984.38,-2.7315914533,0.262699,0.515301,199.5715,1.1673,0.1112,0.04799,0.15583,-23.890973,162,0.001784,1450.093,0.031864,0
15,0.64,4769.01,6386.9906,13347.66,-2.6941205832,0.201419,0.489185,185.5737,1.1813,0.0791,0.051754,0.168428,11.684491,155,0.001756,1444.3055,0.035649,0
16,0.6827,5355.76,6644.9397,14191.41,-2.8100151093,0.310675,0.531862,182.078,1.0992,0.0063,0.0457,0.17074,12.300744,157,0.001796,1471.0353,0.018557,0
17,0.7253,4374.67,6056.2801,12398.44,-2.5105761735,0.422365,0.484261,207.4756,1.2598,0.2567,0.052487,0.135668,-26.372005,176,0.002183,1558.9912,0.021853,0
18,0.768,7115.78,7816.8968,16476.56,-3.5089394171,0.394069,0.560446,149.1563,1.2139,1.4369,0.041911,0.229636,6.617806,170,0.002769,1582.8436,0.030888,0
19,0.8107,8730.47,9385.2756,18222.66,-4.7679358707,0.376408,0.494347,107.6371,1.4318,2.2084,0.050995,0.33063,5.626756,159,0.002106,1747.124,0.044073,0
20,0.8533,7985.4,8393.9138,17402.34,-4.0661188402,0.381629,0.54574,126.5618,1.2677,1.7905,0.043836,0.26554,7.682439,172,0.002102,1686.8666,0.044317,0
21,0.896,5380.13,6474.5266,14109.38,-2.7820995998,0.306822,0.553728,198.2876,1.0302,-0.2358,0.042784,0.139932,12.939238,160,0.002711,1630.7601,0.026248,0
22,0.9387,6413.58,6759.5926,15574.22,-2.7835000417,0.348639,0.612656,185.5167,0.8322,-0.5916,0.035464,0.13246,11.875992,137,0.002365,1555.9324,0.013918,0
23,0.9813,6077.34,6730.2323,15210.94,-2.7402477924,0.311531,0.584756,183.0688,0.8933,-0.4882,0.038838,0.158245,13.311331,157,0.002376,1510.8223,0.019412,0
24,1.024,5478.69,6530.1453,14085.94,-2.5824791365,0.301844,0.548226,194.0681,0.9974,-0.2819,0.043507,0.150968,15.889789,150,0.002597,1602.9118,0.022464,0
25,1.0667,6844.38,7187.2488,16277.34,-3.128821536,0.341731,0.566343,131.5903,0.8537,-0.3187,0.041153,0.211977,10.28539,168,0.002854,1555.2475,0.037969,0
26,1.1093,7368.71,7847.0842,16957.03,-4.0845680571,0.418752,0.519031,99.861,1.1222,1.0671,0.047468,0.295257,-14.614071,159,0.002637,1679.8619,0.041631,0
27,1.152,6204.86,6800.0122,15222.66,-2.8377436053,0.320801,0.582216,176.2875,0.8758,-0.491,0.039153,0.160546,13.326188,138,0.002991,1561.6321,0.025638,0
28,1.1947,6614.93,6938.7217,15867.19,-3.0806515369,0.438116,0.607338,168.1099,0.8255,-0.5756,0.036095,0.161998,11.102291,161,0.00264,1498.2685,0.029423,0
29,1.2373,7660.69,7607.191,16746.09,-3.8759331173,0.37186,0.56439,112.1218,1.0179,0.7576,0.041403,0.272061,7.285267,155,0.002819,1584.105,0.05445,0
30,1.28,8537.66,8716.2569,17636.72,-5.3409851104,0.428597,0.466296,80.5818,1.3518,2.1299,0.055223,0.44189,3.267474,166,0.002846,1756.4361,0.078501,0
31,1.3227,8625.27,8751.1694,17859.38,-5.4015199233,0.32453,0.467583,77.814,1.3206,1.9676,0.055024,0.443225,-9.936722,157,0.00289,1779.9369,0.068734,0
32,1.3653,7628.52,7516.5369,16863.28,-4.0042069793,0.518118,0.56177,103.6983,0.9415,0.3625,0.04174,0.306673,7.421927,149,0.00317,1603.5365,0.068368,0
33,1.408,8007.8,8086.7719,17226.56,-4.7721685829,0.355012,0.507654,83.9295,1.1358,1.3287,0.049072,0.340352,5.768447,139,0.003153,1656.6814,0.051154,0
34,1.4507,6941.09,7170.1731,16347.66,-3.2371768135,0.359592,0.583368,129.5468,0.8108,-0.5629,0.03901,0.222179,10.207917,142,0.003457,1534.8074,0.027469,0
35,1.4933,7038.98,7113.2775,16324.22,-3.060873937,0.350388,0.601686,139.1129,0.7602,-0.6422,0.036772,0.197403,-14.72492,155,0.003183,1526.3635,0.038091,0
36,1.536,7822.41,7628.9844,17074.22,-4.3878481378,0.3898,0.543256,86.4477,0.9804,0.6548,0.044166,0.35547,5.689306,138,0.003497,1652.8626,0.038579,0
37,1.5787,7323.24,7198.8643,16546.88,-3.8832913153,0.373525,0.571849,101.831,0.8389,-0.2724,0.040453,0.27289,7.869096,164,0.003502,1490.7607,0.041387,0
38,1.6213,8246.55,7596.3494,17484.38,-3.9548343954,0.512817,0.574659,92.9288,0.8345,0.1304,0.040098,0.335847,6.711855,176,0.003394,1634.0162,0.048468,0
39,1.664,6764.88,7063.5216,15972.66,-3.1286259154,0.315895,0.586071,142.8866,0.8234,-0.5258,0.038675,0.197187,12.384055,134,0.003953,1596.2745,0.042852,0
40,1.7067,8209.88,8024.31,17308.59,-5.041790095,0.383464,0.496525,74.4259,1.0977,1.1553,0.050676,0.468667,2.312744,151,0.004357,1760.5817,0.077402,0
41,1.7493,8671.35,8422.4115,17882.81,-5.6774228489,0.294074,0.441021,61.2306,1.1788,1.611,0.059257,0.451397,-8.295463,179,0.003638,1823.968,0.08314,0
42,1.792,7409.52,7121.5811,16546.88,-3.4874755674,0.360923,0.595533,111.0508,0.7523,-0.5474,0.037516,0.27421,-15.606601,147,0.003898,1565.6587,0.068368,0
43,1.8347,7719.99,7295.8879,16757.81,-3.7805954024,0.384304,0.570646,94.3729,0.7699,-0.361,0.040606,0.301351,7.629827,151,0.003867,1606.9276,0.060798,0
44,1.8773,7415.99,7257.1574,16722.66,-3.7667708911,0.512918,0.564791,99.0565,0.8032,-0.3827,0.041352,0.285877,6.506825,150,0.004001,1572.7317,0.044805,0
45,1.92,6921.13,7171.7329,16312.5,-3.5514190311,0.384619,0.566869,112.9921,0.8279,-0.5208,0.041086,0.252924,-13.021673,164,0.004119,1584.083,0.04627,0
46,1.9627,6734.17,6921.4183,15773.44,-3.0198529067,0.391748,0.594923,144.2958,0.802,-0.555,0.03759,0.186092,-17.176551,156,0.004688,1630.3277,0.033451,0
47,2.0053,7065.7,7084.0733,16289.06,-3.1975614993,0.412064,0.584738,123.5187,0.7679,-0.6039,0.03884,0.228191,10.460748,161,0.004218,1538.4062,0.027347,0
48,2.048,7043.92,7077.1187,16125.0,-2.7363057579,0.474097,0.613835,160.3433,0.7388,-0.6963,0.035325,0.166848,-16.565372,162,0.004681,1659.3466,0.044439,0
49,2.0907,8260.71,7650.4318,17472.66,-4.4040898103,0.402413,0.537032,75.4093,0.8605,0.2258,0.045,0.434698,4.191628,163,0.00509,1679.1238,0.073373,0
50,2.1333,7820.66,7577.5881,17074.22,-4.5717659812,0.331833,0.531096,71.8989,0.932,0.303,0.045804,0.417055,-11.351438,163,0.004473,1654.2789,0.068734,0
51,2.176,8100.72,7425.3799,17355.47,-3.9137472178,0.348986,0.567451,80.0394,0.7115,-0.4157,0.041012,0.332573,6.262076,150,0.00436,1596.7032,0.068612,0
52,2.2187,7688.1,7341.9505,16910.16,-3.9728098184,0.451673,0.558274,79.3435,0.787,-0.2792,0.042192,0.362625,-11.509418,159,0.004375,1605.1791,0.057624,0
53,2.2613,6465.42,6776.1711,15421.88,-2.7132087854,0.359742,0.609683,173.9549,0.8015,-0.641,0.035816,0.154575,12.010673,158,0.005309,1608.0189,0.030155,0
54,2.304,6406.58,6730.0848,15140.62,-2.6787324084,0.359756,0.612668,192.4352,0.8314,-0.5613,0.035462,0.128336,14.109237,158,0.004783,1891.4715,0.025516,0
55,2.3467,7263.89,7098.0317,16277.34,-3.3880515788,0.391023,0.595318,118.8599,0.7687,-0.5426,0.037542,0.235725,9.830306,140,0.005457,1602.2285,0.040776,0
56,2.3893,7875.59,7375.2185,17109.38,-3.9671895566,0.343048,0.575804,81.7865,0.7362,-0.4867,0.039954,0.372742,4.983524,157,0.005166,1552.7933,0.056037,0
57,2.432,7627.46,7172.8029,16828.12,-3.5466144014,0.438859,0.592951,102.493,0.724,-0.6197,0.03783,0.305308,7.184403,167,0.004609,1616.4517,0.031986,0
58,2.4747,7581.71,7084.8482,16382.81,-3.4757387169,0.351212,0.608025,113.4911,0.7015,-0.6217,0.036013,0.261009,7.797036,153,0.00515,1592.9282,0.027469,0
59,2.5173,7881.12,7225.0648,16980.47,-3.5757027632,0.442665,0.596066,97.6393,0.6968,-0.6312,0.037451,0.31972,6.523594,149,0.005077,1553.0499,0.070321,0
60,2.56,9000.95,8243.7905,17988.28,-6.4111745288,0.314235,0.401752,43.4312,1.1008,1.408,0.066007,0.61144,-7.966426,147,0.005471,1811.1342,0.113051,0
61,2.6027,7661.98,7241.8928,16910.16,-3.8198334789,0.404655,0.580391,87.7851,0.7578,-0.5303,0.03938,0.327059,-12.520085,166,0.005694,1597.2804,0.099499,0
62,2.6453,8916.52,8147.6003,17789.06,-6.6124047658,0.365294,0.3872,39.0769,1.1203,1.4805,0.068677,0.662577,-4.647402,194,0.005647,1840.8105,0.086681,0
63,2.688,7975.03,7365.4953,17074.22,-4.0419034578,0.349854,0.574027,77.0294,0.7121,-0.5538,0.040178,0.379439,5.70405,183,0.005911,1547.3895,0.068734,0
64,2.7307,6754.41,6995.3435,15984.38,-3.2656042441,0.365426,0.579859,125.275,0.8276,-0.5338,0.039446,0.212598,9.710364,149,0.006217,1726.5127,0.023318,0
65,2.7733,6661.74,6966.0395,15832.03,-2.9249849368,0.422379,0.583107,140.0766,0.8047,-0.5853,0.039042,0.19204,11.921885,158,0.005922,1658.6429,0.036381,0
66,2.816,7638.28,7346.0006,17015.62,-3.8184103735,0.464562,0.568217,84.4465,0.742,-0.617,0.040914,0.332932,5.561633,166,0.00648,1599.2036,0.065071,0
67,2.8587,8024.61,7343.3536,17273.44,-4.0226641145,0.37899,0.576596,75.0095,0.7309,-0.521,0.039855,0.416851,-11.100194,142,0.0061,1589.9774,0.061165,0
68,2.9013,7812.79,7143.5924,16816.41,-3.4084658959,0.33711,0.617495,104.4754,0.6592,-0.7319,0.034894,0.26784,7.708504,166,0.006541,1550.1959,0.049445,0
69,2.944,7618.09,7243.1834,16699.22,-3.3628007325,0.454519,0.588216,106.3163,0.7065,-0.6531,0.038411,0.268055,9.037944,183,0.005988,1668.7979,0.034794,0
70,2.9867,6621.95,7007.1089,16054.69,-2.8892734773,0.435133,0.587543,155.0815,0.815,-0.6186,0.038493,0.180093,11.69317,161,0.006782,1781.4047,0.018801,0
71,3.0293,6117.69,6624.9171,14953.12,-2.5103610592,0.352913,0.607202,208.1825,0.8558,-0.5671,0.036111,0.116395,15.981256,174,0.006882,2017.5202,0.014528,0
72,3.072,5985.45,6618.3609,14835.94,-2.5652107572,0.338515,0.590946,199.545,0.8991,-0.4725,0.038075,0.129204,15.49913,167,0.006416,1989.9695,0.026004,0
73,3.1147,7820.19,7235.754,17109.38,-3.7551389681,0.426522,0.59221,89.0111,0.6986,-0.6626,0.037921,0.296756,6.788195,162,0.008372,1648.1905,0.059089,0
74,3.1573,7961.51,7266.1553,17085.94,-4.0651015757,0.362414,0.568146,70.5741,0.6976,-0.594,0.040923,0.37805,5.050456,154,0.006595,1578.1334,0.065071,0
75,3.2,7323.2,7126.3158,16546.88,-3.4301178834,0.337423,0.585851,102.7228,0.7441,-0.637,0.038702,0.260861,8.468635,162,0.006908,1591.3225,0.041753,0
76,3.2427,7463.58,7138.1571,16593.75,-3.4646795637,0.418197,0.606397,111.5522,0.731,-0.6504,0.036207,0.256785,7.322328,162,0.006393,1553.9893,0.036748,0
77,3.2853,6990.2,7015.8898,16324.22,-3.0296701181,0.372107,0.607369,141.155,0.7673,-0.6477,0.036091,0.193992,10.994584,155,0.007071,1759.8413,0.030155,0
78,3.328,7613.76,7279.7156,17015.62,-3.8910928732,0.362796,0.572103,82.599,0.7673,-0.5475,0.040421,0.336262,6.211428,145,0.006895,1631.8199,0.048224,0
79,3.3707,7727.83,7260.4513,16968.75,-3.9626763048,0.318204,0.572135,82.7027,0.7213,-0.6151,0.040417,0.334607,5.585509,152,0.006607,1575.5382,0.0492,0
80,3.4133,7013.03,6965.172,16218.75,-3.1387636911,0.318373,0.600958,128.7996,0.7438,-0.6797,0.036859,0.219727,9.881402,151,0.007614,1722.8139,0.035405,0
81,3.456,7697.48,7103.4818,16593.75,-3.6775950445,0.401414,0.589053,91.3741,0.6986,-0.6171,0.038308,0.341256,7.02549,158,0.007649,1713.1561,0.060066,0
82,3.4987,8126.94,7447.4623,16980.47,-5.2464940807,0.387967,0.490622,45.8642,0.8687,0.2185,0.051542,0.582309,-7.711864,156,0.007439,1749.5204,0.101331,0
83,3.5413,8294.89,7423.6694,17273.44,-4.7831137985,0.318463,0.522885,51.7973,0.7556,-0.2065,0.046932,0.51028,2.087178,159,0.006983,1709.6659,0.099377,0
84,3.584,8145.71,7272.2137,17167.97,-4.1988870462,0.389055,0.565098,64.9737,0.7116,-0.5083,0.041313,0.418267,3.099126,169,0.007456,1641.9804,0.08082,0
85,3.6267,8378.33,7386.1179,17332.03,-4.6961958023,0.356462,0.528375,50.1571,0.755,-0.183,0.046176,0.534078,0.330645,167,0.007537,1729.6123,0.088756,0
86,3.6693,8425.77,7518.6258,17355.47,-5.1752528166,0.348903,0.496933,46.648,0.8152,0.0717,0.050617,0.583132,0.798451,143,0.007556,1735.7758,0.113906,0
87,3.712,8182.37,7396.2058,17261.72,-4.0767763005,0.390222,0.56322,66.8471,0.6717,-0.6076,0.041554,0.401774,3.869986,168,0.007473,1677.0621,0.096569,0
88,3.7547,7859.13,7222.6021,17050.78,-3.6721265887,0.405172,0.586619,86.5934,0.6881,-0.6653,0.038607,0.338779,5.828197,159,0.007456,1650.3971,0.059333,0
89,3.7973,8292.61,7319.0869,17214.84,-4.3604876444,0.352733,0.559828,58.8277,0.6975,-0.4864,0.041991,0.451394,3.282606,165,0.007393,1639.3437,0.078989,0
90,3.84,8540.91,7590.9101,17472.66,-5.228047203,0.419528,0.490781,45.2999,0.825,0.0881,0.051519,0.563494,-7.609224,153,0.007304,1761.5392,0.086803,0
91,3.8827,7671.9,7298.2741,16863.28,-3.6104487056,0.480318,0.583456,90.2738,0.7349,-0.598,0.038999,0.310624,6.784531,143,0.008164,1700.5676,0.075449,0
