frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,2140.47,2896.9042,5929.69,-2.7403853706,0.367377,0.445877,119.5466,1.291,0.3578,0.058464,0.183891,15.411059,36,0.0,874.7984,0.015261,0
1,0.0427,3062.41,3031.1405,7066.41,-2.655556779,0.399436,0.595369,59.256,0.7819,-0.6967,0.037536,0.291873,-17.219487,42,0.00975,537.1632,0.050543,0
2,0.0853,3428.42,3025.5008,7582.03,-2.4588476944,0.403491,0.650181,29.9823,0.6762,-0.876,0.031161,0.548948,-9.200501,35,0.006989,510.3409,0.095471,0
3,0.128,3358.71,2961.3978,7312.5,-2.9147286774,0.289346,0.658788,25.8003,0.7258,-0.7544,0.030209,0.643946,0.557848,44,0.005813,504.0293,0.095593,0
4,0.1707,2843.24,2983.3424,6914.06,-2.8675953237,0.321575,0.572582,74.7239,0.8929,-0.5063,0.04036,0.234608,-15.316406,52,0.007372,580.6051,0.05213,0
5,0.2133,2599.86,2935.1257,6503.91,-2.687935462,0.460462,0.523077,89.9472,1.0058,-0.2845,0.046906,0.209847,14.347902,51,0.006446,601.0227,0.022708,0
6,0.256,2661.14,2984.9883,6738.28,-3.089424333,0.392383,0.542536,81.132,0.9993,-0.321,0.044262,0.223676,13.527044,38,0.00605,583.7925,0.029423,0
7,0.2987,3151.01,3018.7142,7183.59,-2.7977827337,0.299654,0.620265,62.2504,0.7448,-0.7653,0.03457,0.31015,-14.034873,37,0.007159,553.0313,0.050543,0
8,0.3413,3308.4,3023.3344,7277.34,-2.7622712249,0.391144,0.648941,52.2055,0.6784,-0.8785,0.031299,0.37876,5.318286,41,0.006435,531.3626,0.050543,0
9,0.384,2906.79,3004.7931,7066.41,-2.9744331101,0.39532,0.579519,77.0581,0.8812,-0.5917,0.039489,0.247177,8.868256,40,0.006273,562.1233,0.0398,0
10,0.4267,3094.37,3013.0578,7125.0,-2.621612429,0.329737,0.620852,92.8262,0.7812,-0.6853,0.034502,0.18711,11.96365,41,0.005824,565.0188,0.042364,0
11,0.4693,3134.22,3098.1178,7406.25,-2.7306419197,0.348075,0.607547,66.4828,0.7678,-0.7824,0.03607,0.256273,8.570465,36,0.005681,562.7249,0.048102,0
12,0.512,3129.82,3022.375,7242.19,-2.8831777533,0.433565,0.604217,47.5361,0.813,-0.6719,0.036468,0.376545,6.123475,28,0.005734,518.6487,0.045172,0
13,0.5547,3168.7,3036.6353,7277.34,-2.6580745649,0.275648,0.605009,55.7864,0.7532,-0.7369,0.036373,0.329147,8.01577,45,0.005461,538.006,0.045049,0
14,0.5973,3381.05,3035.293,7464.84,-2.5266026863,0.495547,0.647454,33.7396,0.6938,-0.8659,0.031465,0.485175,-9.387673,34,0.005784,499.3148,0.094006,0
15,0.64,3522.84,3020.1965,7582.03,-2.6086446503,0.390692,0.664207,23.5378,0.6297,-0.9457,0.029616,0.652252,-7.098414,44,0.005035,519.9756,0.114394,0
