frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,1304.91,4515.7664,1253.91,-3.4277326988,0.182134,0.24394,119.9974,5.9102,41.0305,0.10212,0.156869,9.062056,139,0.0,624.8413,0.01697,0
1,0.0427,197.64,871.7405,117.19,-4.1000104284,0.105673,0.154518,61.656,10.6972,151.5514,0.13517,0.120553,22.495535,155,0.001621,296.3295,0.002686,0
2,0.0853,513.79,1646.4527,726.56,-3.9420807773,0.427374,0.229713,95.3822,6.0082,44.0683,0.106469,0.10605,18.080185,147,0.000865,493.653,0.003663,0
3,0.128,1837.4,3993.4538,3714.84,-3.2907644731,0.155045,0.325277,156.9466,2.683,6.7006,0.081291,0.133188,17.239963,160,0.001529,1062.1495,0.003418,0
4,0.1707,5483.9,7650.7853,14437.5,-3.3034668966,0.131765,0.495193,183.5797,1.7645,3.6451,0.050871,0.191312,-21.30194,170,0.001824,1436.739,0.013674,0
5,0.2133,5679.67,7100.3374,14601.56,-3.1215145383,0.193462,0.540687,190.4224,1.3635,1.7169,0.044509,0.156145,-20.440584,172,0.001444,1475.3409,0.016604,0
6,0.256,4906.22,6523.3508,13605.47,-3.1320060138,0.22521,0.504601,180.4378,1.2121,0.1884,0.049509,0.177572,9.987602,154,0.001759,1412.6993,0.010255,0
7,0.2987,4892.08,6442.3224,13722.66,-2.8615980421,0.137696,0.50696,188.8113,1.1817,0.1092,0.049171,0.164005,13.331513,148,0.001683,1417.6709,0.029789,0
8,0.3413,8180.42,9359.1025,17871.09,-4.6725991034,0.222998,0.492129,115.6581,1.4816,2.2536,0.05132,0.304257,-15.932351,145,0.002457,1634.3624,0.03394,0
9,0.384,6349.29,6962.2074,15363.28,-3.0205139297,0.26297,0.583246,162.677,0.8999,-0.3503,0.039025,0.181904,-19.776716,150,0.002276,1421.9352,0.023074,0
10,0.4267,6975.44,7430.554,16335.94,-3.6017823702,0.279358,0.57602,140.76,1.0576,0.6872,0.039927,0.238352,4.641844,157,0.002303,1531.6324,0.03101,0
11,0.4693,6090.77,6851.8247,15187.5,-3.193592706,0.326887,0.554937,149.4152,0.9383,-0.3276,0.042626,0.207023,7.101335,160,0.002558,1455.6914,0.03162,0
12,0.512,6850.45,7700.6013,16277.34,-4.234225794,0.136245,0.524337,111.2665,1.1971,1.1358,0.046732,0.316706,-14.523666,164,0.00293,1571.2112,0.022342,0
13,0.5547,5936.47,6891.9164,15316.41,-3.1990578902,0.410958,0.538319,142.8913,1.0012,-0.1371,0.044827,0.21083,-14.583857,154,0.003113,1520.4491,0.015993,0
14,0.5973,6203.3,6959.7042,15339.84,-3.4682138103,0.39809,0.541559,125.5699,0.9768,-0.1879,0.044392,0.228405,-17.408862,156,0.00303,1489.0217,0.021731,0
15,0.64,7775.56,7742.9098,17050.78,-4.0412484084,0.450364,0.550938,98.7819,0.9963,0.6925,0.04315,0.30494,6.981248,155,0.0032,1589.6432,0.039434,0
16,0.6827,5751.55,6743.8006,14800.78,-2.6241666432,0.379526,0.541422,163.5885,0.9693,-0.319,0.044411,0.17924,11.149323,160,0.004095,1681.6959,0.03162,0
17,0.7253,6824.08,7065.8993,16101.56,-3.1918259126,0.269819,0.580918,137.3225,0.8018,-0.5788,0.039314,0.20357,12.989609,168,0.00378,1543.6797,0.028446,0
18,0.768,7262.39,7355.1598,16347.66,-4.1244383221,0.293349,0.541254,90.4322,0.9427,0.2341,0.044433,0.306404,-13.290137,153,0.003897,1572.5448,0.032597,0
19,0.8107,6895.92,6922.5821,15867.19,-3.193059992,0.475128,0.614834,152.4589,0.8062,-0.5498,0.035207,0.181849,10.107488,163,0.004254,1628.6004,0.024295,0
20,0.8533,6538.99,6867.6357,15574.22,-3.119678067,0.447673,0.598769,157.8868,0.8285,-0.5629,0.037123,0.179974,11.430959,173,0.004006,1558.2205,0.023807,0
21,0.896,7504.05,7203.9139,16687.5,-3.4957013887,0.351626,0.590315,106.5754,0.7312,-0.6091,0.038153,0.25759,8.04643,148,0.004333,1559.0691,0.044561,0
22,0.9387,7892.29,7632.9597,16910.16,-4.724703728,0.271487,0.517099,73.4169,1.0124,0.791,0.047738,0.392426,-10.467474,163,0.004161,1718.4182,0.056037,0
23,0.9813,7919.57,7543.1862,17074.22,-4.3846959028,0.397253,0.537661,76.3746,0.9056,0.3173,0.044915,0.365309,-11.945055,151,0.004074,1643.0073,0.070809,0
24,1.024,8641.33,8111.8263,17636.72,-5.7114270483,0.289499,0.448554,54.8303,1.0938,1.3265,0.058031,0.549073,-7.491417,161,0.004262,1818.5129,0.089611,0
25,1.0667,7996.23,7547.4201,17320.31,-4.1201613923,0.391173,0.543997,74.174,0.8068,-0.1181,0.044067,0.403009,-8.941907,145,0.004596,1646.3537,0.066781,0
26,1.1093,7922.26,7411.4027,16933.59,-4.1219514198,0.436035,0.555846,76.0623,0.777,-0.291,0.042508,0.360518,-11.352985,147,0.004678,1606.7144,0.074472,0
27,1.152,9136.02,8488.2613,18035.16,-6.8111245434,0.447113,0.37047,38.6107,1.2192,1.8495,0.071874,0.661155,-5.613834,142,0.00514,1835.2872,0.093395,0
28,1.1947,8261.94,7619.632,17343.75,-4.6943110224,0.363005,0.529685,64.7347,0.8792,0.2995,0.045997,0.445226,3.271247,159,0.005079,1725.3379,0.098401,0
29,1.2373,8634.52,7927.2792,17578.12,-5.6773102801,0.384606,0.4523,50.4447,1.0251,0.9979,0.057429,0.601291,-8.325265,170,0.005107,1851.1591,0.12294,0
30,1.28,9355.67,8433.3719,18046.88,-7.4724663445,0.38446,0.328717,22.3531,1.1793,1.7754,0.08053,0.73568,-4.351176,179,0.005263,2008.1099,0.128922,0
31,1.3227,8749.74,7865.0482,17613.28,-5.4853519196,0.23468,0.472893,51.7837,0.9381,0.7343,0.054206,0.547389,1.511613,155,0.005395,1788.1684,0.123916,0
32,1.3653,8142.85,7481.9301,17320.31,-4.6490854256,0.475557,0.523026,59.4949,0.815,-0.1037,0.046913,0.488795,2.462586,154,0.005378,1642.4065,0.100842,0
33,1.408,7426.05,7195.4216,16640.62,-3.4706327038,0.422508,0.585762,99.8053,0.729,-0.657,0.038713,0.26642,7.786981,150,0.006072,1581.8209,0.065316,0
34,1.4507,8163.82,7525.8103,17121.09,-5.0751321829,0.38094,0.500868,53.624,0.8954,0.3056,0.050046,0.52188,0.877777,139,0.006635,1732.22,0.081919,0
35,1.4933,8059.44,7346.9741,17144.53,-4.2979079958,0.475973,0.555986,66.6074,0.7363,-0.4206,0.042489,0.461249,-9.693879,165,0.00632,1617.5642,0.094372,0
36,1.536,8714.33,7814.2539,17531.25,-6.1366105515,0.360282,0.427456,43.3,1.044,1.1475,0.061518,0.634763,-4.43918,164,0.006793,1895.1025,0.107069,0
37,1.5787,8369.43,7348.1204,17214.84,-4.3999307274,0.367272,0.55675,61.8587,0.7038,-0.3995,0.04239,0.4833,-9.253072,148,0.006497,1693.725,0.106825,0
38,1.6213,8206.88,7275.9491,17167.97,-4.3965372394,0.448475,0.551077,59.4135,0.7314,-0.3472,0.043131,0.483512,2.805942,163,0.006639,1615.5283,0.08253,0
39,1.664,8272.47,7563.3671,17191.41,-5.2002455373,0.438713,0.484945,48.3399,0.8832,0.3067,0.052385,0.527283,1.056093,142,0.006435,1827.32,0.102185,0
40,1.7067,7880.4,7370.0914,17039.06,-4.5018183897,0.323344,0.538915,58.8041,0.7862,-0.323,0.044747,0.456966,-9.206492,168,0.006904,1586.3044,0.107557,0
41,1.7493,8451.37,7644.5974,17355.47,-5.6344373262,0.399649,0.459308,42.7873,0.8887,0.3766,0.056316,0.59322,-7.671371,173,0.007088,1829.1826,0.10829,0
42,1.792,8529.64,7699.2083,17332.03,-5.8551142358,0.500861,0.437813,40.2385,0.9117,0.5167,0.059785,0.618777,0.822304,165,0.006968,1874.1718,0.116103,0
43,1.8347,8253.21,7530.5221,17367.19,-5.0565061536,0.500865,0.494213,47.4295,0.81,-0.0311,0.051014,0.541354,-7.016696,151,0.007656,1736.5756,0.099988,0
44,1.8773,8536.82,7519.2963,17472.66,-4.9689625984,0.454575,0.507377,46.4179,0.7646,-0.1219,0.049112,0.563709,-7.552099,171,0.007881,1782.781,0.101575,0
45,1.92,8636.22,7837.6242,17695.31,-6.306971352,0.534416,0.406453,35.69,0.9386,0.6689,0.065165,0.652023,-3.284384,138,0.007433,1875.7482,0.111586,0
46,1.9627,8341.18,7570.6174,17332.03,-5.4790576355,0.458364,0.466722,41.6351,0.853,0.1417,0.055157,0.614076,-0.526379,168,0.007609,1890.2705,0.11122,0
47,2.0053,8279.69,7284.3281,17132.81,-4.3837741257,0.359054,0.558183,56.2798,0.7005,-0.4405,0.042204,0.475753,3.667599,159,0.008005,1578.5536,0.097424,0
48,2.048,8308.64,7355.5543,17367.19,-4.6650447202,0.428503,0.536117,49.7297,0.739,-0.317,0.045123,0.547653,2.33708,183,0.007885,1657.9854,0.10072,0
49,2.0907,8689.21,7492.5137,17554.69,-4.8937381764,0.378388,0.518706,46.214,0.7035,-0.3209,0.047513,0.601146,0.497122,166,0.008588,1701.545,0.115615,0
50,2.1333,8745.76,7633.9335,17554.69,-5.8986708742,0.379604,0.438297,35.9509,0.8477,0.372,0.059705,0.660723,-5.228043,162,0.008648,1809.3281,0.113661,0
51,2.176,8275.83,7415.3454,17437.5,-4.5109604423,0.423476,0.540306,51.5449,0.7199,-0.4715,0.04456,0.532563,1.977183,166,0.008363,1597.7122,0.110365,0
52,2.2187,8664.6,7739.8604,17625.0,-6.434431755,0.355007,0.404743,32.5856,0.8967,0.4548,0.06547,0.658833,-2.187688,161,0.008862,1884.2814,0.109755,0
53,2.2613,8544.95,7507.0975,17578.12,-4.9124799888,0.356629,0.521051,46.8612,0.7218,-0.272,0.047187,0.553046,-7.638332,161,0.009019,1744.8648,0.116713,0
54,2.304,8930.22,7752.9307,17742.19,-6.8035610524,0.42847,0.376304,28.5813,0.9388,0.7458,0.070743,0.701878,-6.993101,168,0.008735,1956.3223,0.123794,0
55,2.3467,8460.66,7539.1364,17625.0,-5.4393268295,0.398612,0.471492,38.4206,0.8334,0.055,0.054421,0.607559,-6.02858,149,0.009585,1818.0955,0.125748,0
56,2.3893,8885.86,7647.0708,17707.03,-6.0166219159,0.385349,0.435714,34.0458,0.8533,0.3814,0.060133,0.680733,-1.672173,175,0.009512,1930.9154,0.128312,0
57,2.432,8984.17,7820.5443,17777.34,-7.4288007704,0.388687,0.333308,23.5342,0.9809,0.9633,0.079526,0.719643,-4.018604,141,0.009428,1946.3122,0.131608,0
58,2.4747,8537.47,7580.0427,17671.88,-6.0362781672,0.340933,0.434732,31.6853,0.8419,0.1467,0.060296,0.668369,-1.71807,170,0.009616,1884.4847,0.123184,0
59,2.5173,8480.0,7446.8882,17308.59,-5.5188488194,0.494573,0.469303,37.5869,0.8037,0.0019,0.054758,0.611079,-3.389854,168,0.010148,1848.6729,0.12587,0
60,2.56,8772.27,7750.6991,17671.88,-6.8650977071,0.440097,0.3745,27.4351,0.9713,0.7672,0.071091,0.701763,-2.259661,147,0.009452,1906.1391,0.132951,0
61,2.6027,8777.52,7912.5665,17742.19,-7.5317533425,0.400463,0.331516,23.297,1.0022,0.9744,0.079916,0.699419,-7.766506,162,0.009368,1899.2813,0.128067,0
