frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,202.9,243.7602,222.66,-7.675545804,0.972028,0.153176,27.2673,9.9519,171.1482,0.135801,0.225594,11.591822,29,0.0,144.7441,0.004517,0
1,0.0427,231.08,491.3283,234.38,-6.8319753999,0.958206,0.125924,35.377,8.0969,78.9921,0.149982,0.275534,-5.00631,23,0.001997,246.9199,0.004517,0
2,0.0853,198.9,247.5036,234.38,-6.7398332884,1.363551,0.115655,25.5332,11.6823,201.05,0.156139,0.212701,13.092836,33,0.002484,154.5666,0.004639,0
3,0.128,179.92,178.8919,234.38,-7.5554372423,1.253251,0.116375,23.3561,3.3898,19.8368,0.15569,0.236966,4.719826,31,0.002236,134.5683,0.005494,0
4,0.1707,214.14,347.7448,246.09,-6.5306826367,1.002323,0.114963,27.0304,8.3576,107.5491,0.156574,0.274534,-2.312766,31,0.002079,174.4448,0.005616,0
5,0.2133,178.86,168.2012,246.09,-7.8190196425,1.274869,0.097528,19.5225,3.4576,25.0339,0.168478,0.27409,-4.300524,35,0.00179,145.8038,0.005738,0
6,0.256,179.96,130.1105,257.81,-8.5275078863,1.481314,0.10752,16.7651,1.3655,11.4457,0.161418,0.227867,13.160986,31,0.002418,110.7565,0.005494,0
7,0.2987,219.13,260.7586,269.53,-5.3999254555,1.722533,0.086054,20.0603,13.3566,216.1884,0.177538,0.200065,14.754384,31,0.001581,114.0627,0.005738,0
8,0.3413,246.5,677.3268,281.25,-5.3908516986,1.300505,0.102274,37.6218,5.8161,36.1982,0.165039,0.272202,11.190782,23,0.003784,308.8404,0.00525,0
9,0.384,331.5,906.3917,281.25,-4.6094235714,1.22427,0.111679,41.601,4.9968,25.9288,0.158671,0.269352,11.626741,39,0.001586,342.5449,0.004883,0
10,0.4267,201.9,358.4995,292.97,-5.7993980144,1.485742,0.094194,19.6615,9.2299,103.221,0.170996,0.253345,14.965149,33,0.002767,191.5588,0.005738,0
11,0.4693,249.56,429.6237,304.69,-5.6256471794,1.28788,0.100906,26.9668,6.1986,44.4559,0.166014,0.238681,16.826143,32,0.003275,259.8716,0.005616,0
12,0.512,213.02,410.6102,304.69,-5.5379002082,1.051638,0.095781,27.1323,6.5189,51.2024,0.169787,0.245123,13.494299,39,0.004165,293.9781,0.00525,0
13,0.5547,219.12,330.3963,316.41,-6.2779028309,1.13131,0.089782,21.7662,6.6487,59.7407,0.174468,0.270585,0.085406,38,0.002575,237.3919,0.003785,0
14,0.5973,218.02,329.3974,316.41,-5.8443625825,0.979683,0.089531,24.145,6.1458,53.467,0.174671,0.267725,13.742829,32,0.004337,258.9218,0.004395,0
15,0.64,212.79,256.4741,328.12,-6.0743789204,1.203347,0.097664,18.3516,6.3288,71.8502,0.168378,0.239691,1.726271,27,0.005495,213.5494,0.006348,0
