frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,1.788999,0.974920,1.614848,0.556922,-0.238937,2.572395,2.054383,-0.274649,-0.286292,-2.361927,-0.295449,0.159240,-0.093607,-2.759759,0.724228,1.491674
1,0.042700,0,1.648243,1.208255,1.614848,0.078504,-0.424280,2.240957,1.590090,-0.105824,-0.328184,-2.127842,0.387023,-3.513476,-0.460168,-0.476749,0.667771,1.744867
2,0.085300,0,1.180561,1.749494,1.593221,-0.068187,-0.446777,1.189539,1.311924,0.212860,-0.371482,-1.293609,1.031875,-0.313674,-1.559851,-1.442058,0.521961,1.721866
3,0.128000,0,1.521210,1.350753,1.571595,0.069343,0.020421,0.077607,1.345281,-0.048826,-0.339200,-0.204454,-0.324311,0.087172,-0.826729,-1.551752,0.681872,1.710366
4,0.170700,0,1.214556,1.515403,1.571595,0.049255,0.183226,-0.839580,0.397435,-0.098914,-0.445487,0.944633,1.353660,-4.577697,-0.276887,-1.479765,0.293731,1.698866
5,0.213300,0,0.957732,1.646125,1.528342,0.055168,0.324465,-0.572958,-0.026305,0.008878,-0.469640,0.579573,0.371951,0.417262,-1.376571,-1.143827,-0.155501,1.687272
6,0.256000,0,1.487311,1.204710,1.528342,0.920560,1.123816,-0.945629,-0.784301,-0.376135,-0.426213,1.098389,-0.281103,0.609869,-0.643449,-0.400649,-0.640407,1.675771
7,0.298700,0,1.887410,0.675202,1.506716,1.536498,1.145404,-0.940646,-0.648831,-0.644378,-0.233255,1.091046,-0.922593,0.409665,-1.376571,-0.183317,-0.841019,1.652771
8,0.341300,0,1.966677,0.477206,1.506716,1.526133,1.184710,-0.721220,-0.630364,-0.816330,-0.164964,0.778954,-0.973663,0.425405,-0.826729,-0.293011,-0.769258,1.641271
9,0.384000,0,1.824194,0.774460,1.485090,1.191112,1.120860,-0.803597,-0.807195,-0.460522,-0.222463,0.893611,-0.694191,0.406380,-0.276887,-0.450011,-0.646058,1.618270
10,0.426700,0,1.699320,0.927547,1.463482,1.235454,1.020151,-0.943019,-0.578437,-0.366804,-0.282208,1.094560,-0.985953,0.265144,1.372638,0.294538,-0.668845,1.606770
11,0.469300,0,1.797420,0.707766,1.463482,1.338764,1.188146,-0.944858,-0.713277,-0.579814,-0.243198,1.097259,-0.702731,0.697202,-0.643449,-0.849709,-0.696506,1.595270
12,0.512000,0,1.966845,0.337579,1.441855,1.332295,1.169975,-1.161288,-0.682423,-0.904400,-0.105329,1.428053,-0.787961,0.184563,0.089674,-0.312893,-0.698498,1.583770
13,0.554700,0,1.510102,1.903772,1.441855,0.160343,0.218733,-0.914245,0.431659,0.858196,0.005604,1.052325,-0.179470,0.403470,-2.476254,0.380922,0.111332,1.560769
14,0.597300,0,0.967208,1.868744,1.420229,0.141671,0.153625,-1.293828,0.100626,0.526903,-0.201803,1.643248,1.139169,0.348063,0.272954,-1.463311,0.630317,1.169479
15,0.640000,0,1.278660,3.965973,1.506716,-0.334078,-1.216794,2.436295,3.769220,0.938700,-0.301213,-2.267226,1.982086,-0.016037,-2.109693,-0.661172,2.917237,1.065883
16,0.682700,0,1.091626,1.898391,1.398603,-0.497378,-0.164592,0.013888,1.746384,0.368116,-0.373390,-0.133413,1.110090,0.230826,0.089674,-1.054015,2.010009,1.422672
17,0.725300,0,0.882376,1.493170,1.376976,-0.806284,0.054141,0.472645,1.209546,0.170439,-0.431599,-0.621979,0.476293,0.525901,-0.276887,-0.543251,1.580639,1.503174
18,0.768000,0,0.841831,1.361965,1.355350,-0.609822,0.560430,0.353484,0.313113,0.050743,-0.463722,-0.499979,0.046440,0.501936,1.006077,-0.301924,1.035176,1.491674
19,0.810700,0,1.105445,1.205871,1.355350,-0.316015,0.465792,0.376147,0.268661,-0.069507,-0.419008,-0.523450,-0.165124,-0.007056,-0.276887,-0.254618,0.271696,1.468673
20,0.853300,0,0.953965,1.368807,1.333724,-0.551896,0.107675,0.609278,1.100237,0.100175,-0.432966,-0.757849,0.047142,0.373817,-0.093607,-0.122300,1.426357,1.457173
21,0.896000,0,0.510706,1.594811,1.333724,-1.081705,-0.357734,0.705598,0.823863,0.378960,-0.411262,-0.851295,2.053865,-0.471932,-0.826729,-0.961460,1.624718,1.399578
22,0.938700,0,0.815104,1.384146,1.312098,-1.172387,-0.881749,2.024675,1.553047,0.266175,-0.415694,-1.968313,1.100219,-0.166030,-0.093607,-0.653631,1.496635,1.376577
