frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-0.087690,-0.417648,0.089397,-2.923811,-1.933844,1.877349,-0.669982,0.649262,1.624495,-1.775939,2.539818,-1.527256,-0.690381,-2.567709,-0.184836,0.211982
1,0.042700,0,-0.352253,-0.053134,-0.097146,-1.667244,-2.255244,1.368047,-0.222965,1.399378,2.232215,-1.387520,1.080272,-0.136765,0.075613,3.912260,0.190009,0.211982
2,0.085300,0,0.028280,0.466326,-0.159345,-0.367780,-1.674416,1.109526,0.470014,1.066710,1.057099,-1.175845,0.861125,-2.521761,-0.307384,0.624741,0.449310,-0.926650
3,0.128000,0,-1.219829,-0.755930,-0.283743,-1.496967,-0.758897,-0.062200,-0.634196,-0.374364,-0.687143,-0.055854,-0.391997,0.562051,0.075613,3.179315,-0.717154,-2.013141
4,0.170700,0,-0.748276,-0.547506,-0.283743,-1.181392,-0.455953,-0.230022,-0.330587,0.113075,-0.068750,0.131989,0.246984,0.666696,0.458610,1.093949,-0.364425,-1.030085
5,0.213300,0,-0.053009,0.146092,-0.283743,-0.290042,-0.384691,-0.231114,0.127311,1.233121,1.414798,0.133216,0.761648,-0.319677,0.075613,-0.184872,0.453422,-0.874933
6,0.256000,0,-1.182680,-0.768202,-0.283743,-1.150770,-0.611940,-0.594192,-0.612334,-0.440936,-0.747173,0.570641,-0.692159,0.752733,1.416103,1.268751,-0.532885,-1.288672
7,0.298700,0,-1.127780,-0.753421,-0.283743,-1.032896,-0.461941,-0.143536,-0.491988,-0.398757,-0.708666,0.034154,-1.273354,0.502999,-0.307384,-1.218355,-0.708163,-1.547684
8,0.341300,0,-0.857459,-0.596384,-0.283743,-1.352173,-0.654488,-0.270908,-0.461024,0.062983,-0.106438,0.179009,0.223025,0.538612,1.224604,-0.135804,-0.276789,-0.978368
9,0.384000,0,0.435885,0.760663,-0.283743,0.555199,-0.625029,0.152876,0.517602,1.046735,0.807731,-0.284875,0.836286,0.716005,1.416103,-0.086737,0.858770,0.160265
10,0.426700,0,1.017582,0.908390,-0.221544,0.376065,-0.617022,1.230687,1.145795,0.816979,0.502702,-1.276426,0.177264,-0.983372,-0.881880,-0.218605,0.668963,0.988169
11,0.469300,0,0.437667,0.835649,-0.283743,0.178675,-0.702104,0.342701,0.477505,1.069706,0.834205,-0.477274,0.978548,0.115329,0.458610,-0.482343,0.865749,1.143745
12,0.512000,0,-0.402698,-0.101044,-0.283743,-0.606538,-0.609119,0.032619,0.083116,0.965258,1.121956,-0.158361,0.489300,-0.325627,-1.073378,-0.224739,0.215547,-0.098323
13,0.554700,0,-1.159788,-0.680189,-0.283743,-1.222658,-0.952657,-0.298499,-0.429381,-0.098972,-0.380029,0.211017,-0.299169,0.920129,0.458610,0.888479,-0.463757,-1.599401
14,0.597300,0,-0.782957,-0.318497,-0.283743,-0.627393,-0.833973,-0.147843,-0.244239,0.995336,1.369776,0.038944,0.731738,0.264239,2.373596,-0.218605,-0.107408,-0.771074
15,0.640000,0,-0.360821,0.183966,-0.283743,0.227030,-0.737427,-0.149060,0.153331,1.168969,1.412260,0.040346,0.934457,-2.296796,0.075613,-0.798215,0.559660,0.833016
16,0.682700,0,1.239308,1.459646,-0.221544,0.855262,-0.658212,0.945543,1.269859,0.626828,0.119361,-1.035839,0.916451,-1.453247,-1.073378,-0.010069,1.353453,1.143745
17,0.725300,0,1.425942,1.310541,-0.221544,0.529067,-0.499695,1.500194,1.441001,0.537784,0.012561,-1.491779,0.175078,-0.355651,-1.073378,-0.506877,0.919937,1.350615
18,0.768000,0,0.651237,0.957029,-0.221544,0.319872,-0.739621,0.584993,0.816693,0.686716,0.265474,-0.710735,1.229609,0.488162,0.458610,0.084999,1.066021,1.195462
19,0.810700,0,0.982284,1.292398,-0.221544,0.670443,-0.649850,0.824818,1.022263,0.681453,0.188631,-0.929769,0.962788,0.037243,-0.498883,-1.157020,1.387649,1.040310
20,0.853300,0,1.121214,1.262990,-0.221544,0.609161,-0.712936,1.002628,1.321921,0.592524,0.092737,-1.085136,0.417425,0.707929,-0.115885,-0.853415,1.343539,1.661344
21,0.896000,0,-0.370348,-0.105357,-0.283743,-0.509837,-0.888848,0.413519,0.195302,1.015734,1.288677,-0.546839,0.103112,0.262174,0.650109,-0.623412,0.056496,0.833016
22,0.938700,0,-0.432924,-0.115738,-0.283743,-0.459224,-0.701277,0.114299,0.088389,1.032675,1.352097,-0.244690,0.456627,-0.026736,1.033106,-1.077286,0.221889,-0.822791
23,0.981300,0,-0.787823,-0.399272,-0.283743,-0.844387,-0.558996,-0.238292,-0.210894,1.121181,2.214395,0.141452,-0.043614,0.462751,2.182097,-1.267422,-0.012484,-1.236955
24,1.024000,0,-1.193852,-0.677702,-0.283743,-0.522829,-0.478497,-0.581833,-0.372609,-0.075308,-0.403320,0.554929,-0.462323,1.431386,0.458610,0.118733,-0.303763,-1.702836
25,1.066700,0,-0.742107,-0.307463,-0.283743,-0.339664,-0.552235,-0.033017,-0.037286,0.810794,0.941608,-0.087628,0.344821,0.629398,1.799100,-0.580478,-0.146444,-1.392107
26,1.109300,0,-0.357394,0.161805,-0.283743,0.181644,-0.603246,-0.244784,0.127503,1.157752,1.206059,0.148870,0.981858,-2.169137,0.267112,-0.519144,0.552117,-0.615921
27,1.152000,0,-1.234771,-0.652880,-0.283743,-1.285657,-0.630907,-0.721252,-0.409626,0.403257,0.510865,0.735062,-0.191979,0.602960,-0.307384,0.891545,-0.356302,-1.547684
28,1.194700,0,-0.604548,-0.169049,-0.283743,-0.350767,-0.522353,-0.185920,0.046236,1.162054,1.584187,0.081816,0.534848,0.813729,0.267112,0.575674,0.016258,-1.185237
29,1.237300,0,0.201205,0.501167,-0.221544,0.260821,-0.366670,0.239642,0.469568,0.915242,0.685932,-0.373891,1.020422,-1.733609,-0.307384,-0.543677,0.543562,0.419276
30,1.280000,0,1.482556,1.112452,-0.221544,0.774421,-0.319376,1.996481,1.665956,0.665934,0.211411,-1.861859,-0.909697,-0.500984,-0.307384,-0.126604,1.097934,0.729581
31,1.322700,0,0.723204,0.819399,-0.221544,0.466795,-0.368431,0.905967,1.071031,0.818400,0.502082,-1.001378,0.526892,0.201062,-0.498883,-0.709280,1.000030,0.781299
32,1.365300,0,0.815184,0.864885,-0.221544,0.589042,-0.562777,0.909369,1.090431,0.828196,0.485235,-1.004357,0.401878,-0.162795,1.033106,-1.206088,1.034486,0.729581
33,1.408000,0,0.504562,0.506272,-0.221544,0.165779,-0.481093,0.839550,0.735800,1.091794,1.042171,-0.942852,0.422921,-1.197262,-0.881880,-0.847282,0.688170,-0.150040
34,1.450700,0,-0.698790,-0.424556,-0.283743,-0.955612,-0.448849,-0.340134,-0.156827,0.310409,0.156436,0.259847,0.687191,0.571511,-0.881880,0.321136,-0.204509,-0.305616
35,1.493300,0,0.750688,0.473003,-0.221544,0.564138,-0.408684,1.238427,0.960689,1.123794,1.037503,-1.282734,-0.790300,0.098192,0.075613,1.100082,0.313913,0.626146
36,1.536000,0,0.037327,0.325222,-0.221544,0.689944,-0.255229,-0.087699,0.349941,1.175653,1.167639,-0.027817,0.499624,-1.717369,-1.456375,-0.396475,0.409397,0.677864
37,1.578700,0,0.496886,0.307800,-0.221544,0.671100,-0.524826,0.792640,0.713396,1.174808,1.231131,-0.900973,-0.231576,0.361170,-1.073378,-0.286073,0.253238,0.574429
38,1.621300,0,0.649729,0.412731,-0.221544,0.813806,-0.029526,0.585274,0.872938,1.190788,1.236086,-0.710969,-0.847326,-0.418485,0.458610,-0.838082,0.649610,0.677864
39,1.664000,0,0.351033,0.266565,-0.221544,0.411099,-0.147727,0.728283,0.475459,1.470291,1.817790,-0.842914,-0.067845,0.229899,-0.115885,-1.252088,0.096537,0.833016
40,1.706700,0,-0.438202,-0.099537,-0.283743,-0.485405,-0.385556,-0.450216,-0.285435,1.432260,2.225504,0.391734,1.310260,-1.875952,-2.030871,-0.123537,0.134103,0.677864
41,1.749300,0,0.242329,0.286509,-0.221544,0.365546,-0.212345,0.446197,0.395260,1.269806,1.290736,-0.578555,0.385663,-1.080755,-0.881880,-0.371941,0.212305,0.522711
42,1.792000,0,0.545686,0.342288,-0.221544,0.035971,-0.501319,0.817140,0.824990,1.031407,1.050134,-0.922876,-0.110084,0.420279,0.267112,-1.080352,0.631819,0.470994
43,1.834700,0,0.416352,0.470532,-0.221544,0.447331,-0.453003,0.498320,0.577682,1.145536,1.012194,-0.628670,0.308747,-0.995578,2.948091,-1.334890,0.435158,0.419276
44,1.877300,0,0.490512,0.251952,-0.221544,0.809373,-0.079342,0.657808,0.738449,1.137700,1.147702,-0.778431,-0.476018,0.404734,-0.115885,-1.077286,0.397217,0.419276
45,1.920000,0,0.153776,0.426572,-0.221544,0.699811,-0.231776,-0.085140,0.355806,1.046888,0.874197,-0.030621,0.680056,0.277599,0.458610,-0.577411,0.600751,0.833016
46,1.962700,0,-0.078574,0.050873,-0.221544,0.143595,-0.315763,-0.143817,0.166881,1.048847,1.135956,0.034446,0.692961,0.456014,-2.605367,-0.605012,0.480550,1.040310
47,2.005300,0,0.674541,0.504749,-0.221544,0.657873,-0.424907,0.777783,1.038102,0.874907,0.588802,-0.887656,-0.287479,0.197474,-0.881880,-0.785948,0.697606,0.574429
48,2.048000,0,0.245962,0.274679,-0.221544,0.770717,-0.198821,0.219324,0.558646,1.154371,1.120878,-0.353214,0.173681,-1.219165,0.650109,-0.470076,0.327578,0.729581
49,2.090700,0,0.512855,0.224227,-0.221544,0.523811,-0.209614,0.665330,0.697450,1.040665,1.002537,-0.785323,-0.715814,-0.653427,0.267112,-0.911683,0.337609,0.884734
50,2.133300,0,-0.040260,0.171230,-0.221544,0.668356,-0.322166,-0.178742,0.312392,0.573816,0.177019,0.073697,0.885539,0.596820,-0.115885,0.213801,0.504632,0.470994
51,2.176000,0,-0.006744,0.125593,-0.221544,0.140849,-0.664746,-0.046032,0.294157,0.923732,0.786949,-0.073493,1.143797,0.268358,1.990599,-0.887149,0.689986,0.315417
52,2.218700,0,-0.226894,0.032043,-0.221544,-0.041570,-0.545272,-0.209297,0.035426,0.925384,0.882810,0.108275,1.188586,0.388858,0.650109,-0.874882,0.461079,0.367135
53,2.261300,0,-0.684671,-0.398796,-0.283743,0.034885,-0.444316,-0.466352,-0.189716,1.030831,1.699491,0.411418,0.002329,0.758586,-1.264877,-0.513010,-0.073342,-0.253899
54,2.304000,0,-0.097011,0.264297,-0.221544,0.126375,-0.550084,-0.285921,0.177771,1.105893,1.061447,0.196415,1.010796,-0.120351,-0.690381,-0.359674,0.562833,-0.253899
55,2.346700,0,0.540203,0.301575,-0.221544,0.721800,-0.215618,0.697508,0.891988,0.633435,0.287979,-0.814878,0.108305,0.322585,1.416103,-0.175671,0.578004,0.936451
56,2.389300,0,0.487976,0.324108,-0.221544,0.506456,-0.537366,0.778907,0.745475,1.081269,1.115760,-0.888707,-0.010212,0.374269,0.650109,-1.184621,0.572061,1.557485
57,2.432000,0,0.250280,0.270410,-0.221544,0.298874,-0.456944,0.289518,0.489226,0.968715,0.910195,-0.424239,0.461607,0.549889,-1.456375,-1.295022,0.371495,0.988169
58,2.474700,0,0.215873,0.250902,-0.221544,0.282598,-0.590310,0.499880,0.537990,0.848171,0.676434,-0.630131,0.813087,0.253189,-1.839372,-1.383957,0.255079,1.040310
59,2.517300,0,0.314227,0.550529,-0.221544,0.851614,-0.378885,0.232120,0.558200,1.271535,1.298092,-0.366239,0.460422,0.621368,0.650109,-0.798215,0.582063,1.092027
60,2.560000,0,0.222521,0.437405,-0.221544,0.688744,-0.566893,0.115141,0.446460,1.175230,1.134325,-0.245624,0.349194,0.548323,1.607602,-1.405424,0.527927,1.040310
61,2.602700,0,-1.080214,-0.620028,-0.283743,0.011043,-0.610018,-0.843974,-0.479598,0.093407,-0.067877,0.900184,0.117202,0.685852,0.650109,1.109282,-0.458241,0.211982
62,2.645300,0,-1.173359,-0.724776,-0.283743,-1.457206,-0.628580,-0.548967,-0.625291,-0.224010,-0.523305,0.513575,-0.444529,0.230157,-0.690381,-0.559011,-0.776818,-1.495966
