frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,336.5,408.5151,515.62,-8.033464769,1.193965,0.185011,25.0792,6.2181,96.6092,0.122134,0.252709,1.778647,146,0.0,200.4776,0.008912,0
1,0.0427,311.09,824.6822,480.47,-6.6165637888,1.051305,0.167574,34.5407,28.1782,1363.2212,0.129299,0.213708,12.612934,145,0.002114,246.8668,0.008912,0
2,0.0853,469.81,2064.9429,468.75,-4.6807611911,1.309117,0.159591,51.1252,14.7038,252.1583,0.132832,0.207864,-5.978405,137,0.00105,312.3986,0.006226,0
3,0.128,170.03,257.9044,445.31,-6.8789153855,1.715488,0.123767,25.6636,2.3363,8.6719,0.151232,0.174359,18.065631,127,0.001881,139.0668,0.003663,0
4,0.1707,238.83,341.0927,445.31,-6.6045012055,1.849956,0.11839,31.6575,3.6052,23.5348,0.154448,0.191435,18.86499,139,0.001194,177.7161,0.005982,0
5,0.2133,377.2,1195.4222,445.31,-5.1416398275,1.881587,0.118433,41.8185,18.7357,447.0423,0.154421,0.205194,11.191649,154,0.00078,283.644,0.006348,0
6,0.256,175.45,253.0061,445.31,-6.5778731391,1.780718,0.106722,26.0952,2.163,7.2291,0.161958,0.166338,19.546141,182,0.001254,159.2575,0.005372,0
7,0.2987,183.46,258.9057,445.31,-6.475373214,1.847298,0.121161,28.4711,2.2728,8.1546,0.152773,0.150806,17.604241,162,0.00044,140.0519,0.004761,0
8,0.3413,222.9,321.584,445.31,-6.7530070272,1.761832,0.11708,29.0824,3.4748,22.629,0.155253,0.190795,17.870755,155,0.000793,187.3186,0.006104,0
9,0.384,672.73,2895.164,457.03,-3.6122062977,1.774908,0.133589,56.7281,10.0189,111.4859,0.145705,0.207217,19.214561,155,0.000826,396.6959,0.00879,0
10,0.4267,827.71,3297.7632,457.03,-3.6476106707,1.778462,0.167823,70.9442,9.1115,90.759,0.129192,0.189624,6.016131,147,0.000801,385.0641,0.010743,0
11,0.4693,868.54,3987.984,457.03,-3.4334269289,1.740697,0.140633,60.6421,8.5151,77.5812,0.141986,0.21104,14.568108,160,0.000722,465.599,0.01111,0
12,0.512,319.81,1086.5445,445.31,-5.3811179222,1.78197,0.126419,40.8871,24.6444,825.6485,0.149698,0.197915,11.144949,139,0.000793,254.5769,0.00818,0
13,0.5547,178.79,288.135,445.31,-6.6403842221,1.629484,0.116196,29.7071,3.0532,16.0533,0.155801,0.17684,20.838264,142,0.001129,166.832,0.004639,0
14,0.5973,233.77,432.4969,445.31,-6.1227598612,1.682164,0.121023,33.3622,5.9019,58.1094,0.152855,0.20439,15.738698,152,0.000766,205.878,0.006593,0
15,0.64,318.58,1012.9045,445.31,-4.9649878331,1.725018,0.120752,42.2048,20.2709,634.849,0.153017,0.20981,-4.223573,150,0.000579,294.2437,0.010377,0
16,0.6827,1145.04,4522.8039,468.75,-3.1428240821,1.760179,0.166713,80.625,6.9965,53.0787,0.129672,0.209416,2.354019,148,0.000869,538.108,0.01111,0
17,0.7253,1228.89,4753.3848,539.06,-3.2593799699,1.83054,0.183131,86.0885,6.8816,50.2723,0.122873,0.189626,10.89832,148,0.000733,504.0061,0.011598,0
18,0.768,921.25,3887.5534,457.03,-3.3980275746,1.724044,0.151542,69.0289,7.8398,66.5466,0.136578,0.217761,17.447447,157,0.000921,499.7741,0.011232,0
19,0.8107,987.77,4066.1315,457.03,-3.3693600722,1.763891,0.15846,73.7146,7.754,65.7301,0.133347,0.21063,13.95616,153,0.000516,518.4615,0.010866,0
20,0.8533,885.95,3455.5068,457.03,-3.5523139784,1.735889,0.164349,76.5037,8.5888,84.6523,0.130706,0.196044,19.131374,153,0.000609,481.117,0.012331,0
21,0.896,300.11,639.2826,445.31,-5.862146104,1.657807,0.139017,42.2345,15.512,466.4244,0.142822,0.187592,15.716027,140,0.000657,227.0662,0.010377,0
22,0.9387,295.95,760.1977,445.31,-5.6605628639,1.741064,0.129179,40.3044,22.3849,797.7495,0.148135,0.19704,13.470884,151,0.000487,247.3691,0.006471,0
23,0.9813,233.06,400.2574,445.31,-6.3114512076,1.804218,0.118125,34.0205,6.2295,78.4096,0.15461,0.183669,17.277665,151,0.000425,216.279,0.005494,0
24,1.024,173.82,289.1274,445.31,-6.0318340877,1.839949,0.107118,30.8279,3.1148,15.4935,0.161689,0.17248,24.788261,146,0.000876,184.363,0.004395,0
25,1.0667,239.73,436.9009,445.31,-5.8725590818,1.807219,0.124702,37.4479,5.4215,47.8185,0.150688,0.19405,18.575319,162,0.000648,201.6007,0.005128,0
26,1.1093,319.82,1103.5741,445.31,-4.9974975753,1.784577,0.117849,41.3719,23.657,779.7228,0.154779,0.211077,-3.227907,146,0.00067,288.9464,0.006959,0
27,1.152,167.85,299.0348,445.31,-6.6951661465,1.772299,0.102651,30.0971,4.3606,37.4657,0.164773,0.179705,18.382979,146,0.001129,178.6061,0.004761,0
28,1.1947,259.8,492.1463,445.31,-5.8822140985,1.820483,0.119803,39.0968,6.3359,63.2627,0.153589,0.199128,19.997008,144,0.001025,219.4284,0.005616,0
29,1.2373,516.18,2147.5421,457.03,-4.1205087763,1.889586,0.134248,51.9559,13.0384,197.2958,0.145348,0.212123,0.168619,147,0.00067,328.6399,0.009401,0
30,1.28,701.47,2209.8411,468.75,-4.1601640007,1.910578,0.190119,76.4484,12.1442,185.571,0.120162,0.16055,9.771701,168,0.000814,386.8074,0.010133,0
31,1.3227,609.99,2438.4914,457.03,-4.0578211913,1.888804,0.155821,63.871,12.7334,186.1411,0.134562,0.198936,15.228983,138,0.000623,382.8662,0.010255,0
32,1.3653,626.45,2335.3308,457.03,-4.0145310081,1.80254,0.156204,65.0909,11.6924,159.5293,0.134385,0.1956,12.403753,164,0.000462,390.8834,0.010133,0
33,1.408,524.34,2030.6594,457.03,-4.4262284913,1.838797,0.15249,55.3996,15.3604,270.2178,0.136126,0.196149,4.350081,146,0.000574,325.204,0.008058,0
34,1.4507,251.1,535.9621,445.31,-6.1770942865,1.853109,0.114732,35.2689,25.0237,1175.7413,0.156719,0.2032,18.124933,139,0.000947,198.1044,0.007691,0
35,1.4933,518.93,1576.7677,457.03,-4.4787522199,1.870937,0.165432,58.9827,17.667,402.2499,0.13023,0.163724,14.426663,136,0.001199,270.362,0.009889,0
36,1.536,455.29,1875.731,457.03,-3.9274044687,1.939051,0.123469,48.1701,14.5182,239.7313,0.151407,0.198198,0.295284,124,0.000717,296.3712,0.010011,0
37,1.5787,533.06,2067.2737,457.03,-3.9698326892,1.819385,0.15096,55.4106,15.4966,269.9487,0.136856,0.17866,16.466205,143,0.000755,278.8858,0.009767,0
38,1.6213,479.67,1197.2433,457.03,-4.4584211029,2.039234,0.144744,57.0975,16.6015,401.231,0.1399,0.162198,10.41584,139,0.000571,304.3223,0.010011,0
39,1.664,434.52,1269.6878,457.03,-4.7417906223,1.986768,0.148677,48.6652,21.6764,621.3038,0.137959,0.183027,15.449887,136,0.000433,238.702,0.010377,0
40,1.7067,313.25,1076.7964,445.31,-5.2826666664,1.881203,0.110726,33.5096,24.0082,742.3588,0.159292,0.219854,-0.941223,143,0.000801,248.1101,0.010011,0
41,1.7493,438.66,1506.1502,457.03,-4.5657738363,1.958086,0.139631,47.6581,19.0801,446.4771,0.142503,0.195149,5.258655,150,0.000721,259.4274,0.009645,0
42,1.792,482.14,1398.6155,457.03,-4.8504705648,1.829819,0.151958,56.4225,16.2071,335.057,0.136379,0.181902,16.925797,153,0.000491,308.3096,0.009523,0
43,1.8347,475.93,1618.015,457.03,-4.4743486983,1.851265,0.141624,51.6708,16.1704,318.3907,0.141477,0.193096,5.922788,187,0.000409,286.8467,0.009401,0
44,1.8773,427.28,748.5227,457.03,-4.763665706,2.017122,0.146814,53.2367,9.4957,159.441,0.138872,0.172116,16.805298,143,0.00049,266.555,0.009401,0
45,1.92,388.84,985.8506,457.03,-4.7320750812,1.949461,0.123168,45.9576,14.3387,342.7535,0.151584,0.203012,15.833698,139,0.000651,294.7118,0.010377,0
46,1.9627,367.04,1003.4375,457.03,-4.8895645411,1.912182,0.12093,42.8185,16.4566,370.8789,0.152911,0.203359,17.216038,125,0.000644,286.4551,0.010866,0
47,2.0053,460.52,988.8738,457.03,-4.8351792279,1.863736,0.150759,59.1234,14.4089,364.3144,0.136953,0.177155,15.206194,156,0.000585,299.5653,0.009767,0
48,2.048,391.03,819.1092,457.03,-4.7983187118,1.964089,0.132765,49.4294,16.1074,505.0385,0.146153,0.189478,4.17998,151,0.000685,256.1591,0.010133,0
49,2.0907,459.38,1340.4869,457.03,-4.6586085678,1.959298,0.146859,52.9129,22.8584,656.6298,0.13885,0.16571,8.588121,162,0.000542,265.1532,0.010499,0
50,2.1333,379.03,1170.6581,457.03,-4.4685011975,1.90934,0.120093,45.7649,17.6131,409.6073,0.153414,0.208505,18.312992,133,0.000912,289.211,0.009523,0
51,2.176,358.77,835.5087,457.03,-5.2310942663,1.757279,0.124289,44.3667,18.0074,553.2393,0.150928,0.215403,15.760916,143,0.000552,298.7811,0.009156,0
52,2.2187,358.36,1249.1771,457.03,-4.822918173,1.81031,0.118703,40.3984,20.4383,549.9598,0.154256,0.216604,16.700963,140,0.000556,287.5165,0.009278,0
53,2.2613,251.2,444.8051,445.31,-5.416899721,1.855121,0.110736,34.6624,9.5253,183.1178,0.159285,0.184898,19.580051,145,0.000674,213.0546,0.007813,0
