frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,1.311707,1.039633,0.735301,3.177621,-0.651786,5.597494,8.681217,-0.830039,-0.396106,-4.449132,-0.056803,0.657907,-1.921021,-2.245973,7.024332,0.037991
1,0.042700,0,0.325163,0.818310,0.728711,2.368606,0.056486,-1.462556,1.105340,-0.527955,-0.372944,1.659905,-0.728475,0.908229,0.379257,5.013183,1.791215,0.415399
2,0.085300,0,1.196656,1.075962,0.735301,1.964486,0.089529,-0.508471,2.440484,-0.808618,-0.397890,0.489811,-0.369917,-2.287257,-2.304400,4.035117,2.866764,1.153105
3,0.128000,0,0.605814,0.959537,0.735301,1.992498,0.112744,-0.741331,-0.178006,-0.613211,-0.381243,0.759248,-0.649401,-2.753917,-0.962572,0.876681,-0.296915,0.651300
4,0.170700,0,0.690106,0.980907,0.735301,2.386438,0.108052,-1.429322,-0.199918,-0.648960,-0.386978,1.616001,-0.438266,1.311610,0.954327,-0.432973,0.532715,0.226677
5,0.213300,0,1.750726,1.044463,0.735301,0.751550,0.360302,0.164373,1.369025,-0.972180,-0.397885,-0.239453,-0.730570,-0.085525,-1.345951,3.219267,0.530973,1.015850
6,0.256000,0,2.076695,0.953887,0.735301,0.765575,0.359726,0.896480,2.388549,-1.071193,-0.391472,-0.960907,-1.420063,-0.042138,-0.195812,-0.955403,0.937319,1.526227
7,0.298700,0,1.338763,1.082202,0.735301,1.474643,0.511029,-1.184257,0.486674,-0.850651,-0.399257,1.299705,-0.324528,-2.013599,-2.304400,0.554635,0.159275,1.526227
8,0.341300,0,1.668168,1.065837,0.735301,2.256005,0.765290,0.709060,0.056957,-0.947950,-0.398840,-0.782549,-0.596331,0.532299,0.379257,-0.726393,-0.378557,1.436152
9,0.384000,0,1.196078,1.060412,0.735301,0.614955,0.852976,-0.358329,-0.392243,-0.803573,-0.398171,0.320951,0.215782,-0.249499,-2.687780,0.213505,-0.010888,1.436152
10,0.426700,0,1.411636,1.068441,0.735301,1.233496,0.738083,0.236209,0.074881,-0.867169,-0.399252,-0.313329,-0.149117,0.065301,-1.537641,-1.077065,-0.182004,1.526227
11,0.469300,0,1.811180,1.027860,0.735301,1.691060,0.628751,0.438114,0.904310,-0.987222,-0.396935,-0.517228,-0.720990,-0.011149,0.954327,-0.263601,0.312673,1.521941
