frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,1936.47,1960.2202,4007.81,-1.6673436965,2.571313,0.174411,63.4566,0.1331,-1.8556,0.126404,0.200236,19.723119,160,0.0,466.2645,0.041021,0
1,0.0427,1304.93,1860.404,3996.09,-2.1342540644,2.823261,0.078391,25.078,0.7677,-1.3778,0.184289,0.180722,21.46748,150,0.003043,226.426,0.051764,0
2,0.0853,1862.82,1976.6044,4007.81,-2.3674857423,2.835015,0.091367,31.8417,0.1781,-1.8924,0.173202,0.19114,-0.765823,130,0.002633,275.7194,0.072763,0
3,0.128,1484.59,1924.0971,4007.81,-2.3513192552,2.843273,0.0882,18.5767,0.5886,-1.549,0.175755,0.18302,-4.013498,136,0.001309,130.7251,0.058479,0
4,0.1707,1538.55,1933.735,4007.81,-2.1239626014,2.841604,0.078843,18.4657,0.5135,-1.6673,0.183873,0.189153,24.264381,155,0.00076,168.7478,0.046392,0
5,0.2133,2219.9,1968.1089,4007.81,-3.056635709,2.931335,0.100221,26.6453,-0.1376,-1.7555,0.166507,0.180662,14.552485,139,0.002292,172.8028,0.068856,0
6,0.256,2428.94,1928.1384,4007.81,-3.0371760918,2.93113,0.11031,31.8304,-0.3385,-1.6,0.159564,0.160631,14.853396,149,0.000541,191.5587,0.083384,0
7,0.2987,1953.79,1979.4184,4007.81,-2.650191414,2.984952,0.082176,21.9439,0.0898,-1.9206,0.180876,0.192458,1.138626,135,0.001175,151.6327,0.083384,0
8,0.3413,2164.66,1972.0379,4007.81,-2.199240161,3.075398,0.107926,19.767,-0.1146,-1.912,0.161146,0.184561,18.845905,167,0.000637,126.9834,0.08082,0
9,0.384,1862.45,1969.5913,4007.81,-3.1463473118,3.10659,0.093409,17.4914,0.1887,-1.8982,0.171602,0.208156,13.412999,127,0.001031,143.834,0.08082,0
10,0.4267,2000.44,1973.2126,4007.81,-2.7893658017,3.06572,0.101495,19.8578,0.0551,-1.9205,0.165592,0.197554,15.601446,139,0.00049,135.9916,0.083384,0
11,0.4693,2256.21,1954.9107,4007.81,-2.5252897822,3.026828,0.104241,24.0596,-0.1971,-1.8727,0.16366,0.18094,15.068608,139,0.000831,158.6631,0.083262,0
12,0.512,2062.96,1964.2266,4007.81,-3.193772304,2.987189,0.107506,24.3387,-0.0013,-1.9166,0.161428,0.191075,4.303968,135,0.001086,149.2893,0.083262,0
13,0.5547,2057.56,1964.7749,4007.81,-3.1376815786,2.97595,0.105999,23.6433,-0.0007,-1.9252,0.162449,0.192487,17.05389,147,0.000586,160.0465,0.083384,0
14,0.5973,1926.93,1975.6601,4007.81,-3.1015993795,2.968562,0.099635,20.473,0.1493,-1.8503,0.166932,0.199529,18.925439,144,0.000493,178.2382,0.083262,0
15,0.64,2506.71,1893.6649,4007.81,-2.8196362744,3.033479,0.131036,26.7442,-0.4441,-1.695,0.147102,0.152937,18.230541,141,0.001135,147.4755,0.083262,0
16,0.6827,2231.91,1945.757,4007.81,-2.8535973404,3.046956,0.120122,23.2872,-0.1664,-1.8965,0.153396,0.177853,18.768036,144,0.00058,152.9074,0.083384,0
17,0.7253,2426.01,1912.3299,4007.81,-2.9114529977,3.082821,0.12895,23.5182,-0.3609,-1.7817,0.148263,0.157509,11.206141,161,0.00062,126.7744,0.083384,0
18,0.768,2441.18,1911.5743,4007.81,-2.3863794615,3.091162,0.117479,25.8383,-0.3882,-1.7726,0.155007,0.16168,9.509459,156,0.000575,123.5826,0.083262,0
19,0.8107,2088.36,1957.2377,4007.81,-3.1060491291,3.02029,0.115565,24.3863,-0.0246,-1.9192,0.156196,0.192551,19.804221,154,0.000651,154.8489,0.083384,0
20,0.8533,2424.13,1909.8972,4007.81,-2.6385072684,3.09816,0.118684,28.8609,-0.3544,-1.7701,0.154268,0.16152,9.893902,127,0.000705,175.3573,0.083262,0
21,0.896,2054.73,1960.0442,4007.81,-3.1313313313,3.0606,0.104234,21.977,0.0172,-1.9094,0.163665,0.189736,19.338998,151,0.001248,155.243,0.07667,0
22,0.9387,1819.2,1962.8694,4007.81,-2.766066134,3.059185,0.098818,19.7446,0.2608,-1.8103,0.167528,0.188608,21.197773,159,0.000684,138.2833,0.066781,0
23,0.9813,1962.25,1962.899,4007.81,-2.89252519,3.075851,0.097974,21.2491,0.0995,-1.9157,0.168148,0.205802,19.379506,169,0.000969,135.2321,0.073495,0
24,1.024,2272.33,1937.7041,4007.81,-2.8635406876,3.166224,0.119848,21.7609,-0.2093,-1.8924,0.153561,0.17551,8.936202,131,0.000703,138.7096,0.082896,0
25,1.0667,1779.68,1951.7597,4007.81,-2.9205121231,3.103416,0.095341,17.513,0.2901,-1.8336,0.17012,0.222165,13.296529,119,0.00101,124.4819,0.082896,0
26,1.1093,2287.7,1933.9152,4007.81,-2.8389038866,3.139724,0.114036,21.634,-0.2191,-1.8812,0.15716,0.175605,9.311784,150,0.000976,150.5141,0.083384,0
27,1.152,1942.72,1957.0608,4007.81,-2.9186367323,3.099192,0.092218,20.8136,0.1172,-1.9285,0.172531,0.210797,5.073077,160,0.000721,141.436,0.083262,0
28,1.1947,1852.61,1956.4321,4007.81,-3.0053107848,3.074048,0.099269,19.3627,0.222,-1.8572,0.167198,0.215033,16.366527,162,0.000563,158.627,0.081919,0
29,1.2373,1727.91,1934.8582,4007.81,-3.5815371412,3.086971,0.096638,20.957,0.3386,-1.8256,0.169142,0.220003,13.838868,164,0.00065,138.7495,0.069466,0
30,1.28,1652.32,1927.0094,4007.81,-3.0295604611,3.071913,0.090138,19.5972,0.422,-1.7503,0.174182,0.20194,15.271463,166,0.000851,140.5783,0.061287,0
31,1.3227,1854.72,1954.2816,4007.81,-2.9172566459,3.148255,0.086502,19.2552,0.2065,-1.8972,0.177162,0.218777,3.893753,144,0.001227,140.1233,0.071908,0
32,1.3653,1703.61,1934.2646,4007.81,-3.1778053258,3.14641,0.086238,18.0008,0.359,-1.821,0.177383,0.225174,2.356173,139,0.000478,131.6234,0.081431,0
