frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,146.27,186.8635,210.94,-7.995095155,0.958135,0.126946,18.4605,9.8929,183.6962,0.149397,0.258563,17.515802,30,0.0,126.6689,0.004395,0
1,0.0427,156.47,225.8718,210.94,-6.014870531,1.450235,0.124688,16.8018,13.7144,230.6441,0.150696,0.205671,6.172164,30,0.002063,80.0191,0.004273,0
2,0.0853,144.14,268.8355,210.94,-5.7540746746,1.577857,0.106679,13.4682,12.3596,174.5271,0.161987,0.222713,3.962775,38,0.001268,69.7707,0.004151,0
3,0.128,120.27,297.7066,199.22,-5.467670696,1.660128,0.076497,10.9734,11.4629,146.3249,0.186059,0.240912,28.657057,40,0.00213,91.0094,0.004395,0
4,0.1707,141.9,348.8548,210.94,-4.7434486408,1.735491,0.077797,12.5138,10.0166,107.8419,0.184839,0.242506,29.753558,34,0.001056,85.3474,0.004517,0
5,0.2133,153.36,391.2342,210.94,-4.3060753689,1.801108,0.087063,11.8156,9.0684,86.2978,0.176694,0.228813,1.370671,37,0.001064,108.1623,0.004151,0
6,0.256,188.12,452.4895,210.94,-4.216535094,1.847674,0.100525,15.1416,7.9017,63.6925,0.166287,0.209575,24.04388,27,0.001214,81.7644,0.004395,0
7,0.2987,165.16,445.9279,210.94,-4.5990437103,1.984391,0.093906,10.6698,8.0612,66.4257,0.171218,0.239015,27.181861,27,0.001123,86.2742,0.005128,0
8,0.3413,175.84,478.577,210.94,-4.6787255063,1.977807,0.089076,12.0475,7.5188,57.1646,0.17504,0.239948,20.231495,30,0.000729,101.0552,0.005128,0
9,0.384,226.22,557.649,210.94,-3.8880330494,2.052146,0.095556,15.7174,6.4152,40.4783,0.169957,0.198298,26.342379,32,0.001365,103.5768,0.004883,0
10,0.4267,239.87,590.5487,210.94,-3.9558659293,2.094092,0.125292,15.0008,6.0515,35.6077,0.150346,0.190083,23.564585,39,0.000511,79.454,0.004639,0
11,0.4693,273.4,644.7131,210.94,-2.9072360828,2.130919,0.118076,16.8933,5.4998,28.869,0.15464,0.163946,12.286356,35,0.000892,91.7608,0.004273,0
12,0.512,225.42,607.3958,210.94,-3.5392066236,2.142998,0.103359,13.0574,5.8938,33.7187,0.164275,0.221564,23.283995,42,0.001226,78.0417,0.004517,0
13,0.5547,204.3,592.2532,210.94,-4.0192270401,2.179873,0.091934,11.0283,6.0753,36.0204,0.172754,0.231971,23.47089,44,0.000888,92.4099,0.005738,0
14,0.5973,226.5,634.1316,210.94,-3.8546415884,2.177175,0.096682,12.9825,5.6278,30.5746,0.169109,0.229417,25.662744,36,0.001034,91.5469,0.005494,0
15,0.64,241.83,669.348,210.94,-3.5540406243,2.236585,0.08903,14.0271,5.3041,26.8696,0.175077,0.221195,2.91162,28,0.001013,99.8092,0.004639,0
