frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-0.183343,1.559413,1.737282,-0.742786,-1.878075,0.619078,2.495165,0.698927,-0.386027,-0.710866,0.822667,0.231102,-1.379676,-2.903960,2.954844,-1.138955
1,0.042700,0,-1.108486,1.150012,1.713417,-0.875048,-1.688058,-0.934162,0.587223,1.184758,0.205290,1.010844,0.145691,0.668796,-0.584146,-1.220688,0.364155,-0.509801
2,0.085300,0,-0.930957,1.269076,1.713417,-0.758229,-1.077574,-1.902264,-0.422727,1.027928,-0.028510,2.353680,0.730583,1.449835,-0.385264,-0.647164,-0.059925,0.396591
3,0.128000,0,1.312968,2.038475,1.725350,-0.652121,-0.502482,-1.467662,-0.195418,0.084478,-0.926545,1.718148,0.437113,-0.637757,-0.385264,-0.242666,-0.063806,0.428560
4,0.170700,0,-1.494293,0.903436,-1.818271,-1.030011,-1.730310,-1.672081,-0.082697,1.486082,0.703457,2.009793,-0.072514,0.163730,-2.771852,-0.281134,0.056853,-0.648419
5,0.213300,0,-2.338775,0.272063,-2.188143,-0.902209,-2.328990,-1.249322,-0.447505,2.339424,2.270636,1.419772,-0.513702,-1.512432,-0.385264,-1.276642,-0.692992,-1.458905
6,0.256000,0,-1.720777,0.739592,-2.116557,0.039430,-1.626606,0.055381,-0.677017,1.636906,0.882598,-0.134687,-0.541650,-1.187680,-1.578558,-1.149581,-1.120074,-1.330942
7,0.298700,0,-0.821840,1.216313,1.677619,0.536180,-1.075823,-0.796984,-0.264282,1.013661,-0.048982,0.840180,-1.268277,1.619167,-2.175205,-0.396538,-0.727197,-1.128299
8,0.341300,0,-1.491084,0.849795,-2.104624,0.762239,-1.211936,1.371030,-1.045239,1.466666,0.595868,-1.410965,-1.495038,-0.466645,0.012501,-0.373224,-1.386358,-1.224293
9,0.384000,0,-0.795300,1.207219,1.653754,0.449742,-0.865506,-0.298901,-0.983019,1.002397,-0.066357,0.253857,-1.935989,0.439246,-0.783028,-0.353407,-1.052491,-1.202980
10,0.426700,0,-1.205063,0.995801,1.641821,0.760729,-1.391762,0.153438,-1.042159,1.256522,0.277365,-0.238412,-1.586361,0.899645,-0.783028,-0.490960,-1.268764,-1.245605
11,0.469300,0,-1.825103,0.582028,-2.176220,0.739239,-1.613653,-0.060131,-0.830456,1.791269,1.150625,-0.010387,-1.727677,-0.286813,0.410266,-0.122598,-0.875041,-1.426936
12,0.512000,0,-1.820936,0.613391,-2.140422,-0.764233,-1.864066,-0.717843,-0.605154,1.734844,1.061336,0.743566,-0.041785,-1.420820,0.211384,0.692226,-0.677077,-1.245605
13,0.554700,0,-2.037588,0.412745,-2.164288,-0.605472,-2.445988,-0.487717,-0.388999,2.010746,1.581664,0.470220,-0.916130,0.445410,0.211384,-1.288299,-0.649815,-1.245605
14,0.597300,0,-0.665268,1.215406,1.617966,-0.297703,-1.556567,0.178639,0.152802,0.947152,-0.103480,-0.264865,-0.952869,0.120180,-0.783028,-0.829013,-0.451465,-0.691131
15,0.640000,0,-0.720805,1.254563,1.606033,-1.217760,-1.162833,-1.623979,-0.399265,0.912718,-0.151623,1.940011,0.673584,0.683021,-1.976323,-0.629678,-0.210722,-0.104602
16,0.682700,0,-1.573495,0.754688,-2.044971,-0.594784,-1.666832,-0.404703,-0.641236,1.508931,0.673332,0.374174,0.010858,0.973180,-2.175205,-1.465486,-0.646985,-0.840406
17,0.725300,0,-1.729318,0.693079,-2.128490,-1.333389,-1.472682,-1.613034,-0.937975,1.590350,0.810081,1.924272,0.328339,-2.033666,-0.783028,-0.210026,-0.333397,-1.032306
18,0.768000,0,-1.653406,0.682683,-2.116557,-0.311019,-1.436943,-0.918446,-0.700480,1.575761,0.783536,0.991028,-0.277442,0.527537,0.808031,-0.677472,-0.692394,-0.861719
19,0.810700,0,-0.505612,1.264914,1.582168,0.119399,-0.668758,-0.300585,-0.903681,0.818642,-0.284551,0.255753,-0.879443,0.742889,-1.578558,-0.527097,-1.070314,-0.829750
20,0.853300,0,-0.112682,1.418761,1.570235,-0.162135,-1.028890,-0.310183,-0.247037,0.616328,-0.496632,0.266562,-0.211704,0.558902,2.399090,-0.220517,-0.325186,0.300597
21,0.896000,0,0.431780,1.637783,1.558303,-1.328110,-1.044653,-0.883927,0.269917,0.355552,-0.709678,0.947888,1.284718,-1.844892,0.211384,-0.123764,0.771858,1.100427
22,0.938700,0,0.173256,1.495716,1.558303,-0.843408,-0.877363,-0.745683,-0.297180,0.486959,-0.618258,0.777319,-0.103664,0.159678,-1.180793,-0.267145,-0.340845,0.183292
23,0.981300,0,0.074763,1.471087,1.546380,0.187359,-0.786330,-0.251248,-0.817779,0.522037,-0.588254,0.200287,-0.207610,0.565574,0.012501,-0.697289,-0.764593,-0.563169
24,1.024000,0,-0.606272,1.161368,1.534448,0.764859,-1.142668,0.854312,-0.589386,0.875817,-0.217021,-0.937658,-1.184642,1.459105,-1.379676,0.009126,-1.011056,-0.701788
25,1.066700,0,-0.716472,1.128586,1.522515,0.143230,-0.840331,-0.249957,-0.840204,0.918082,-0.166304,0.198770,-0.437704,0.853102,0.012501,-1.091296,-0.931360,-0.979024
26,1.109300,0,-1.288849,0.825834,-0.923424,-0.645318,-1.173672,-0.616980,-0.716813,1.284091,0.326112,0.622395,-0.451927,-1.127506,-1.180793,-0.742751,-0.819374,-1.042962
