frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,1.399599,0.143478,1.387295,-0.876030,-0.832636,5.178653,0.939498,0.307477,-0.132814,-4.116607,0.275902,0.351468,0.098899,-2.327923,0.704090,0.908720
1,0.042700,0,0.810168,0.006414,1.165526,-0.664555,-0.186354,1.752520,0.438636,-0.059089,-0.285242,-1.709485,0.695635,0.299402,-1.641509,0.889176,0.070496,1.452132
2,0.085300,0,1.233512,-0.238151,1.165526,-0.142698,0.179250,1.805366,0.351382,-0.213192,-0.259302,-1.753467,-0.355874,0.579462,1.065793,0.664564,0.226181,1.754247
3,0.128000,0,1.028140,-0.211445,1.165526,-0.047251,0.550708,0.608180,0.080162,-0.442372,-0.342980,-0.683481,-0.142336,0.550209,-0.287858,-0.617596,-0.096110,1.331484
4,0.170700,0,0.590842,-0.071968,1.165526,-0.454582,0.587365,0.217464,-0.209718,-0.220936,-0.175870,-0.296542,0.416356,0.496200,0.292278,-0.570802,-0.118574,1.090187
5,0.213300,0,0.582172,-0.069983,1.165526,-0.210352,0.735831,0.025518,-0.263967,-0.403808,-0.370698,-0.098477,0.361589,0.528221,0.485657,-1.113614,0.019186,1.210835
6,0.256000,0,0.617394,-0.010983,1.165526,-0.304310,0.440963,-0.732355,0.045081,-0.271551,-0.351106,0.741915,0.350989,0.412756,-1.448131,-1.020026,0.111472,1.572780
7,0.298700,0,0.846339,-0.071613,1.165526,0.756801,0.692893,0.102502,-0.169332,-0.296936,-0.257865,-0.178534,-0.114379,0.507139,2.032687,-1.104255,-0.059305,1.572780
8,0.341300,0,0.510373,0.014749,1.165526,-0.532257,0.668077,-0.256287,-0.054453,-0.255705,-0.342998,0.202574,0.261643,0.445941,0.098899,-0.633974,0.117363,1.452132
9,0.384000,0,1.069864,-0.114482,1.165526,-0.037563,0.651580,1.105554,0.219994,-0.425039,-0.333389,-1.147609,-0.795581,-0.067279,1.065793,-0.250262,-0.134942,1.512456
10,0.426700,0,1.172415,-0.063669,1.165526,0.105049,0.625837,1.213950,0.530511,-0.178371,-0.189802,-1.244863,-0.954806,-0.109141,-2.028267,-1.261016,0.051883,1.512456
11,0.469300,0,1.199509,-0.114366,1.165526,0.648172,0.713869,0.914895,0.360801,-0.471449,-0.340746,-0.973166,-1.090934,0.715724,1.259172,-0.867945,0.055850,1.512456
12,0.512000,0,1.215224,-0.075877,1.165526,0.416095,0.725971,1.303036,0.528764,-0.413141,-0.334426,-1.323733,-1.318064,0.628205,-1.448131,-1.193164,-0.061721,1.452132
13,0.554700,0,0.614278,0.163700,1.165526,-0.598453,0.868079,0.546837,0.582455,0.042604,-0.179151,-0.624081,-0.591415,0.489903,0.292278,-0.636314,0.593752,1.391808
14,0.597300,0,1.442001,-0.038632,1.165526,0.250888,1.128760,1.744860,1.261434,-0.313500,-0.269026,-1.703061,-1.998144,0.805203,-0.287858,-0.423400,0.269891,1.452132
15,0.640000,0,1.328883,0.048244,1.165526,0.090015,1.741712,2.087042,1.279880,-0.249602,-0.259871,-1.983554,-2.180067,0.810085,0.098899,-1.431814,-0.116152,1.452132
16,0.682700,0,1.304905,0.047535,1.165526,-0.278563,1.701835,2.285232,1.333129,-0.229500,-0.213371,-2.141097,-2.220574,-0.038284,0.292278,-1.296111,-0.022994,1.391808
17,0.725300,0,0.989666,0.098987,1.165526,0.136797,1.101105,1.629062,1.057909,-0.052832,-0.127254,-1.605511,-1.442684,-0.316011,0.292278,-0.814132,0.076634,1.391808
18,0.768000,0,1.290274,-0.113970,1.165526,0.154299,0.885816,2.277186,0.689168,-0.473398,-0.339518,-2.134771,-1.759666,0.151334,-0.867994,-0.786055,-0.153203,1.452132
19,0.810700,0,0.283596,0.052233,1.165526,-0.038836,1.057682,0.421512,0.001239,-0.406577,-0.441855,-0.501229,-0.021161,-0.715665,0.679036,0.191943,-0.567000,1.391808
20,0.853300,0,0.649094,-0.039122,1.165526,0.469596,1.086369,0.967484,-0.232658,-0.508065,-0.414778,-1.021792,-0.467650,-0.414293,0.485657,-0.746280,-0.316915,1.391808
21,0.896000,0,0.874923,-0.104299,1.165526,-0.004655,0.848408,0.530552,0.246745,-0.486680,-0.383193,-0.608267,-0.668771,0.807428,0.098899,-0.835189,-0.066828,1.391808
22,0.938700,0,1.211837,-0.206796,1.165526,0.498388,0.767418,0.469788,0.344912,-0.502578,-0.323215,-0.548769,-0.991255,0.237147,-0.287858,-0.977911,0.068946,1.391808
23,0.981300,0,0.115884,0.048324,0.943569,-0.213597,0.775569,-0.896945,0.021786,-0.305038,-0.421185,0.938201,0.623138,-0.873797,0.679036,0.701999,-0.010901,1.452132
24,1.024000,0,0.354446,-0.029192,0.943569,-0.106875,0.847964,-0.578193,-0.121502,-0.425347,-0.425293,0.562827,0.398492,-0.621379,-1.061373,-0.767337,-0.172802,1.452132
25,1.066700,0,0.756116,-0.112947,0.943569,-0.072745,0.634859,0.024874,-0.075406,-0.309756,-0.296293,-0.097785,-0.079319,-0.183917,-0.674616,-0.397663,0.186072,1.271160
26,1.109300,0,0.310554,-0.066695,0.943569,-0.790316,0.619744,0.090658,-0.192399,-0.400782,-0.419542,-0.166278,0.616730,-0.553038,0.292278,-0.514649,-0.192768,1.331484
27,1.152000,0,0.430174,-0.058598,0.943569,-0.237028,0.397562,-0.868945,0.004974,-0.323756,-0.372355,0.904499,0.651015,1.053733,-0.674616,-0.818811,0.087081,1.331484
28,1.194700,0,0.656139,-0.139980,0.943569,-0.669453,0.417263,-0.233758,-0.045325,-0.185756,-0.212192,0.178063,0.298278,0.737586,-0.094479,-0.687787,0.128347,1.090187
29,1.237300,0,-0.069846,-0.000240,0.943569,-0.278114,0.175875,-1.277233,-0.505308,-0.133243,-0.322574,1.413597,1.164981,-0.901890,-1.641509,0.222359,0.014561,0.848396
30,1.280000,0,0.356614,-0.105582,0.943569,-0.733973,0.253991,-0.351295,-0.354956,-0.150166,-0.260303,0.307042,0.791977,-0.395956,-0.287858,-0.123918,0.067440,0.486451
31,1.322700,0,0.268423,-0.046471,0.943569,-0.767606,0.140616,-1.126032,-0.051238,0.025527,-0.207929,1.220770,0.985995,0.696855,-0.674616,-0.919418,0.349350,0.003364
32,1.365300,0,-0.281857,-0.010921,0.943569,-1.352884,-0.015077,-1.653337,-0.476519,-0.012883,-0.311117,1.916963,1.267518,0.686502,0.098899,-0.137956,0.273347,-0.177609
33,1.408000,0,0.517282,-0.200565,0.943569,-0.601183,-0.015598,-0.392812,-0.121578,-0.254987,-0.328220,0.353099,0.487971,0.802423,-0.094479,0.416555,0.006525,0.184336
34,1.450700,0,0.659661,-0.204589,0.943569,-0.361407,-0.066393,-0.285253,0.079656,0.119732,-0.001617,0.234300,0.121189,0.611065,-0.867994,-0.924098,0.254565,0.727748
