frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,1699.06,2175.1441,2203.12,-2.2577442196,1.060848,0.25966,43.4627,3.3524,13.7254,0.097599,0.185501,10.460319,167,0.0,429.2548,0.025272,0
1,0.0427,1870.51,2218.5242,2203.12,-1.428451094,1.256348,0.239949,41.4921,3.2983,12.9608,0.103314,0.15005,18.418642,156,0.003812,376.1198,0.027469,0
2,0.0853,1881.68,2206.2753,2203.12,-1.1040159095,1.426099,0.212687,37.7908,3.3085,13.0676,0.112043,0.149071,17.839228,167,0.001966,333.7903,0.027469,0
3,0.128,1730.96,2165.2112,2203.12,-1.0262252398,1.491949,0.188372,30.6103,3.3251,13.3438,0.120831,0.172986,13.724151,162,0.001902,302.669,0.027469,0
4,0.1707,1882.68,2210.5712,2214.84,-0.4815517275,1.674811,0.179526,32.9673,3.2734,12.579,0.124312,0.163197,19.841182,168,0.001425,309.6119,0.027591,0
5,0.2133,1870.44,2192.4614,2203.12,-0.5792631021,1.675676,0.184705,31.6291,3.2967,12.7891,0.122253,0.165751,19.755435,164,0.000601,317.5866,0.027469,0
6,0.256,1749.45,2176.1029,2203.12,-1.2444779865,1.457934,0.182367,30.9123,3.3337,13.4918,0.123176,0.176591,14.317725,162,0.001311,354.9609,0.027469,0
7,0.2987,1760.17,2158.0013,2203.12,-1.1622366075,1.535466,0.191971,29.8854,3.3235,13.3059,0.119461,0.172919,15.667089,149,0.000716,312.1274,0.027591,0
8,0.3413,1841.37,2166.4424,2203.12,-0.6961986227,1.665345,0.179139,30.4031,3.3139,13.071,0.124468,0.166682,20.298868,168,0.000803,282.5221,0.027591,0
9,0.384,1868.9,2171.8808,2203.12,-0.7320923048,1.620741,0.180447,30.8676,3.3111,12.9632,0.123942,0.164218,20.603771,189,0.000492,303.4439,0.027469,0
10,0.4267,1768.11,2128.9224,2203.12,-1.6466316037,1.256095,0.199824,31.8676,3.3568,13.6032,0.116559,0.168347,17.387794,169,0.00087,342.1074,0.027469,0
11,0.4693,1757.74,2109.5945,2203.12,-1.425660963,1.154431,0.200638,32.1711,3.3474,13.3932,0.116264,0.167968,18.929221,175,0.000819,336.136,0.027469,0
12,0.512,1663.77,2077.2402,2203.12,-1.4085789077,1.111072,0.189931,30.5095,3.3907,13.9879,0.120234,0.177795,19.896783,178,0.001044,343.2669,0.027469,0
13,0.5547,1631.13,2055.0076,2203.12,-1.8135056602,1.061816,0.195815,32.6582,3.42,14.2566,0.118026,0.17965,19.153208,177,0.001106,365.3564,0.027591,0
14,0.5973,1614.59,2044.8058,2203.12,-1.552842444,1.010894,0.192894,31.7601,3.4423,14.4846,0.119113,0.185585,20.133431,194,0.001214,382.4823,0.027469,0
