frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,600.32,597.9889,1101.56,-8.0493193733,1.191057,0.204929,30.0775,2.5102,15.6348,0.114733,0.300622,4.859648,140,0.0,277.7702,0.010133,0
1,0.0427,498.86,523.2776,1101.56,-6.8363397779,1.360766,0.200324,27.2337,1.301,3.1207,0.116378,0.247633,15.577425,164,0.002954,266.7133,0.011842,0
2,0.0853,389.3,473.2512,1089.84,-6.7629667206,1.271302,0.157314,27.9975,1.5098,2.9527,0.133872,0.225198,-5.349943,160,0.002522,226.8332,0.013918,0
3,0.128,451.27,530.5884,1089.84,-6.548397663,1.317886,0.133419,29.3172,1.9897,7.0081,0.145797,0.253652,-2.664896,169,0.00192,302.0336,0.014162,0
4,0.1707,571.24,644.8073,1101.56,-6.8181349873,1.297494,0.123721,27.7526,3.2676,22.888,0.15126,0.315086,16.731606,167,0.002198,339.3305,0.012819,0
5,0.2133,528.76,560.8945,1101.56,-6.3432613017,1.309289,0.129548,24.973,2.0168,7.047,0.147928,0.296388,15.515209,162,0.001405,313.1037,0.011354,0
6,0.256,455.75,498.6977,1101.56,-6.3046762353,1.37072,0.132457,21.233,1.462,3.7151,0.146321,0.261408,17.346034,155,0.002127,289.2633,0.012209,0
7,0.2987,475.32,483.5594,1101.56,-6.8130737687,1.361345,0.139669,21.3861,1.2256,2.4955,0.142483,0.275082,-0.445327,137,0.001816,235.9901,0.014894,0
8,0.3413,504.28,493.1863,1101.56,-6.9738768828,1.350238,0.119199,19.0386,1.1829,2.4908,0.153955,0.290356,19.9773,156,0.001516,252.5338,0.015627,0
9,0.384,510.93,516.0272,1101.56,-6.7871748756,1.330612,0.128982,20.6656,1.3654,3.4828,0.148245,0.290773,16.595208,158,0.001908,258.2493,0.012819,0
10,0.4267,616.31,531.3634,1101.56,-6.1479568508,1.301872,0.1321,22.0651,1.685,9.3211,0.146516,0.298286,7.697152,159,0.002436,295.214,0.015016,0
11,0.4693,519.33,530.4591,1101.56,-6.6086837269,1.304071,0.121408,18.9878,1.3806,3.6252,0.152626,0.294639,0.986862,152,0.0022,258.2688,0.016359,0
12,0.512,551.25,530.0534,1101.56,-6.2211168261,1.288108,0.131478,19.7234,1.202,3.0052,0.146858,0.288117,1.545528,145,0.00133,272.7995,0.01465,0
13,0.5547,662.01,737.9089,1101.56,-6.1952295811,1.26935,0.126557,32.31,2.8852,14.005,0.149619,0.303229,14.321984,138,0.00207,451.7328,0.015993,0
14,0.5973,709.35,724.3911,1101.56,-6.1027518272,1.247644,0.149058,32.7697,2.2004,7.3889,0.137774,0.305468,15.430676,156,0.002135,357.5913,0.017336,0
15,0.64,715.79,655.6927,1101.56,-5.9919293451,1.26929,0.148819,31.4491,1.9115,6.278,0.13789,0.292118,7.002919,152,0.002202,353.1323,0.018069,0
