frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,2743.07,2405.2212,5718.75,-3.4951266159,0.957344,0.291962,43.0346,0.6272,-0.8094,0.089112,0.361811,8.384075,170,0.0,680.1539,0.045049,0
1,0.0427,2624.18,2352.7247,5507.81,-3.2875225326,1.133455,0.23486,41.5412,0.7505,-0.5841,0.104865,0.315451,12.439847,162,0.004482,691.8508,0.041875,0
2,0.0853,2396.19,2338.5014,5496.09,-3.0901155384,1.064973,0.243639,35.7532,0.8893,-0.3617,0.102209,0.317466,10.180293,180,0.00339,614.117,0.038091,0
3,0.128,2387.1,2323.1555,5496.09,-2.8312868688,1.041968,0.26299,33.9618,0.9133,-0.3275,0.096677,0.30034,12.050125,179,0.002827,544.3275,0.036503,0
4,0.1707,2316.48,2302.2438,5496.09,-2.6629430083,1.094493,0.262314,33.1735,0.9517,-0.2373,0.096863,0.305935,11.384353,164,0.002652,561.34,0.035649,0
5,0.2133,2170.56,2250.7161,5074.22,-3.262039705,0.958384,0.270023,30.6329,1.0543,-0.0148,0.094767,0.330843,8.637253,166,0.003336,543.6785,0.036137,0
6,0.256,2211.19,2228.1433,5074.22,-3.4997724353,0.867404,0.264723,32.3546,1.0359,-0.043,0.096201,0.328609,8.467095,161,0.003379,557.5615,0.037358,0
7,0.2987,2169.01,2189.3291,5062.5,-3.6104972676,0.759935,0.254927,32.2184,1.0688,0.044,0.098931,0.340021,9.826743,163,0.003667,578.8853,0.035405,0
8,0.3413,2254.7,2214.0269,5062.5,-3.2842779307,0.86204,0.263328,34.1834,0.9473,-0.1851,0.096584,0.334446,10.351492,165,0.003482,605.3925,0.035161,0
9,0.384,2449.98,2197.5311,5472.66,-3.0882892042,0.902183,0.274841,39.6823,0.8679,-0.2496,0.093486,0.317852,14.064797,189,0.003338,620.7434,0.038579,0
10,0.4267,2376.59,2193.3106,5074.22,-2.9838191967,0.929325,0.262903,36.424,0.8699,-0.266,0.096701,0.330486,9.927959,173,0.002953,580.41,0.040532,0
11,0.4693,2405.21,2195.9698,5074.22,-2.5192979079,1.123459,0.24441,32.5243,0.8475,-0.346,0.10198,0.331929,10.159958,188,0.003213,596.5906,0.039311,0
12,0.512,2192.62,2190.8888,5062.5,-3.008556557,1.032626,0.199631,29.3167,0.9483,-0.1637,0.116629,0.358637,12.821866,187,0.002631,574.8128,0.040166,0
13,0.5547,2405.36,2187.6423,5074.22,-2.3636286419,1.158317,0.216108,28.3525,0.8213,-0.3971,0.110888,0.340561,17.459895,174,0.002478,546.9158,0.042486,0
14,0.5973,2495.02,2170.8649,5472.66,-1.8622657735,1.151967,0.2322,26.3326,0.7798,-0.4389,0.10569,0.335883,13.676416,143,0.001938,503.4424,0.041753,0
15,0.64,2347.86,2165.7908,5062.5,-2.3949193311,1.15161,0.225415,23.2633,0.8387,-0.348,0.107836,0.358015,15.941653,165,0.001984,559.5302,0.041021,0
16,0.6827,2300.92,2153.4284,5062.5,-2.4821987328,1.147072,0.20942,24.0504,0.8597,-0.2891,0.113164,0.36793,8.839061,156,0.002001,507.5244,0.044195,0
17,0.7253,2279.23,2138.8854,5050.78,-2.3509033492,1.231864,0.221192,21.2377,0.875,-0.2634,0.109205,0.37638,12.515776,180,0.001952,490.247,0.04566,0
18,0.768,2201.17,2131.1774,4851.56,-2.2215617315,1.19547,0.213476,18.8953,0.8926,-0.2304,0.111775,0.383756,15.497196,173,0.0022,503.3806,0.04566,0
19,0.8107,2358.14,2111.0528,5050.78,-2.1501926698,1.279546,0.227926,19.7074,0.8173,-0.3497,0.107034,0.378779,12.502807,168,0.002078,456.6588,0.047003,0
20,0.8533,2344.37,2093.3525,5050.78,-2.7064859063,1.202848,0.191173,21.8882,0.8229,-0.3241,0.119762,0.384319,10.770283,176,0.001342,552.2828,0.047491,0
21,0.896,2215.91,2053.2553,4839.84,-4.1442155222,1.037122,0.205212,25.9856,0.9097,-0.1235,0.114633,0.402372,12.068217,187,0.002282,564.0975,0.048468,0
22,0.9387,2246.89,2029.5235,4839.84,-3.8159981548,1.020899,0.211297,23.8988,0.8939,-0.1474,0.112518,0.401723,11.090325,191,0.00219,572.2847,0.049689,0
23,0.9813,2182.5,2039.6364,4828.12,-3.6893834143,1.14242,0.193568,21.1643,0.9214,-0.073,0.118861,0.411678,10.354648,165,0.002216,547.0009,0.047735,0
24,1.024,2105.67,2028.3566,4406.25,-3.9541758987,1.134971,0.178052,19.8177,0.9403,-0.0758,0.124909,0.415021,12.553494,185,0.00281,562.2454,0.045172,0
25,1.0667,2159.8,2028.8277,4828.12,-3.8726947465,1.571941,0.16281,20.9281,0.9038,-0.1368,0.131387,0.412298,14.975401,167,0.002871,559.904,0.046148,0
26,1.1093,2320.67,2018.2788,4839.84,-3.873251683,1.356261,0.167757,21.0631,0.8156,-0.2583,0.12922,0.407459,11.07284,178,0.002421,572.3796,0.050177,0
27,1.152,2260.94,2019.7722,4828.12,-4.1920546222,1.435931,0.160013,20.9582,0.8429,-0.1999,0.132641,0.41385,11.716386,193,0.002331,599.3564,0.050665,0
28,1.1947,2280.29,1992.4815,4828.12,-4.1937083018,1.388775,0.173858,22.4806,0.8287,-0.2025,0.126634,0.414648,8.949808,172,0.00213,639.9611,0.048956,0
29,1.2373,2281.24,1986.2652,4429.69,-4.1500540134,1.167117,0.192166,23.7397,0.826,-0.1706,0.119387,0.411969,16.191859,186,0.002941,613.4064,0.050543,0
