frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,575.79,488.9491,1101.56,-7.4813764023,1.339071,0.217222,19.5565,1.2513,5.1705,0.110516,0.398042,4.769151,31,0.0,199.9382,0.016359,0
1,0.0427,569.44,499.9457,1101.56,-6.3765249735,1.41151,0.197633,19.9916,0.6682,0.3989,0.117357,0.362805,4.194891,38,0.002739,164.1137,0.018801,0
2,0.0853,561.09,509.9808,1101.56,-6.0558804104,1.348032,0.15627,18.9668,0.7799,0.8757,0.134354,0.37507,3.791788,36,0.001824,186.5494,0.018679,0
3,0.128,655.83,500.6788,1101.56,-5.7042117886,1.302752,0.137524,20.1965,0.89,2.6109,0.143604,0.356631,16.36816,40,0.002179,208.8932,0.018801,0
4,0.1707,637.42,520.8414,1101.56,-5.2555781702,1.281672,0.128281,16.4494,0.8209,1.5558,0.148639,0.367802,15.541217,42,0.001689,240.303,0.019778,0
5,0.2133,686.63,529.2923,1101.56,-4.3102940321,1.290879,0.132228,15.3078,0.929,2.7566,0.146446,0.356049,9.668996,46,0.001295,219.7965,0.019778,0
6,0.256,740.02,535.2741,1101.56,-4.1397059999,1.320563,0.137129,15.6955,0.8943,2.3626,0.143812,0.337044,12.91746,37,0.001269,227.2103,0.019412,0
7,0.2987,758.3,552.2674,1101.56,-3.6410979683,1.36618,0.132793,16.8836,0.9165,2.3564,0.146137,0.334464,11.822349,43,0.00119,235.7869,0.02051,0
8,0.3413,750.3,570.9857,1101.56,-3.4632993857,1.423966,0.141423,15.6628,0.9044,1.9852,0.14158,0.337871,10.621984,33,0.001489,228.9288,0.019412,0
9,0.384,831.43,572.2134,1113.28,-3.0867931396,1.4917,0.149612,19.0694,0.9374,2.1938,0.137505,0.309476,15.092848,38,0.001429,225.6934,0.018801,0
10,0.4267,766.35,610.6928,1113.28,-2.983865899,1.571891,0.151085,16.5684,0.9031,1.7191,0.136796,0.33146,19.09545,45,0.002053,203.364,0.018557,0
11,0.4693,811.72,628.0058,1148.44,-3.1102029235,1.631204,0.145899,17.6826,0.9344,1.8748,0.139325,0.319675,20.706637,43,0.001807,236.3743,0.018191,0
12,0.512,891.92,628.6353,1535.16,-2.90033856,1.703727,0.174739,19.2778,0.9625,2.0794,0.126269,0.293906,21.277487,45,0.001766,218.0834,0.018557,0
13,0.5547,897.87,666.1995,1535.16,-2.7865199916,1.82382,0.160103,20.7499,1.0824,2.7064,0.1326,0.296948,22.692179,46,0.001511,260.6096,0.018923,0
14,0.5973,914.36,694.3508,1535.16,-2.3334945753,1.914359,0.15137,20.836,1.095,2.7742,0.13666,0.298187,20.047274,44,0.001345,253.0777,0.019656,0
15,0.64,978.83,706.7856,1546.88,-2.186641167,2.127875,0.160112,21.3351,1.0932,2.6995,0.132596,0.285181,21.930506,48,0.001263,277.1591,0.020144,0
16,0.6827,1016.31,716.0266,1546.88,-2.0905336401,2.27726,0.175287,21.0667,0.9736,1.8391,0.126042,0.279056,20.877182,47,0.001232,224.6777,0.019778,0
17,0.7253,1016.04,745.7962,1546.88,-1.852740871,2.119728,0.172218,21.081,0.9266,1.5319,0.12732,0.286428,24.525965,46,0.001579,256.5402,0.019778,0
18,0.768,1105.45,744.7935,1558.59,-1.2626944889,1.973827,0.186446,22.4572,0.9467,1.5521,0.121574,0.269584,15.885158,39,0.001871,260.9562,0.020266,0
19,0.8107,1061.87,797.7628,1746.09,-1.6861419706,1.858777,0.179287,20.7233,0.889,1.177,0.124409,0.292157,23.737653,53,0.00213,254.0926,0.020754,0
20,0.8533,1178.65,791.7234,2191.41,-1.2997971384,1.804283,0.191331,22.8087,0.9125,1.2676,0.119703,0.271282,16.138646,50,0.00223,269.8168,0.021487,0
21,0.896,1178.02,834.1651,2203.12,-1.8757264447,1.762397,0.196406,21.4685,0.8985,1.2277,0.117808,0.281444,14.465052,48,0.001726,262.4134,0.021487,0
22,0.9387,1319.02,827.2868,2214.84,-0.8659981444,1.779449,0.182742,23.1447,0.9502,1.3786,0.123027,0.272454,23.489315,43,0.00197,279.7942,0.021853,0
23,0.9813,1279.79,885.1393,2214.84,-0.9994987623,1.804212,0.18149,21.1401,0.8135,0.8701,0.123525,0.29443,20.474063,40,0.001905,261.6967,0.021365,0
24,1.024,1328.07,907.6554,2402.34,-0.7206193502,1.904811,0.187781,19.8032,0.7825,0.7818,0.121058,0.304744,21.088741,52,0.001395,276.093,0.023196,0
25,1.0667,1319.18,950.8773,2414.06,-1.6818943586,1.931418,0.17149,19.3533,0.7663,0.6791,0.127627,0.326222,9.34082,47,0.001593,315.6594,0.025882,0
