frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,283.89,399.6357,515.62,-6.912038587,1.268624,0.189149,27.5727,1.7472,2.5168,0.120533,0.189165,9.705892,132,0.0,125.9792,0.004761,0
1,0.0427,411.59,579.7103,1312.5,-7.0004330577,1.403622,0.157695,32.0381,2.7255,13.6147,0.133697,0.222633,12.112246,148,0.002622,221.5505,0.009401,0
2,0.0853,479.38,884.3083,1312.5,-6.0695329957,1.501913,0.140963,41.398,11.2716,306.0875,0.141816,0.2461,10.40971,171,0.000924,311.5696,0.015993,0
3,0.128,620.98,1759.5859,1312.5,-4.9778559634,1.716319,0.124468,41.4514,15.9372,328.2143,0.150824,0.259353,11.192529,144,0.000998,371.5596,0.013918,0
4,0.1707,330.19,459.6864,527.34,-5.9838517052,1.863814,0.110992,24.8358,1.6233,2.1036,0.159118,0.210518,16.933982,139,0.001558,177.3154,0.007936,0
5,0.2133,302.67,431.6486,457.03,-5.8814323126,1.92325,0.115622,22.1439,1.6995,2.1339,0.15616,0.190672,18.827124,146,0.001512,152.0136,0.005128,0
6,0.256,336.4,449.1796,515.62,-6.0808663367,1.874146,0.122046,23.3515,1.5649,1.738,0.152246,0.195008,16.235671,155,0.000686,147.545,0.005372,0
7,0.2987,321.57,450.2216,457.03,-6.3024345758,1.90278,0.110575,21.9537,1.7249,2.5731,0.15939,0.218579,11.112386,166,0.000605,159.9034,0.007813,0
8,0.3413,400.74,713.9537,1300.78,-5.3658426091,1.888753,0.107686,29.3768,23.5696,1104.9427,0.161307,0.217287,17.343814,155,0.00069,234.692,0.010133,0
9,0.384,405.24,534.469,1312.5,-6.0056503782,1.818082,0.109204,30.8903,2.384,10.3645,0.160294,0.221852,15.96204,137,0.000384,253.4176,0.010621,0
10,0.4267,318.23,438.1438,468.75,-6.0534215314,1.930599,0.12369,24.8021,1.6176,1.9376,0.151277,0.197169,16.982283,147,0.000852,138.4906,0.005982,0
11,0.4693,269.19,411.6925,445.31,-5.2326036481,1.839836,0.117635,20.4489,1.7829,2.2074,0.154911,0.165497,17.15169,152,0.001157,117.3359,0.003785,0
12,0.512,300.24,433.3672,457.03,-5.7542842698,1.926592,0.107943,21.9713,1.647,1.7288,0.161135,0.18472,13.815044,148,0.000634,150.1685,0.005616,0
13,0.5547,355.56,473.2902,796.88,-5.6966633152,1.938539,0.110348,26.6792,1.7867,4.3776,0.159539,0.201858,16.247535,148,0.000761,184.6154,0.008546,0
14,0.5973,452.78,853.838,1312.5,-5.415061933,1.994196,0.100582,32.6266,24.9243,1232.1332,0.166246,0.22826,11.882449,148,0.000863,276.7175,0.012453,0
15,0.64,496.0,893.9443,1312.5,-5.3217781221,1.948016,0.110999,35.2656,14.26,385.878,0.159114,0.230392,16.721877,146,0.000702,286.2119,0.013674,0
16,0.6827,548.61,1079.3047,1312.5,-4.9132882668,1.919577,0.114937,38.9063,18.4368,554.7719,0.15659,0.239647,14.192762,144,0.000592,308.8579,0.013185,0
