frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-2.120714,-4.554752,0.093250,-7.438111,-6.767784,5.911164,6.894146,0.832396,0.914659,-5.312486,1.811205,-3.144040,-0.881381,-1.982476,5.906775,-10.530395
1,0.042700,0,-0.951414,-1.077762,0.093250,-2.913224,-4.904223,3.605730,4.575241,0.460831,1.308320,-3.437079,-0.277574,0.719137,0.794688,6.733613,3.854709,-0.028891
2,0.085300,0,-0.991762,-1.097773,0.093250,-1.098034,-2.641360,0.943976,2.353306,-0.366429,1.290673,-0.987597,-0.207290,0.549169,0.980918,3.165424,2.735208,0.390894
3,0.128000,0,-1.812613,-3.036045,0.093250,-1.200957,-1.071400,-1.055343,0.965200,3.405313,3.225041,1.108162,1.172520,-0.086881,-2.184990,2.247829,2.341100,-0.028891
4,0.170700,0,-0.757743,-0.672558,0.093250,-0.901398,-1.050696,-0.439641,-0.074173,0.923535,0.913980,0.435509,0.514617,0.534496,0.608458,0.938500,1.612350,-0.028891
5,0.213300,0,-1.920032,-2.251183,0.093250,-0.639008,-0.274275,-0.781979,-0.715825,2.879513,2.941334,0.806145,1.954119,0.284153,0.980918,1.289783,-0.683758,0.390894
6,0.256000,0,-0.934878,0.221773,0.093250,-0.492259,-0.012135,-0.340074,-0.544896,0.551970,0.833212,0.329199,1.006380,0.633295,1.912067,0.120967,0.475667,-0.028891
7,0.298700,0,-0.649795,0.450886,0.093250,-0.109171,0.214365,-0.042217,-0.511713,0.537948,0.642490,0.014618,0.632413,0.303405,-0.881381,-0.421926,-0.901144,-0.028891
8,0.341300,0,-0.234012,0.651511,0.093250,-0.196797,-0.909020,0.230771,-0.418991,0.271543,0.154486,-0.268554,0.350445,0.826304,0.608458,-0.798757,-1.145293,0.390894
9,0.384000,0,-1.076559,-0.022520,0.093250,-0.080491,-0.247448,0.079591,-0.866987,-0.254258,0.725294,-0.112230,1.310894,0.054724,0.049768,0.585087,-0.756283,-0.028891
10,0.426700,0,0.280062,1.234357,0.093250,0.358834,-0.564194,-0.506269,0.362795,-0.597781,-0.667451,0.507027,-0.212132,-1.021632,-0.136462,0.218901,0.092612,-0.028891
11,0.469300,0,0.316441,0.881253,0.093250,1.205534,-1.098519,-0.117479,-0.067870,-1.130592,-0.818128,0.093625,0.003790,-1.491811,0.980918,0.508443,-1.359937,-0.028891
12,0.512000,0,-0.838571,-0.179332,0.093250,-0.008256,0.263873,-0.601238,-0.820483,-0.597781,0.506745,0.609713,1.002219,-2.035644,-0.695151,0.768180,0.577670,-0.028891
13,0.554700,0,0.844274,0.682985,0.093250,0.423754,0.180291,0.349013,0.508991,-0.464578,-1.020388,-0.389844,-0.846656,-0.449004,-0.322691,0.361543,-0.613579,-0.028891
14,0.597300,0,1.267994,0.776278,0.093250,0.791750,0.607598,1.029467,0.418657,0.264532,-1.203644,-1.071679,-1.132937,0.733176,-1.440071,-0.679534,-0.930786,-0.028891
15,0.640000,0,0.294746,1.037537,0.093250,0.444104,0.090941,-0.191239,0.134428,-0.962336,-0.699351,0.171425,-0.272505,0.605351,0.422228,-0.209027,0.667092,0.390894
16,0.682700,0,-0.439721,1.043217,0.093250,0.906494,0.466797,-1.080587,-0.252216,-1.102549,-0.141438,1.136189,0.707767,0.591556,-0.136462,-0.545407,-0.215623,-0.028891
17,0.725300,0,-0.854711,0.732786,0.093250,-0.231379,0.124821,-0.188142,-0.830892,-1.081517,0.128695,0.168042,1.107985,0.482101,0.608458,0.086903,-0.680539,-0.028891
18,0.768000,0,-1.783113,-0.770024,0.093250,-0.478679,-0.282764,-1.015929,-1.179721,0.124319,1.527548,1.064189,2.061550,0.735395,0.422228,-0.053610,0.783043,0.390894
19,0.810700,0,0.434178,1.472751,0.093250,-0.482792,-0.560155,1.411219,-0.488652,-1.067496,-1.020388,-1.443039,-0.301859,0.796288,-0.881381,1.110948,-0.618388,0.390894
20,0.853300,0,0.275167,0.973976,0.093250,0.414280,0.191069,0.016059,-0.142162,-1.074506,-0.765866,-0.046027,-0.247387,0.468082,-0.136462,-1.003140,-1.417017,-0.028891
21,0.896000,0,0.031624,0.726916,0.093250,0.005522,1.058049,0.304626,-0.358784,-1.256784,-0.580574,-0.344421,-0.014292,0.812725,-0.508921,-0.734887,-0.293636,-0.028891
22,0.938700,0,0.877743,1.237856,0.093250,-0.119680,0.493311,0.048998,0.158348,-0.485610,-1.088939,-0.080337,-0.811249,0.789764,-0.508921,-0.053610,0.099771,-0.028891
23,0.981300,0,1.715395,0.785793,0.093250,1.015982,0.761456,0.240156,0.809979,1.063749,-1.306810,-0.278218,-1.552070,0.378531,0.422228,-0.343153,0.316812,-0.028891
24,1.024000,0,0.637242,0.763425,0.093250,1.255400,0.214376,-0.925089,0.087350,-0.829133,-0.876498,0.963677,-0.523833,-1.165264,-0.695151,-0.104706,0.517270,0.390894
25,1.066700,0,0.690289,0.520581,0.093250,-0.039948,-0.021963,0.810250,0.709475,0.488874,-0.381707,-0.854951,-1.007349,-0.405154,0.794688,0.044323,-0.345440,-0.028891
26,1.109300,0,1.060698,0.989712,0.093250,0.632823,0.148355,0.970158,0.092125,-0.008884,-0.980343,-1.013450,-1.094656,0.805511,0.422228,-0.647599,-1.070661,-0.028891
27,1.152000,0,-0.299098,0.166965,0.093250,0.390125,1.228356,-0.886708,-0.750727,-0.766037,0.092722,0.921153,0.376243,0.553071,-1.253841,0.025162,-0.194196,0.390894
28,1.194700,0,0.953279,0.579664,0.093250,0.278703,0.595523,1.155497,-0.359643,0.222468,-0.706138,-1.195385,-1.058265,-0.351148,0.980918,-0.004643,-0.463270,-0.028891
