frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-0.349347,-0.208073,-0.257887,-0.473981,1.613680,-0.905797,-0.364099,0.465767,0.676212,0.899472,0.307800,-0.197557,-0.555074,-8.343149,-0.478176,-0.656933
1,0.042700,0,0.927999,0.513264,0.640839,0.389395,-0.029942,0.537954,-0.559017,-0.392294,-0.537763,-0.551304,0.750772,-0.067984,-0.555074,-0.074742,-0.312176,0.014428
2,0.085300,0,-0.045366,-1.739288,-1.285017,-1.219820,1.443181,-1.789804,0.016735,2.872669,2.450381,1.833312,-0.077637,0.892321,0.372715,0.570058,1.037394,0.126271
3,0.128000,0,-0.008664,-0.207308,0.448286,-1.260210,-0.597225,-0.277844,-0.417144,0.333387,0.202595,0.257498,0.648412,0.535012,0.929388,0.431930,-1.042854,1.059209
4,0.170700,0,0.456699,0.344973,0.512434,-0.999927,-0.920641,0.329538,-0.791270,-0.435618,-0.475245,-0.347294,0.907931,-0.928310,0.001600,-1.027769,-0.550603,1.096489
5,0.213300,0,0.595088,0.125516,0.576636,-0.902606,-0.145401,0.404088,-0.610165,0.098714,-0.115486,-0.420343,0.787451,-0.085098,-0.369516,-0.487318,-0.985876,0.312981
6,0.256000,0,1.496884,1.221077,1.154404,0.404971,-0.861903,1.379735,-0.911934,-1.377921,-1.401450,-1.357803,0.920610,-1.115482,0.187157,-0.346777,-0.752985,0.648814
7,0.298700,0,0.145054,-0.662875,-0.514697,-0.776054,1.147109,-0.966427,-0.808835,0.617402,0.385222,0.962320,0.614269,-0.222978,-0.555074,-0.354619,-0.551036,0.424823
8,0.341300,0,0.591850,1.239509,0.961851,0.049162,-0.946364,0.390477,-0.534268,-1.105941,-1.106861,-0.406852,0.349226,-0.166716,0.372715,0.045894,-0.597352,0.536666
9,0.384000,0,-0.195521,0.563537,-0.450494,0.319212,1.597472,-0.989086,-0.272465,0.606571,0.249199,0.986012,-0.060750,0.847153,-0.183958,0.427104,0.182822,0.312981
10,0.426700,0,-1.457323,-2.423817,-2.761510,-0.536625,0.616013,-2.366098,0.391797,2.370830,2.515740,2.462453,-0.423803,0.201706,0.372715,0.463295,0.632200,-0.395967
11,0.469300,0,-0.036730,-0.121737,0.576636,-0.314613,-1.171509,0.439662,0.397463,-0.543929,-0.267801,-0.455222,-0.219155,0.434811,-2.039535,-0.861291,-0.115898,-0.134695
12,0.512000,0,0.192767,1.328663,0.705041,-0.347321,-1.275085,0.687827,0.295856,-1.381531,-1.299339,-0.696744,-0.264349,0.451565,0.187157,-0.620018,0.225976,-0.246538
13,0.554700,0,-1.480100,0.134869,-1.862785,0.380569,-0.858498,-1.289375,0.807459,1.513973,1.273159,1.300253,-0.792268,1.720060,-0.555074,0.004877,0.442485,-1.067328
14,0.597300,0,-1.396225,-1.666721,-2.119540,-1.002332,0.431893,-2.323950,-0.056002,1.808818,1.895492,2.416058,-0.064646,0.035640,-1.668420,0.237705,0.026419,-0.395967
15,0.640000,0,-0.010283,-0.595749,-0.257887,-1.480845,-0.327651,-0.741230,-0.595072,0.352642,0.390527,0.729683,0.373438,0.966975,1.300504,0.638218,-0.560592,0.648814
16,0.682700,0,-0.023129,0.200813,0.319881,-0.458794,-0.632871,0.268908,0.304294,-0.543929,-0.212104,-0.287407,0.046398,1.699991,0.929388,-0.305158,-0.019453,0.350261
17,0.725300,0,-0.468090,-0.424798,-0.386292,-1.228967,-1.289364,-0.368866,0.209827,0.180549,0.477672,0.349631,-0.143190,0.509982,0.558273,-0.392016,0.381224,-0.171976
18,0.768000,0,1.063905,-0.132463,0.576636,-0.638373,0.483543,0.085085,-0.482944,0.080662,-0.092373,-0.105772,0.366524,0.646730,1.300504,0.835458,-0.366764,0.312981
19,0.810700,0,0.196113,0.800494,0.127274,0.002309,-2.193451,0.089184,-0.034660,-0.322494,-0.217787,-0.109721,0.199462,0.301972,-0.740631,0.753425,-0.024971,0.275700
20,0.853300,0,-0.457079,-0.021664,0.127274,1.689280,-0.006441,-0.363685,0.651817,-0.916999,-0.621119,0.344367,-0.857410,1.786378,0.372715,-0.174871,0.234321,-0.134695
21,0.896000,0,0.653056,-0.007699,0.576636,-1.277178,-0.990969,0.097922,-0.528320,-0.824333,-0.613162,-0.118276,0.537737,0.358039,0.372715,0.670186,-0.258683,0.350261
22,0.938700,0,0.184563,0.332488,0.127274,-0.115276,-1.386993,0.201395,-0.133443,-0.422380,-0.238437,-0.220939,0.151761,1.077047,1.300504,0.215388,0.034850,-0.097414
23,0.981300,0,-0.678912,-0.337688,-0.835654,-0.227996,-1.353334,-0.596770,0.290251,0.560839,0.668066,0.581282,-0.233266,0.646283,1.114946,-0.171251,0.179522,-0.321405
24,1.024000,0,0.046282,-0.744916,0.191476,-0.271024,0.732188,-0.611696,-0.254662,0.460953,0.525792,0.596747,0.342340,0.223401,-0.183958,-0.078362,-0.295851,0.201138
25,1.066700,0,-0.407639,0.232828,-0.322089,-0.759272,-0.393009,0.267980,0.288442,0.326166,0.362299,-0.286420,-0.081321,0.259968,-0.740631,0.624948,0.079838,0.126271
26,1.109300,0,-0.802728,-0.559158,-0.514697,-0.881657,0.486451,-1.252177,-0.143355,0.960385,0.869448,1.261096,0.082199,1.451651,0.558273,-0.726178,0.294396,0.051709
27,1.152000,0,0.242855,-0.007649,0.127274,-0.367052,0.046889,0.359930,-0.012206,-0.210573,-0.155648,-0.376908,0.254914,-1.221076,-0.369516,-0.197791,-0.381739,0.088990
28,1.194700,0,-0.052167,0.836197,0.063071,0.334239,-0.715505,0.659213,0.344471,-0.766567,-0.632486,-0.669104,-0.362061,0.985458,-0.740631,-0.342555,-0.366280,-0.134695
29,1.237300,0,-0.447903,-0.653014,0.127274,0.417801,1.354994,-1.236014,0.074326,0.194990,0.234422,1.243986,-0.379360,0.788096,0.187157,0.654504,0.150148,0.611227
30,1.280000,0,0.923897,0.491889,1.026054,-1.530305,-1.567401,0.961590,-0.982879,-1.220268,-1.064614,-0.960641,0.842477,0.370372,0.372715,1.702832,-0.695865,0.984341
31,1.322700,0,-0.089193,1.118908,0.769244,-0.794707,-0.577392,0.952542,-0.038005,-1.494655,-1.221097,-0.952086,0.230744,0.134492,0.001600,0.366786,-0.519711,0.424823
32,1.365300,0,0.117311,1.072645,0.576636,-0.077042,-1.177355,0.721235,0.196199,-1.161299,-1.130352,-0.729320,-0.083191,1.564068,0.558273,0.314913,-0.412927,0.648814
33,1.408000,0,-0.291379,-0.311381,-0.771452,0.019818,1.462093,-0.810908,-0.564242,0.862906,0.633966,0.801415,0.512491,0.188797,0.187157,-0.499382,-0.100487,0.462104
34,1.450700,0,0.226554,-0.723162,-0.514697,-1.183195,0.090690,-0.375981,-0.349774,0.466970,0.382759,0.356870,0.484737,0.974797,-0.183958,0.048306,-0.191514,0.238419
35,1.493300,0,0.779571,1.357305,0.833446,-0.397678,-0.720722,1.226459,-0.144970,-1.525945,-1.584077,-1.213021,0.444884,-1.101593,1.114946,0.449422,-0.377011,0.126271
36,1.536000,0,-0.438620,0.675704,-0.257887,0.101729,-0.269790,-0.049941,0.229933,-0.410346,-0.320278,0.028809,-0.010796,0.532848,1.114946,0.393326,0.591115,-0.731800
37,1.578700,0,-0.889734,-0.239463,-0.129482,-2.280495,-0.604270,0.171235,0.810813,-0.476536,0.069414,-0.190996,-0.408063,0.831584,-1.668420,-0.275602,0.199579,-1.067328
38,1.621300,0,-1.520041,-1.191205,-1.926987,-2.488105,-0.602764,-1.739304,0.415954,1.282910,1.472836,1.779019,-0.312674,0.972408,1.300504,-0.589256,1.290439,-1.216757
39,1.664000,0,-3.221837,-2.162185,-1.862785,0.420569,0.444418,-1.096503,2.145400,0.685998,1.526070,1.097888,-2.561646,-1.660387,-0.183958,0.784791,2.125838,-3.268425
40,1.706700,0,-2.766082,-0.913380,-1.862785,0.710712,0.500788,1.113165,2.879451,0.428460,1.132589,-1.105422,-3.457789,2.332845,0.558273,0.017544,3.783037,-4.611453
41,1.749300,0,-2.718369,-2.130854,-2.633105,0.252638,0.541974,-0.852591,2.470506,0.907433,1.918983,0.844521,-2.832356,1.536489,-0.926189,-0.306967,2.411393,-3.716101
