frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,0.241315,0.263606,0.154408,-3.781549,-4.652934,-0.857140,-1.694243,1.597133,1.142396,0.877453,3.914357,-0.666042,-0.884311,-3.313601,1.405910,-0.601456
1,0.042700,0,2.767515,2.965782,2.798883,-2.316702,-5.683436,1.263977,-0.121662,-1.572341,-1.643662,-1.274403,4.892334,0.153041,-0.699482,4.059172,1.185532,3.190915
2,0.085300,0,2.476886,2.630120,3.039318,-0.470932,-2.727759,2.108895,1.623541,-1.533027,-1.589248,-1.976129,0.996838,-0.684715,-0.699482,0.699789,1.345345,3.106702
3,0.128000,0,0.900296,0.646576,0.334734,0.512495,-0.578423,0.942511,0.913603,0.011448,-0.190389,-0.987747,-0.576188,-0.313744,0.224663,0.195882,0.772015,0.494011
4,0.170700,0,0.121973,-0.043434,-0.386519,0.452676,1.389155,0.021435,0.119932,0.913155,0.769278,-0.095047,-0.220132,-0.172926,-0.699482,-0.082875,0.194854,0.494011
5,0.213300,0,-0.137757,-0.617306,-0.386519,1.016319,2.981113,-0.561061,0.049038,0.396857,0.458474,0.534434,-0.756971,-0.037958,-0.144995,-0.947738,-0.729321,0.325584
6,0.256000,0,0.543374,-0.080771,-0.326410,0.082991,1.075208,0.902589,0.832662,0.221915,0.028936,-0.951334,-2.077367,0.458022,-0.329824,-1.069247,-0.150996,0.241370
7,0.298700,0,0.803341,0.821744,-0.386519,1.169104,1.025953,0.372218,1.385652,0.000712,-0.447198,-0.448524,-0.838996,0.137339,0.224663,-1.526695,0.801901,0.241370
8,0.341300,0,0.390374,0.359951,-0.386519,1.969576,0.975945,-0.035398,0.675043,0.144391,-0.162864,-0.036069,-1.040497,-0.464164,0.779150,0.438901,0.906716,0.409797
9,0.384000,0,0.151533,0.039824,-0.386519,-0.291696,0.523494,0.050998,0.049500,0.927208,0.712529,-0.125552,-0.246964,-0.089885,0.224663,-0.551045,-0.034654,-0.180388
10,0.426700,0,-1.407321,-1.562152,-0.446628,-1.748693,0.232541,-0.696960,-1.191822,-1.189933,-0.721424,0.689867,-0.361894,-1.353658,-0.514653,1.600390,-2.104638,-0.769883
11,0.469300,0,-0.649808,-0.727079,-0.386519,-0.158600,0.686404,-0.450753,-0.548663,1.322405,1.570540,0.410862,-0.398462,-0.846700,0.779150,0.038634,-1.090649,0.494011
12,0.512000,0,0.499311,0.437360,-0.386519,1.088986,0.692323,0.288524,0.616043,-0.168861,-0.369814,-0.365820,-0.512427,-0.454324,-0.144995,-0.847671,0.032096,1.084196
13,0.554700,0,0.488354,0.619877,-0.386519,1.393050,1.734095,0.144395,0.509130,0.172496,-0.101310,-0.221040,-0.314868,1.100520,0.224663,-0.029268,0.495986,-0.096174
14,0.597300,0,-1.328101,-1.500915,-0.446628,0.294136,0.583384,-0.623176,-0.760432,-1.044517,-0.701605,0.605033,-1.461279,-1.281816,1.888123,0.378146,-1.417029,-0.180388
15,0.640000,0,-1.107942,-1.159476,-0.446628,1.189336,0.155553,-0.176620,0.497740,-1.571868,-1.379522,0.112682,-2.749734,-1.505529,-1.253969,-0.408092,-0.862790,-0.096174
16,0.682700,0,0.245335,0.457686,-0.386519,2.305232,0.154686,0.523226,1.503704,-0.664003,-0.732699,-0.595435,-0.712882,-1.001664,0.224663,0.149422,1.217797,-0.180388
17,0.725300,0,-1.198670,-1.206311,-0.446628,0.081097,0.546405,-0.838223,-0.495816,-0.436011,-0.342482,0.855082,-1.133664,-1.281935,-0.514653,-0.529602,-0.552165,-0.180388
18,0.768000,0,-0.157858,0.144704,-0.446628,0.020341,-0.103342,-0.883714,-0.372714,1.128201,0.794027,0.909120,0.540736,0.994382,-1.253969,2.361612,0.546325,0.072943
19,0.810700,0,0.006730,-0.191720,-0.386519,-0.184865,0.780391,-0.189600,-0.116444,0.938733,0.769845,0.126531,-0.760029,1.167946,0.779150,-0.390223,0.567048,-0.264601
20,0.853300,0,-1.502621,-1.757791,-0.446628,-1.293741,0.803517,-1.274419,-1.531605,-0.936678,-0.224010,1.391400,-0.841329,-1.154955,1.888123,1.153663,-2.078378,-1.444281
21,0.896000,0,-1.529658,-1.841907,-0.446628,-0.322959,0.861243,-1.049749,-1.402394,-1.363453,-0.518055,1.110070,-1.516109,-1.278745,-1.253969,-0.343764,-2.059810,-1.191641
22,0.938700,0,-0.802335,-0.754083,-0.446628,-0.293102,1.178996,-1.355205,-1.086106,0.969522,1.220879,1.495409,0.756397,-0.875352,-0.699482,0.152996,-0.785203,-0.433029
23,0.981300,0,-0.350350,-0.553401,-0.386519,0.006413,1.108613,-0.779507,-0.598834,0.776897,0.720586,0.785936,0.445678,-0.300978,-0.144995,-0.640390,-0.294514,0.241370
24,1.024000,0,0.092256,-0.456511,-0.386519,0.125757,-0.083404,0.276609,-0.028973,0.532484,0.416580,-0.354005,-0.992626,1.372102,0.594321,-0.811933,-0.711975,1.084196
25,1.066700,0,-0.968657,-1.322918,-0.446628,-1.153573,-0.632674,-1.025796,-1.125117,1.426928,2.624939,1.080727,-0.945881,1.211834,-0.514653,-0.593931,-0.917419,-1.191641
26,1.109300,0,-1.747059,-1.888205,-0.446628,-2.087504,0.494061,-1.589579,-1.991256,-0.371749,0.837914,1.806082,-0.764695,1.850117,-1.253969,0.614018,-2.089621,-1.444281
27,1.152000,0,0.128279,-0.041047,-0.386519,0.384923,1.244615,-0.037200,0.197325,0.990995,0.997521,-0.034132,-0.444925,1.187598,0.409492,1.500323,0.292949,0.830865
28,1.194700,0,-1.178333,-1.335765,-0.446628,-0.556072,0.607508,-1.064244,-1.080584,-0.058655,0.398064,1.127889,-0.224879,-1.112539,-0.329824,0.270932,-1.513908,-0.096174
29,1.237300,0,-1.357346,-1.484678,-0.446628,-1.297896,1.125356,-1.541140,-1.452554,0.837684,1.707880,1.740713,0.045935,1.283885,0.594321,-0.386649,-1.428789,-1.023214
