frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,0.710857,0.504319,0.958832,-1.539024,-3.252045,0.336719,-1.353807,-0.639725,-0.670873,-0.362766,1.756090,-1.435649,0.215995,-7.118589,-0.640662,0.973360
1,0.042700,0,1.668612,1.019213,1.788646,0.968140,-2.953413,1.803128,-1.272677,-1.609075,-1.378168,-1.679680,1.931519,-0.803227,-1.027891,-0.472938,-0.457589,1.735055
2,0.085300,0,1.458397,1.148719,1.405672,0.837098,-1.548473,1.693934,-1.029376,-1.361748,-1.239866,-1.586337,1.380746,0.254617,-0.850193,-1.032784,-0.582679,1.761669
3,0.128000,0,0.058465,-0.679684,-0.158199,-2.248217,-0.853844,0.230692,-0.625930,0.056640,0.051178,-0.261886,0.805786,0.318749,1.459880,-0.295721,-0.793186,0.424711
4,0.170700,0,-0.344977,-0.527553,-0.573120,-1.397324,-1.283172,0.019267,0.549674,0.196340,0.174380,-0.058243,-0.694164,0.938616,-1.205588,0.600435,-0.469401,-0.544751
5,0.213300,0,0.221123,1.365197,0.575858,0.238851,0.681953,-0.009861,0.048659,-0.111571,-0.251850,-0.029983,-0.222594,0.833663,0.393693,-0.128573,0.187662,-0.187857
6,0.256000,0,1.132253,0.534227,1.277996,-0.042107,-0.235196,1.243820,-1.176097,-0.828605,-0.867859,-1.193780,1.474409,-0.092240,2.170672,0.658836,-0.353711,0.680383
7,0.298700,0,1.266894,0.547462,1.054589,0.186332,-0.759890,1.310657,-1.245354,-1.048135,-0.894627,-1.252869,1.589260,-0.247733,0.038297,-0.871677,-0.712672,1.623187
8,0.341300,0,1.471113,-1.186037,0.480101,0.291430,0.848464,1.521745,-1.194619,-1.209931,-0.832511,-1.437501,1.699670,0.253371,1.104484,-0.847511,-0.553627,1.687105
9,0.384000,0,0.431649,-1.366356,-0.190118,-1.171117,0.520703,0.577070,-0.973971,-0.415919,-0.192480,-0.588503,0.833737,-0.584062,-1.383286,-0.176905,-0.049317,1.404818
10,0.426700,0,0.605783,-0.637207,0.543939,-0.170525,0.088979,0.714741,-1.210816,-0.467950,-0.429961,-0.715930,1.395222,-0.404388,-0.850193,-0.738764,-0.661614,1.117165
11,0.469300,0,0.532621,0.635428,0.639696,-1.178841,0.178055,0.522743,-0.547743,-0.286197,-0.320829,-0.537806,0.422778,0.583625,-0.672495,0.199682,-0.798487,0.115765
12,0.512000,0,-0.242970,-0.085712,-0.381605,-1.233143,1.194948,0.026162,0.346412,0.195627,0.175409,-0.064923,-0.483905,0.960195,0.215995,-0.076213,-0.711289,-0.677911
13,0.554700,0,0.060395,0.602135,0.320532,1.047868,1.833981,-0.489307,-0.120208,-0.285484,-0.416920,0.445641,-0.105513,0.892123,1.104484,-0.102393,-0.173150,0.046524
14,0.597300,0,0.863763,0.196034,0.735426,-0.944206,-1.147759,0.759456,-1.299660,-0.624044,-0.611846,-0.757035,1.583116,-0.428660,-0.139401,0.542034,-0.330926,1.181083
15,0.640000,0,0.059602,0.310493,0.256694,-0.274918,-1.115971,0.100073,-0.484421,-0.032455,-0.141689,-0.136515,0.011008,-0.982586,1.637578,0.233917,-0.669126,0.477983
16,0.682700,0,0.535137,0.673436,0.767345,-0.528841,-0.985907,0.607794,-0.847148,-0.288335,-0.441629,-0.616934,0.966413,0.323995,0.215995,-0.023854,-0.900438,0.398053
17,0.725300,0,0.662404,0.855594,0.735426,-0.331282,1.457222,0.562405,-1.041945,-0.492896,-0.605669,-0.574801,1.237718,0.402367,-1.027891,-0.021840,-0.634716,1.468736
18,0.768000,0,0.692695,0.669570,0.735426,0.103448,-1.061344,0.462083,-0.706119,-0.722404,-0.690434,-0.480944,0.439959,0.612962,-0.317099,0.221834,-0.634075,0.691029
19,0.810700,0,-0.406766,-0.518718,-0.477363,-0.273169,0.842806,-0.665427,-0.077981,0.387359,0.410488,0.625134,-0.366732,0.869625,0.038297,-0.112462,-0.206911,-0.097281
20,0.853300,0,0.184215,-0.351829,0.320532,-0.449339,0.057014,0.183192,-0.565183,-0.081635,-0.100507,-0.216499,0.197124,0.839853,0.571391,-0.116490,-0.781104,-0.273066
21,0.896000,0,-0.229875,-0.600916,-0.285875,-0.452414,0.651707,0.009700,0.123542,0.400902,0.388868,-0.048994,-0.302189,0.796194,-0.494797,-0.474952,-0.614326,-0.645930
22,0.938700,0,-0.107295,-0.224307,-0.253956,0.636163,0.017172,0.095290,0.229925,0.122213,0.132169,-0.131890,-0.494866,-1.139612,-1.560984,-0.229265,-0.482761,0.621788
23,0.981300,0,1.175364,0.483083,1.182266,-0.153733,0.501877,1.095526,-1.316682,-0.945498,-0.921738,-1.061558,1.591239,0.300286,0.038297,0.094963,-0.545414,1.367514
24,1.024000,0,0.190246,0.385672,0.288613,-1.753852,-0.989684,0.308556,-0.543447,-0.098029,-0.224396,-0.336047,0.458844,0.598709,0.926787,0.000312,-0.761700,0.563193
25,1.066700,0,0.433786,-1.850564,-0.222037,-2.135523,-1.571179,0.981392,-1.319113,-0.405227,-0.254252,-0.958965,1.578783,-0.407602,-0.494797,-0.585713,-0.650328,0.818865
26,1.109300,0,0.044853,-0.886431,-0.094361,-1.426522,1.529749,0.062275,-0.846408,-0.023902,0.034706,-0.100034,0.620923,-0.654974,-0.850193,-0.420579,-0.414750,1.053246
27,1.152000,0,0.960186,-0.461865,0.703534,0.049711,-0.823026,1.294127,-1.040968,-0.954763,-0.743284,-1.238140,1.073242,0.436313,0.215995,-0.611893,-0.941763,0.845523
28,1.194700,0,1.304870,-0.714464,0.639696,0.161617,0.582840,1.205416,-1.208450,-1.350344,-1.002042,-1.159697,1.274702,-0.462975,-1.205588,-1.052922,-0.651459,1.330211
29,1.237300,0,1.094689,0.539265,0.895021,0.268108,0.596846,1.218824,-0.956094,-1.199239,-1.062785,-1.171515,1.053055,-0.345374,0.749089,-0.668280,-0.486756,1.271615
30,1.280000,0,0.798044,-0.126080,0.703534,1.036919,2.640626,0.674990,-0.499027,-0.601948,-0.554878,-0.679106,0.447707,0.506217,0.749089,-0.068158,-0.649949,0.584484
31,1.322700,0,-0.256169,0.312332,0.192883,-0.894004,-0.647991,-0.156583,0.263551,0.145022,-0.045942,0.113715,-0.424880,0.862640,-0.139401,-0.007743,-0.400785,-0.257098
32,1.365300,0,0.454945,-0.111448,0.384371,-1.244450,0.789414,0.642043,-0.733163,-0.367451,-0.332497,-0.648791,0.679564,0.440219,-0.139401,-0.331970,-0.866298,0.211621
33,1.408000,0,0.826234,0.526331,0.958832,-0.277232,0.872875,0.772460,-0.891683,-0.723117,-0.732646,-0.768853,0.925923,0.486253,-0.494797,-0.839456,-0.590971,0.691029
34,1.450700,0,-0.710131,-0.719300,-0.477363,-0.812737,1.453489,-0.650649,0.277583,0.549868,0.457847,0.609891,-0.637093,-1.285668,-0.317099,0.721265,0.062993,0.057170
35,1.493300,0,0.331090,0.901121,0.639696,0.448715,0.371695,0.231388,-0.233151,-0.597672,-0.679796,-0.262571,-0.043833,-0.909699,-0.139401,-0.050033,0.220558,0.696352
36,1.536000,0,1.555371,-0.147369,1.118428,0.393968,1.105550,1.686725,-1.255142,-1.292610,-0.982824,-1.580000,1.784901,-0.181773,-0.494797,0.189613,-0.542712,1.143779
37,1.578700,0,0.788050,1.260687,0.990751,-0.591663,0.458184,0.994058,-0.860715,-0.629033,-0.749805,-0.970441,1.046777,0.373546,-0.672495,-0.766958,-1.036704,0.893429
38,1.621300,0,0.307312,-0.165706,0.065207,1.429346,1.322984,0.327960,0.120650,-0.112284,-0.125560,-0.354545,-0.283663,-0.961320,-1.383286,0.145309,-0.418685,1.037278
39,1.664000,0,0.633559,1.381247,0.831183,0.406464,-0.326240,0.203742,-0.621065,-0.554194,-0.593314,-0.236195,0.641845,0.489005,0.926787,0.050658,-0.456411,1.053246
40,1.706700,0,0.180562,0.935812,0.512020,0.713668,-2.014337,-0.100235,0.078339,-0.472939,-0.547671,0.058394,-0.303274,0.791321,-1.560984,0.312457,-0.123596,0.019866
41,1.749300,0,-0.274675,-1.244122,-0.509282,-2.095748,-0.435112,0.247132,0.531450,0.331764,0.346656,-0.277643,-0.671022,0.801932,1.282182,0.189613,-0.244904,-0.704525
42,1.792000,0,0.420208,0.080077,0.065207,-0.694244,-0.010398,0.335731,-0.127169,-0.733096,-0.651655,-0.361738,0.083549,0.503310,1.104484,-0.303776,-0.189091,-0.379611
43,1.834700,0,0.311068,1.404950,0.224775,0.712321,0.148118,0.202305,0.036152,-0.476503,-0.579244,-0.234654,-0.410788,-1.055241,1.104484,0.082880,-0.470879,0.435356
44,1.877300,0,1.193008,1.414434,1.118428,2.353771,-0.385115,0.827393,-0.905503,-1.207080,-1.153728,-0.819207,1.101051,-0.546035,-0.139401,0.280235,-0.364111,1.596573
45,1.920000,0,0.984240,-0.056073,0.703534,0.291225,-0.031620,0.970095,-0.977296,-0.684628,-0.541837,-0.948860,1.216904,0.295201,-0.850193,-0.521270,-0.463535,1.585883
