frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,0.099841,-0.928083,-0.184116,-0.661157,1.501774,-0.788327,-0.807044,0.750539,0.613563,0.772638,0.817070,0.897080,1.026562,-9.072387,1.074106,1.083658
1,0.042700,0,-0.443272,1.929572,0.523041,-0.046072,-0.660235,-1.160123,1.183119,-0.075358,-0.597524,1.154506,-1.166386,-0.747371,1.537641,0.406822,0.345235,0.524378
2,0.085300,0,1.258058,-1.216136,0.452319,1.271931,0.840996,0.924328,-0.787834,-0.868030,-0.693544,-0.917780,1.131949,-0.303620,0.345125,0.853995,1.518319,-0.285530
3,0.128000,0,-0.052002,1.654881,0.098771,0.438300,-1.405416,0.255733,1.765110,-0.518368,-0.494277,-0.270993,-1.537433,-1.225396,-0.336313,0.065634,1.111117,0.061559
4,0.170700,0,1.219074,1.115928,0.240214,0.782004,-1.292758,0.864913,-0.491935,-1.322115,-1.048714,-0.860731,0.754508,-0.400488,-0.165954,-0.314754,1.091362,1.147947
5,0.213300,0,1.304319,-0.953827,0.805867,0.346451,1.588437,1.570119,-1.595098,-0.659182,-0.796791,-1.527129,1.650319,-0.149631,-1.869548,-0.147790,-0.761711,1.758617
6,0.256000,0,0.853728,-1.909374,0.169492,0.798167,2.833358,0.171621,-1.357478,0.253735,0.073581,-0.188272,1.284328,0.299585,-1.358469,-0.750312,1.061173,1.636462
7,0.298700,0,-0.844483,-1.528921,-1.598370,-0.395276,1.608874,-0.259590,0.086986,0.918250,1.236142,0.238878,-0.244583,-0.822681,0.345125,0.533134,0.147121,0.710822
8,0.341300,0,1.163067,0.960050,1.866633,1.909032,-0.966789,0.184167,0.339368,-1.249335,-1.518487,-0.200752,-0.107464,-0.474060,1.026562,-0.059226,0.901235,0.241579
9,0.384000,0,1.474420,-1.001859,1.442302,1.654087,1.207822,1.677153,-1.519957,-0.983529,-0.961986,-1.626964,1.364958,0.314167,0.345125,0.411177,-1.489743,0.640110
10,0.426700,0,0.441602,-0.203933,0.593762,-0.677339,-1.558058,0.839072,-0.853850,-0.274713,-0.402387,-0.836129,0.938516,0.006318,-0.506672,-0.060678,-0.031438,1.045064
11,0.469300,0,0.203214,-0.390679,0.240214,-0.043460,0.559036,0.333296,-0.604757,-0.246233,-0.366251,-0.346938,0.423413,-0.370374,0.856203,-0.108589,-0.159237,0.910061
12,0.512000,0,0.774201,-0.112351,0.947311,0.720728,1.418723,0.188270,-0.617709,-0.179782,-0.206218,-0.204674,0.741535,-0.427354,0.515484,-0.883884,0.502866,0.980774
13,0.554700,0,1.065087,-0.964809,0.735206,0.733666,0.124021,1.458233,-1.306576,-0.583237,-0.457108,-1.422659,1.265909,0.208912,0.685843,-0.329272,0.224842,0.826501
14,0.597300,0,0.672582,1.294829,1.300919,0.630349,0.204054,0.173002,-0.504626,-0.632285,-1.145766,-0.189698,0.593408,-0.730765,-1.188110,-0.420740,0.325957,0.826501
15,0.640000,0,0.901029,-0.081554,0.947311,0.948937,0.978331,1.293047,-1.030080,-0.686079,-0.756525,-1.267558,0.975592,0.077007,-0.677032,-0.131819,-2.573963,0.607939
16,0.682700,0,0.046108,0.823457,0.381597,-0.145401,0.570005,0.108616,0.225461,-0.407616,-0.629531,-0.126589,-0.407105,-0.548137,-0.165954,0.094671,-1.747951,-0.009154
17,0.725300,0,0.078790,0.466642,0.381597,-0.978239,0.049548,0.480255,-0.758657,0.041723,-0.255777,-0.489916,0.680624,-0.296820,-2.039907,-1.071174,-1.414111,0.357258
18,0.768000,0,0.358501,0.782748,1.088754,1.516333,1.140408,-0.119732,1.026805,-0.097509,-0.280556,0.099466,-0.818945,-0.842728,-0.677032,0.187591,-0.289530,0.370105
19,0.810700,0,0.997580,-0.372420,1.371641,0.137010,-0.561960,1.312181,-1.383686,-0.459828,-0.441621,-1.285386,1.439194,0.286633,-0.336313,0.614438,-1.508334,0.775112
20,0.853300,0,0.885046,-0.631724,0.593762,1.135516,1.458327,0.293804,-0.870831,-1.216109,-1.212876,-0.308074,0.828452,-0.082742,-1.869548,0.138227,-0.109980,1.102929
21,0.896000,0,-0.241464,2.200855,0.664484,-0.691800,-0.578306,-0.443595,0.304699,-0.029475,-0.649148,0.423216,-0.469247,1.755365,-0.677032,0.085960,-0.668956,-0.709808
22,0.938700,0,-2.564590,0.872690,-2.022640,-0.787512,0.822605,-2.596613,1.926260,2.343793,2.156073,2.685901,-1.942334,-1.101042,0.345125,0.643475,1.556173,-1.243340
23,0.981300,0,0.377928,-0.256344,0.593762,0.298386,0.474995,-0.205225,-0.555680,-0.591148,-0.892811,0.184682,0.554535,-0.359949,-0.336313,1.678653,0.254536,-0.381990
24,1.024000,0,0.005760,0.482330,0.593762,0.034058,-0.928868,-0.024456,0.494555,-0.247816,-0.365218,0.004979,-0.383041,1.491331,-0.506672,0.058375,0.614805,-1.031201
25,1.066700,0,-0.613632,-0.764862,-0.961934,-1.143878,-1.451123,-0.198873,0.386107,0.260064,0.524771,0.178264,-0.355213,1.702039,0.345125,0.000300,-0.508090,-1.153356
