frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-0.086078,0.565666,-0.658622,1.132397,-2.714459,0.754355,0.985754,1.295450,1.139934,-0.874370,0.171123,-3.448197,-0.888118,-2.278905,0.365429,1.858274
1,0.042700,0,-0.831269,-0.367940,-1.369300,0.811996,-2.773953,-0.377204,0.289407,0.800891,0.196661,0.318890,-0.968525,-3.413864,-0.047125,0.331122,-0.168827,0.260344
2,0.085300,0,-0.864393,-0.520446,-1.318531,-0.209669,-2.807882,-0.327769,0.089797,1.165640,0.645204,0.259772,-0.846658,0.233829,1.634863,1.327331,-0.413500,-0.017643
3,0.128000,0,2.622039,3.260872,2.285674,1.786579,-2.625499,2.562480,2.508059,-0.835414,-1.080767,-2.307225,1.205954,-3.030719,0.373372,0.741450,1.957279,0.503334
4,0.170700,0,-0.875773,-0.504624,-1.420069,0.076539,-2.723302,-0.312589,0.226541,0.392193,-0.252618,0.241788,-1.035142,0.360715,-0.467622,1.117937,-0.108326,-0.747183
5,0.213300,0,-0.621483,-0.228169,-1.216994,0.766273,-2.797386,0.522517,0.763822,-0.086917,-0.600032,-0.653714,-1.060247,0.261572,0.583621,-0.514916,0.100236,-1.233447
6,0.256000,0,-0.923461,-0.485122,-1.470838,0.314742,-2.638867,-0.733327,-0.069958,1.189613,0.509773,0.768682,-0.799760,-4.195824,-1.308615,-0.087667,-0.058489,-0.990173
7,0.298700,0,-0.728713,-0.376214,-1.318531,0.245662,-2.508064,0.189305,0.502801,0.252171,-0.309608,-0.316928,-1.337561,-0.133053,-0.677870,-0.388011,-0.159467,-0.191492
8,0.341300,0,-0.748696,-0.432830,-1.216994,-0.213797,-1.984311,0.098642,0.362544,0.482048,0.045150,-0.220886,-1.446529,0.270757,1.214366,-0.798339,-0.512935,-0.434482
9,0.384000,0,-0.608545,-0.310070,-1.115499,0.013358,-1.911975,0.614764,0.515371,-0.247448,-0.717674,-0.742806,-1.588485,0.250560,0.163124,-0.954856,-0.062389,-1.442009
10,0.426700,0,-0.707172,-0.453114,-1.216994,-0.210285,-1.775626,0.378394,0.390026,-0.123498,-0.606423,-0.511054,-1.653891,0.184929,-1.518864,-1.140984,-0.053580,-1.372299
11,0.469300,0,-0.838246,-0.489049,-1.318531,-0.081202,-1.878033,-0.322857,-0.009391,0.362182,-0.170168,0.253969,-0.501641,0.122989,1.424615,-0.201882,-0.156680,-1.407011
12,0.512000,0,0.388227,0.847712,0.153595,1.555403,-1.697932,1.580304,1.303225,0.206622,-0.073593,-1.584356,-0.127293,-0.004513,0.583621,0.314201,0.953640,-0.434482
