frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,317.85,336.7495,492.19,-7.7107362569,1.168599,0.211548,26.2989,2.5319,13.4734,0.112432,0.300405,1.783913,33,0.0,188.6083,0.005982,0
1,0.0427,122.26,219.1831,410.16,-6.8349771454,1.189047,0.157084,26.1843,2.7728,10.403,0.133978,0.181913,9.926844,29,0.003834,152.8517,0.00354,0
2,0.0853,106.25,189.6501,410.16,-6.1133517991,1.449787,0.129725,28.9199,2.6806,9.2685,0.14783,0.137245,26.063337,31,0.001785,92.7239,0.002442,0
3,0.128,93.05,170.9596,386.72,-6.2810836252,1.728911,0.110751,19.1194,2.5983,8.9891,0.159276,0.160773,14.086845,26,0.002346,91.9021,0.001831,0
4,0.1707,84.59,163.3823,152.34,-6.440481469,1.892817,0.089848,16.6758,2.7944,10.6313,0.174415,0.153948,16.436083,31,0.001175,87.1696,0.00061,0
5,0.2133,95.59,173.6983,421.88,-6.0619923856,1.934266,0.09836,16.4434,2.6054,9.4733,0.167864,0.15284,16.659383,37,0.00112,74.961,0.000855,0
6,0.256,81.99,162.8985,117.19,-6.1409176706,1.988585,0.096133,15.2163,2.933,11.9464,0.169521,0.147034,20.020553,34,0.001347,92.1817,0.001099,0
7,0.2987,77.31,154.8957,105.47,-6.1239579087,1.936637,0.094994,13.5668,2.8776,11.2306,0.170384,0.148306,19.905499,26,0.00066,66.1114,0.001099,0
8,0.3413,84.31,163.081,234.38,-5.8997658262,2.006637,0.099285,13.2627,2.5982,9.0472,0.167186,0.169062,22.10114,33,0.00152,92.1588,0.000977,0
9,0.384,96.18,177.5895,433.59,-5.4732341212,1.958192,0.106208,15.2053,2.488,8.5982,0.162307,0.154051,21.505931,42,0.001179,93.585,0.001343,0
10,0.4267,121.19,197.434,433.59,-5.4268917122,1.904329,0.114902,20.3154,2.0258,5.8306,0.156612,0.151161,25.555518,38,0.00157,83.8877,0.00293,0
11,0.4693,146.12,207.4552,433.59,-6.9286537169,1.841241,0.138142,19.3405,1.7495,4.5065,0.143279,0.156598,20.20387,34,0.00121,121.4513,0.003663,0
12,0.512,194.63,261.092,445.31,-6.8357798986,1.991459,0.100315,23.7002,2.1194,8.0259,0.166439,0.229745,-4.533066,29,0.002272,169.2802,0.004761,0
13,0.5547,195.38,251.3244,445.31,-7.3074527926,1.849987,0.113758,23.8759,2.2532,11.0113,0.157336,0.20561,15.811337,30,0.001658,134.565,0.006226,0
14,0.5973,106.37,182.1863,433.59,-6.7296895264,1.876157,0.115951,15.0205,2.3272,7.6111,0.155954,0.183922,10.513562,26,0.002562,78.5733,0.00354,0
15,0.64,85.37,162.2604,199.22,-6.3694816753,1.865956,0.108577,18.3565,2.7577,10.4473,0.16071,0.124008,21.255269,29,0.002565,68.2074,0.001831,0
16,0.6827,95.77,172.6302,421.88,-5.7479375355,1.827,0.101935,19.7577,2.5218,8.7664,0.165279,0.128259,20.009902,40,0.000965,66.4529,0.001587,0
17,0.7253,98.26,182.4839,433.59,-5.7853077671,1.809922,0.101366,15.6483,2.5666,9.2759,0.165685,0.185169,20.469628,38,0.002449,74.9103,0.001099,0
18,0.768,128.12,204.7623,433.59,-5.7177823759,1.857029,0.114007,22.3352,2.0885,6.1406,0.157178,0.146256,20.978344,37,0.001493,97.84,0.001831,0
19,0.8107,111.26,191.1696,433.59,-6.3758399937,1.857365,0.11174,20.6581,2.3733,8.0726,0.158632,0.162187,17.891058,24,0.000976,81.184,0.001709,0
20,0.8533,152.62,252.6769,433.59,-6.7276890869,1.720896,0.10445,27.7594,2.8573,12.34,0.163515,0.201461,14.231573,29,0.001222,174.4694,0.00293,0
21,0.896,169.61,280.4633,445.31,-6.5699269097,1.773418,0.101806,26.8888,3.1633,15.6545,0.165371,0.236215,14.55673,34,0.001119,175.5418,0.004151,0
22,0.9387,210.1,301.0431,445.31,-6.7110504886,1.717469,0.120402,33.043,3.1951,17.4436,0.153228,0.198323,17.245871,33,0.000966,203.413,0.00354,0
